TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
84,84,100.0000,84,100.0000,0,32472,19271,59.3465

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VIVA,CABAL,VAMOS,WINAQ,PHG,VOS,LA PAPA,CREO,MLP,UNE,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10947,"Quetzaltenango",9,"Ostuncalco",9,1463,400,31,8,50,20,6,15,36,19,9,1,0,4,11,210,2,1,213,0,213,--,400,187,210,213,213,Algún campo sin dato,1,80c5e66122687f0b0f6c604bec44b0bd8e620cf48eb05b8b420ea1b419443040,25/06/2023 23:13:56,ESCANER
10948,"Quetzaltenango",9,"Ostuncalco",9,1463,301,29,3,50,11,1,20,38,13,12,1,2,3,3,186,4,0,190,1,191,--,298,107,186,190,191,Algún campo sin dato,1,d38cb2e40dc8b04a1bc2a104309d6018215e86c5c0c450f2b820c54015d67875,25/06/2023 23:20:18,ESCANER
10949,"Quetzaltenango",9,"Ostuncalco",9,1463,300,21,4,33,11,1,19,33,17,5,6,1,2,7,160,5,1,166,0,166,--,299,133,160,166,166,Algún campo sin dato,1,966d13fb282bb4366610d139a041537b7c0a88c3f0e1f9e922cf670827be46b5,26/06/2023 00:56:03,ESCANER
10950,"Quetzaltenango",9,"Ostuncalco",9,1464,400,28,5,55,26,0,16,27,21,4,1,4,6,19,212,16,8,236,0,236,--,400,164,212,236,236,Algún campo sin dato,1,307c2bfea08f7eb4e50601e6bcf2fdf355d8ba22ab4c897cbaed2267acb38b58,26/06/2023 00:58:34,ESCANER
10951,"Quetzaltenango",9,"Ostuncalco",9,1464,400,37,6,77,32,4,14,32,13,5,3,7,0,11,241,11,11,263,0,263,--,400,137,241,263,263,Algún campo sin dato,1,9ebcec8da0bcee6f311578601569e598e6d58a06ae7f400f639ad6d68c8705e1,26/06/2023 01:08:35,ESCANER
10952,"Quetzaltenango",9,"Ostuncalco",9,1464,400,31,5,50,24,5,19,17,13,12,2,3,5,13,199,13,6,218,0,218,2,400,180,199,218,218,,1,ca4e289b8431366d9a1dc5c7fda0cda454db9f3d43f33a380aaabc00638864f0,26/06/2023 01:46:06,ESCANER
10953,"Quetzaltenango",9,"Ostuncalco",9,1464,400,33,12,53,23,2,14,27,15,16,0,6,6,11,218,14,5,237,0,237,--,400,163,218,237,237,Algún campo sin dato,1,04593d6790c441d047ab649b99ddf29962e577e15a7ac21acc6e09316cbeef0c,26/06/2023 01:42:16,ESCANER
10954,"Quetzaltenango",9,"Ostuncalco",9,1464,204,14,6,23,14,0,5,19,12,8,1,0,2,4,108,2,1,111,0,111,--,204,93,108,111,111,Algún campo sin dato,1,4c16fddb3e5da0a4e0b43ad48a19414e52beb848a7be730fa2dfd57fdeea7913,25/06/2023 21:17:19,ESCANER
10955,"Quetzaltenango",9,"Ostuncalco",9,1464,203,13,1,32,14,3,8,6,10,2,1,1,5,5,101,1,0,102,0,102,--,203,101,101,102,102,Algún campo sin dato,1,0aa39c650447ff86a8f71520bbaea29da69bebec88f90e6487bd8f4e3adf68bd,25/06/2023 21:58:00,ESCANER
10956,"Quetzaltenango",9,"Ostuncalco",9,1465,400,51,6,77,22,2,17,19,19,4,2,5,2,24,281,22,9,281,0,281,--,396,115,250,281,281,Sumas Asentadas sin cuadrar,1,0c73335da1499428f52bdab25870d63ba3b767973784a56bcea6e87793c7b190,26/06/2023 01:41:45,ESCANER
10957,"Quetzaltenango",9,"Ostuncalco",9,1465,400,63,3,81,24,2,22,16,12,2,0,7,2,23,257,14,15,29,0,286,--,400,114,257,286,286,Sumas Asentadas sin cuadrar,1,e8b707973d13ee079a3cdfeaf68f26ae3e5bebb9f4c8007adb2587311d093d3a,25/06/2023 23:44:36,ESCANER
10958,"Quetzaltenango",9,"Ostuncalco",9,1465,400,32,2,102,27,3,17,17,17,3,3,4,1,24,252,18,17,287,1,288,--,396,108,252,287,288,Algún campo sin dato,1,b287ba0e71b89ac5df4deafe065c5238e18877729108108d5aee0e7a859103d4,26/06/2023 01:02:53,ESCANER
