TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
38,38,100.0000,38,100.0000,0,14360,9208,64.1225

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VALOR,CABAL,VAMOS,PODEMOS,UNIONISTA,VOS,MLP,VIVA,PPN,EL CHORRO,UR,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6748,"Chimaltenango",3,"Zaragoza",15,725,400,59,44,36,39,13,16,5,2,7,12,19,0,4,256,7,3,266,0,266,0,400,134,256,266,266,,1,533f00e81914f906c187c61431de3c710afc8e38a6c0ae57a373a0b4dfc87f2b,26/06/2023 02:04:23,ESCANER
6749,"Chimaltenango",3,"Zaragoza",15,725,400,62,40,44,31,14,22,5,2,6,12,13,1,4,256,8,2,266,0,266,0,400,134,256,266,266,,1,7ac2aee902e0b2d9ffbd6b70185386a7f19739dbd987b2ec289ba97ca865e6bd,26/06/2023 00:23:28,ESCANER
6750,"Chimaltenango",3,"Zaragoza",15,725,400,58,36,48,30,12,13,6,0,6,8,17,1,3,238,12,2,252,0,252,0,400,148,238,252,252,,1,17030fd788b20c722489e3dd6bd6aeec2489f6bf31a15e010a904f2d044fe9a0,26/06/2023 00:04:00,ESCANER
6751,"Chimaltenango",3,"Zaragoza",15,725,400,54,62,55,40,8,16,0,4,7,9,12,0,3,270,7,0,277,0,277,0,400,123,270,277,277,,1,d3536f0b712840dd92ddb670cb7d1f0506bdeb0e96edd75987548e3acd8db2d5,26/06/2023 01:58:57,ESCANER
6752,"Chimaltenango",3,"Zaragoza",15,725,400,52,46,44,24,13,13,4,1,18,8,11,3,2,239,12,2,253,0,253,0,400,147,239,253,253,,1,43a527816fad7f11f0f4cf31d4a4e5364d54a34e807ebc7ae83af8fcdfcc98b0,26/06/2023 01:26:30,ESCANER
6753,"Chimaltenango",3,"Zaragoza",15,725,400,52,40,36,28,6,14,9,6,6,8,28,0,2,235,6,0,241,0,241,0,400,159,235,241,241,,1,22f503bf47353530910f2d9417d280b9cb31abb2f5ef940f1809d57544bb4c6f,26/06/2023 03:06:28,ESCANER
6754,"Chimaltenango",3,"Zaragoza",15,725,400,70,51,34,30,10,25,7,2,6,5,13,2,4,259,5,0,264,0,264,--,400,136,259,264,264,Algún campo sin dato,1,b9c035f5d4303cdc83239c631c1843bfeef87ecfe008776d187ff40e81fad587,26/06/2023 02:57:13,ESCANER
6755,"Chimaltenango",3,"Zaragoza",15,725,400,71,54,33,41,6,14,4,5,8,11,21,2,2,272,2,1,275,0,275,0,400,125,272,275,275,,1,e77f46f080b45b95a9ffd9ad7ce88ae0e9e0660bad19af7de4191789a6fc4a23,26/06/2023 00:32:33,ESCANER
6756,"Chimaltenango",3,"Zaragoza",15,726,221,28,22,12,15,5,6,0,2,2,6,15,0,2,115,4,0,119,0,119,0,221,102,115,119,119,,1,afa9688815674271ca18be80a5a30b117734b5ad482d91db409ebaa195a947fc,25/06/2023 23:11:56,ESCANER
6757,"Chimaltenango",3,"Zaragoza",15,726,220,28,20,11,14,6,5,1,1,2,9,6,1,0,104,1,0,105,0,105,0,220,115,104,105,105,,1,94d35bb97c40190465187f2b883336ba70b922777e05dc08622e906cb25b12c2,25/06/2023 23:16:41,ESCANER
