TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
67,67,100.0000,67,100.0000,0,24582,11228,45.6756

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,ELEFANTE,UNE,BIEN,PHG,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15647,"Huehuetenango",13,"La Libertad",11,2282,380,83,71,2,14,1,1,1,173,28,12,213,0,213,--,380,167,173,213,213,Algún campo sin dato,1,fa5cdd00cef18654fa7b20b5b6e86a760db6d4cc648c903edc89850863c75f60,26/06/2023 01:37:04,ESCANER
15648,"Huehuetenango",13,"La Libertad",11,2282,380,72,57,0,12,3,0,0,144,11,3,158,0,158,--,379,221,144,158,158,Algún campo sin dato,1,ea7b2371dc0523f69ba3d69e9a1c6b9ce107b487e2ecb4703b419b63140e86bd,26/06/2023 00:13:02,ESCANER
15649,"Huehuetenango",13,"La Libertad",11,2282,380,66,36,2,17,2,0,0,123,11,2,136,0,136,--,380,244,123,136,136,Algún campo sin dato,1,1cbb5152932066086e4eb0db02f9743812961ae6becb4deac1c3cf2eb042ddf3,25/06/2023 23:42:34,ESCANER
15650,"Huehuetenango",13,"La Libertad",11,2283,380,69,51,0,13,1,0,0,134,1,0,135,0,135,--,380,245,134,135,135,Algún campo sin dato,1,a091bcbb5ea33e7b67ad6c5845864c26da10ac1465163969aedd584a1f54d751,25/06/2023 21:31:45,MOVIL
15651,"Huehuetenango",13,"La Libertad",11,2283,265,61,24,0,5,1,0,0,91,0,3,94,0,94,--,261,167,91,94,94,Algún campo sin dato,1,f968aaea5584b40d011715fbcc9a0623903ee541859e927906dcc67776da8cb3,25/06/2023 22:16:06,ESCANER
15652,"Huehuetenango",13,"La Libertad",11,2283,264,55,24,1,6,1,0,0,87,1,5,93,0,93,--,260,167,87,93,93,Algún campo sin dato,1,55d6706357e0ea5b0faaac5a2475da51bebb8d9949625668ef70742080bbcd93,25/06/2023 22:01:25,ESCANER
15653,"Huehuetenango",13,"La Libertad",11,2284,380,85,46,2,19,5,0,2,159,21,13,193,0,193,--,380,187,159,193,193,Algún campo sin dato,1,0ae0292fb621698c87417237ab29152c35bd36b7aba42ae361cecde495e94e59,26/06/2023 00:03:44,ESCANER
15654,"Huehuetenango",13,"La Libertad",11,2284,380,84,37,8,26,10,1,1,167,25,4,196,0,196,--,380,184,167,196,196,Algún campo sin dato,1,bbc925ddd9fb980ddf969778128bb87ddf9be32e23f332c326bc74a6a31c53c0,26/06/2023 01:24:23,ESCANER
15655,"Huehuetenango",13,"La Libertad",11,2284,380,113,14,0,12,7,0,0,146,14,3,163,0,163,--,380,217,146,163,163,Algún campo sin dato,1,c4a9893e0871281795d1865c93761917ccdf30c79ac7b2b80bc079b230456d7c,26/06/2023 01:05:49,ESCANER
15656,"Huehuetenango",13,"La Libertad",11,2284,380,114,35,1,13,4,0,0,167,20,4,191,0,191,--,380,189,167,191,191,Algún campo sin dato,1,1710d355068070c276949aa5a79bdc98c46ca55daa775bfa17c5fb1a62241356,25/06/2023 22:46:22,ESCANER
15657,"Huehuetenango",13,"La Libertad",11,2285,380,78,23,1,25,7,0,1,135,23,10,168,0,168,--,379,211,135,168,168,Algún campo sin dato,1,1024505afb6f8990d701afec3125447b257a8b006ba5c6c6b86cc7b8d6fed7ff,25/06/2023 23:33:00,ESCANER
15658,"Huehuetenango",13,"La Libertad",11,2285,380,71,26,4,11,8,0,0,120,16,6,142,0,142,--,380,239,120,142,142,Algún campo sin dato,1,515c8ca6646954160c00fc39c2e1e273236b239cb80ce9d92db9658b5740bd4a,25/06/2023 22:52:05,ESCANER
15659,"Huehuetenango",13,"La Libertad",11,2285,380,74,25,0,15,4,1,2,121,14,7,142,0,142,--,380,238,121,142,142,Algún campo sin dato,1,0fee32a3ada7c447a45d085f6ce39f6473d2f274e922050f646a9fbefbf1a608,25/06/2023 21:52:48,ESCANER
15660,"Huehuetenango",13,"La Libertad",11,2285,314,72,19,2,12,7,0,0,112,9,1,112,0,122,--,314,192,112,122,122,Sumas Asentadas sin cuadrar,1,7c03a38f8845eb55fffe489c90e7bcfe349f6f37a43a19a3b3cd972fc7d2c597,26/06/2023 00:08:04,ESCANER
15661,"Huehuetenango",13,"La Libertad",11,2285,314,45,14,1,11,5,0,0,76,13,8,97,0,97,--,--,--,76,97,97,Algún campo sin dato,1,a3e785fb8d3455f20ada6c02370ba690628704d5d3b732bbfcdb6faf0386c6cd,25/06/2023 22:45:35,ESCANER
15662,"Huehuetenango",13,"La Libertad",11,2286,380,124,14,0,30,4,1,1,174,23,2,199,0,199,--,380,181,174,199,199,Algún campo sin dato,1,e5bd926201159a0616c6ec3bd8ece98138ee77b10ca0a2af24fb9a0576d323c5,26/06/2023 00:55:58,MOVIL
15663,"Huehuetenango",13,"La Libertad",11,2286,380,107,15,2,56,3,0,2,185,24,7,216,0,216,0,380,164,185,216,216,,1,f7d60cc8a5e898a1dce52fe6d91c9adef7dd2312c065f80279407dfe72398a7b,26/06/2023 01:32:40,MOVIL
