TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
33,33,100.0000,33,100.0000,0,12305,8608,69.9553

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,VAMOS,UNE,VIVA,CABAL,PODEMOS,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8320,"Escuintla",5,"Sipacate",14,972,400,176,53,3,19,0,1,0,252,4,2,258,0,258,0,400,142,252,258,258,,1,036815a5bf12cbc683f2b73406ebcd070821e0f0adf7a4e49e902e4d1eb79e95,25/06/2023 23:45:13,ESCANER
8321,"Escuintla",5,"Sipacate",14,972,400,156,53,2,18,1,4,0,234,10,0,244,0,244,0,400,156,234,244,244,,1,70e046af5de4783bbf9f905b742889990f5103fd8e2773a092e242dd375dbaac,26/06/2023 00:26:11,ESCANER
8322,"Escuintla",5,"Sipacate",14,972,278,106,38,4,3,0,0,1,153,6,3,162,0,162,1,275,113,152,161,161,Sumas Asentadas sin cuadrar,1,9befc62839a69e702c836e55491c46f2cd3fc1e6856c41d1dcd525decce6b68d,25/06/2023 23:28:34,ESCANER
8323,"Escuintla",5,"Sipacate",14,972,278,88,50,3,6,1,1,0,149,13,3,165,0,165,0,278,113,149,165,165,,1,95ec4ca27f9a2bdcf7224751f60dc37a12803f05380b3bd546afe154b88ebed9,25/06/2023 22:14:50,ESCANER
8324,"Escuintla",5,"Sipacate",14,973,380,170,127,3,4,0,0,0,304,15,4,323,--,323,--,373,54,304,323,323,Algún campo sin dato,1,3258ca44f58e5a412d93415d1fde80164b20b8919742ef08138c2446ed984ded,26/06/2023 01:20:25,ESCANER
8325,"Escuintla",5,"Sipacate",14,973,380,168,92,1,5,0,0,0,266,10,1,277,0,277,0,377,100,266,277,277,,1,e6f63585a62721dd1e62e4ac20740a6c87d0944f33b356d36e7c975d5dcf9c47,25/06/2023 23:47:42,ESCANER
8326,"Escuintla",5,"Sipacate",14,973,205,102,46,2,2,0,0,1,153,6,1,160,0,160,0,205,45,153,160,160,,1,de89ca2caf003664f030f854dc38a9ab688a78554c3df508557c7d5377cf024d,25/06/2023 23:03:51,ESCANER
8327,"Escuintla",5,"Sipacate",14,973,204,89,48,2,1,0,0,0,140,2,1,143,0,143,0,204,61,140,143,143,,1,c35f0a2e0d795628da21aa4a0d46aee08766e77fcc856bd7740f0bd8182735c4,25/06/2023 22:28:17,ESCANER
8328,"Escuintla",5,"Sipacate",14,974,380,183,62,14,11,0,1,0,271,27,3,301,0,301,0,380,79,271,301,301,,1,017f1d00bb97d5b504ba92ccd4d99a51bf8d4971910f0c243b38de92d46477ea,26/06/2023 00:46:46,ESCANER
8329,"Escuintla",5,"Sipacate",14,974,380,199,68,12,3,0,0,0,282,14,4,300,0,300,0,380,80,282,300,300,,1,044a6adea39633497b77f77f9d252496d941cb4351e5c2c58a83a7d9595f2ed8,26/06/2023 01:00:13,ESCANER
8330,"Escuintla",5,"Sipacate",14,974,380,175,72,13,6,1,0,1,268,17,3,288,0,288,1,380,91,268,288,288,,1,e215ff970625031a88b93b766518e5e8ea1a7b99c3ec6f73e6a057cc986d55ea,25/06/2023 23:38:52,ESCANER
8331,"Escuintla",5,"Sipacate",14,974,380,142,64,7,8,1,1,1,224,25,6,255,0,255,0,377,122,224,255,255,,1,262a59cdaec9726cdf65d9f95b5e1e2d6bad7d768ea552e52e8a65318acf4ade,25/06/2023 23:33:38,ESCANER
8332,"Escuintla",5,"Sipacate",14,974,330,164,42,10,3,0,0,0,219,4,0,223,0,223,1,330,107,219,223,223,,1,6a83d4dbd8ff2e70804c63ed8217ae87562c95a65287eb6f8df7dee50134321d,25/06/2023 23:05:09,ESCANER
8333,"Escuintla",5,"Sipacate",14,974,330,141,50,6,5,1,2,0,205,6,3,214,0,214,0,327,113,205,214,214,,1,e559dd7fec0e1ecbd8bf79e7e253a73358502bd01b8793a66de0bcd1886f2ef8,25/06/2023 22:09:28,ESCANER
