TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
151,151,100.0000,151,100.0000,0,56702,38206,67.3803

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,VALOR UNIONISTA,BIEN,PHG,PR,CREO,PPG,UNE,TODOS,AZUL,MLP,FCN-NACION,MI FAMILIA,PODEMOS,VOS,PPN,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2039,"Guatemala",1,"Santa Catarina Pinula",2,155,400,2,3,121,1,15,1,7,5,106,10,0,2,2,2,1,4,0,2,284,10,2,296,0,296,1,400,104,284,296,296,,1,47d038499ad03f08e3c1e1f55ef51ca096b74c73406737512f1e613ecb8c1006,26/06/2023 01:39:46,ESCANER
2040,"Guatemala",1,"Santa Catarina Pinula",2,155,400,3,0,137,3,15,0,9,9,88,5,3,0,4,0,1,4,2,1,284,17,1,302,0,302,--,400,98,284,302,302,Algún campo sin dato,1,036c41e0d8efe955f950acc45c09bfc10fb5a65bd8ab072352e8016cf599b031,26/06/2023 01:51:04,ESCANER
2041,"Guatemala",1,"Santa Catarina Pinula",2,155,400,1,0,122,4,20,1,13,5,90,2,1,2,3,0,1,3,2,3,273,14,2,289,0,273,--,400,111,273,289,289,Sumas Asentadas sin cuadrar,1,cb617ceb32fc5b1b2dbea71d8a54681a06ade196227cebc24ccba651505a7319,26/06/2023 03:21:42,ESCANER
2042,"Guatemala",1,"Santa Catarina Pinula",2,155,400,2,1,110,2,17,1,16,9,112,4,2,3,0,0,0,7,0,6,292,14,1,307,0,307,--,400,93,292,307,307,Algún campo sin dato,1,9d99dc4db4a9bc228b5058ea604ca397b974ec3dcee0421ac0af301af98d1dd3,26/06/2023 02:35:53,ESCANER
2043,"Guatemala",1,"Santa Catarina Pinula",2,155,400,5,1,102,1,15,2,9,9,99,8,0,2,2,1,1,3,0,1,261,13,0,274,1,275,2,400,125,261,274,275,,1,63aedd7ff1fc78e4a1c30472ce572fe33788a46c2d797778848fa43f8db6711d,26/06/2023 02:24:37,ESCANER
2044,"Guatemala",1,"Santa Catarina Pinula",2,155,400,3,3,98,4,19,1,8,4,107,15,0,1,1,4,4,10,0,4,286,7,0,293,1,294,--,408,114,286,293,294,Algún campo sin dato,1,8b8e86fd85d366c66ef2a84a3c8dc8c123ffe4662c5abe7ce7ffd27896777506,26/06/2023 04:26:36,ESCANER
2045,"Guatemala",1,"Santa Catarina Pinula",2,156,400,0,4,112,3,13,1,7,4,110,0,2,1,3,1,1,5,2,2,271,10,2,283,0,283,--,400,117,271,283,283,Algún campo sin dato,1,0ae1b0c271dfe17b6a26b9db2444a6788be326d216fee3acc64fe8389dd66bf2,26/06/2023 04:52:27,ESCANER
2046,"Guatemala",1,"Santa Catarina Pinula",2,156,400,3,0,100,1,13,1,9,4,119,4,0,0,3,2,3,2,1,3,268,7,4,279,0,279,1,400,121,268,279,279,,1,eeba28e5febb098d7dfdcb46e36c01d3e9c7ab9f5896f0983911a3a29d225dd3,26/06/2023 03:10:41,ESCANER
2047,"Guatemala",1,"Santa Catarina Pinula",2,156,400,2,2,107,3,12,1,6,1,106,11,1,2,0,2,0,2,0,4,262,7,1,270,0,270,--,400,130,262,270,270,Algún campo sin dato,1,cb141702abbd5e25b4a285cd461a8fff13b5a2daf7ee99e813d4eb2fe6ed3506,26/06/2023 00:06:13,ESCANER
2048,"Guatemala",1,"Santa Catarina Pinula",2,156,400,8,4,90,2,18,0,12,7,89,4,4,2,6,1,1,5,0,3,256,9,0,265,--,265,--,400,135,256,265,265,Algún campo sin dato,1,b3c639d2fd94493372f8bb0e1ea1639a5ea485c6f75207e6291c693e654fa803,26/06/2023 01:40:46,ESCANER
