TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
151,151,100.0000,151,100.0000,0,56702,38206,67.3803

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,VALOR UNIONISTA,BIEN,PHG,PR,CREO,PPG,UNE,TODOS,AZUL,MLP,FCN-NACION,MI FAMILIA,PODEMOS,VOS,PPN,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2089,"Guatemala",1,"Santa Catarina Pinula",2,160,380,5,2,164,5,3,0,8,9,31,2,0,1,0,1,0,4,1,5,241,2,0,243,0,243,--,380,137,241,243,243,Algún campo sin dato,1,83223bc8a27dde2c701075350aa12f6743b68c103578c25366a24ccf4dc52a5d,25/06/2023 23:30:46,ESCANER
2090,"Guatemala",1,"Santa Catarina Pinula",2,160,380,2,5,142,6,5,3,8,6,42,1,1,5,0,0,0,8,0,0,234,3,1,238,0,238,--,380,142,234,238,238,Algún campo sin dato,1,c691375b488eb2e370a869d3f6d2b262b9b3cb408ba2710401900830de3ab511,26/06/2023 00:39:12,ESCANER
2091,"Guatemala",1,"Santa Catarina Pinula",2,160,376,2,5,108,5,6,0,12,4,31,0,1,1,1,0,0,2,0,2,180,7,0,187,0,187,--,376,189,180,187,187,Algún campo sin dato,1,9b3b9ce9d1719d41251fbbf9433ec471a533db95767c15aec8138894d8caba84,26/06/2023 00:00:40,ESCANER
2092,"Guatemala",1,"Santa Catarina Pinula",2,160,376,1,1,142,6,6,0,8,2,33,2,1,1,0,0,0,2,0,2,207,8,3,218,0,218,--,380,159,207,218,218,Algún campo sin dato,1,5f3971ca8cc7bf6b81d90ad7e3952d8cd36c1e4ddeeb1b59ada3b22a2ec14259,26/06/2023 01:36:04,ESCANER
2093,"Guatemala",1,"Santa Catarina Pinula",2,161,380,3,12,94,6,4,1,20,3,74,5,3,9,0,2,2,3,1,7,249,18,5,272,0,272,--,380,108,249,272,272,Algún campo sin dato,1,457e48bea0295793071ab4181a341bc53a5ebce280aff325c2161f6501507b8c,26/06/2023 01:21:06,ESCANER
2094,"Guatemala",1,"Santa Catarina Pinula",2,161,380,2,7,89,12,5,0,26,4,62,6,4,2,0,4,1,1,0,4,229,20,6,255,0,255,--,380,125,229,255,255,Algún campo sin dato,1,a319d28081c4388ee31c646a17f1d922906f4e61f0ba9281002f0f82c9605f18,26/06/2023 01:37:28,ESCANER
2095,"Guatemala",1,"Santa Catarina Pinula",2,161,380,2,15,100,5,3,0,26,1,68,5,5,3,2,2,1,0,2,1,241,23,5,269,0,269,--,380,111,241,269,269,Algún campo sin dato,1,e24175aa084440e664d5f9a8fcc2debe22c4d9a0e9063f02b110353981472bcb,25/06/2023 23:59:33,ESCANER
2096,"Guatemala",1,"Santa Catarina Pinula",2,161,380,3,10,113,11,3,1,27,0,58,2,9,3,1,2,0,2,2,3,250,15,3,268,0,268,--,380,112,250,268,268,Algún campo sin dato,1,13b490e5a4baa7d0cc39546ca87efd14936ea296b5c655b8b12547da5c50a51d,26/06/2023 01:42:48,ESCANER
2097,"Guatemala",1,"Santa Catarina Pinula",2,161,380,1,13,95,6,6,1,22,2,56,4,5,4,2,0,0,3,2,4,226,27,3,256,0,256,--,380,124,226,256,256,Algún campo sin dato,1,076c707b202b3d36617571ad8b0cb9c61292bb3e396b32cc691652a71852d3d1,26/06/2023 00:53:46,ESCANER
2098,"Guatemala",1,"Santa Catarina Pinula",2,161,380,1,5,94,6,4,1,12,2,63,1,9,4,0,0,0,3,1,0,206,12,1,219,0,219,--,380,161,206,219,219,Algún campo sin dato,1,4b85d497b14b488dfcdb7d69c2227d57ba6be02b0cbce3c1d9c0a85eb02b215e,26/06/2023 01:17:53,ESCANER
2099,"Guatemala",1,"Santa Catarina Pinula",2,161,380,4,7,101,9,8,1,28,0,54,2,6,1,1,2,0,2,0,2,228,20,3,251,0,251,--,380,129,228,251,251,Algún campo sin dato,1,5e143267fda042035deef6ad25285fc744cc78c2c5a05edf6de9b65b5075e393,25/06/2023 23:31:44,ESCANER
2100,"Guatemala",1,"Santa Catarina Pinula",2,161,380,0,11,124,7,4,0,21,2,52,1,6,6,1,2,1,3,0,2,243,12,1,256,0,256,--,380,124,243,256,256,Algún campo sin dato,1,641fb2ef069fc5fdcce321c7f968558ca742d491a9c1e8ac5459e01f91994b6e,25/06/2023 23:15:07,ESCANER
2101,"Guatemala",1,"Santa Catarina Pinula",2,161,380,1,7,112,9,7,0,18,1,54,3,3,6,0,1,1,3,1,2,229,10,2,241,0,241,--,380,139,229,241,241,Algún campo sin dato,1,482f9150dba0de014c24d4fb97b962c45c044ad29279bf380a1ef25d53b33e54,26/06/2023 00:34:02,ESCANER
2102,"Guatemala",1,"Santa Catarina Pinula",2,161,380,4,12,115,6,3,0,23,2,65,4,2,6,0,1,1,4,1,4,253,19,1,273,0,273,--,376,103,253,273,273,Algún campo sin dato,1,ea695685657e4fec30c39e5d68f3dd9ab85986613e8d6c2caa1f6e1ad8bf9ce8,26/06/2023 00:14:30,ESCANER
2103,"Guatemala",1,"Santa Catarina Pinula",2,162,380,3,9,108,8,5,1,13,0,63,3,6,5,1,2,1,2,1,2,233,14,1,248,0,248,--,378,130,233,248,248,Algún campo sin dato,1,575eadde0e961117f3ee22f7ec944e1cf67265e02fed0de3c8e7f9a74841dc49,26/06/2023 00:53:49,ESCANER
2104,"Guatemala",1,"Santa Catarina Pinula",2,162,380,1,10,100,5,5,1,14,2,59,1,2,4,1,3,0,2,1,6,217,13,2,232,0,232,--,376,144,217,232,232,Algún campo sin dato,1,30d5bb53969a19935661dbd8156148998902d39f849e6a0ed7a722a76fe9e98b,26/06/2023 01:40:00,ESCANER
2105,"Guatemala",1,"Santa Catarina Pinula",2,162,380,4,4,112,6,5,0,17,4,58,0,5,7,0,3,0,6,2,1,234,14,1,249,0,249,--,380,131,234,249,249,Algún campo sin dato,1,608efa9412b373b8d13ec84a49cd476f73b4ff3df1579add7429edaf0bcb1060,26/06/2023 00:30:16,ESCANER
2106,"Guatemala",1,"Santa Catarina Pinula",2,162,380,1,10,105,6,2,1,16,0,54,3,3,5,1,2,0,7,0,0,216,14,2,232,0,232,--,380,148,216,232,232,Algún campo sin dato,1,d3dcfc843c39a6863e91645d07e59317ce6a02b2af6396c7219c25d9161a834e,25/06/2023 23:56:06,ESCANER
2107,"Guatemala",1,"Santa Catarina Pinula",2,162,380,0,4,112,7,2,0,15,0,55,1,2,8,0,1,0,11,0,0,218,6,0,224,0,224,--,380,156,218,224,224,Algún campo sin dato,1,aa29dc2c1d9f239c1a6960b4d1f7c392f8fb3e5f66f1e97b47f52cbedc00019f,25/06/2023 23:27:59,ESCANER
2108,"Guatemala",1,"Santa Catarina Pinula",2,162,380,0,3,96,8,6,2,10,1,69,1,2,4,1,1,0,8,1,0,213,2,0,215,0,215,--,380,165,213,215,215,Algún campo sin dato,1,efa9ef17f791d06d15e30e227419a870a2611cea1903f2ef6f19a7f1d2e528a0,25/06/2023 23:48:35,ESCANER
2109,"Guatemala",1,"Santa Catarina Pinula",2,162,290,0,4,90,3,1,0,12,1,29,1,0,3,0,1,0,1,0,0,146,5,0,151,0,151,--,290,139,146,151,151,Algún campo sin dato,1,6a8f5b8173c64f7a1bc7b07b2f83e92b0af5800688024e77700d1ec36b59c142,25/06/2023 23:43:31,ESCANER
2110,"Guatemala",1,"Santa Catarina Pinula",2,162,289,0,3,65,6,0,1,13,0,32,2,2,6,0,0,1,6,0,1,138,3,0,141,0,141,--,286,145,138,141,141,Algún campo sin dato,1,0f216bc1810ef9b31d36ad43ecfb3083a10549078e458778cb5e8fa597518f76,25/06/2023 22:15:41,ESCANER
2111,"Guatemala",1,"Santa Catarina Pinula",2,163,380,5,9,160,10,4,5,32,1,31,4,2,2,0,1,0,10,0,5,281,14,0,295,0,295,--,380,85,281,295,295,Algún campo sin dato,1,2cbc0ae1c2591d2096eeddb4cb3f3f0a7444e75425eb13348034a4a3cf5cbc43,25/06/2023 23:07:30,ESCANER
2112,"Guatemala",1,"Santa Catarina Pinula",2,163,380,3,11,151,3,1,0,30,4,33,3,1,5,0,1,0,6,0,1,253,9,1,263,0,263,--,380,117,253,263,263,Algún campo sin dato,1,21583cf1fdf35d39c33b1e5e333c2b76747d407dd2e2042227fa6b6090a2f027,25/06/2023 23:29:58,ESCANER
2113,"Guatemala",1,"Santa Catarina Pinula",2,163,380,3,12,150,5,6,0,29,4,45,2,5,4,1,1,3,3,0,0,273,15,1,289,0,289,--,380,88,273,289,289,Algún campo sin dato,1,84d93d28902137d35dac7fd35d407ddf861c805778232f2fe6a16b6b34522215,25/06/2023 23:45:41,ESCANER
2114,"Guatemala",1,"Santa Catarina Pinula",2,163,380,4,11,146,3,5,2,50,4,26,5,2,3,3,3,0,8,0,1,276,13,0,289,0,289,--,379,90,276,289,289,Algún campo sin dato,1,f6a5f84cb2ffeeae6c4aac4f9a7c002e095dd441533ce2f85756e97b8dc2fa7b,25/06/2023 23:35:57,ESCANER
2115,"Guatemala",1,"Santa Catarina Pinula",2,163,380,4,7,155,8,5,3,38,2,22,2,3,5,0,3,0,4,0,3,264,12,1,277,0,277,--,380,103,264,277,277,Algún campo sin dato,1,d6cc3990299d4e6ee1b872425389447f08dca2dbe0a20281cd3f967457aedc58,25/06/2023 22:40:26,ESCANER
2116,"Guatemala",1,"Santa Catarina Pinula",2,163,380,2,7,137,0,2,1,30,2,32,5,1,2,2,2,1,6,0,1,233,7,2,242,0,242,--,380,138,233,242,242,Algún campo sin dato,1,8c1d8f6b8fba0c0e95dbad00cf6db020da9e1e8af350450361e5a5f77d019504,25/06/2023 22:54:40,ESCANER
2117,"Guatemala",1,"Santa Catarina Pinula",2,163,380,1,11,175,6,2,2,27,1,26,5,1,0,0,2,1,5,0,1,266,20,1,287,0,287,--,380,93,266,287,287,Algún campo sin dato,1,58140f07ee2bf9af997b140f84d95fb839c8ce433df0d2e74a86eceef3acefc2,25/06/2023 23:19:36,ESCANER
2118,"Guatemala",1,"Santa Catarina Pinula",2,163,380,0,7,165,6,3,1,22,2,24,5,1,4,0,4,0,10,0,1,255,11,0,266,0,266,--,380,114,255,266,266,Algún campo sin dato,1,729a91a133947a48af719a6e1d218957c6aed8219df7e1051d59ee17d831d102,25/06/2023 22:31:36,ESCANER
2119,"Guatemala",1,"Santa Catarina Pinula",2,164,380,2,11,143,9,2,0,32,2,30,1,1,4,1,3,0,4,1,2,248,28,0,276,0,276,--,380,104,248,276,276,Algún campo sin dato,1,e10cde23f787d76cd358e19457fc1c017f13ffa0e6d1153415f7f8e5eee9287a,26/06/2023 01:28:13,ESCANER
2120,"Guatemala",1,"Santa Catarina Pinula",2,164,380,2,19,172,3,2,1,22,1,21,5,3,2,3,0,0,6,1,0,263,10,0,273,0,273,--,380,107,263,273,273,Algún campo sin dato,1,9d91092b4b01977e3bff0fc12d0bc5898b54c3e3088aaacad4bcb3fb144c0bf9,26/06/2023 01:50:32,ESCANER
2121,"Guatemala",1,"Santa Catarina Pinula",2,164,380,2,6,167,4,1,0,28,3,34,4,2,5,0,0,0,2,0,1,259,13,1,273,0,273,1,380,107,259,273,273,,1,e024eee3d228a0ab7793d90e65d14a7964828795e359c920b8340fb22105c212,26/06/2023 00:54:47,ESCANER
2122,"Guatemala",1,"Santa Catarina Pinula",2,164,380,2,7,151,1,3,1,31,1,38,5,2,1,0,2,1,7,0,0,253,15,1,269,0,269,--,380,111,253,269,269,Algún campo sin dato,1,dff3533433150aa2e56e1c5d4e68753fa9bf2768bf040c212461a9a5d8d0187b,26/06/2023 01:38:59,ESCANER
2123,"Guatemala",1,"Santa Catarina Pinula",2,164,380,0,5,146,7,2,1,29,0,33,9,2,1,0,3,0,5,0,4,251,14,0,265,0,265,--,377,113,247,261,261,Sumas Asentadas sin cuadrar,1,b9da473b4b18d80a1b6aca7278d1e7a4bb4ee68618c8a8973f4d115ce6417721,26/06/2023 04:25:55,ESCANER
2124,"Guatemala",1,"Santa Catarina Pinula",2,164,380,2,17,105,6,4,0,42,3,30,4,7,0,0,3,2,5,1,2,233,9,0,242,0,242,--,380,138,233,242,242,Algún campo sin dato,1,cc4d74f5cf1a7cb4e2c00631262d2be42c2f96eb1285da672110588c2c367afd,25/06/2023 23:36:19,ESCANER
2125,"Guatemala",1,"Santa Catarina Pinula",2,164,380,2,4,161,2,2,0,21,1,24,2,0,4,2,3,3,5,2,1,239,11,1,251,0,251,--,379,128,239,251,251,Algún campo sin dato,1,a2fe293a249a1f4be5d45fcb4d84d9c2666499d22429a343851346fa38554d39,26/06/2023 00:47:06,ESCANER
2126,"Guatemala",1,"Santa Catarina Pinula",2,164,380,1,4,169,3,0,1,25,1,18,1,3,4,0,3,2,17,1,2,255,5,0,260,0,260,--,380,120,255,260,260,Algún campo sin dato,1,ad701821ceeeb9d3b69549a07f41cc203cf37c546b047a4e204cee29729145b1,26/06/2023 03:37:17,ESCANER
2127,"Guatemala",1,"Santa Catarina Pinula",2,164,355,1,6,113,2,2,0,18,2,52,2,1,4,2,0,2,2,0,2,211,9,2,222,0,222,--,359,137,211,222,222,Algún campo sin dato,1,c3812bc5f2b375158b3e90a929ecfdef1a1460ea9ecc9d500216f1768903dace,26/06/2023 00:28:39,ESCANER
2128,"Guatemala",1,"Santa Catarina Pinula",2,164,354,0,4,136,0,2,0,15,0,17,0,2,1,1,1,1,6,1,2,189,5,0,194,0,194,--,350,156,189,194,194,Algún campo sin dato,1,5e5b3bc8fce7bc72fbd6b1873d053d12b558399cd71d2d1ceb22cf63dc19cf29,25/06/2023 23:10:25,ESCANER
2129,"Guatemala",1,"Santa Catarina Pinula",2,165,380,3,30,137,3,1,1,26,1,24,1,1,4,2,2,4,9,0,2,251,19,4,274,0,274,1,380,105,251,274,274,,1,35e282e8aec131fa737f0ec7b855fe52232d6e0bd01e41416a46935f6506f858,26/06/2023 01:10:24,ESCANER
2130,"Guatemala",1,"Santa Catarina Pinula",2,165,380,5,22,150,7,1,1,17,3,36,5,2,2,1,2,1,5,0,1,261,26,1,288,0,288,--,380,92,261,288,288,Algún campo sin dato,1,643f12a1d82e6b60d24edbe1de751249733b8a664c5c367f3f8e291bcc64cc4c,26/06/2023 00:35:41,ESCANER
2131,"Guatemala",1,"Santa Catarina Pinula",2,165,380,6,32,141,3,2,0,20,2,23,4,4,3,1,2,0,6,0,1,250,16,0,266,0,0,--,377,111,250,266,266,Algún campo sin dato,1,97922705b65fac1b3db9d8033dcb3f3e040f4136a40ad4b121da7e57e69dc3be,26/06/2023 01:50:04,ESCANER
2132,"Guatemala",1,"Santa Catarina Pinula",2,165,380,1,27,156,4,1,3,12,0,25,5,1,4,0,1,0,6,1,3,250,18,0,268,0,--,--,380,112,250,268,268,Algún campo sin dato,1,6e5435c42db4a00b96257c1b0db4d09397c5fe1d62ef355773d85891952f811f,26/06/2023 00:52:57,ESCANER
2133,"Guatemala",1,"Santa Catarina Pinula",2,165,380,3,25,141,5,0,1,19,1,24,2,5,7,0,1,1,6,0,4,245,19,1,265,0,265,--,377,112,245,265,265,Algún campo sin dato,1,bdf6c6b4340c2457ad7fc32a30ebaee67761d506cab691bfad9d11321013d7f1,26/06/2023 00:05:24,ESCANER
2134,"Guatemala",1,"Santa Catarina Pinula",2,165,380,1,24,169,5,4,1,20,2,22,3,3,3,2,0,0,8,0,3,270,14,3,287,0,287,--,380,93,270,287,287,Algún campo sin dato,1,3f36c2eb5fb4b43336348b4a524c1d64f8b683ff6b4d99d9a876bc0c76aaae43,26/06/2023 02:34:54,ESCANER
2135,"Guatemala",1,"Santa Catarina Pinula",2,165,380,3,27,128,2,0,0,25,2,24,2,4,2,2,2,1,5,0,2,231,9,0,240,0,240,--,373,133,231,240,240,Algún campo sin dato,1,be4ce83ea597b9a082f2dae719bfe38ef9482a990995525135b17a66df24d459,26/06/2023 02:22:06,ESCANER
2136,"Guatemala",1,"Santa Catarina Pinula",2,165,380,1,16,160,1,0,2,15,0,12,2,1,4,1,0,2,9,0,1,227,13,3,243,0,243,--,376,133,227,243,243,Algún campo sin dato,1,0027d7f81cb569fb8ae32c0d06b52a33a22dbfb52c1219d94b3c579dc9a940c7,26/06/2023 02:17:46,ESCANER
2137,"Guatemala",1,"Santa Catarina Pinula",2,165,191,2,13,60,3,0,1,9,1,12,4,1,2,0,1,0,2,0,3,114,2,0,116,0,116,--,191,75,114,116,116,Algún campo sin dato,1,16ab12e85da5dc5ed4069df3736a4b0d64ebe873cd300e6214da6f13b167c5d5,26/06/2023 00:21:53,ESCANER
2138,"Guatemala",1,"Santa Catarina Pinula",2,165,191,1,9,65,1,0,0,6,1,14,3,1,7,0,0,0,4,0,1,113,3,1,117,0,117,--,191,74,113,117,117,Algún campo sin dato,1,255e66607ac5dab63242ccf68bdd220f9bedf14d57d9b5d92ac0438f10ba00a5,25/06/2023 23:22:44,ESCANER
2139,"Guatemala",1,"Santa Catarina Pinula",2,166,380,2,4,114,6,11,2,6,2,84,3,2,2,9,3,4,4,0,2,260,7,4,271,7,278,--,421,143,260,271,278,Algún campo sin dato,1,68c6839669242495b06239eedcad86678218879ed41ca83a694804228d503842,26/06/2023 02:00:03,ESCANER
2140,"Guatemala",1,"Santa Catarina Pinula",2,166,380,2,3,111,7,17,3,7,4,98,4,3,2,13,0,0,4,2,2,282,15,1,298,0,298,--,377,79,282,298,298,Algún campo sin dato,1,d6fbe5eeaeb8d8d42acd0e0fcb53750c522371d642b4282c785c57aebcb4c97a,26/06/2023 00:10:18,ESCANER
2141,"Guatemala",1,"Santa Catarina Pinula",2,166,380,2,4,111,7,12,3,4,4,75,6,3,1,11,0,0,6,0,5,254,17,2,273,0,273,--,381,108,254,273,273,Algún campo sin dato,1,30619d336f4ba0287e133ffcb3f52c5d4e8e630e9d36c1226a02037b27607eac,26/06/2023 00:41:44,ESCANER
2142,"Guatemala",1,"Santa Catarina Pinula",2,166,380,1,5,124,0,9,1,4,2,69,3,2,1,11,1,1,4,1,3,242,11,3,256,2,258,--,376,118,242,256,258,Algún campo sin dato,1,546758eb0cbe36248d891b2305aaf7c93cbf3d304ba04bce5a120498d7816e23,26/06/2023 00:06:02,ESCANER
2143,"Guatemala",1,"Santa Catarina Pinula",2,166,380,1,7,118,4,8,3,6,1,103,2,2,2,11,2,0,5,0,2,277,12,0,289,0,289,1,377,86,277,289,289,,1,b3cf381299c77bc01a177b443f3300f005f5ef28df97749b55631e4587354094,26/06/2023 00:15:16,ESCANER
2144,"Guatemala",1,"Santa Catarina Pinula",2,166,380,3,2,109,5,8,1,7,2,73,5,1,1,13,2,1,10,1,5,249,13,0,262,115,377,--,377,115,249,262,377,Algún campo sin dato,1,919698beb1f5f8da32922bb6ef560fb964700f2d5ebf49fbc87fff2d94633dae,26/06/2023 00:45:44,ESCANER
2145,"Guatemala",1,"Santa Catarina Pinula",2,166,364,1,1,111,3,3,1,4,7,82,4,0,3,7,1,0,6,0,1,235,7,1,243,0,243,--,364,121,235,243,243,Algún campo sin dato,1,1535ab4d68df398b726776e7284d0d32b02f6e4ca22a9e1227124ca7c04864e7,26/06/2023 00:52:09,ESCANER
2146,"Guatemala",1,"Santa Catarina Pinula",2,166,364,2,3,104,4,12,2,4,1,82,5,0,0,9,0,0,3,0,1,232,4,1,237,0,237,--,361,124,232,237,237,Algún campo sin dato,1,98d63d251baa64f203db3746fab707b020da82199fb45914200e4ee194e2eb58,25/06/2023 23:39:33,ESCANER
2147,"Guatemala",1,"Santa Catarina Pinula",2,167,380,4,6,73,9,14,0,30,0,97,4,3,0,3,4,0,6,0,5,258,22,2,282,1,283,1,380,97,258,282,283,,1,b46372469fa35446a17a74148e4072ed5c9e371631623c3e5470c7a56d8817a2,25/06/2023 23:49:53,ESCANER
2148,"Guatemala",1,"Santa Catarina Pinula",2,167,246,0,5,53,2,9,0,15,1,70,2,1,0,4,2,0,2,1,4,171,16,0,187,0,187,--,243,56,171,187,187,Algún campo sin dato,1,b65fe0d506edebb0336a9a9e37d824790ace4ebc111748d6269bbe4597743415,26/06/2023 00:08:59,ESCANER
2149,"Guatemala",1,"Santa Catarina Pinula",2,167,246,0,4,51,5,10,1,16,1,47,1,0,0,3,2,3,3,0,0,147,1,0,148,0,148,--,246,98,147,148,148,Algún campo sin dato,1,da1f760a2f641a2dcbb2446416dfe7fed0a5cf760a28fdd67b24261408a1a90d,25/06/2023 23:53:19,ESCANER
2150,"Guatemala",1,"Santa Catarina Pinula",2,168,380,3,3,161,1,4,5,29,3,53,2,2,2,2,0,1,2,0,3,276,15,1,292,--,--,--,380,88,276,292,292,Algún campo sin dato,1,d56da5ada12c620c17a6a6a870d0ff3a1ba823d0eab4a7093b1eec5e371883b4,25/06/2023 23:55:16,ESCANER
2151,"Guatemala",1,"Santa Catarina Pinula",2,168,380,2,4,162,2,5,6,20,0,56,0,3,1,2,1,0,6,1,3,274,14,1,289,0,289,--,377,88,274,289,289,Algún campo sin dato,1,d4d29868f23dd1823f416d346d1a6201f09b49f69c8a952d3c217fceea829dbb,26/06/2023 01:08:52,ESCANER
2152,"Guatemala",1,"Santa Catarina Pinula",2,168,380,1,1,149,3,2,4,27,8,51,2,2,0,0,0,0,4,0,6,260,15,2,277,0,--,--,380,103,260,277,277,Algún campo sin dato,1,8cba117dcffc32c66464e0b006d2da28ec688331a6403c3f33d1065328921583,26/06/2023 00:52:13,ESCANER
2153,"Guatemala",1,"Santa Catarina Pinula",2,168,380,1,4,157,2,4,3,21,1,62,2,1,1,2,2,0,8,1,1,273,8,4,285,0,285,--,380,95,273,285,285,Algún campo sin dato,1,c79550c1c3c05f1c5597bae3b5abe3a0c7899b39c6e28c7cbdf0607ca50d2e9c,26/06/2023 01:35:44,ESCANER
2154,"Guatemala",1,"Santa Catarina Pinula",2,168,380,3,0,147,2,3,3,26,1,53,2,2,2,0,3,1,3,0,5,256,17,1,274,--,--,--,--,--,256,274,274,Algún campo sin dato,1,0522d03372951ae4ea9615dbd5ecb6a40089c414ec4ebab16909c834b2861ed2,26/06/2023 00:12:23,ESCANER
2155,"Guatemala",1,"Santa Catarina Pinula",2,168,380,2,1,160,4,4,3,22,1,44,3,0,2,0,1,0,3,0,6,256,9,2,267,0,--,--,378,111,256,267,267,Algún campo sin dato,1,26e6d363d9beb61771b642ebb68a21d147e6ed0973bcbd3e433b5b8d00654250,26/06/2023 00:01:46,ESCANER
2156,"Guatemala",1,"Santa Catarina Pinula",2,168,191,1,1,85,1,0,1,8,1,30,0,1,2,0,0,0,6,1,0,138,5,1,144,0,144,--,191,47,138,144,144,Algún campo sin dato,1,b574bec689f405639989e875d43402df719b4991b46646b994c3c85acdd62037,25/06/2023 23:42:22,ESCANER
2157,"Guatemala",1,"Santa Catarina Pinula",2,168,190,0,0,80,0,1,2,5,0,21,1,1,1,1,0,0,2,0,1,116,3,1,120,--,--,--,190,70,116,120,120,Algún campo sin dato,1,7aca60b1d0e0c008cea671680cb8100ab226935928df9d4a35f0b145794444f5,25/06/2023 23:29:00,ESCANER
2158,"Guatemala",1,"Santa Catarina Pinula",2,169,380,2,7,127,5,27,0,13,0,68,0,5,4,0,3,0,2,1,3,267,13,2,282,0,282,--,376,94,267,282,282,Algún campo sin dato,1,0fda8d95a13736f4b8a315a0b4a4a3a3fd929d9891b92dd9f0cb84e45ded653a,26/06/2023 00:16:33,ESCANER
2159,"Guatemala",1,"Santa Catarina Pinula",2,169,380,3,4,99,6,30,1,5,2,74,1,4,1,2,0,1,0,3,6,242,16,3,261,0,261,--,380,119,242,261,261,Algún campo sin dato,1,77707a856edc9b99641dcabab1879e6129ffae000476d35fce5e789ca0b4bb15,26/06/2023 03:28:30,ESCANER
2160,"Guatemala",1,"Santa Catarina Pinula",2,169,265,1,1,78,5,12,0,5,4,42,1,4,2,1,0,0,5,0,0,161,10,4,175,0,175,--,265,90,161,175,175,Algún campo sin dato,1,5c3d92554f17dfb3cecf78bdc0d95be7871036cd1e48d4839e9280acd7927044,26/06/2023 00:03:50,ESCANER
2161,"Guatemala",1,"Santa Catarina Pinula",2,169,265,1,2,86,1,11,2,3,1,27,0,4,1,0,1,0,4,0,0,144,2,0,146,0,146,--,265,119,144,146,146,Algún campo sin dato,1,5b533fa4cd351fa46cf6d3dc444d7d75b80f439292d3fd59c69e9ef69bfd0c4f,25/06/2023 23:32:38,ESCANER
2162,"Guatemala",1,"Santa Catarina Pinula",2,170,380,1,10,112,1,11,1,17,4,77,1,2,3,1,2,1,1,0,7,252,16,3,271,0,271,--,380,109,252,271,271,Algún campo sin dato,1,e67874d0aefd2120eb42b0b995a6bf0d9ca0224370dfdc31a5c917c2aaa7c48b,26/06/2023 01:46:12,ESCANER
2163,"Guatemala",1,"Santa Catarina Pinula",2,170,380,0,8,106,2,4,0,17,4,66,1,1,4,0,2,0,3,0,6,224,7,1,232,0,232,--,380,148,224,232,232,Algún campo sin dato,1,e0573c7f61953568f850fcee86f3a55cfa39580c70211320fed5d7f06a970f35,26/06/2023 02:20:50,ESCANER
2164,"Guatemala",1,"Santa Catarina Pinula",2,170,380,2,6,128,1,5,0,14,1,67,2,4,1,1,1,1,5,0,3,242,15,3,260,0,260,--,376,116,242,260,260,Algún campo sin dato,1,81ee81a538accb1214275101766399c58e2e7385088bd47a37b379029b216806,26/06/2023 02:08:01,ESCANER
2165,"Guatemala",1,"Santa Catarina Pinula",2,170,200,1,0,67,0,6,1,4,0,31,0,2,3,0,1,0,2,0,1,119,4,2,125,0,125,--,200,75,119,125,125,Algún campo sin dato,1,3c31fe36043a8a74cc54d931c1801e009c27fe3ceb2bb22ba8ab3d07f319611f,26/06/2023 00:41:31,ESCANER
2166,"Guatemala",1,"Santa Catarina Pinula",2,170,199,0,0,54,2,1,0,7,0,42,0,0,0,0,0,1,1,0,2,110,2,0,112,0,112,--,199,87,110,112,112,Algún campo sin dato,1,d87e332ba43ed5f0f7f81ea4e1fd782b786391eb4b65adf5d675c49ad4e8ff62,26/06/2023 01:25:42,ESCANER
2167,"Guatemala",1,"Santa Catarina Pinula",2,171,380,3,4,80,5,8,0,43,3,70,3,9,0,1,1,1,1,2,3,237,21,5,263,0,263,--,380,263,237,263,263,Algún campo sin dato,1,c0507182aad2e3d8aae6e4d5e172dde8b0c9ce75d2596236b37765f21e52c85a,26/06/2023 02:24:55,ESCANER
2168,"Guatemala",1,"Santa Catarina Pinula",2,171,346,5,2,89,0,7,0,39,3,65,1,4,1,0,2,2,3,1,0,224,17,1,242,0,242,--,346,104,224,242,242,Algún campo sin dato,1,0928df6dff470936397615726d0f28108f2e052bad30a3d29123d1f78100079c,26/06/2023 00:16:02,ESCANER
2169,"Guatemala",1,"Santa Catarina Pinula",2,171,346,0,4,67,3,6,1,26,4,53,1,1,0,0,1,0,2,0,6,175,9,3,187,0,--,--,346,159,175,187,187,Algún campo sin dato,1,f36a4944e493bfc140b1096b653e537cd9c5b0889bebd9073e7e82669069e485,26/06/2023 03:05:26,ESCANER
