TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,34,82.9268,34,82.9268,0,12910,8349,64.6707

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,PODEMOS,VALOR,MLP,VICTORIA,PPN,VAMOS,UNIONISTA,CAMBIO,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6787,"Chimaltenango",3,"El Tejar",16,731,400,60,15,7,1,9,0,119,17,0,23,251,16,0,267,0,267,--,400,133,251,267,267,Algún campo sin dato,1,8782bc9aac95ae42cae058e8c718d681684f7bb5a5190bd70dfebaddc9c5b8d4,25/06/2023 23:02:43,ESCANER
6788,"Chimaltenango",3,"El Tejar",16,731,400,6,11,4,4,6,3,10,13,6,12,225,6,5,--,--,236,--,399,163,75,86,86,Sumas Asentadas sin cuadrar,1,0cd7e6398064c6016cde4ad43bdd0e8f7feb454cfd14b4d9708aa857a3ce16ea,26/06/2023 03:10:16,ESCANER
6789,"Chimaltenango",3,"El Tejar",16,731,400,45,14,7,4,4,4,131,14,4,19,246,9,1,256,0,256,--,400,144,246,256,256,Algún campo sin dato,1,556c456382182195d4387b6397f14111eacd0e6d19847c74660225fa9c5288f0,26/06/2023 00:03:21,ESCANER
6790,"Chimaltenango",3,"El Tejar",16,732,400,74,11,6,8,7,1,124,15,1,15,262,11,0,273,0,273,--,400,127,262,273,273,Algún campo sin dato,1,73a0fd432ee63607caa6e1ef3a725e9eb643fe355df84f3b8f3d9a9cf68f8d09,26/06/2023 00:56:45,ESCANER
6791,"Chimaltenango",3,"El Tejar",16,732,400,72,9,7,7,6,4,122,14,2,18,261,7,1,269,0,269,--,400,131,261,269,269,Algún campo sin dato,1,cfc4f59199765973168bf2dd6a1196d985e1701f034babda1ebc4133e17c7560,25/06/2023 23:08:37,ESCANER
6792,"Chimaltenango",3,"El Tejar",16,732,400,67,15,13,7,2,4,112,13,0,20,253,8,1,262,0,262,--,399,138,253,262,262,Algún campo sin dato,1,cd2af102fc3d09aa3ea73f46f298ee95843e43ca7b6df81d5b8f4e42f4452d4d,26/06/2023 00:43:07,ESCANER
6793,"Chimaltenango",3,"El Tejar",16,732,400,86,7,12,3,4,2,119,18,3,15,269,10,2,281,0,281,--,400,119,269,281,281,Algún campo sin dato,1,691e5db84c5f400cf1d284af000fdaa24925876424ba81582fab9fa80e79c5f2,25/06/2023 23:29:58,ESCANER
6794,"Chimaltenango",3,"El Tejar",16,732,203,31,4,7,1,3,1,62,7,0,6,122,5,1,128,0,128,--,203,75,122,128,128,Algún campo sin dato,1,fd9d16aa8ab03ebe19fd2ed02a3ac7c91b12d74e1c0564e733ccc111fe02acda,25/06/2023 21:02:27,ESCANER
6795,"Chimaltenango",3,"El Tejar",16,732,202,31,6,7,3,2,0,40,12,0,4,105,4,0,109,0,109,--,202,93,105,109,109,Algún campo sin dato,1,17c04c80fea535ded278269210a2080aede93b0a8f7cf1ae4b52e0f432396025,25/06/2023 21:36:47,ESCANER
6796,"Chimaltenango",3,"El Tejar",16,733,356,40,6,6,2,3,0,135,5,0,13,210,6,1,217,0,217,--,356,139,210,217,217,Algún campo sin dato,1,2c1b2f8de10109e8e272ad0c559cbb71d8d3a12f52dd87722f2d0977c0a65f44,25/06/2023 22:58:34,ESCANER
