TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
32,32,100.0000,32,100.0000,0,11796,7034,59.6303

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,PHG,VICTORIA,U R N G - MAIZ,VAMOS,AZUL,TODOS,PODEMOS,BIEN,VIVA,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15125,"Huehuetenango",13,"Malacatancito",3,2176,252,38,8,0,17,5,53,5,7,8,0,2,0,143,6,0,149,0,149,--,252,103,143,149,149,Algún campo sin dato,1,8faa5250ccc4e11415d989e39be210105c17020ad9302e2ee1c1520cfdb35b65,26/06/2023 00:29:49,ESCANER
15126,"Huehuetenango",13,"Malacatancito",3,2176,251,23,8,2,18,5,43,2,3,12,0,3,0,119,1,0,120,0,120,0,251,131,119,120,120,,1,4edcfa03c9b294070963d50d7123c3ac052b8d0082e91b1da579a6dbf9895a19,26/06/2023 02:08:58,ESCANER
15127,"Huehuetenango",13,"Malacatancito",3,2177,380,56,7,5,31,21,74,3,0,5,0,4,0,206,17,8,231,0,231,--,354,123,206,231,231,Algún campo sin dato,1,e9ffa5646a4913aed9d5011f77586353f5b8762d872fd178ab0359bcfff63ee5,26/06/2023 00:50:06,ESCANER
15128,"Huehuetenango",13,"Malacatancito",3,2177,380,31,10,4,50,21,84,5,1,2,0,2,0,210,19,11,240,0,240,1,354,114,210,240,240,,1,68ddb48c775929e5b4ba952b47a6e50b17752c95aec3242a0dce7bbdc6ed7415,26/06/2023 00:47:02,ESCANER
15129,"Huehuetenango",13,"Malacatancito",3,2177,380,38,16,4,52,15,82,0,1,15,0,3,1,227,13,14,254,0,254,--,354,100,227,254,254,Algún campo sin dato,1,54f97b55f263b63b5e9d8fc003240ed6cdb2a4c7dfde513248a2fbf9fd511434,26/06/2023 00:36:21,ESCANER
15130,"Huehuetenango",13,"Malacatancito",3,2177,380,23,5,3,35,16,71,1,1,16,1,2,0,174,11,5,190,0,190,--,380,190,174,190,190,Algún campo sin dato,1,63aad287805e6a3c7c6145094dee5956a3cf9aba31350c09c8ae7ce0aafceccd,26/06/2023 00:32:11,ESCANER
15131,"Huehuetenango",13,"Malacatancito",3,2177,380,28,6,3,34,16,63,0,0,9,1,2,1,177,6,8,163,0,177,--,354,177,163,177,177,Sumas Asentadas sin cuadrar,1,ccc6f36ab6543c0e01acae8516be0e046fc514e1fc6f9739848f580b62f179ff,26/06/2023 01:07:05,ESCANER
15132,"Huehuetenango",13,"Malacatancito",3,2177,380,33,10,1,37,14,60,2,1,7,1,1,0,167,9,2,178,0,178,--,380,202,167,178,178,Algún campo sin dato,1,0764abb4094b343af65c3214e7165e3116659fc1b52cccb7622d1bf99d0437d3,26/06/2023 01:10:43,ESCANER
15133,"Huehuetenango",13,"Malacatancito",3,2178,380,59,9,0,70,27,67,1,0,17,0,2,1,253,9,7,269,0,269,--,380,111,253,269,269,Algún campo sin dato,1,34619d15ed02e10ab5003bf2c391e8a58b72f8bbd6bb110832ca8fd0bb2648bc,26/06/2023 01:08:39,ESCANER
15134,"Huehuetenango",13,"Malacatancito",3,2178,380,52,7,2,99,24,61,0,0,4,1,1,0,251,13,2,266,0,266,--,380,114,251,266,266,Algún campo sin dato,1,e45f9ff9049c3dab4770dd87c59790b11284c271504030602be709ba9993eeb5,26/06/2023 01:59:13,ESCANER
15135,"Huehuetenango",13,"Malacatancito",3,2178,231,35,5,2,25,11,31,0,3,7,0,2,0,121,2,2,125,0,125,--,231,103,121,125,125,Algún campo sin dato,1,7169c8e88d947d20d2f911ccec7b54eab67702b2d85168970520ccd356f83739,26/06/2023 00:20:27,ESCANER
15136,"Huehuetenango",13,"Malacatancito",3,2178,231,31,3,1,51,9,41,0,1,9,0,0,0,146,2,0,148,0,148,--,231,83,146,148,148,Algún campo sin dato,1,22fc59282b132d06d210a38da235461e0bcc148c6ad3baefa90d5844f73447e8,26/06/2023 00:17:54,ESCANER
15137,"Huehuetenango",13,"Malacatancito",3,2179,360,62,11,0,18,3,104,2,0,2,1,1,0,204,9,3,216,0,216,--,360,144,204,216,216,Algún campo sin dato,1,92b6b5f425379314823078957dae5c57fc2d21ffa2cc415102044b075f1c3ad5,26/06/2023 01:19:12,ESCANER
15138,"Huehuetenango",13,"Malacatancito",3,2180,316,20,4,0,14,2,32,0,1,2,1,1,0,77,5,1,83,0,83,--,316,233,77,83,83,Algún campo sin dato,1,5fbd0f740366c1fd1caaa89227a07937a5c0980415c5e32ec3b6c00e07f76ed0,25/06/2023 21:53:30,ESCANER
15139,"Huehuetenango",13,"Malacatancito",3,2180,315,12,2,0,3,3,24,0,2,1,0,3,0,50,1,1,52,0,52,--,315,263,50,52,52,Algún campo sin dato,1,b83950a86e25eeda02916c4a46e7272ce1c1cf8287713d8af9a5599a21575d8c,25/06/2023 22:17:46,ESCANER
