TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
308,308,100.0000,308,100.0000,0,113565,68807,60.5882

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,FCN-NACION,VAMOS,AZUL,MLP,UNE,VIVA,CABAL,TODOS,PODEMOS,WINAQ,ELEFANTE,CAMBIO,PPN,MI FAMILIA,VALOR,CREO,VOS,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19495,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,60,0,16,7,4,71,11,6,0,1,1,0,4,29,1,0,2,0,1,214,25,5,244,0,244,--,376,132,214,244,244,Algún campo sin dato,1,0622b18c6937c72823c9e84244f1fb3cfb7282cc31e835337f87024e0376c6a7,26/06/2023 00:18:23,ESCANER
19496,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,47,0,26,7,1,61,6,6,0,0,0,0,1,21,3,0,1,0,0,180,31,5,216,0,216,--,380,164,180,216,216,Algún campo sin dato,1,b44af716a62b4014135d08434a2e236117a87005d7d455b52e3cd15f7f8a9c9a,26/06/2023 00:56:34,ESCANER
19497,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,50,1,28,3,4,62,6,2,0,3,0,0,0,19,1,1,0,0,0,180,14,3,197,0,197,--,377,180,180,197,197,Algún campo sin dato,1,39d0f3d45c9721f6b4fa66d7afda8166eb6245679403e12b75115c98429f1262,26/06/2023 02:50:55,ESCANER
19498,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,54,0,25,5,1,52,10,1,0,0,1,0,2,22,2,2,1,0,0,178,24,3,205,0,205,--,380,175,178,205,205,Algún campo sin dato,1,43d69fc725e22edc9e1e8d228bcdadcccbaad419b1221f922584bc0c5c5fa8db,26/06/2023 01:23:46,ESCANER
19499,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,39,0,19,6,1,62,11,2,0,0,1,1,0,9,3,0,0,0,0,154,33,5,192,0,192,--,377,185,154,192,192,Algún campo sin dato,1,37536332a5d87bd5bfe385f67fbabeb756c6ea0ad1a5722b3b049b36223debe3,26/06/2023 01:35:28,ESCANER
19500,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,42,1,33,6,1,71,8,3,0,2,1,0,1,14,0,1,1,0,1,186,27,8,221,0,221,--,380,159,186,221,221,Algún campo sin dato,1,cf6005080711341422f0708fde88f5fe46745aec690ad23a9c1af43cfddfd053,26/06/2023 03:34:06,ESCANER
19501,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,47,0,26,10,2,72,9,7,0,1,3,0,1,18,0,3,0,0,3,202,9,5,216,0,216,--,377,161,202,216,216,Algún campo sin dato,1,6bf645623c5974a0e7e0fe27c9b7da2f13f9b4ff2bc367b05ef639664c1a15af,26/06/2023 02:35:33,ESCANER
19502,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,57,3,20,4,1,63,3,4,0,0,0,0,2,22,0,1,0,0,0,180,25,3,208,0,208,--,380,172,180,208,208,Algún campo sin dato,1,e73b401e7fd3af9ff94ee36b5be803a423c5967a1ec7559df60faf6d1b614428,26/06/2023 01:59:04,ESCANER
19503,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,41,1,20,8,2,66,15,2,0,1,3,0,2,14,1,1,2,0,0,179,24,7,210,0,210,--,380,170,179,210,210,Algún campo sin dato,1,2d1b9d5820ae1699b75b6dea5aacf8fcd793a3c031f686aa3301042dd77da45b,26/06/2023 01:50:23,ESCANER
19504,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,33,1,19,7,0,80,8,6,0,4,1,0,2,24,1,1,1,0,0,188,17,5,210,0,210,--,377,167,188,210,210,Algún campo sin dato,1,409731997fe727472292786a12cbbaecead22fae42ccbb77e4a153fabbf35c97,26/06/2023 01:09:13,ESCANER
19505,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,31,1,16,12,4,78,8,2,0,0,1,0,2,14,1,0,0,0,0,168,28,5,201,0,201,--,377,176,170,203,203,Sumas Asentadas sin cuadrar,1,e37f4c89004edc51080bab0d4923cf2aacbfd8220d67722374d76674e126bd18,25/06/2023 23:22:27,ESCANER
19506,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,44,2,26,2,4,55,5,4,0,0,3,0,3,16,0,1,1,0,0,166,31,8,205,0,205,0,377,172,166,205,205,,1,c0e27fc82bb882f942cbdd84e9b342fc76be7fc0eee5058ec8abe5e4e4d681c4,26/06/2023 03:22:06,ESCANER
19507,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,28,0,22,2,3,53,9,1,0,0,2,0,1,12,2,1,0,0,0,136,33,3,172,0,172,--,380,208,136,172,172,Algún campo sin dato,1,e5e91d37aa19ea7e703b08110cfa2a9f70485c8405748e48187f6194251a0566,25/06/2023 23:29:07,ESCANER
19508,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,33,0,20,5,4,65,4,4,0,1,0,0,1,12,0,2,0,0,0,151,18,5,174,0,174,--,380,206,151,174,174,Algún campo sin dato,1,d33e84ac47ba2e5a2b8385a9a450b44f1d15971c8c726c1d3bd161dfd223df0a,26/06/2023 05:20:10,ESCANER
19509,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,32,0,19,5,4,35,7,2,0,0,0,0,1,20,0,2,0,0,0,127,6,3,136,0,136,--,380,244,127,136,136,Algún campo sin dato,1,fc33bc42f1be6ce8e7bbd76086cc2578575d124f403fdb9e6bca4b2630e31f81,26/06/2023 00:55:28,ESCANER
19510,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,45,0,26,8,4,56,1,2,0,0,1,0,1,17,0,0,0,0,0,161,4,1,166,0,166,--,380,214,161,166,166,Algún campo sin dato,1,1c1baaf387c8e8565b8d3a679de3be8814ecbe5def728028f956ec091a28a2aa,25/06/2023 23:29:50,ESCANER
19511,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,48,0,27,1,1,55,5,5,0,0,1,0,0,23,0,0,0,0,0,166,10,3,179,0,179,--,377,198,166,179,179,Algún campo sin dato,1,ab94e5d53ba2214e1f0270253521878420b7a638643213a529440f68a04edfba,26/06/2023 01:34:58,ESCANER
19512,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,45,0,19,4,1,57,12,2,0,0,0,0,0,9,0,0,0,0,0,149,8,3,160,0,160,--,377,217,149,160,160,Algún campo sin dato,1,07466c9e6146b3893fc30046458a8670a9e0f25ae2b25d510cab3da7ceee7720,26/06/2023 00:42:51,ESCANER
19513,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,34,0,14,0,0,63,2,2,0,0,1,0,1,14,2,0,0,0,0,133,4,0,137,1,137,--,377,240,133,137,138,Sumas Asentadas sin cuadrar,1,0e156255c461123fb8052b23d889c1e42bc8ab49deb89b0dd48918bd15550382,26/06/2023 05:48:21,ESCANER
19514,"Alta Verapaz",16,"San Pedro Carchá",9,2992,380,32,3,18,1,2,53,2,3,0,0,0,0,1,12,0,1,0,0,0,128,6,7,141,0,141,--,380,239,128,141,141,Algún campo sin dato,1,185b0cd839dafa7620e0e2bfff7ab8390e495c9891a0c17c177bb37aaa77ff04,26/06/2023 01:24:09,ESCANER
19515,"Alta Verapaz",16,"San Pedro Carchá",9,2992,199,13,0,10,6,1,29,6,1,2,0,1,0,0,6,0,0,0,0,0,75,7,2,84,0,84,--,196,112,75,84,84,Algún campo sin dato,1,13b3fbd1fb58d2c997e8f877eeb29bbb6604159db6a4391543d72671768835ea,25/06/2023 22:51:11,ESCANER
19516,"Alta Verapaz",16,"San Pedro Carchá",9,2992,199,18,1,9,0,1,19,4,2,0,1,0,0,0,6,0,0,0,0,0,61,9,5,75,0,75,--,196,121,61,75,75,Algún campo sin dato,1,63fe3ea118afe8b3f5aa94e8a9c83f3bf9b1a39885dccd773f1614fcd4f77634,25/06/2023 23:19:49,ESCANER
19517,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,96,1,29,4,2,98,12,11,0,1,1,0,0,2,4,0,1,1,1,264,26,9,299,0,299,--,380,81,264,299,299,Algún campo sin dato,1,cc686c78dbdbc8dc851e8518528edfbb1289767b28553f6b9b470a410740f76a,26/06/2023 03:49:46,ESCANER
19518,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,82,2,40,3,1,87,7,11,0,3,2,0,1,6,5,1,1,0,0,252,26,8,286,0,286,--,380,94,252,286,286,Algún campo sin dato,1,c0d32d8c23eef9e61a278bbc057c2dd3e374688052218eb5a5c05b69dff57e79,26/06/2023 01:24:09,ESCANER
19519,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,83,1,46,6,0,76,7,9,0,4,1,0,1,2,3,1,0,0,0,240,29,11,280,0,280,--,380,100,240,280,280,Algún campo sin dato,1,b1c1b13d04a0bc9d5563f5af4d11097201c0463e1bdafe15f164aabbee2f7d97,26/06/2023 04:25:22,ESCANER
19520,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,80,3,37,3,0,69,3,9,0,3,2,0,0,5,2,0,0,0,0,216,16,1,233,0,233,--,380,147,216,233,233,Algún campo sin dato,1,555e2e0f79b713fb4de3815ebb7ea05fbd9f0c4b2707da2b54d30199ca9d350d,26/06/2023 03:58:28,ESCANER
19521,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,93,2,29,1,1,74,5,10,1,1,2,0,0,2,3,4,0,0,2,230,19,7,256,3,259,--,380,121,230,256,259,Algún campo sin dato,1,1ae3e5917c07cba72e97ae9a298ae4b8df64d8a87dfdda0f1d1640ca14e28162,25/06/2023 23:36:27,ESCANER
19522,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,94,0,37,0,1,72,9,8,0,3,0,0,0,5,4,1,3,1,1,239,22,4,265,0,265,--,300,115,239,265,265,Algún campo sin dato,1,b934ee58d312ceb64252c3fdcd60c91e11bffb0877d4c2062dd8fe4dd825a453,26/06/2023 05:22:25,ESCANER
19523,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,74,1,41,4,0,86,2,6,1,0,2,0,1,11,2,2,0,0,1,234,22,8,264,0,264,--,379,115,234,264,264,Algún campo sin dato,1,260e120e949e0bd2541f6675e4a5c28b683217e3b9991506de5646ec5bdede2a,26/06/2023 04:00:18,ESCANER
19524,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,76,5,50,5,2,64,5,6,0,3,2,1,1,2,1,1,0,0,2,226,40,8,274,0,274,--,380,106,226,274,274,Algún campo sin dato,1,b68757179e857a9b41dc2967762ce872e06879971ecb3dd5a8a226d943186dbc,26/06/2023 02:23:22,ESCANER
19525,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,67,6,34,5,2,55,5,8,1,1,2,0,2,3,10,0,0,1,2,204,20,12,236,0,236,--,380,144,204,236,236,Algún campo sin dato,1,6d7020c9a7aefa1975627fcd6c0d1745e863b5d00eef014f5382847f2d1fca39,26/06/2023 01:51:16,ESCANER
19526,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,79,1,37,0,0,73,4,9,0,2,3,1,1,4,7,1,0,1,0,223,28,12,263,0,263,--,380,117,223,263,263,Algún campo sin dato,1,e167ff53b2235a5eb556f8d472af730bdda22bcad1fe9cd05f61fae1b9881320,26/06/2023 04:21:06,ESCANER
19527,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,85,2,22,3,0,80,4,13,0,1,1,0,0,4,7,0,0,0,0,222,13,11,246,1,247,--,380,133,222,246,247,Algún campo sin dato,1,fae27d419eba912641d4f4773346978bcc7780e4e62a3961c71342637450ffb6,26/06/2023 04:05:28,ESCANER
19528,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,76,1,22,3,2,73,4,2,0,4,3,0,0,2,1,1,2,0,0,196,33,12,241,0,241,--,377,136,196,241,241,Algún campo sin dato,1,2f40f1c0f37049314578700c6680e0d7ca71ef3a6fdbf89f1fe5ba0315af5469,26/06/2023 02:51:40,ESCANER
19529,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,72,0,27,2,0,80,5,4,1,0,2,0,0,3,5,0,0,0,0,201,26,8,235,0,235,--,380,145,201,235,235,Algún campo sin dato,1,0e30d0b48a0e998ad23554882286a059f60f36fe63b2b36258d4a7d7ca440578,26/06/2023 01:12:39,ESCANER
19530,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,69,1,25,6,1,78,6,3,0,0,0,0,0,2,1,0,0,0,0,192,16,5,213,0,213,--,380,167,192,213,213,Algún campo sin dato,1,750a7c701a53dbf235188c21bc830237174cdd82add0cd9343677c5d7dc7f844,26/06/2023 04:52:54,ESCANER
19531,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,106,0,21,4,0,50,3,9,0,1,0,0,0,0,3,0,0,0,0,197,9,1,207,0,207,--,377,170,197,207,207,Algún campo sin dato,1,19bbd5181707281b8a2b19cbd856db381cb43de187219e4b0a290d1dbbbadd1a,26/06/2023 02:32:19,ESCANER
19532,"Alta Verapaz",16,"San Pedro Carchá",9,2993,380,82,0,20,0,0,74,2,5,0,1,0,0,0,1,2,0,0,0,0,187,0,3,190,5,195,--,380,185,187,190,195,Algún campo sin dato,1,114bbe53b95c1c9349b7829b18f347f8d35d35507613727b0e090e7b36e0c9b5,26/06/2023 02:40:32,ESCANER
19533,"Alta Verapaz",16,"San Pedro Carchá",9,2993,361,76,1,20,2,1,66,6,7,0,0,0,0,0,1,0,0,0,1,0,181,8,1,190,0,190,--,361,171,181,190,190,Algún campo sin dato,1,674027d89453d04ed40e9abb1080da75c5d6b9ca0adca69126dcdc871b07fec9,26/06/2023 03:11:48,ESCANER
19534,"Alta Verapaz",16,"San Pedro Carchá",9,2993,360,47,2,12,3,0,54,3,5,0,1,0,0,0,2,5,0,0,0,1,135,6,7,148,0,148,--,360,212,135,148,148,Algún campo sin dato,1,891633a805712f0bb69fb23fbf354be111804f76b5b2275b7d43861b950806f9,26/06/2023 04:27:01,ESCANER
19535,"Alta Verapaz",16,"San Pedro Carchá",9,2994,380,89,2,54,4,0,66,3,6,1,1,0,0,1,1,1,1,0,0,0,230,26,11,267,0,267,--,380,113,230,267,267,Algún campo sin dato,1,90cd1880416f1e640e231c1a69b1ec42b47a6fc8c733cc2dae43cd7f753811f5,26/06/2023 01:01:25,ESCANER
19536,"Alta Verapaz",16,"San Pedro Carchá",9,2994,380,106,4,56,3,0,71,3,9,0,0,3,1,3,0,3,1,3,0,0,266,18,11,295,0,295,--,380,85,266,295,295,Algún campo sin dato,1,5005807e365ebc8e7bd9c2e0e711039e7a98cbdc3e95daf8d70dbe2091d57839,26/06/2023 01:41:10,ESCANER
19537,"Alta Verapaz",16,"San Pedro Carchá",9,2994,380,114,2,50,3,0,62,7,12,0,0,2,0,3,2,4,3,3,1,0,268,14,9,291,0,291,--,380,89,268,291,291,Algún campo sin dato,1,1124d9df6600fbb90a020b9d24e1e2df841a4a06933386b1adf5390fd7e78bba,26/06/2023 03:20:15,ESCANER
19538,"Alta Verapaz",16,"San Pedro Carchá",9,2994,380,99,4,48,1,0,62,5,10,0,0,0,0,3,0,2,3,0,0,0,237,10,8,255,0,255,--,380,125,237,255,255,Algún campo sin dato,1,d4f4049d02f74f4b057eb980872ef8850098ad1516416c59ee04d07c7b9b9cd6,26/06/2023 03:44:20,ESCANER
19539,"Alta Verapaz",16,"San Pedro Carchá",9,2994,380,100,4,37,2,1,78,1,5,1,2,1,0,0,1,0,1,1,1,0,236,22,5,263,0,263,--,380,117,236,263,263,Algún campo sin dato,1,cdb5e2775651ee88571a59b4364e68393d3458b5edd0567ba389813524a7422e,26/06/2023 03:50:47,ESCANER
19540,"Alta Verapaz",16,"San Pedro Carchá",9,2994,380,87,4,27,2,0,71,3,9,0,0,3,0,1,0,2,1,1,1,1,213,12,10,236,0,236,1,376,140,213,235,235,Sumas Asentadas sin cuadrar,1,79a99f996dbbd0d62fb267099d7669af852767b9bb798b6312439aed940e613e,26/06/2023 04:49:15,ESCANER
19541,"Alta Verapaz",16,"San Pedro Carchá",9,2994,380,83,2,37,1,0,82,5,6,1,0,0,0,2,2,0,3,0,0,0,224,27,7,258,0,258,--,380,122,224,258,258,Algún campo sin dato,1,6df2edc0f716ef738f4560a07f0beeb3a4ecaa41da0594232d15188b590cf23f,26/06/2023 02:19:08,ESCANER
19542,"Alta Verapaz",16,"San Pedro Carchá",9,2994,380,89,0,21,2,0,57,1,3,0,1,1,1,0,3,2,1,1,0,0,183,23,10,216,0,216,--,380,164,183,216,216,Algún campo sin dato,1,05f06d3fc0517466be525d6d328e3345cc8f38587181a70f8b4dea0d427719ea,26/06/2023 03:26:10,ESCANER
19543,"Alta Verapaz",16,"San Pedro Carchá",9,2994,380,82,3,28,1,0,58,1,6,0,0,0,0,1,0,1,3,2,1,0,187,6,1,194,0,194,--,380,186,187,194,194,Algún campo sin dato,1,1c77efec861c48e7fbaea19cb7b3f6be63065125cbd3dc5540c9be75ebf29768,26/06/2023 00:40:55,ESCANER
19544,"Alta Verapaz",16,"San Pedro Carchá",9,2994,272,62,1,20,2,0,54,0,5,0,0,0,0,0,0,0,2,0,0,0,146,8,0,154,0,154,--,272,118,146,154,154,Algún campo sin dato,1,8f79c277ced007c99dc25cea1acf73c051aebadb54b9cea1b07cea1f86bb9e4f,26/06/2023 04:21:46,ESCANER
19545,"Alta Verapaz",16,"San Pedro Carchá",9,2994,272,50,1,26,0,0,33,0,4,0,0,0,0,1,0,1,0,0,0,0,116,4,2,122,0,122,--,272,150,116,122,122,Algún campo sin dato,1,b4b276a6af0e36acbf265293566971a823c1f4cf1e021da1cea87ec67617f8ff,26/06/2023 01:19:53,ESCANER
19546,"Alta Verapaz",16,"San Pedro Carchá",9,2995,380,62,3,54,7,0,102,1,4,1,2,16,0,2,4,1,0,0,0,0,259,20,6,285,0,285,--,380,95,259,285,285,Algún campo sin dato,1,3d7a60e84cfed8c9e3eded17b4b28edbc6e4d79646f541900a4091bfa46122a1,26/06/2023 04:11:33,ESCANER
19547,"Alta Verapaz",16,"San Pedro Carchá",9,2995,380,81,1,48,5,0,131,0,3,0,2,10,1,0,4,2,1,0,0,1,290,20,10,320,0,320,--,380,60,290,320,320,Algún campo sin dato,1,fbcd1f697aca8801c2a4d458efd9f511f92301381bbb547d62f3cf185e3c33b6,26/06/2023 02:13:40,ESCANER
19548,"Alta Verapaz",16,"San Pedro Carchá",9,2995,380,67,4,44,2,0,115,2,7,0,0,18,0,1,2,2,0,1,0,0,265,15,10,290,0,290,--,380,90,265,290,290,Algún campo sin dato,1,f6d9f1c06e1dc2f5f997bbd0811b853c699048637870152553c60dfe89654b60,26/06/2023 01:24:48,ESCANER
19549,"Alta Verapaz",16,"San Pedro Carchá",9,2995,380,69,2,34,4,0,109,1,5,0,0,6,0,2,5,1,1,2,0,1,242,11,1,254,0,254,--,380,126,242,254,254,Algún campo sin dato,1,e378c64f53d6c53d4c2d8f2aeca404c9e13fc44336634cefb03dd5465541d11a,26/06/2023 01:14:05,ESCANER
19550,"Alta Verapaz",16,"San Pedro Carchá",9,2995,380,71,4,39,5,0,103,1,3,0,0,8,0,1,6,2,2,1,0,0,246,8,7,261,0,261,--,380,119,246,261,261,Algún campo sin dato,1,8e8a63014bc561a50eeb5ac69221b134261aba757a93a681b8878b2601f28761,26/06/2023 03:06:17,ESCANER
19551,"Alta Verapaz",16,"San Pedro Carchá",9,2995,380,64,1,38,3,1,112,0,6,0,0,8,0,2,5,3,4,0,0,1,248,18,6,272,0,272,--,380,108,248,272,272,Algún campo sin dato,1,6c9ca2b7a08ab7cedc8aea2af56dd6d093ee9157b09977f7689c40f58eb10ea4,26/06/2023 02:23:33,ESCANER
19552,"Alta Verapaz",16,"San Pedro Carchá",9,2995,380,58,1,44,3,0,96,0,9,0,0,12,0,2,2,3,1,0,0,0,231,11,5,247,0,247,--,380,133,231,247,247,Algún campo sin dato,1,52d72b150645be9e41943fd85dcd59f536ca588bb3daff1cd777500c20bdf209,26/06/2023 02:03:26,ESCANER
19553,"Alta Verapaz",16,"San Pedro Carchá",9,2995,380,63,0,29,0,0,95,1,3,0,2,7,0,1,9,0,1,0,0,0,211,17,11,239,28,239,--,380,141,211,239,267,Sumas Asentadas sin cuadrar,1,f71fc8d2f110c71694128586bed8fd638a1710edb0fc80b3caa5906931364ab2,26/06/2023 04:03:52,ESCANER
19554,"Alta Verapaz",16,"San Pedro Carchá",9,2995,380,55,0,27,5,1,104,0,0,1,0,7,1,1,6,3,0,0,0,0,214,36,5,255,0,255,--,380,135,211,252,252,Sumas Asentadas sin cuadrar,1,8865cffabca08bb4c1854533cfee9d14289761dc8b8f1edd6928243864167693,26/06/2023 03:31:36,ESCANER
19555,"Alta Verapaz",16,"San Pedro Carchá",9,2995,380,65,1,33,2,1,98,0,0,0,0,6,0,1,3,0,0,0,2,0,212,14,8,234,0,234,--,380,146,212,234,234,Algún campo sin dato,1,5988d075efd2b2c1507d9359eefd05ae17963288f1fffdb4d7571da2f5035112,26/06/2023 01:41:46,ESCANER
19556,"Alta Verapaz",16,"San Pedro Carchá",9,2995,380,60,1,32,6,0,98,1,5,0,0,10,0,2,3,0,1,1,0,0,220,5,4,229,0,229,--,380,151,220,229,229,Algún campo sin dato,1,4d7d76ea203740a9937aaad816a9ddf36b6696144670d5f715473428b90b8fd1,26/06/2023 03:48:15,ESCANER
19557,"Alta Verapaz",16,"San Pedro Carchá",9,2995,380,63,0,36,1,0,104,1,7,0,0,9,0,1,4,0,1,0,0,1,228,6,0,234,0,234,--,380,146,228,234,234,Algún campo sin dato,1,34c1139a0a9fda2d5329ecdbe05af95181b484d845f64acb8624e77c7995bf2a,26/06/2023 01:35:23,ESCANER
19558,"Alta Verapaz",16,"San Pedro Carchá",9,2995,298,40,0,31,5,0,76,3,1,0,1,4,0,2,0,0,0,0,0,0,163,1,1,165,0,165,--,298,133,163,165,165,Algún campo sin dato,1,e5753185af62b0823ed4ea801cc2a3f0829e5ec5d31550df982c40600a29a4f8,25/06/2023 23:46:41,ESCANER
19559,"Alta Verapaz",16,"San Pedro Carchá",9,2995,298,39,0,29,2,0,84,0,0,0,0,4,0,1,3,1,0,0,0,1,164,5,1,171,0,171,1,298,127,164,170,170,Sumas Asentadas sin cuadrar,1,a79ef8b91117c8307395137835efc4f52b602e322b63a959e7cfdb10bae32061,26/06/2023 00:34:43,ESCANER
19560,"Alta Verapaz",16,"San Pedro Carchá",9,2996,380,97,1,26,1,1,76,33,1,1,0,2,0,0,2,0,2,1,1,0,245,27,6,278,0,278,--,380,102,245,278,278,Algún campo sin dato,1,7c19df3a9bac64789aa9c9b7ca1b286572441820d0113b9b17a8573740712c0a,26/06/2023 04:12:52,ESCANER
19561,"Alta Verapaz",16,"San Pedro Carchá",9,2996,380,71,0,53,3,0,84,27,0,0,1,2,0,0,1,2,0,0,5,0,249,35,11,295,0,295,--,380,85,249,295,295,Algún campo sin dato,1,b118b486084c96b68908f56952a63d65836db1c497c753572eeadbd501678f92,26/06/2023 04:09:47,ESCANER
19562,"Alta Verapaz",16,"San Pedro Carchá",9,2996,380,65,1,39,3,2,69,19,0,0,0,1,1,0,0,3,5,1,6,1,216,63,19,298,0,298,--,380,82,216,298,298,Algún campo sin dato,1,9ab5511700896ce4122c8052c57daa195217969b7097067e20a2e13f39db6d67,26/06/2023 04:22:14,ESCANER
19563,"Alta Verapaz",16,"San Pedro Carchá",9,2996,380,98,0,31,1,0,67,26,1,0,0,0,1,2,3,2,3,1,1,0,237,22,6,265,0,265,--,380,115,237,265,265,Algún campo sin dato,1,895bd083600160ada44861dfd4eea24a20ffafefd5703e8d50e520369bfede4f,26/06/2023 04:29:52,ESCANER
19564,"Alta Verapaz",16,"San Pedro Carchá",9,2996,380,90,0,42,1,0,55,31,5,2,1,1,0,0,1,2,0,0,1,0,232,17,5,254,0,254,--,380,126,232,254,254,Algún campo sin dato,1,f7d5403076515e901743b700b82755be44333aa3c80f10ba86f48dbde949daa4,26/06/2023 04:35:58,ESCANER
19565,"Alta Verapaz",16,"San Pedro Carchá",9,2996,380,57,2,46,1,0,59,43,1,0,1,3,0,2,1,3,0,2,1,0,222,31,6,259,0,259,--,380,121,222,259,259,Algún campo sin dato,1,bdf89bcf905eb13e781c4fb2e7d8f89fce9eefb812267544a965c7b30e1fac9d,26/06/2023 04:37:46,ESCANER
19566,"Alta Verapaz",16,"San Pedro Carchá",9,2996,380,82,0,45,3,0,55,30,2,0,0,1,0,0,2,0,2,0,3,2,227,41,1,269,0,269,--,381,112,227,269,269,Algún campo sin dato,1,b490b6cd3912dabb38b82ee1fef45d254aa184159085175ceae92ee474c3d485,26/06/2023 04:45:14,ESCANER
19567,"Alta Verapaz",16,"San Pedro Carchá",9,2996,380,91,1,25,3,0,59,31,1,0,0,1,0,0,1,2,2,0,2,1,220,32,7,259,0,259,--,364,105,220,259,259,Algún campo sin dato,1,e6800d08b1e0913e216767fea60929be12d66c0e9c41b8bf60af6f6d92a83411,26/06/2023 04:52:25,ESCANER
19568,"Alta Verapaz",16,"San Pedro Carchá",9,2996,380,79,1,23,1,0,45,32,0,0,0,2,0,0,2,0,0,0,5,1,191,26,15,232,0,232,--,380,148,191,232,232,Algún campo sin dato,1,46ea6fcdb57cbe2ac00188e99c351bc3eb85ad9f3a2ef22b50267adf3c22a54d,26/06/2023 05:07:40,ESCANER
19569,"Alta Verapaz",16,"San Pedro Carchá",9,2996,380,92,1,33,0,1,49,27,2,0,0,0,0,0,1,0,0,0,0,0,206,13,5,224,0,224,--,380,156,206,224,224,Algún campo sin dato,1,fadb52093903a4a7a8679f116bbcb4b4e3dfd68bc23e5a25ccd43b95a74a0608,26/06/2023 05:13:02,ESCANER
19570,"Alta Verapaz",16,"San Pedro Carchá",9,2996,258,60,0,16,0,0,23,11,0,0,0,0,1,0,0,1,0,1,0,0,113,7,1,121,0,121,--,258,137,113,121,121,Algún campo sin dato,1,ee115fa31587433cb3208f96c02018e818e7f4a5928caf454016851233fc2cb1,26/06/2023 05:55:20,ESCANER
19571,"Alta Verapaz",16,"San Pedro Carchá",9,2996,257,47,0,14,0,0,20,10,1,0,0,2,0,1,1,0,2,0,1,0,99,7,3,109,0,109,--,257,148,99,109,109,Algún campo sin dato,1,036e5cea5d82f3e74973d975b25543f2db4bc3cd0010f06b8bb12ef2fe96f4bb,26/06/2023 05:30:24,ESCANER
19572,"Alta Verapaz",16,"San Pedro Carchá",9,2997,380,92,0,43,1,0,90,1,10,0,1,1,0,0,4,0,2,0,0,0,245,32,7,284,0,284,--,380,96,245,284,284,Algún campo sin dato,1,406d2f319566f4153f4fd8c03bbfe28cbc284ccc78bcad80ccb74ebd22a380a8,26/06/2023 06:04:59,ESCANER
