TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
308,308,100.0000,308,100.0000,0,113565,68807,60.5882

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,FCN-NACION,VAMOS,AZUL,MLP,UNE,VIVA,CABAL,TODOS,PODEMOS,WINAQ,ELEFANTE,CAMBIO,PPN,MI FAMILIA,VALOR,CREO,VOS,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19446,"Alta Verapaz",16,"San Pedro Carchá",9,2986,400,25,10,15,8,2,98,0,17,11,0,3,0,2,9,5,22,2,6,1,236,3,1,240,0,240,--,400,160,236,240,240,Algún campo sin dato,1,a7ff691997017b96d522a8dde7107835134de58fd9cb77ecfce6ca2b6d16941f,26/06/2023 01:05:14,ESCANER
19447,"Alta Verapaz",16,"San Pedro Carchá",9,2986,400,44,3,23,12,0,88,2,11,7,2,2,1,5,18,2,18,3,0,1,242,7,0,249,0,249,--,400,151,242,249,249,Algún campo sin dato,1,03e878948f150f3a593bf082967f3a9995fe6e658a53dee6dd64e28aa0046613,26/06/2023 02:15:32,ESCANER
19448,"Alta Verapaz",16,"San Pedro Carchá",9,2986,400,28,5,16,9,0,107,3,17,10,0,0,0,5,13,2,24,2,4,5,250,2,0,252,0,252,--,397,145,250,252,252,Algún campo sin dato,1,1e3884fd8effe7024120ebb61d03935445f2dfd9c3cf3b20527e97d6dbf53d94,26/06/2023 02:24:54,ESCANER
19449,"Alta Verapaz",16,"San Pedro Carchá",9,2986,270,23,6,8,5,1,51,4,9,5,0,1,1,3,8,0,12,0,0,0,137,3,0,140,0,140,--,267,127,137,140,140,Algún campo sin dato,1,699f77c05d1ccbf4619ae4e06516b4b92187f6e153d56349077ecd10807167fb,25/06/2023 23:20:23,ESCANER
19450,"Alta Verapaz",16,"San Pedro Carchá",9,2986,269,18,1,8,6,0,45,2,4,5,1,2,0,1,7,1,6,1,2,0,110,7,0,117,0,117,--,269,152,110,117,117,Algún campo sin dato,1,79d01785f93e2a58e19faff0fb2213eaaecdc9d8d15e2697bf1a06bdcdef204b,25/06/2023 23:10:04,ESCANER
19451,"Alta Verapaz",16,"San Pedro Carchá",9,2987,400,97,6,29,4,4,55,1,3,0,0,1,2,1,1,1,8,7,0,2,222,20,18,260,0,260,--,400,140,222,260,260,Algún campo sin dato,1,e5ea28114f04ee7f3df295b13b5674b89a9f565014322f2cc214f7fdada173f4,26/06/2023 01:22:30,ESCANER
19452,"Alta Verapaz",16,"San Pedro Carchá",9,2987,400,101,2,30,4,1,70,3,12,5,2,4,1,2,6,4,5,2,0,0,254,23,5,282,0,282,--,400,118,254,282,282,Algún campo sin dato,1,326a499d975a658c1407b40b4a3626410488cf8165c1a710dde3258c45d37773,26/06/2023 01:53:23,ESCANER
19453,"Alta Verapaz",16,"San Pedro Carchá",9,2987,400,95,5,22,9,0,69,3,7,3,2,3,3,2,3,0,4,4,4,0,238,18,15,271,0,271,2,400,129,238,271,271,,1,32838e7c26f1f539666b726d7d8a42a9bcc6ad3d11bfefd83067a286c1ab778f,26/06/2023 05:00:12,ESCANER
19454,"Alta Verapaz",16,"San Pedro Carchá",9,2987,400,92,2,21,2,1,72,4,3,4,1,3,0,1,7,2,8,6,0,0,229,20,5,254,0,254,--,399,145,229,254,254,Algún campo sin dato,1,b90ea9f9cfa21e1f231b589e0b7df90c2ef11e261a384da0a1d4e08123b9f883,26/06/2023 01:45:19,ESCANER
19455,"Alta Verapaz",16,"San Pedro Carchá",9,2987,400,90,1,38,2,3,70,4,11,1,1,3,0,2,3,3,4,3,0,1,240,11,5,256,0,256,--,400,144,240,256,256,Algún campo sin dato,1,bd8cc8164a85cb77da8403249c8809cf163b56e128b79b573637a1f6d631df7e,26/06/2023 01:29:14,ESCANER
