TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
112,112,100.0000,112,100.0000,0,41832,23161,55.3667

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,CABAL,PPN,UNE,VAMOS,AZUL,MLP,CAMBIO,PODEMOS,VIVA,TODOS,VOS,MI FAMILIA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8269,"Escuintla",5,"Nueva Concepción",13,966,380,23,15,21,93,10,0,0,0,0,7,8,0,2,1,180,11,7,198,16,214,0,381,167,180,198,214,,1,0ec1273c7f3ce5bd46e97833369be6d50c7b510bc4ae9ac36edda0690bead3e7,25/06/2023 23:05:47,ESCANER
8270,"Escuintla",5,"Nueva Concepción",13,966,380,22,13,17,104,13,0,0,0,3,4,10,1,0,0,187,25,8,220,0,220,0,380,160,187,220,220,,1,2e44810737d5a42ee94faf264a21b2c5fa35d96da6590e7fba901bef5e24b537,25/06/2023 23:03:16,ESCANER
8271,"Escuintla",5,"Nueva Concepción",13,966,380,17,14,20,104,15,1,0,0,2,10,8,0,1,0,192,21,8,221,0,221,0,381,160,192,221,221,,1,7aa77c3e48c633eb90b3a8ec95655a868d0d2ed0e4187883790e695cf709651e,25/06/2023 23:54:11,ESCANER
8272,"Escuintla",5,"Nueva Concepción",13,966,380,17,13,18,109,7,1,0,1,2,7,3,0,0,0,178,13,6,197,19,216,0,399,202,178,197,216,,1,4703938c6d7b93e5bb58ad8e7ca4df9e7085a7bdf93f22ef3e585f4cc2ad7e3e,25/06/2023 22:43:22,ESCANER
8273,"Escuintla",5,"Nueva Concepción",13,966,380,22,12,17,82,11,0,1,2,2,0,6,1,1,0,157,9,4,170,5,175,0,377,202,157,170,175,,1,c6d0fe059a3b2521ca50a94bb702534471038141863d9eed8a7795a9a1c7c61e,26/06/2023 01:01:27,ESCANER
8274,"Escuintla",5,"Nueva Concepción",13,966,380,18,14,13,134,9,0,0,0,0,3,6,0,0,0,197,14,0,212,0,197,--,388,169,197,211,211,Sumas Asentadas sin cuadrar,1,1b835c4b1a46a630787ff8e47ac4e84e79d2cb3260715dc2d104f719038826da,26/06/2023 01:41:00,ESCANER
8275,"Escuintla",5,"Nueva Concepción",13,966,223,16,13,9,58,6,0,0,0,2,1,4,0,1,0,110,11,1,122,0,122,0,223,101,110,122,122,,1,70f8d291b7a1646f03d0c3050da9807c9f5042a1d7aaf1dd99b7ecf1525fe831,25/06/2023 22:13:21,ESCANER
8276,"Escuintla",5,"Nueva Concepción",13,966,223,12,11,9,55,7,0,0,0,0,1,2,0,0,0,97,13,2,112,0,112,0,223,111,97,112,112,,1,6cc0cfdc242dce41af6935ea078a41a2f5590ddf507e0747970871666ea71110,25/06/2023 22:03:23,ESCANER
8277,"Escuintla",5,"Nueva Concepción",13,967,380,30,9,3,85,36,0,0,1,0,8,18,0,0,0,190,28,2,220,0,220,0,380,160,190,220,220,,1,ee7d4373754a31d1aa2013f43508694f83a77900dea391bbaade1e98e1b8ad7e,25/06/2023 22:33:15,ESCANER
8278,"Escuintla",5,"Nueva Concepción",13,967,380,33,8,6,91,16,0,0,1,1,5,30,1,0,0,192,32,3,227,0,227,0,380,153,192,227,227,,1,5849915a2586979c509dbe8bf0cd67f17cd3138513db11ae7f9e92dcad12df5a,25/06/2023 21:38:29,ESCANER
8279,"Escuintla",5,"Nueva Concepción",13,967,380,23,10,3,95,19,0,0,2,0,5,20,0,0,1,178,38,6,222,0,222,0,380,158,178,222,222,,1,38655212cd61ba9d4e43dfef79b06010c3865fcdfcbdc9254ba6cb7cd6f820b3,25/06/2023 23:22:31,ESCANER
8280,"Escuintla",5,"Nueva Concepción",13,967,380,22,7,7,78,11,1,0,2,1,2,19,1,2,0,153,37,4,194,24,218,0,380,162,153,194,218,,1,b0de2c59640a27e6f1f49770971195fd671b58f79e8b9bfcb9db3ae61d5470b3,26/06/2023 00:29:06,ESCANER
8281,"Escuintla",5,"Nueva Concepción",13,967,380,26,12,4,85,22,1,0,4,1,6,20,0,2,0,183,36,6,225,0,225,0,380,0,183,225,225,,1,4c658a28cf6090fa5cd6b57496e95a6517f2a8c51019c2fffb6bb49baf7a492d,25/06/2023 22:19:37,ESCANER
8282,"Escuintla",5,"Nueva Concepción",13,967,380,22,11,13,70,24,0,1,2,1,5,20,0,1,0,170,32,4,206,0,206,--,364,158,170,206,206,Algún campo sin dato,1,f824ffc941c782808452cd10e1582ef8443e63bb06f89d5d9d8f8b3fb5a1dd2d,26/06/2023 00:02:36,ESCANER
8283,"Escuintla",5,"Nueva Concepción",13,967,380,24,15,5,68,18,1,0,2,1,1,16,0,0,0,151,35,6,192,0,192,0,377,185,151,192,192,,1,0b3683750d179f598e6d85c30594d8c6fcbce7e776a770c6721f46401826109d,25/06/2023 23:45:33,ESCANER
8284,"Escuintla",5,"Nueva Concepción",13,967,285,32,8,6,63,13,0,0,2,0,1,17,0,0,0,142,23,1,166,0,166,0,282,116,142,166,166,,1,791f1cbd3ac2fe86b89ddb262198a120a6f352102e0d74f57dea4b4afef2a085,25/06/2023 22:44:11,ESCANER
8285,"Escuintla",5,"Nueva Concepción",13,967,284,12,7,5,60,13,0,0,3,0,4,14,0,0,0,118,11,1,130,0,130,0,284,154,118,130,130,,1,c837beee6408663532d9de493c5aed3d0bc69a3028d31b96322987fceeff0359,25/06/2023 22:38:20,ESCANER
8286,"Escuintla",5,"Nueva Concepción",13,968,380,25,38,9,28,10,3,1,1,6,51,14,0,2,1,189,41,4,234,0,234,0,367,133,189,234,234,,1,e9bfb8c4788ef192f15f51f1bdd99adb9f5a6f785673ccf9472d6325664a77d0,26/06/2023 01:08:40,ESCANER
8287,"Escuintla",5,"Nueva Concepción",13,968,380,26,35,12,39,20,2,0,3,7,39,27,3,0,3,216,39,2,257,1,258,0,380,122,216,257,258,,1,33a8b91efa90387102ccfcd354757e48856e40f9869249731d88579fead2ce64,26/06/2023 03:17:29,ESCANER
8288,"Escuintla",5,"Nueva Concepción",13,968,380,40,29,7,25,22,3,0,3,8,22,27,1,1,0,188,21,8,217,0,217,--,380,163,188,217,217,Algún campo sin dato,1,a6891ff2135fdb4df582a38191100c4a9b886e09605cc9c7ba4c22e34ff0b902,25/06/2023 22:04:34,ESCANER
8289,"Escuintla",5,"Nueva Concepción",13,968,380,22,46,11,43,13,3,0,2,4,29,20,1,1,1,193,26,74,223,0,255,--,395,140,196,296,296,Sumas Asentadas sin cuadrar,1,fab06fadb4b7bc75eac6c31cdf40375596e76169be61ccda41f186e67ed9c5ab,26/06/2023 05:56:48,ESCANER
8290,"Escuintla",5,"Nueva Concepción",13,968,380,29,32,8,32,7,1,1,2,6,34,21,1,0,0,174,36,3,213,0,213,0,380,167,174,213,213,,1,ddf197578c2c3adeb6a6332856bfe6cff9e967c3fb895f178afbaf50dfd1c91b,26/06/2023 00:39:07,ESCANER
8291,"Escuintla",5,"Nueva Concepción",13,968,380,26,32,8,34,10,0,1,0,5,35,27,1,0,0,179,30,5,214,0,214,0,380,166,179,214,214,,1,db65567d881fb944241420f2088053680b6dfb2564e01c3cf23039025848b15f,26/06/2023 00:25:12,ESCANER
8292,"Escuintla",5,"Nueva Concepción",13,968,232,26,27,2,25,10,0,0,0,1,18,12,0,0,1,122,11,1,134,0,134,0,232,98,122,134,134,,1,3ca261b03cc20b2d56f9b0c5096645101360e34c7b08ad87193bab80ab7ae81a,25/06/2023 23:15:56,ESCANER
8293,"Escuintla",5,"Nueva Concepción",13,968,231,25,24,9,24,2,2,0,0,3,16,10,0,0,0,115,10,5,130,0,130,0,231,101,115,130,130,,1,a66051569754d6beda71461a0998f0b7e21489b2c57ba44ab5fe145e154e0be7,25/06/2023 21:10:05,ESCANER
8294,"Escuintla",5,"Nueva Concepción",13,969,600,31,23,18,38,9,2,0,3,6,24,21,1,1,1,178,20,8,206,0,206,0,597,391,178,206,206,,1,a182ae2a94cf3141ccf4ec3ac35e1f7894be073f7b4c2c41ccc816e2a4d85384,25/06/2023 22:11:51,ESCANER
8295,"Escuintla",5,"Nueva Concepción",13,969,600,29,20,13,38,13,1,2,4,5,20,16,1,3,0,165,16,1,182,0,182,0,600,418,165,182,182,,1,6c124d4bcb29b18423975929584d456920a5c2818cdd568721325b3d3f7805f4,25/06/2023 23:29:12,ESCANER
8296,"Escuintla",5,"Nueva Concepción",13,969,600,36,15,15,29,9,4,0,1,5,30,18,1,0,0,163,19,5,187,0,187,0,600,413,163,187,187,,1,243f78be0b12cc5edc58eeef5eafa103678c9a746cbaeacf23eb8f91e7259b12,25/06/2023 21:23:15,ESCANER
8297,"Escuintla",5,"Nueva Concepción",13,969,600,26,19,16,26,10,1,1,0,3,19,16,3,3,0,143,23,4,170,0,170,0,600,430,143,170,170,,1,649dfe44c07df99d303fb7297b19f7c3512316fd61c14ca516137e39bf4c08bd,25/06/2023 23:01:00,ESCANER
8298,"Escuintla",5,"Nueva Concepción",13,969,600,10,11,13,17,2,1,0,1,5,12,11,0,1,0,84,10,1,95,0,95,0,600,505,84,95,95,,1,ee5981ab83f00c0ed7114913e2a7b6a5b74e3e9e33bec632151a519974499fd4,25/06/2023 22:45:01,ESCANER
8299,"Escuintla",5,"Nueva Concepción",13,969,376,4,5,4,5,4,0,0,0,1,1,3,0,0,0,27,6,0,33,0,33,0,373,340,27,33,33,,1,bf32da82407b1d99186ff08ec4e70b2e05b7a86851f4342a2d3d8dad77486b82,25/06/2023 23:08:20,ESCANER
8300,"Escuintla",5,"Nueva Concepción",13,969,375,1,2,2,2,2,0,0,0,1,2,2,0,0,0,14,1,0,15,0,15,0,375,360,14,15,15,,1,370f408ebdfeb5ecef63763eb660e7d88ac4707e12f5e8c3fcc571dd18b2d386,25/06/2023 20:55:04,ESCANER
