TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
112,112,100.0000,112,100.0000,0,41832,23161,55.3667

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,CABAL,PPN,UNE,VAMOS,AZUL,MLP,CAMBIO,PODEMOS,VIVA,TODOS,VOS,MI FAMILIA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8206,"Escuintla",5,"Nueva Concepción",13,958,400,35,40,22,34,7,0,1,3,5,30,27,4,4,0,212,34,0,246,0,246,0,400,154,212,246,246,,1,b5b28c5867e279cf1b28bc763408e935bf42cfc0f0c9531a587a1e50e20488fb,25/06/2023 22:05:05,ESCANER
8207,"Escuintla",5,"Nueva Concepción",13,958,400,40,44,17,22,16,2,0,1,6,31,23,2,0,1,205,17,1,223,0,223,0,400,177,205,223,223,,1,ae459f31b7d24a3ff118dbafd1a44b9f4aaf9751342ebdb1de8fec4bf4027203,25/06/2023 21:27:46,ESCANER
8208,"Escuintla",5,"Nueva Concepción",13,958,400,25,50,25,33,9,0,1,4,4,31,30,0,3,1,216,29,1,246,0,246,--,400,154,216,246,246,Algún campo sin dato,1,9ab1cfec4116dccf66d9d3ef658ba36fe2fb0c4019ba8b4c57dac71832e582ff,26/06/2023 01:43:11,ESCANER
8209,"Escuintla",5,"Nueva Concepción",13,958,400,39,52,26,20,13,0,0,1,12,24,11,6,1,1,206,33,3,242,0,242,0,400,158,206,242,242,,1,be9ad3f1df8abdd87a1e789c125f2d5338fc75f8f36fbc129848e8fe0bf39f57,25/06/2023 23:36:26,ESCANER
8210,"Escuintla",5,"Nueva Concepción",13,959,400,47,59,24,27,9,1,0,1,3,13,16,1,0,3,204,39,3,246,0,246,0,400,154,204,246,246,,1,c24f7987adf8fa99e27697d94976c14117e535e43c5f7105858b45faacab1a88,25/06/2023 22:39:29,ESCANER
8211,"Escuintla",5,"Nueva Concepción",13,959,400,34,52,19,24,16,0,0,1,5,30,16,2,4,0,203,29,0,232,0,232,0,400,168,203,232,232,,1,f591b5bbb65f76fd214ec49264c652fdc678c84c86eeaa7db4d44529a77aaaaa,25/06/2023 23:44:25,ESCANER
8212,"Escuintla",5,"Nueva Concepción",13,959,400,34,53,23,21,13,0,0,0,6,28,21,3,0,2,204,1,0,205,25,230,0,400,170,204,205,230,,1,37087c05d989860075cc8c132284e5275a93a482f2d56f001d68726508ddced8,26/06/2023 00:59:13,ESCANER
8213,"Escuintla",5,"Nueva Concepción",13,959,400,42,44,23,24,14,0,2,2,9,32,28,2,1,1,224,33,0,257,0,257,0,400,143,224,257,257,,1,4cef797b35c87f0e5fa75d252c2c7cfe505ac0c3d5353c505e83487426214cd0,25/06/2023 22:12:41,ESCANER
8214,"Escuintla",5,"Nueva Concepción",13,959,288,18,40,8,22,8,0,0,1,5,14,15,0,1,0,132,15,1,148,0,148,0,288,140,132,148,148,,1,90c2386305a27f5e16e1dcbc5cb27ef0e1edc728b04c28aa0776308d606c18f6,25/06/2023 21:07:45,ESCANER
8215,"Escuintla",5,"Nueva Concepción",13,959,288,30,23,15,20,4,0,1,0,3,11,6,3,0,0,116,18,4,138,0,138,0,288,150,116,138,138,,1,fe0b1cb76859db786f50ff782de413dea19ce00878ad1c91ba27f4bf0d8895e9,25/06/2023 20:31:09,ESCANER
8216,"Escuintla",5,"Nueva Concepción",13,960,400,31,34,50,24,17,0,0,0,17,24,17,1,2,0,217,37,1,255,0,255,0,399,144,217,255,255,,1,b43586fd4a8b7e3286822fe32e00de63d61f36de248ed9935262391356c49361,26/06/2023 02:29:08,ESCANER
8217,"Escuintla",5,"Nueva Concepción",13,960,400,28,38,52,35,16,2,0,0,9,15,36,2,1,1,235,33,3,271,0,271,0,396,125,235,271,271,,1,927419fc10fbf93d18a9f76414ff34fcc5ef8b03485cd1b14416a9eac6c0d245,26/06/2023 01:31:41,ESCANER
8218,"Escuintla",5,"Nueva Concepción",13,960,400,31,28,39,16,15,2,0,3,13,18,33,0,0,0,198,49,5,252,0,252,0,397,149,198,252,252,,1,7513b8238e1873c8d630134a108f1192587ad83efeaeb81578eb1149c22c5255,26/06/2023 00:42:56,ESCANER
8219,"Escuintla",5,"Nueva Concepción",13,960,400,26,35,30,17,15,3,0,1,11,30,28,1,2,0,199,29,5,233,0,233,0,400,167,199,233,233,,1,b7fd8e94ff89caeec6d672336c02ed7e2b20f1e64ad5127723e1dc67affeacf8,25/06/2023 23:41:26,ESCANER
8220,"Escuintla",5,"Nueva Concepción",13,960,400,20,32,33,36,15,1,1,0,4,21,26,2,3,0,194,35,4,233,0,233,0,400,167,194,233,233,,1,4e6b5e9db1172d8f792c4d429e52ef1e2783b3a7e1e2833a44f9297f12125a5f,25/06/2023 23:54:02,ESCANER
8221,"Escuintla",5,"Nueva Concepción",13,960,400,22,33,50,24,16,3,0,1,10,18,22,2,0,0,201,31,5,237,0,237,0,400,163,201,237,237,,1,adfa30071f59bca15efe309cd53b9ed6083a80cb12d9efa035c437588361096f,26/06/2023 00:40:01,ESCANER
8222,"Escuintla",5,"Nueva Concepción",13,960,400,26,33,47,22,16,4,1,2,8,18,23,1,1,3,205,37,4,246,0,246,0,400,154,205,246,246,,1,2436a9c1e8b7a9f7be3ae67290166efefc037bac00d079d06e7f6f1e3356d312,25/06/2023 23:36:16,ESCANER
8223,"Escuintla",5,"Nueva Concepción",13,960,298,23,23,36,20,12,0,0,1,2,18,21,2,0,0,158,32,1,191,0,191,0,298,107,158,191,191,,1,2715a51c0f99384b0db3a645c3b66546b6e1c4b336ce9a8587a6c381c9c859f5,26/06/2023 00:31:34,ESCANER
8224,"Escuintla",5,"Nueva Concepción",13,960,298,18,17,39,19,9,0,0,1,1,8,22,0,0,0,134,26,2,162,0,162,0,298,136,134,162,162,,1,9cf74a19764bd57e075d00474516d4eba955bad566f0bfb1ce98d251504cea79,25/06/2023 23:11:51,ESCANER
8225,"Escuintla",5,"Nueva Concepción",13,961,400,37,24,29,48,16,1,0,5,5,30,31,1,0,0,227,31,2,260,0,260,0,380,120,227,260,260,,1,d57cc10f1e0db71af104b7921a5259422e094d281bd301fb0f61677544fb9d17,25/06/2023 23:30:29,ESCANER
