TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
122,122,100.0000,122,100.0000,0,46334,29441,63.5408

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,BIEN,UNE,SEMILLA,PPG,PR,AZUL,CREO,VALOR,VICTORIA,FCN-NACION,UR,CAMBIO,P A N,PODEMOS,MLP,UNIONISTA,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2241,"Guatemala",1,"San José Pinula",3,181,305,23,6,5,11,31,2,1,19,13,21,0,2,14,3,0,0,0,22,1,174,5,0,179,0,179,--,179,126,174,179,179,Algún campo sin dato,1,48a4183dc0bc116ec0f95308fa28ce2e3696e2a489604d61ff433701fe797eb7,25/06/2023 22:28:51,ESCANER
2242,"Guatemala",1,"San José Pinula",3,182,400,56,11,13,25,32,9,5,55,14,25,0,2,8,1,2,0,6,9,9,282,19,2,303,0,303,--,400,97,282,303,303,Algún campo sin dato,1,a015163c8480ad70deccd746526863dab0cf29c49ba7e60618201291efddb995,26/06/2023 01:47:04,ESCANER
2243,"Guatemala",1,"San José Pinula",3,182,400,75,15,9,30,22,11,2,59,10,22,1,1,3,1,1,1,6,7,7,283,19,1,303,0,303,--,400,97,283,303,303,Algún campo sin dato,1,255cfb290913e9435249d87a6c502f776791c61b7e13c611dd9db31dda44f1c0,26/06/2023 04:47:25,ESCANER
2244,"Guatemala",1,"San José Pinula",3,182,400,81,6,10,31,15,9,4,68,7,21,1,1,6,1,1,1,6,6,4,279,21,0,300,0,300,--,400,100,279,300,300,Algún campo sin dato,1,db48fc350e753a8985d0a9d45098d9046612b0aa18917169bc9188339927cb6a,26/06/2023 01:53:20,ESCANER
2245,"Guatemala",1,"San José Pinula",3,182,400,60,9,3,19,30,11,5,58,7,18,1,1,6,0,2,1,4,8,7,250,18,1,269,0,269,--,400,131,250,269,269,Algún campo sin dato,1,2a92557fc2dced166d2c6de2c14729c18c6255b232e366c6abf61ee4be1d2f4b,26/06/2023 02:39:44,ESCANER
2246,"Guatemala",1,"San José Pinula",3,182,400,64,11,14,35,29,9,2,71,4,25,0,2,5,1,1,3,2,8,7,293,15,1,309,0,309,--,400,91,293,309,309,Algún campo sin dato,1,ab276bbdafb58cd85ccff05227161d9a07bd0f671b2549fb54225601a517c3db,26/06/2023 03:14:10,ESCANER
2247,"Guatemala",1,"San José Pinula",3,182,400,60,10,14,35,25,11,1,68,9,22,0,2,4,0,0,3,0,8,9,281,19,3,303,0,303,--,400,97,281,303,303,Algún campo sin dato,1,722a47eb8cb9ca7c8a1c4b11c02707411e1c4ebe3eb0002a4804ca717623db97,26/06/2023 00:39:15,ESCANER
2248,"Guatemala",1,"San José Pinula",3,183,400,57,8,6,24,29,15,3,66,6,18,3,1,8,2,1,1,4,5,8,265,8,3,276,1,277,--,400,123,265,276,277,Algún campo sin dato,1,c80f116372e80a185fd66e13970141cbaee58d0c3d16f1e6d4655bfedecb7878,26/06/2023 00:46:51,ESCANER
2249,"Guatemala",1,"San José Pinula",3,183,400,52,10,7,28,41,18,1,55,5,18,2,2,4,0,2,2,4,6,7,264,11,1,276,0,276,--,400,124,264,276,276,Algún campo sin dato,1,80a787432d4bf555be918646b77bf4f178289a887db679ab2d29818442ce69c0,26/06/2023 01:32:21,ESCANER
2250,"Guatemala",1,"San José Pinula",3,183,400,76,6,7,24,45,6,1,44,7,23,0,1,5,1,1,4,2,4,6,263,7,0,270,0,270,--,400,130,263,270,270,Algún campo sin dato,1,8414ea42485b7ab3803f9ffb1b6f467f2cb5ca4eb7d2ca63a0c01429ec1a2d8d,26/06/2023 01:13:07,ESCANER
2251,"Guatemala",1,"San José Pinula",3,183,299,42,3,5,23,26,7,1,31,7,12,0,1,3,0,1,0,0,9,5,176,5,0,181,0,181,--,299,118,176,181,181,Algún campo sin dato,1,e0e14d1bbc1b9b4652dacf88e2c2f2cf0fbd0c91bf6f6eb93e3e6a7d67525630,26/06/2023 00:14:56,ESCANER
2252,"Guatemala",1,"San José Pinula",3,183,299,37,2,2,11,27,8,0,25,3,4,1,0,9,0,1,1,2,4,3,140,9,0,149,0,149,--,299,150,140,149,149,Algún campo sin dato,1,770263ea154b852f1e52d298d6a48b81647c10b76feb4853fe279891deb2fc11,25/06/2023 22:27:55,ESCANER
2253,"Guatemala",1,"San José Pinula",3,184,400,72,12,5,39,5,2,2,27,20,32,3,0,14,0,4,1,2,26,3,269,0,17,286,0,286,--,400,114,269,286,286,Algún campo sin dato,1,8327e397129fb444727103c7a71d04dd9d84430f25b6ef375fbb9b4165d7ca56,26/06/2023 00:25:52,ESCANER
2254,"Guatemala",1,"San José Pinula",3,184,400,77,5,7,46,2,3,2,18,26,37,3,2,18,2,3,7,1,15,5,279,13,1,293,0,--,--,--,--,279,293,293,Algún campo sin dato,1,961027cb5c4212a4ad9c406882b41f5f2a2934f8a1dd27384eab6b4f3b9d61fa,25/06/2023 23:48:40,ESCANER
2255,"Guatemala",1,"San José Pinula",3,184,400,84,13,6,29,12,2,3,26,12,34,1,1,26,0,1,1,0,13,6,270,15,1,286,0,286,--,384,98,270,286,286,Algún campo sin dato,1,ff047f5cf9e52a500011018014de270205c687d2396891550228be96b990ad00,26/06/2023 03:16:04,ESCANER
2256,"Guatemala",1,"San José Pinula",3,184,400,67,14,4,31,13,0,6,26,19,23,2,0,15,1,3,0,1,18,1,244,15,2,261,0,261,--,400,139,244,261,261,Algún campo sin dato,1,44dc515bf8a98bd4137556f654c8377440af182b3b8347d14325570c9c462d98,26/06/2023 00:11:24,ESCANER
2257,"Guatemala",1,"San José Pinula",3,184,400,82,9,7,36,14,3,4,21,20,27,2,1,13,0,3,0,0,19,0,261,14,1,276,0,276,--,400,124,261,276,276,Algún campo sin dato,1,0a30ebd54ffcce4f32e77e8cdbca4d446b3272ad954fa772c577023f8d17b1ee,26/06/2023 01:36:13,ESCANER
2258,"Guatemala",1,"San José Pinula",3,184,297,51,5,4,20,16,1,6,18,18,14,3,0,13,0,1,0,2,13,0,185,9,1,195,0,195,--,297,102,185,195,195,Algún campo sin dato,1,84487ceeeaf2dfac859953f2fd8ffde70d67307015ca445db19abee2972330b3,25/06/2023 22:02:59,ESCANER
2259,"Guatemala",1,"San José Pinula",3,184,297,41,3,4,18,12,0,3,15,11,10,0,0,7,0,0,0,0,20,1,145,6,0,151,0,151,--,297,146,145,151,151,Algún campo sin dato,1,8df0bacdf99686c6dcb33cfe826e54eae32c1edfd2ce18114bc08a0be908ce16,26/06/2023 00:04:57,ESCANER
2260,"Guatemala",1,"San José Pinula",3,185,400,85,14,10,50,6,1,2,8,12,47,3,0,9,0,1,0,2,1,12,263,16,10,289,0,289,--,400,111,263,289,289,Algún campo sin dato,1,90eb432309ae70ee5dcbcad2f2d3210f7de67210c356188ccc9d85ec7f229d61,26/06/2023 01:29:24,ESCANER
2261,"Guatemala",1,"San José Pinula",3,185,400,92,7,11,68,6,1,2,20,15,35,5,1,9,1,2,2,1,0,5,282,10,1,293,1,294,--,397,103,283,294,295,Sumas Asentadas sin cuadrar,1,55c963cc42987f7c1f7353716e88cd58c3af603257be0600a7d9b2bc5c6fdab5,26/06/2023 01:53:16,ESCANER
2262,"Guatemala",1,"San José Pinula",3,185,400,97,15,9,53,6,3,1,13,16,28,4,0,12,1,2,0,0,3,5,268,16,3,287,0,287,--,400,113,268,287,287,Algún campo sin dato,1,5e37e30e692b7bd5b0278fc56b6a3e9223a90955903bdd11a8734178e9bcf23d,26/06/2023 01:56:13,ESCANER
2263,"Guatemala",1,"San José Pinula",3,185,400,86,9,0,46,6,2,2,13,23,41,0,1,10,0,2,0,2,2,7,252,10,8,270,0,270,--,400,130,252,270,270,Algún campo sin dato,1,ac7773108334e53e88f89e9ccd943f51f8454aa4ec9d0905ecf76c1129ec2d8c,26/06/2023 00:06:53,ESCANER
2264,"Guatemala",1,"San José Pinula",3,185,400,68,12,12,59,9,1,1,17,19,37,1,0,16,1,1,0,3,3,4,273,8,1,273,0,273,--,400,127,264,273,273,Sumas Asentadas sin cuadrar,1,b5de4c098c1e27cbd09f8bad3ba28463e72263a708ac5cb471c384d6bc3833c7,26/06/2023 04:11:01,ESCANER
2265,"Guatemala",1,"San José Pinula",3,185,400,84,7,9,42,5,1,3,20,14,41,0,1,17,0,1,0,2,5,4,256,5,0,261,0,261,--,400,139,256,261,261,Algún campo sin dato,1,5c87329e270bbe1c063139bdb2d0cd75dc800e2b7d69b2b9285389777b93e5f4,25/06/2023 23:51:48,ESCANER
2266,"Guatemala",1,"San José Pinula",3,185,244,50,6,4,22,7,1,1,13,8,23,0,0,11,0,1,0,2,1,1,151,4,0,155,0,155,--,244,89,151,155,155,Algún campo sin dato,1,851e03e1e5e806cb0cfdf1e08bba87d31b8fac80b449b70a1c2533ae2f6f6c7c,26/06/2023 00:42:26,ESCANER
2267,"Guatemala",1,"San José Pinula",3,185,244,29,3,2,23,16,0,1,8,11,13,0,0,12,0,2,0,1,2,2,125,1,0,126,0,126,--,244,118,125,126,126,Algún campo sin dato,1,26522f5846d039d5ce1125fdd86c977a9978d5ea442610979743ebbae754a3bd,25/06/2023 23:05:12,ESCANER
2268,"Guatemala",1,"San José Pinula",3,186,380,51,32,1,45,2,1,2,14,8,27,0,1,10,1,1,0,0,2,6,204,31,10,245,1,246,--,380,134,204,245,246,Algún campo sin dato,1,1f4de7abf0defa5a4da1cc0f1648eef43da8aba6662ee9413e5845bd463d8e91,26/06/2023 04:03:07,ESCANER
2269,"Guatemala",1,"San José Pinula",3,186,380,49,33,4,56,1,2,1,6,18,22,1,1,8,0,0,0,0,1,2,205,26,7,238,0,238,--,381,143,205,238,238,Algún campo sin dato,1,b833465d00b37f95083fd3019c2d1964b7cd2cadce5cfd3a4971f1a4285873f9,25/06/2023 23:38:52,ESCANER
2270,"Guatemala",1,"San José Pinula",3,186,380,62,33,2,57,2,1,0,12,15,17,2,1,7,0,0,0,0,0,6,217,21,5,243,0,243,--,380,137,217,243,243,Algún campo sin dato,1,f34e484725092e00d5267b91561b642e3f9f45e4335a2af7be38ce9a117f0769,25/06/2023 23:16:04,ESCANER
2271,"Guatemala",1,"San José Pinula",3,186,380,56,24,3,55,2,3,1,15,12,15,0,1,1,0,1,0,1,1,5,196,19,4,219,0,219,--,380,161,196,219,219,Algún campo sin dato,1,c965e687dba19cecaf174f6e6979b45327f5cfa2c9357a68cb42f0c58bc3bf56,26/06/2023 00:08:36,ESCANER
2272,"Guatemala",1,"San José Pinula",3,186,215,32,20,3,15,4,0,1,14,5,11,0,0,0,0,0,0,0,1,5,111,8,1,120,0,120,--,215,95,111,120,120,Algún campo sin dato,1,ac3f5074f153b60ba03057ec91b03cbd632e9c2d539a10b14ad9cf82d8a03fed,25/06/2023 22:44:45,ESCANER
2273,"Guatemala",1,"San José Pinula",3,186,215,32,18,2,20,1,1,3,9,8,6,0,2,0,0,0,0,0,5,1,108,4,1,113,0,113,--,215,102,108,113,113,Algún campo sin dato,1,21620a7f81f5f13c8aba90bd08e9c5f62d5f9db4ec42a7a8e744fa847b27f1a3,25/06/2023 23:27:38,ESCANER
2274,"Guatemala",1,"San José Pinula",3,187,380,46,5,2,72,0,0,1,11,3,19,1,0,1,1,1,0,0,0,3,166,9,1,176,0,176,--,380,204,166,176,176,Algún campo sin dato,1,31a1bd54d4a8eea5abc7aa5683b347fe284480448fa68dc1c0e1182b7aa1f7a0,26/06/2023 00:27:37,ESCANER
2275,"Guatemala",1,"San José Pinula",3,187,380,52,5,10,66,2,2,0,2,0,10,0,0,1,0,0,0,0,1,6,157,9,6,172,1,173,--,380,208,157,172,173,Algún campo sin dato,1,69598686f14de2ef02704674e0ad193151334104cd85ded5a155bc8ef89f6f5c,25/06/2023 23:14:19,ESCANER
2276,"Guatemala",1,"San José Pinula",3,187,380,61,2,10,53,1,1,3,3,1,9,1,0,3,1,2,0,1,0,6,158,12,1,171,0,171,--,380,209,158,171,171,Algún campo sin dato,1,56ab244b415c5dd4a77b9382f40358b658b58a87aab74694d8bc6574695004da,25/06/2023 23:49:55,ESCANER
2277,"Guatemala",1,"San José Pinula",3,187,380,58,5,9,59,0,2,3,7,2,12,0,1,0,0,0,0,0,0,3,161,8,0,169,0,169,--,380,211,161,169,169,Algún campo sin dato,1,a18160e1bd218d210eeee380b7c935b986a680566cc4548eb1d4db00a391f5a2,25/06/2023 22:35:47,ESCANER
2278,"Guatemala",1,"San José Pinula",3,187,301,34,5,12,35,0,1,0,7,2,12,0,0,1,0,0,0,0,0,4,113,11,4,128,0,128,--,301,173,113,128,128,Algún campo sin dato,1,cf78caa6fa090e78baf0e922376f9a17a4d10e360c2c6eb6c17da816782c62db,25/06/2023 22:42:49,ESCANER
2279,"Guatemala",1,"San José Pinula",3,187,301,39,1,12,63,0,3,0,7,3,9,1,0,0,0,0,0,0,0,1,139,0,0,139,0,139,--,301,162,139,139,139,Algún campo sin dato,1,68f608a02b2f92d50f1ea67b3f21d22554d9e47551c746442dd25a01a56bee08,25/06/2023 22:55:33,ESCANER
2280,"Guatemala",1,"San José Pinula",3,188,380,64,18,2,30,4,1,3,19,14,24,0,1,0,0,2,0,0,1,6,189,20,5,214,0,214,--,380,166,189,214,214,Algún campo sin dato,1,72d6b12a37a0a1936b1a879fc99ad79e43f8c4b14f27801aca56e779fe48acfc,26/06/2023 00:23:53,ESCANER
2281,"Guatemala",1,"San José Pinula",3,188,380,70,21,4,48,3,1,2,20,16,23,3,0,1,0,2,0,4,2,13,233,19,2,254,0,254,--,382,128,233,254,254,Algún campo sin dato,1,b62647a0c6276a9ed43d94abf0eb5ad2de175e1fb3a50cfb690058ae0d0cbb19,26/06/2023 00:35:25,ESCANER
2282,"Guatemala",1,"San José Pinula",3,188,380,77,23,4,50,7,2,8,16,16,18,2,0,2,0,0,1,1,3,8,238,21,8,267,1,268,1,380,112,238,267,268,,1,b4b8c4725b64e77be62ad7310e315dfc7fc20d7959a24a03612e4ab3a3273fbf,26/06/2023 00:48:02,ESCANER
2283,"Guatemala",1,"San José Pinula",3,188,380,85,21,8,37,2,2,2,29,30,29,0,1,4,2,2,0,5,3,5,267,18,3,288,0,288,--,377,89,267,288,288,Algún campo sin dato,1,bf556f200b11688e7ebc9766d689cf2a72e7c961b2784d4467a30c8de7b549b4,26/06/2023 01:03:53,ESCANER
2284,"Guatemala",1,"San José Pinula",3,188,380,65,19,3,38,4,4,4,21,19,23,1,2,4,0,0,0,0,0,9,216,21,5,242,0,242,--,380,138,216,242,242,Algún campo sin dato,1,ae94ce5b5d51508aff6baf24ea43d59c6486923e2234ade9514dd710583fe651,26/06/2023 01:19:00,ESCANER
2285,"Guatemala",1,"San José Pinula",3,188,380,66,17,5,36,4,5,4,17,17,38,1,1,5,0,1,0,0,2,4,223,17,0,240,0,240,--,381,141,223,240,240,Algún campo sin dato,1,3ccf541365132a0c3d2c0fd6a215501de6805ac16c4add2de671883b838cbad5,26/06/2023 00:54:47,ESCANER
2286,"Guatemala",1,"San José Pinula",3,188,380,81,12,1,42,2,1,4,28,6,28,0,0,2,0,0,0,1,2,9,219,8,3,230,0,230,--,380,150,219,230,230,Algún campo sin dato,1,8c26715147a3f74dc9480778598f94c47c22e602eb801dc4920aba28bcf80165,25/06/2023 23:47:30,ESCANER
2287,"Guatemala",1,"San José Pinula",3,188,380,62,7,2,44,4,1,5,22,11,27,2,0,6,0,2,1,0,3,6,205,19,3,227,0,227,--,380,153,205,227,227,Algún campo sin dato,1,7923e10c208d5a3efde20e4f0958f70097b610785b1b3ace483590dd36efd312,26/06/2023 00:12:58,ESCANER
2288,"Guatemala",1,"San José Pinula",3,188,380,74,14,3,30,3,1,7,25,13,15,0,0,2,1,0,0,3,1,12,204,12,3,219,0,219,--,381,162,204,219,219,Algún campo sin dato,1,00ab0a3d14d6167eaae815598a21f693dd24d046ac5578fe8440ffc5ef7de8d9,25/06/2023 22:43:48,ESCANER
2289,"Guatemala",1,"San José Pinula",3,188,380,54,15,4,50,2,0,6,20,14,22,1,0,0,0,0,0,1,1,9,199,7,2,208,0,208,--,380,172,199,208,208,Algún campo sin dato,1,ecc5291e50601523ac25268f69e3a2c2bb48fec0783b3b84e3f86da9aae479ad,26/06/2023 00:28:03,ESCANER
2290,"Guatemala",1,"San José Pinula",3,188,380,72,6,3,33,9,0,2,23,9,20,0,0,0,1,2,0,0,0,5,185,4,2,191,0,--,--,380,189,185,191,191,Algún campo sin dato,1,9bf854dd3da33eea0763fd737abe540a8fef71ae6fbc80bdbef15a383b3a0f0e,26/06/2023 00:07:43,ESCANER
2291,"Guatemala",1,"San José Pinula",3,188,225,34,3,2,24,6,0,2,13,4,10,1,0,0,0,0,0,1,2,3,105,3,0,108,0,108,--,225,117,105,108,108,Algún campo sin dato,1,2943d987ca3c73c07794ef10a717b37d31586873da5a3934ff5a0ca628cd631b,25/06/2023 23:21:03,ESCANER
2292,"Guatemala",1,"San José Pinula",3,188,224,30,2,1,16,4,0,1,11,10,11,0,0,3,1,0,0,2,0,3,95,1,2,98,0,98,--,225,127,95,98,98,Algún campo sin dato,1,85948c169649718189aa36317b05be2b9235ef52d239065fe8fce71be36fc96a,25/06/2023 22:21:07,ESCANER
2293,"Guatemala",1,"San José Pinula",3,189,600,82,8,10,48,6,1,3,33,12,53,3,1,9,0,2,0,0,9,5,285,21,4,310,0,310,--,600,290,285,310,310,Algún campo sin dato,1,a6fa87ddc19ebd6942b97e1492a9f249f9d80f9efb6009639c13acb59f24a194,26/06/2023 00:03:17,ESCANER
2294,"Guatemala",1,"San José Pinula",3,189,600,82,12,13,52,7,0,9,26,13,65,1,1,5,0,0,1,2,6,10,305,15,4,324,0,324,--,600,276,305,324,324,Algún campo sin dato,1,6374992ad4462e5b77da59a8f7e081077440299cfb16b67025e773ce7b2110dc,26/06/2023 00:52:09,ESCANER
2295,"Guatemala",1,"San José Pinula",3,189,360,37,6,4,31,9,1,0,16,9,27,2,0,7,0,2,1,3,5,8,168,14,0,182,0,182,--,360,178,168,182,182,Algún campo sin dato,1,cb72738c0f40805f92bb6dbb2ca66da8d49e3a7bab7bc062012368562f8d2b6f,25/06/2023 23:40:07,ESCANER
2296,"Guatemala",1,"San José Pinula",3,189,360,24,2,2,14,1,3,3,6,5,15,0,0,2,0,0,0,1,1,3,82,3,1,86,0,86,--,360,274,82,86,86,Algún campo sin dato,1,f0f3b863a4c24ca4c0532bf526948d0d0e0c8b2cccac50e2fdac1797e5364917,25/06/2023 22:12:54,ESCANER
