TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
185,185,100.0000,184,99.4594,1,70079,38880,55.4802

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,VAMOS,TODOS,UR,U R N G - MAIZ,UNE,ELEFANTE,VALOR,VICTORIA,VIVA,AZUL,PHG,PODEMOS,PODER,CABAL,UNIONISTA,CAMBIO,PPN,PR,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14812,"Huehuetenango",13,"Huehuetenango",1,2118,400,73,59,75,5,2,12,1,0,0,4,1,4,3,2,0,2,2,1,1,3,251,19,3,273,0,273,--,127,--,250,272,272,Sumas Asentadas sin cuadrar,1,ff5df55fe41c36a4e4ad844c3d4186a894da8ff07c0fa218b62ab7840f0c65b2,26/06/2023 00:44:30,ESCANER
14813,"Huehuetenango",13,"Huehuetenango",1,2118,400,64,56,73,4,4,19,3,5,4,8,4,5,1,1,3,0,0,0,2,2,258,17,3,278,0,278,--,--,--,258,278,278,Algún campo sin dato,1,7af3aa309ece6ad1e6257613a6247184a54d68f1d01f7fccee364df4951bedb0,26/06/2023 05:18:01,ESCANER
14814,"Huehuetenango",13,"Huehuetenango",1,2118,400,65,56,41,5,2,17,1,1,2,2,0,7,2,3,1,1,1,0,1,5,213,15,1,229,0,229,--,400,171,213,229,229,Algún campo sin dato,1,9a321454f474eeb9719c06991ba803ee4a542d60c554773821160891073dd4c9,26/06/2023 00:09:17,ESCANER
14815,"Huehuetenango",13,"Huehuetenango",1,2118,400,58,66,47,4,9,15,5,2,3,9,3,5,1,2,3,2,1,0,1,6,242,20,2,264,0,264,--,396,132,242,264,264,Algún campo sin dato,1,49cb563006483ad3cd82b60dd7e6b137da6b073570f854afee7287d38c4f4f03,26/06/2023 02:40:33,ESCANER
14816,"Huehuetenango",13,"Huehuetenango",1,2118,400,68,69,48,6,1,13,0,1,2,3,4,6,1,2,1,1,3,0,1,3,233,21,0,254,0,254,--,400,146,233,254,254,Algún campo sin dato,1,179007a2ffbf444b5601a0ec00fe33f617a71c6b52f579c178c0cd8f7c732a37,26/06/2023 01:33:37,ESCANER
14817,"Huehuetenango",13,"Huehuetenango",1,2119,400,72,68,44,3,4,13,2,4,7,2,0,5,2,3,1,6,1,1,1,4,243,12,1,256,1,257,1,401,144,243,256,257,,1,74f9fd7e5ac79730dca144a28f7ebc529d8b9b342028cf10782f53b0b93cade5,26/06/2023 02:35:26,ESCANER
14818,"Huehuetenango",13,"Huehuetenango",1,2119,392,54,73,44,4,5,12,0,1,7,2,3,8,3,0,0,1,1,0,0,4,222,14,0,236,1,237,--,392,155,222,236,237,Algún campo sin dato,1,7ec18f1ea99e4b5f23195cea25f5c283aa51fb3c2b2e035b58d6fe1f4166dc82,26/06/2023 02:55:23,ESCANER
14819,"Huehuetenango",13,"Huehuetenango",1,2119,391,44,49,39,0,2,5,0,4,2,2,1,4,1,1,2,2,2,1,1,3,165,13,0,178,1,179,--,391,212,165,178,179,Algún campo sin dato,1,a3fc92235468febe80a9faf1e0e35716dac3345884237ff53a29db7c1aefb376,26/06/2023 02:06:14,ESCANER
14820,"Huehuetenango",13,"Huehuetenango",1,2120,400,52,46,49,4,4,8,2,2,5,6,3,5,1,4,5,2,0,0,1,1,200,17,1,218,0,218,--,400,182,200,218,218,Algún campo sin dato,1,98edb1a72a178c1e437461539970fe4d48819e22df575234976fab8d9c2e54f7,26/06/2023 01:27:11,ESCANER
14821,"Huehuetenango",13,"Huehuetenango",1,2120,400,43,60,38,4,5,17,2,9,5,5,4,7,4,1,2,2,3,0,0,2,213,24,3,240,0,240,--,400,160,213,240,240,Algún campo sin dato,1,84633b5e963c9fe8d9261ca5419de4065636bdee14f11a305c29948e4d2e185f,26/06/2023 02:36:02,ESCANER
14822,"Huehuetenango",13,"Huehuetenango",1,2120,400,53,58,49,0,4,15,4,3,4,9,2,4,3,0,5,3,1,0,2,1,220,23,1,244,0,244,--,400,156,220,244,244,Algún campo sin dato,1,d9707a1f468e8cf116e3e9959c17e848732a09dade4b6e64d85a8d480a9e8e9b,25/06/2023 23:18:28,ESCANER
14823,"Huehuetenango",13,"Huehuetenango",1,2120,400,40,61,52,3,9,12,1,3,7,6,7,6,0,1,4,1,2,2,3,2,222,26,5,253,0,253,--,400,147,222,253,253,Algún campo sin dato,1,f4dee69d95fdad462d485c5961a1c7740e0f445f376e158f9a81cd6672754a75,26/06/2023 01:24:41,ESCANER
14824,"Huehuetenango",13,"Huehuetenango",1,2120,400,66,55,53,2,3,21,2,3,9,3,3,3,2,0,1,1,0,0,2,1,230,17,4,251,0,251,--,400,149,230,251,251,Algún campo sin dato,1,97a16551c1d2e998cbb6eee864a9578b9b55dc21fb7995a64e5f078bbd74aea5,26/06/2023 01:45:12,ESCANER
14825,"Huehuetenango",13,"Huehuetenango",1,2120,400,55,43,53,5,2,18,2,1,8,6,4,8,3,0,1,0,1,1,3,1,215,12,2,229,0,229,--,400,171,215,229,229,Algún campo sin dato,1,ce988a8f88fc2807bf16a8f96d4eeb299343aff8dbcb87a870f874f109376ab6,26/06/2023 01:52:47,ESCANER
14826,"Huehuetenango",13,"Huehuetenango",1,2120,400,49,41,53,1,1,16,0,2,5,3,2,10,2,0,1,0,2,1,1,2,192,11,3,206,0,206,--,400,194,192,206,206,Algún campo sin dato,1,8ae63280d692e2d9ac3c7c76844d56755a6042c2232767d310debfbce67ad0f7,27/06/2023 19:56:27,ESCANER
14827,"Huehuetenango",13,"Huehuetenango",1,2120,400,40,56,50,4,2,16,1,6,4,9,0,4,2,1,1,2,2,3,1,2,206,16,5,227,0,227,--,400,173,206,227,227,Algún campo sin dato,1,971488964374ada10e99bf0ff4c49aaade3e19f20dd0a7c58eea004f22102a6c,26/06/2023 02:21:02,ESCANER
14828,"Huehuetenango",13,"Huehuetenango",1,2121,400,40,64,67,2,2,14,1,5,5,2,7,7,2,2,1,0,1,2,3,0,227,10,1,238,0,238,--,400,162,227,238,238,Algún campo sin dato,1,7edb84cdd74706cc1f065672a1e0dca61a5f8d5b846f824f9ded1879e7cc4fed,25/06/2023 23:46:51,ESCANER
14829,"Huehuetenango",13,"Huehuetenango",1,2121,400,41,64,58,6,6,9,3,0,2,10,3,8,2,1,1,0,0,0,5,1,220,14,3,237,0,237,--,400,163,220,237,237,Algún campo sin dato,1,ae7e695ecd3a29fd1945ce81fa2ff0b5a71bf5dd929cadec713b9f00d98f35b0,26/06/2023 01:25:00,ESCANER
14830,"Huehuetenango",13,"Huehuetenango",1,2121,400,57,44,40,2,2,12,1,7,4,5,3,10,1,2,0,1,0,0,1,0,192,21,5,218,0,218,--,400,182,192,218,218,Algún campo sin dato,1,ccf26314259e0709f09380b156b84358c9ec376829c892966501bb83dc098e0b,26/06/2023 00:15:47,ESCANER
14831,"Huehuetenango",13,"Huehuetenango",1,2121,400,40,47,39,2,7,13,2,3,7,8,2,5,5,0,3,0,0,1,4,1,189,22,0,211,0,211,--,402,191,189,211,211,Algún campo sin dato,1,f7d9c490d7345ea456e5dee51dde4eaae0193e4b27d8f9b870368de84de10309,26/06/2023 00:33:06,ESCANER
14832,"Huehuetenango",13,"Huehuetenango",1,2121,400,52,53,46,2,5,18,2,2,14,6,1,1,1,0,1,0,1,0,3,0,208,16,2,226,0,226,--,400,174,208,226,226,Algún campo sin dato,1,af65375767dd4f46f9ef78cd615da183d23d41d06eca0cf915deab825901a740,26/06/2023 04:11:05,ESCANER
14833,"Huehuetenango",13,"Huehuetenango",1,2121,400,34,47,57,3,6,9,0,5,4,2,4,2,1,0,1,2,0,0,1,0,178,10,2,190,0,190,--,400,210,178,190,190,Algún campo sin dato,1,303eab4efbcf81d5a4c6dfe2fae42de4a23e15dd3b784b581d7384c8b56a7c8d,26/06/2023 01:06:12,ESCANER
14834,"Huehuetenango",13,"Huehuetenango",1,2121,400,35,58,52,3,2,8,2,0,6,3,2,0,2,1,0,2,2,3,0,4,185,5,3,193,0,193,--,400,207,185,193,193,Algún campo sin dato,1,98350585cbdb4a3f6082d7feb15939ad5d762ca38a1d2d65039930a455e76c89,26/06/2023 00:49:02,ESCANER
14835,"Huehuetenango",13,"Huehuetenango",1,2122,400,23,52,28,4,6,6,0,2,5,4,0,3,1,0,0,2,3,1,1,3,144,5,2,151,1,152,--,400,248,144,151,152,Algún campo sin dato,1,8ed87751c2b0ec27c4f09be96243e12f509826d1932205a541e956ce59778a60,26/06/2023 00:25:12,ESCANER
14836,"Huehuetenango",13,"Huehuetenango",1,2122,283,28,41,41,4,5,2,0,2,5,1,2,1,1,0,0,1,0,0,1,4,139,7,0,146,0,146,--,283,137,139,146,146,Algún campo sin dato,1,045be523f395ab5d3aeb82af2e97ad8561fe78fabce1daf21ae6e28b1b64b21b,25/06/2023 22:44:31,ESCANER
14837,"Huehuetenango",13,"Huehuetenango",1,2122,282,33,17,24,1,0,5,1,1,3,0,1,2,0,0,3,1,0,1,1,2,96,11,0,107,0,107,--,282,172,96,107,107,Algún campo sin dato,1,02c5aa0afc7bd20789e57763a8ffb082947811201eefb79ff3a12728747d09dd,25/06/2023 22:34:19,ESCANER
14838,"Huehuetenango",13,"Huehuetenango",1,2123,400,52,52,54,2,10,31,3,4,4,4,7,5,4,1,1,1,3,0,1,1,240,16,4,260,1,261,1,400,138,240,260,261,,1,cc5ce6d48416a755c0a0dc84a6154b22157896949ef461341a3bcab23b0db14d,26/06/2023 02:35:02,ESCANER
14839,"Huehuetenango",13,"Huehuetenango",1,2123,400,56,45,48,9,11,21,2,5,2,5,2,6,7,3,3,0,2,0,4,0,231,18,4,253,0,253,--,400,147,231,253,253,Algún campo sin dato,1,aafad9ae9dd243404a162286094f1f82bde4fce98bf799014bf028a1a7bb3472,25/06/2023 23:55:35,ESCANER
14840,"Huehuetenango",13,"Huehuetenango",1,2123,400,60,48,44,7,10,20,3,5,4,5,7,12,4,1,1,2,1,1,6,2,243,19,1,263,1,264,--,400,137,243,263,264,Algún campo sin dato,1,b3a95296a6e596d1074631f8c42fe45a355fb05b4b97827fda8ae913e2432438,25/06/2023 23:51:59,ESCANER
14841,"Huehuetenango",13,"Huehuetenango",1,2123,400,54,61,55,3,5,29,2,8,6,2,6,5,4,0,2,3,1,0,1,2,249,14,2,265,0,265,--,397,131,249,265,265,Algún campo sin dato,1,bee51422c94d87c278719b8f0a40c2850be506956eae51a00f7c82c526980300,26/06/2023 00:19:32,ESCANER
14842,"Huehuetenango",13,"Huehuetenango",1,2123,400,43,50,68,3,8,21,2,5,4,6,7,6,5,4,3,0,1,1,2,2,241,21,2,264,0,264,--,400,136,241,264,264,Algún campo sin dato,1,08e5059d1be348de8f001924faf594cecb28caf32300a2da0913f19ec4e85f83,26/06/2023 02:29:51,ESCANER
14843,"Huehuetenango",13,"Huehuetenango",1,2123,400,42,57,47,3,5,31,1,6,1,2,7,4,2,1,2,0,0,1,0,2,214,15,1,230,0,230,1,400,170,214,230,230,,1,9ec3b93da28da5c29c504280d485b1128423b2a661585c959ebb89f7db36aab0,25/06/2023 23:42:24,ESCANER
14844,"Huehuetenango",13,"Huehuetenango",1,2123,400,49,57,54,2,3,21,3,3,2,6,8,5,8,1,3,1,3,2,0,2,233,13,1,247,0,247,--,400,153,233,247,247,Algún campo sin dato,1,f70b3ca5eefbd756e10a520e54cd06c0112352d53022e5ea43bc1b0b1fd80f9f,26/06/2023 00:28:52,ESCANER
14845,"Huehuetenango",13,"Huehuetenango",1,2123,400,42,64,50,8,3,18,1,3,3,2,10,6,4,2,0,6,1,0,4,3,226,16,4,246,0,246,--,400,154,230,250,250,Sumas Asentadas sin cuadrar,1,f7bf5be0073d16645bccb5264da59a3dfdd34833559b1ac6792f668574c8c289,26/06/2023 01:39:04,ESCANER
14846,"Huehuetenango",13,"Huehuetenango",1,2123,400,42,63,49,8,6,25,0,0,5,0,7,17,4,4,0,3,0,0,1,4,238,19,1,258,0,258,--,400,142,238,258,258,Algún campo sin dato,1,c374c569e47536f032276871d23e870b76b1551c011c62ccec0e13251af39efc,26/06/2023 01:07:17,ESCANER
14847,"Huehuetenango",13,"Huehuetenango",1,2124,400,44,60,41,3,3,19,1,4,1,6,11,2,4,1,0,2,1,0,3,1,207,27,4,238,0,238,--,400,162,207,238,238,Algún campo sin dato,1,c27553615f578969e387be29875a8b45e585a2d62ef335a57b5fd11ef39f9832,26/06/2023 00:50:53,ESCANER
14848,"Huehuetenango",13,"Huehuetenango",1,2124,400,42,53,47,3,7,25,1,8,3,1,4,1,3,1,3,2,1,0,0,1,206,17,2,225,1,207,--,403,177,206,225,226,Sumas Asentadas sin cuadrar,1,1d8688a21f55174acfc41ffdf9a1205284165a3ac160f54c8500512ebd0ba22d,25/06/2023 23:58:54,ESCANER
14849,"Huehuetenango",13,"Huehuetenango",1,2124,400,45,65,51,2,3,13,2,3,4,2,7,6,3,0,1,0,1,2,0,2,212,17,1,230,0,230,--,400,170,212,230,230,Algún campo sin dato,1,d7d6916557d49593e49841dbad0a551698a7d594c984d8c9e432da043326c866,25/06/2023 23:51:25,ESCANER
14850,"Huehuetenango",13,"Huehuetenango",1,2124,400,41,63,41,1,6,22,1,3,4,4,3,7,5,0,3,2,1,0,2,0,209,11,1,221,0,221,--,400,179,209,221,221,Algún campo sin dato,1,5458e19fbad4b10742c8d8eb2b4d559be2a3071c01683e2e84b13ea81641b6da,26/06/2023 00:24:56,ESCANER
14851,"Huehuetenango",13,"Huehuetenango",1,2124,400,50,52,59,3,2,12,5,1,2,8,9,3,2,0,2,2,1,1,0,1,215,14,0,229,0,229,--,--,--,215,229,229,Algún campo sin dato,1,6de7ad53a30db103bf94d0e28f7069bdf63e363270a821da49c747a281713415,26/06/2023 03:36:09,ESCANER
14852,"Huehuetenango",13,"Huehuetenango",1,2124,400,26,48,43,2,1,20,2,2,3,3,3,2,2,1,3,0,1,1,0,3,166,7,0,173,0,173,--,400,227,166,173,173,Algún campo sin dato,1,f55d007903d98e108d15b4a6b331c89700ff2449ba71eb37cb4da155c44b4bb0,26/06/2023 01:45:38,ESCANER
