TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
53,53,100.0000,53,100.0000,0,19956,12900,64.6422

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR,AZUL,PODEMOS,VOS,UR,UNE,VIVA,CABAL,BIEN,DESANRAY,SEMILLA,P A N,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
3882,"Guatemala",1,"San Raimundo",11,381,400,46,26,16,14,30,3,23,18,14,3,32,4,1,32,262,20,7,289,0,289,0,400,111,262,289,289,,1,478b64d9dd79c4947ef31b7eab8c66c35812ed4eb8e054bafb6a5529e4c8a371,26/06/2023 00:36:39,ESCANER
3883,"Guatemala",1,"San Raimundo",11,381,400,48,22,5,15,24,3,34,20,13,3,30,3,0,45,265,17,12,294,0,294,0,397,103,265,294,294,,1,53c750eaabe428488b8ea01a16f7052efbde72820c76660937c1459e046e0dd2,26/06/2023 02:04:34,ESCANER
3884,"Guatemala",1,"San Raimundo",11,381,400,47,22,6,18,34,4,39,22,20,5,30,0,0,27,274,25,5,305,0,305,0,0,0,274,304,304,Sumas Asentadas sin cuadrar,1,e374fce2fdb17451ae1d64757278954afb24eab1924297abada4936b1ed1a05e,25/06/2023 23:00:55,ESCANER
3885,"Guatemala",1,"San Raimundo",11,381,400,51,14,13,18,28,7,42,14,20,3,31,1,1,39,282,19,13,314,0,314,0,400,86,282,314,314,,1,19eae256cc70ab735b932f29edd9722d5b805d6aa50f15006f83e0f25c826846,26/06/2023 01:15:26,ESCANER
3886,"Guatemala",1,"San Raimundo",11,381,400,34,20,10,8,47,3,49,16,19,4,28,4,0,37,298,13,6,298,--,298,--,399,101,279,298,298,Sumas Asentadas sin cuadrar,1,616880be85daa7976f083d2d7c94796b6cd2182ed4972d3e80b75a1fb8dc3a5d,26/06/2023 03:47:34,ESCANER
3887,"Guatemala",1,"San Raimundo",11,382,400,38,23,8,16,25,6,29,14,21,4,25,4,0,39,252,10,130,392,3,395,0,395,130,252,392,395,,1,2b1f88ffc74be988929d50d920bce15e1bac0b93f08200e8ec515d9d825cc840,26/06/2023 00:26:08,ESCANER
3888,"Guatemala",1,"San Raimundo",11,382,400,28,16,2,20,28,4,29,10,15,2,25,7,0,47,233,5,4,247,5,247,--,400,153,233,242,247,Sumas Asentadas sin cuadrar,1,ec8afb55fda8789d03593c27aaf29053d894e503b49814a6576473135a3751fb,26/06/2023 03:55:38,ESCANER
3889,"Guatemala",1,"San Raimundo",11,382,400,35,25,8,7,35,10,38,9,14,6,29,5,1,27,249,13,4,266,0,266,0,400,134,249,266,266,,1,27d7d913152585f6007b24473df74353fc58079949442e73067294a9a6f67c6d,26/06/2023 01:00:44,ESCANER
3890,"Guatemala",1,"San Raimundo",11,382,400,41,12,9,18,37,2,28,6,21,5,23,10,1,37,250,9,1,260,0,260,0,400,140,250,260,260,,1,c4c65bd4663ebd50fb23f357787e24639237a2df5de0e9df82512b2be0894537,26/06/2023 02:10:01,ESCANER
3891,"Guatemala",1,"San Raimundo",11,382,400,18,21,4,8,47,4,32,12,22,4,26,14,0,30,242,12,5,259,0,259,0,400,137,242,259,259,,1,c7079dc7688b816127fc1b3b0db18cb856bfe7004beeddb51cf84f153bd05875,26/06/2023 02:07:30,ESCANER
3892,"Guatemala",1,"San Raimundo",11,382,400,30,17,3,16,34,4,31,12,24,5,30,11,0,34,251,12,9,272,0,272,0,400,128,251,272,272,,1,f01248257d6e8b83e061f278810596c2198e126ce11f7ccbd222c47e4c32fdea,26/06/2023 00:02:30,ESCANER
3893,"Guatemala",1,"San Raimundo",11,382,400,23,19,8,16,34,6,18,7,23,3,16,6,0,37,216,20,5,241,2,243,0,400,157,216,241,243,,1,2e47d789190f938f4d8530ccecc74d25505477c02ef73a40b3eaaf324570fabf,26/06/2023 00:35:50,ESCANER
3894,"Guatemala",1,"San Raimundo",11,383,400,27,22,4,16,25,5,20,12,17,2,26,13,0,37,226,8,4,238,0,238,0,399,161,226,238,238,,1,4a425e6f10d51566c5626abc2e74d6c4f0f6691b34903220781162232af39f8c,26/06/2023 02:00:37,ESCANER
3895,"Guatemala",1,"San Raimundo",11,383,400,26,20,3,13,23,7,28,8,11,3,33,12,1,32,220,5,0,225,0,225,0,397,172,220,225,225,,1,d599f09768be2a78f1c798638503b40a39cf0c78564ef6b097905cc3b95e6fc4,26/06/2023 01:47:49,ESCANER
3896,"Guatemala",1,"San Raimundo",11,383,400,27,15,7,13,40,2,20,10,22,3,28,11,0,29,227,0,1,228,0,228,0,398,170,227,228,228,,1,9de808545c00c91268df0b29d78d509469c068627a937e16a9c644c624ba2ace,26/06/2023 00:49:22,ESCANER
3897,"Guatemala",1,"San Raimundo",11,383,400,31,8,3,8,34,7,27,15,19,0,34,3,0,31,220,2,2,224,0,224,0,0,0,220,224,224,,1,738f178bd955d2c0e822ecf562c388ecfd3d3fddf0fc1a65a15f9903e28dbabb,26/06/2023 01:57:54,ESCANER
3898,"Guatemala",1,"San Raimundo",11,383,228,15,6,9,5,19,0,16,11,6,2,16,0,0,17,122,3,2,127,0,127,0,225,98,122,127,127,,1,fecb0c315fa9bd57689ea4ad2c9cf7c31fb6cd8edc3b91f212c2574d8b1eab31,25/06/2023 23:49:45,ESCANER
3899,"Guatemala",1,"San Raimundo",11,383,227,7,11,5,8,15,2,12,8,7,2,18,7,0,17,119,7,2,128,0,128,0,223,95,119,128,128,,1,b2b0b745ff3e8726062f1e5ffcee38561949695f84b051fadbe58b5553f1991d,26/06/2023 00:43:51,ESCANER
3900,"Guatemala",1,"San Raimundo",11,384,380,60,8,5,18,23,5,38,30,43,10,9,3,0,11,263,19,8,290,0,290,0,0,0,263,290,290,,1,d1cf7550eea255ea966bd568f20354874dec9f1ac73f2cee9157e94805d783e4,26/06/2023 03:44:41,ESCANER
3901,"Guatemala",1,"San Raimundo",11,384,380,76,5,5,15,25,10,32,28,33,4,10,2,0,8,253,20,8,281,0,281,0,376,95,253,281,281,,1,758c0656456bf3d53d4874f21baa742f0e6fdc4a4862395342503be5b2705a4f,26/06/2023 03:47:07,ESCANER
3902,"Guatemala",1,"San Raimundo",11,384,380,76,11,14,32,27,2,26,30,20,2,11,1,0,12,264,24,9,297,0,297,0,400,103,264,297,297,,1,1cea502f1f1b84d28c8a688d705ef01c2530486c601a43b9c2138c9c8b5f085f,26/06/2023 03:31:21,ESCANER
3903,"Guatemala",1,"San Raimundo",11,384,380,68,8,9,24,28,4,17,24,23,5,8,4,0,12,234,18,8,260,1,261,0,380,116,234,260,261,,1,97997756a9f8a589255aa0bc0fbe65353850d4c2f1bd1e6c725455a69282c6ca,26/06/2023 03:22:12,ESCANER
3904,"Guatemala",1,"San Raimundo",11,384,380,54,10,4,14,15,0,31,24,25,7,21,2,1,5,213,13,6,232,0,232,0,380,148,213,232,232,,1,51ac9d4bdf2d9243fcfbe97e6dd0bc4cf58ad01c5eac3e50a5b9326841b5bda8,26/06/2023 03:32:28,ESCANER
3905,"Guatemala",1,"San Raimundo",11,385,380,67,4,10,18,21,4,23,34,20,6,11,4,0,7,229,9,8,246,0,246,0,380,134,229,246,246,,1,d9aa7a61f23d6dded97fffc140eb9f7861c506795403acd50f5642b9c7a25e63,26/06/2023 00:03:35,ESCANER
3906,"Guatemala",1,"San Raimundo",11,385,380,54,4,6,17,22,3,25,26,23,1,23,3,0,12,219,66,0,225,0,225,--,380,155,219,285,285,Sumas Asentadas sin cuadrar,1,3e26a4cf3d891e6e5199012ab45c0a44b577e2d8cd0adc585e6fa24eb4e4fff1,26/06/2023 02:00:14,ESCANER
3907,"Guatemala",1,"San Raimundo",11,385,221,38,0,2,16,8,2,13,13,19,1,14,2,0,6,134,1,2,137,0,137,0,221,84,134,137,137,,1,f5c5384cbdef1d1ff66f5ddf16a885eac6870aedace835065d17a44b9fb82d64,25/06/2023 22:36:52,ESCANER
3908,"Guatemala",1,"San Raimundo",11,385,221,35,2,2,8,9,2,11,8,17,0,7,2,0,1,104,4,2,110,0,110,0,221,111,104,110,110,,1,836f36d677cc9d146d2d42306aae725bd8ed752a4ece2eb6d30a9bb99b6b5f19,25/06/2023 22:08:20,ESCANER
3909,"Guatemala",1,"San Raimundo",11,386,380,35,7,4,8,18,2,35,40,8,1,32,2,1,12,205,17,5,227,0,227,0,380,153,205,227,227,,1,fa14e0a9b3b2f2ee257d531970fd7d40c53e3e999b9527e6a8ee00686d68f2c8,26/06/2023 04:38:42,ESCANER
3910,"Guatemala",1,"San Raimundo",11,386,380,36,5,3,18,29,6,37,35,12,2,40,2,0,17,242,19,4,265,0,265,0,190,575,242,265,265,,1,7e62abbcaec0f7d01e9de276f66815cc6b7d50f1bdeede1a8c178910eac6ab9d,26/06/2023 00:02:22,ESCANER
3911,"Guatemala",1,"San Raimundo",11,386,380,37,18,7,17,25,0,34,33,11,1,17,1,0,24,225,29,6,260,0,260,2,380,113,225,260,260,,1,d7e3ed2dbaa47b76b9c3fe22a23d81a3dbb8948fa73e884de46e830557b9f1ca,26/06/2023 02:09:13,ESCANER
3912,"Guatemala",1,"San Raimundo",11,386,380,38,8,6,12,23,5,29,29,12,0,32,0,0,8,202,4,3,209,0,209,0,0,0,202,209,209,,1,858d5c138bd1585a3f69c40b9906f51421b14612e20485bbdbcf6bf3278503e1,26/06/2023 01:30:34,ESCANER
3913,"Guatemala",1,"San Raimundo",11,386,380,29,10,7,15,13,1,25,38,6,1,30,0,1,6,182,15,4,201,0,201,0,380,179,182,201,201,,1,6c7f1e8d4b6cc2d842438494a7198ac0dc1320d87114196a0b838e6c751c1386,26/06/2023 00:43:02,ESCANER
3914,"Guatemala",1,"San Raimundo",11,386,250,23,9,1,11,13,6,12,12,2,0,40,0,0,8,137,1,0,138,1,139,0,250,111,137,138,139,,1,226a11636feaead6be7e3401751d327259c68a9079cbb5db3ed049d00264cc31,26/06/2023 00:32:41,ESCANER
3915,"Guatemala",1,"San Raimundo",11,386,249,14,2,1,13,9,4,18,19,4,0,31,2,0,10,127,4,0,131,0,131,0,249,118,127,131,131,,1,b702c0a67dfd4821e00d1a13bd36d7db85246a54e86e4ec3c20d76c9fac3b22d,25/06/2023 22:27:05,ESCANER
3916,"Guatemala",1,"San Raimundo",11,387,512,10,7,15,5,9,2,19,6,16,7,30,1,0,11,138,12,5,155,0,155,0,512,357,138,155,155,,1,72274debb0dd784a65d5a1aa74aa872f52a02529535c08b7ad7d495299730f05,25/06/2023 23:12:59,ESCANER
3917,"Guatemala",1,"San Raimundo",11,387,512,9,4,10,3,11,3,18,8,3,2,22,1,0,13,107,8,8,123,0,123,0,510,387,107,123,123,,1,6304e332442bf638c18c96b2e8d6a65338b9abd817a4a071a6f482522c8ff070,25/06/2023 23:26:10,ESCANER
