TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
55,55,100.0000,55,100.0000,0,20102,14730,73.2762

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,CABAL,AZUL,VAMOS,UNE,CAMBIO,VALOR,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24137,"Jutiapa",22,"Comapa",11,3785,380,1,81,3,79,15,4,91,0,274,22,10,306,0,306,--,380,74,274,306,306,Algún campo sin dato,1,d3ece48afc1ae62d83f9c6f0133b5423dd71cfc8f5b2a626b8a580ef1dfda1fc,26/06/2023 00:09:13,ESCANER
24138,"Jutiapa",22,"Comapa",11,3785,380,1,88,3,60,10,4,82,0,248,18,10,276,0,276,--,380,104,248,276,276,Algún campo sin dato,1,9871368165b87a0cdffec20b62c3a4e3621a02169c330f2a4cb9b6927507edf1,25/06/2023 23:09:15,ESCANER
24139,"Jutiapa",22,"Comapa",11,3785,380,1,106,0,62,6,5,56,1,237,7,7,251,0,251,--,380,129,237,251,251,Algún campo sin dato,1,47a327899c55b90df39b304b46f2a92829f921e54fc130c5b95428b0f5922d19,25/06/2023 23:49:50,ESCANER
24140,"Jutiapa",22,"Comapa",11,3785,380,1,98,1,50,10,5,58,0,223,16,1,240,0,240,--,380,140,223,240,240,Algún campo sin dato,1,61cf7721c1d9744686f6b21f86d416865475fed07669635c62fef07330ae5e24,25/06/2023 23:02:55,ESCANER
24141,"Jutiapa",22,"Comapa",11,3785,380,0,115,1,56,5,9,51,0,237,7,2,246,0,246,--,380,134,237,246,246,Algún campo sin dato,1,6452259d6247265f8050a886d5acb5a0f484b4f92ed240994b56f2b5fefd504d,25/06/2023 23:05:18,ESCANER
24142,"Jutiapa",22,"Comapa",11,3785,368,0,108,0,48,7,6,77,0,246,2,0,248,0,248,--,368,120,246,248,248,Algún campo sin dato,1,4d092e6904400e0f96375bf3bc311cfc929adab90a646ce997f7a658311b1a1f,25/06/2023 21:00:51,ESCANER
24143,"Jutiapa",22,"Comapa",11,3785,367,0,88,0,71,11,6,63,0,239,3,3,245,0,245,--,365,120,239,245,245,Algún campo sin dato,1,c3316687ec69e01936dc68a77dd565d9c26550400ee9584aafbec722764cf7c8,25/06/2023 22:00:48,ESCANER
24144,"Jutiapa",22,"Comapa",11,3786,380,0,69,4,127,10,3,12,2,227,15,5,247,0,248,1,381,133,227,247,247,Sumas Asentadas sin cuadrar,1,94d40ced6a74bca80ecb23c86e019a65ab66cafc38f08a7771ca5e427b448168,25/06/2023 23:26:04,ESCANER
24145,"Jutiapa",22,"Comapa",11,3786,380,1,80,3,140,16,1,18,0,259,32,7,298,0,298,--,379,81,259,298,298,Algún campo sin dato,1,971cde3fa68f49223282f72393769e5ec7551ef957549123314cebd4ef0c129a,25/06/2023 22:12:46,ESCANER
24146,"Jutiapa",22,"Comapa",11,3786,380,0,68,4,103,9,2,20,0,206,8,6,220,0,220,--,380,160,206,220,220,Algún campo sin dato,1,6fd9c4a1b0878214f5af1fe96952d0c08dd111ed12d7aeb7554f8a0c1e797930,26/06/2023 00:21:22,ESCANER
