TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
47,47,100.0000,47,100.0000,0,16938,11514,67.9773

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,AZUL,WINAQ,CABAL,MLP,UNE,CCMT,CREO,VICTORIA,TODOS,VOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11063,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1480,380,107,23,2,0,2,4,7,5,2,0,1,46,199,8,6,213,0,213,--,380,167,199,213,213,Algún campo sin dato,1,18799e5a79208028b2fc90235dae9b72691bdf464d91802b1c03afaaa6d47da1,25/06/2023 23:02:56,ESCANER
11064,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1480,380,86,35,0,3,0,5,10,7,0,0,0,54,200,9,7,216,0,216,--,379,163,200,216,216,Algún campo sin dato,1,3ac303f018f0f9e296b0a33768cfbe3cb4603bcd931131a53c3c315d9e5b069a,26/06/2023 00:31:26,ESCANER
11065,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1480,380,100,38,0,0,0,6,6,6,1,0,0,49,206,5,0,211,0,211,--,380,169,206,211,211,Algún campo sin dato,1,a8d751b35cc0b13e878ca6ad26215c45546db75e519dc91960c859e4910759f7,25/06/2023 22:08:51,ESCANER
11066,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1480,246,57,24,0,0,0,7,3,3,0,0,0,35,129,2,0,131,0,131,--,246,115,129,131,131,Algún campo sin dato,1,3e06714dd4a2248993dcf3d7e2cd3a4efa765e9fe08b86098d2f7e48bc644cfa,25/06/2023 23:17:49,ESCANER
11067,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1480,245,62,13,0,1,3,3,3,6,0,0,1,33,125,3,3,131,0,131,--,245,114,125,131,131,Algún campo sin dato,1,a1fe008147b406c0120298a514e50412d3575ead010954517b204c9e333a3951,25/06/2023 23:36:21,ESCANER
11068,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1481,380,86,70,3,4,5,3,45,0,1,2,2,11,232,11,5,248,0,248,--,380,132,232,248,248,Algún campo sin dato,1,cc4263d4362696f03315cce16ade1a880619d1add078037d4395fb80d1cc8a71,25/06/2023 23:56:37,ESCANER
11069,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1481,380,51,69,7,0,11,1,53,0,0,1,2,26,221,10,6,237,0,237,--,380,143,221,237,237,Algún campo sin dato,1,2ba1485b60bd0e822628503e23576fd4820ce76c1b019ec618d86ff6e5597d5e,25/06/2023 23:06:07,ESCANER
11070,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1481,380,134,107,2,11,1,3,6,0,1,0,7,12,284,14,9,307,0,307,--,380,73,284,307,307,Algún campo sin dato,1,7de6db3ed5844be2e06024e20fe0571a3fa8c6bebdbdcebcd1ffa6e63223e9a3,26/06/2023 00:16:38,ESCANER
11071,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1481,380,119,83,5,6,3,1,17,0,0,0,1,5,240,4,11,255,0,255,--,380,125,240,255,255,Algún campo sin dato,1,6e947e284eb36852d9bcf0009c0eaada9b3e96dc7b289a2ad25e322edb49ab8c,25/06/2023 21:34:20,ESCANER
11072,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1481,380,106,86,1,5,6,2,30,0,0,0,2,13,251,7,1,259,0,259,--,380,121,251,259,259,Algún campo sin dato,1,c65f33e69795732bbf1362cc06aea4a9178e5f170480477fd6b47f108f00a972,26/06/2023 00:09:56,ESCANER
