TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,94,100.0000,0,36670,25945,70.7526

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,UNE,CABAL,AZUL,WINAQ,VICTORIA,SEMILLA,MLP,VIVA,PR,CAMBIO,PODEMOS,VAMOS,TODOS,VOS,BIEN,U R N G - MAIZ,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8079,"Escuintla",5,"Palín",11,931,400,72,91,3,1,8,13,44,2,0,7,2,0,43,0,0,0,1,287,6,1,294,0,294,0,450,196,287,294,294,,1,d41103ca820ef99a3f7000ffc039fe951f5c653a680b508a2ff25b44815d9d2d,26/06/2023 10:52:01,ESCANER
8080,"Escuintla",5,"Palín",11,931,400,89,72,6,0,7,10,36,1,3,8,0,0,19,1,1,3,8,--,12,2,308,--,309,--,--,--,264,278,278,Sumas Asentadas sin cuadrar,1,097978b8a9df7ae28b611daa63dde1ff497c37e5d08b098828100444186e980b,27/06/2023 14:23:32,ESCANER
8081,"Escuintla",5,"Palín",11,932,400,83,67,10,3,3,11,50,0,2,6,0,0,43,1,1,0,3,279,6,4,289,0,289,0,400,111,283,293,293,Sumas Asentadas sin cuadrar,1,b5e32b9dc1bfeaee44f9cc237022caa8f36ddc3d8fbea369c7980f4777fed5ca,26/06/2023 11:25:15,ESCANER
8082,"Escuintla",5,"Palín",11,932,400,80,68,4,1,9,21,49,3,1,2,0,0,43,0,1,0,3,285,7,1,293,0,--,0,400,107,285,293,293,Algún campo sin dato,1,68f17a62ef95f38aa1db06c98c2ea1b33fb4aa467c25a462a8642b400260d8d0,27/06/2023 14:23:44,ESCANER
8083,"Escuintla",5,"Palín",11,932,400,80,80,3,2,3,6,57,2,3,13,0,2,38,2,0,0,1,290,5,2,297,0,297,0,400,103,292,299,299,Sumas Asentadas sin cuadrar,1,c81d300c2c8d94810bbb96b3e8b08e3d7b3fa153ebe0bf7f310c88a6a3e53336,26/06/2023 11:56:07,ESCANER
8084,"Escuintla",5,"Palín",11,932,400,82,79,4,3,3,10,54,1,4,9,1,1,40,0,2,1,2,296,18,1,315,0,315,0,400,85,296,315,315,,1,d2f41dd5c291620139766ca3ec48dd08e521b655d5c3e3d633bba8dd5773a1d9,26/06/2023 11:39:20,ESCANER
8085,"Escuintla",5,"Palín",11,932,400,69,75,2,6,5,17,58,1,6,5,1,1,51,0,0,0,2,299,8,1,308,0,308,1,400,91,299,308,308,,1,62d4eb5c0f007ea6fd33ccaf0f60d323d84aa7bf3c514262bbff92897e9e3d4f,26/06/2023 11:49:11,ESCANER
8086,"Escuintla",5,"Palín",11,932,400,81,76,0,3,3,9,49,0,2,7,0,1,53,0,2,0,4,290,9,2,301,0,301,0,400,99,290,301,301,,1,0d70ab870b4a87c27140be5d9955ee17954cf97aa74257b53946fb660a96428f,26/06/2023 12:03:52,ESCANER
8087,"Escuintla",5,"Palín",11,932,400,84,57,5,2,3,16,53,2,2,10,0,0,53,1,0,1,2,291,8,1,300,1,292,0,400,99,291,300,301,Sumas Asentadas sin cuadrar,1,b8ae436ec62d6c439bd29fd0b3b5d92ac4cf6753b56f37e072d1a49478f9754c,26/06/2023 12:00:47,ESCANER
8088,"Escuintla",5,"Palín",11,932,400,68,80,7,2,3,13,56,0,1,9,0,1,46,4,1,0,4,295,14,4,313,0,313,0,400,87,295,313,313,,1,84078f317af61ec3906199184038f10dcc674e6213edfa967c5ca879bba43761,26/06/2023 12:06:36,ESCANER
