TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
194,194,100.0000,193,99.4845,1,70903,34895,49.2151

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,MLP,UR,TODOS,CONSOL,PHG,VICTORIA,CAMBIO,AZUL,VAMOS,UNE,CCTPFDJ,VIVA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23581,"Jutiapa",22,"Jutiapa",1,3704,400,42,26,1,5,14,4,13,3,8,11,80,18,0,5,2,233,19,2,254,0,254,--,400,146,232,253,253,Sumas Asentadas sin cuadrar,1,7ba5e9a81454cf33a8c880d58b86d2a50dc20d79cef2410405e336f7bb5ff08c,26/06/2023 00:36:21,ESCANER
23582,"Jutiapa",22,"Jutiapa",1,3704,400,57,28,2,0,16,5,6,2,5,16,97,12,1,3,0,250,9,3,12,8,270,--,400,130,250,262,270,Sumas Asentadas sin cuadrar,1,531cfaecd00df1b0aff05d8ca29749fe1160c322d08a24395c7a76950674ad8b,26/06/2023 04:53:04,ESCANER
23583,"Jutiapa",22,"Jutiapa",1,3704,400,40,27,1,2,10,3,14,2,8,11,108,15,0,5,1,247,22,1,270,0,270,--,400,130,247,270,270,Algún campo sin dato,1,19e5e5edab2a747e9ec9935a5acb8260e12de3f71c088622fbb4d4fcc9c33b41,26/06/2023 01:59:05,ESCANER
23584,"Jutiapa",22,"Jutiapa",1,3704,400,53,29,0,1,16,4,18,3,14,20,77,14,3,5,6,263,13,2,278,0,278,--,399,121,263,278,278,Algún campo sin dato,1,7404f90c450f2079071cdcad38f3b68f5e0f9156ef328e9286839ece0bdb3b44,26/06/2023 02:06:24,ESCANER
23585,"Jutiapa",22,"Jutiapa",1,3704,400,44,28,2,5,13,5,21,2,12,13,73,21,1,1,7,248,15,0,263,0,263,--,400,137,248,263,263,Algún campo sin dato,1,2b59602a022ab9dfe93ff763c6887ccf93a3e3eeac74e7051837214298e1d96a,25/06/2023 23:26:58,ESCANER
23586,"Jutiapa",22,"Jutiapa",1,3704,400,50,30,2,0,0,0,10,0,52,13,73,17,0,0,0,226,10,1,237,0,237,--,400,163,247,258,258,Sumas Asentadas sin cuadrar,1,140a16c9da4a6520ed256535915a2d3263645f38d02d7396b30fd543929b60ed,26/06/2023 03:05:16,ESCANER
23587,"Jutiapa",22,"Jutiapa",1,3704,400,37,26,4,2,9,7,14,4,9,17,70,18,0,1,10,228,5,0,233,0,233,--,400,164,228,233,233,Algún campo sin dato,1,73f15ab386f5797d5c44791c007138809ab6ffd90dd944c4f49e22fe4ad66fc3,26/06/2023 01:11:29,ESCANER
23588,"Jutiapa",22,"Jutiapa",1,3704,400,50,8,2,1,18,3,14,2,5,26,77,13,1,2,3,237,14,1,252,1,253,--,400,147,225,240,241,Sumas Asentadas sin cuadrar,1,16cd1fe2d031d9db922a2b1e9f96a65949ba8dcffd2946606f3746699c082bac,26/06/2023 05:57:12,ESCANER
23589,"Jutiapa",22,"Jutiapa",1,3704,400,40,35,3,2,15,3,10,3,7,20,103,14,1,4,9,269,13,1,283,0,283,--,400,117,269,283,283,Algún campo sin dato,1,a1e31abb701be2b4699e6ebd2b70f1856c76b2bcd5af97340663b4b802085107,26/06/2023 02:25:00,ESCANER
23590,"Jutiapa",22,"Jutiapa",1,3704,400,37,18,2,1,11,6,19,2,8,17,84,17,1,2,4,229,18,0,247,0,247,--,400,153,229,247,247,Algún campo sin dato,1,760e2ecc090aa8fbe63c386c02c43824cb660d0514630f85ad84add5a52f190a,26/06/2023 00:43:07,ESCANER
