TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
194,194,100.0000,193,99.4845,1,70903,34895,49.2151

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,MLP,UR,TODOS,CONSOL,PHG,VICTORIA,CAMBIO,AZUL,VAMOS,UNE,CCTPFDJ,VIVA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23634,"Jutiapa",22,"Jutiapa",1,3712,380,14,41,2,1,26,0,23,0,3,5,44,22,1,2,1,185,21,8,214,0,214,--,380,166,185,214,214,Algún campo sin dato,1,e7ffd5eb2bb3422316d49cab7dba052655dffc724c2bea4bd522e77a0547d267,26/06/2023 01:49:21,ESCANER
23635,"Jutiapa",22,"Jutiapa",1,3712,380,19,32,1,0,40,1,12,2,2,3,22,16,1,0,0,151,12,1,164,7,171,--,380,209,151,164,171,Algún campo sin dato,1,4ea0ed0f8351ce52bb2dbe43aafc89765658342484398c1f76ac1fe392a60356,26/06/2023 00:16:19,ESCANER
23636,"Jutiapa",22,"Jutiapa",1,3712,380,22,31,2,1,22,0,16,0,3,6,24,16,0,1,2,146,12,6,164,0,164,--,380,216,146,164,164,Algún campo sin dato,1,3f69f5f4d6bc1f062330c47feeab48ff57549452aabbc5889b5346d8aad5854b,26/06/2023 01:59:34,ESCANER
23637,"Jutiapa",22,"Jutiapa",1,3712,380,30,37,3,0,34,0,25,1,4,4,28,11,0,3,0,180,24,2,206,2,208,--,380,172,180,206,208,Algún campo sin dato,1,9d3dfa428270cd93dae1f8696c8a86e307b73509c8d29ced3cbee8e026708488,26/06/2023 02:25:47,ESCANER
23638,"Jutiapa",22,"Jutiapa",1,3712,380,40,39,1,0,30,4,20,0,1,6,34,19,0,0,2,196,15,2,213,0,213,--,380,167,196,213,213,Algún campo sin dato,1,35502aa8e075b4af36b8bc6ee3e8a5226d7b7a72d93508bc3971cf43a264e843,26/06/2023 01:51:11,ESCANER
23639,"Jutiapa",22,"Jutiapa",1,3712,380,19,35,0,0,33,0,22,0,3,2,26,29,0,5,1,175,21,5,201,0,201,--,380,179,175,201,201,Algún campo sin dato,1,027d7ffb94687ce6e07dd18c26e309849e9c15350387774fb3b16739dd0bd912,26/06/2023 00:05:36,ESCANER
23640,"Jutiapa",22,"Jutiapa",1,3712,380,22,37,3,2,38,0,18,1,0,6,28,11,0,2,2,170,16,4,190,0,190,--,374,184,170,190,190,Algún campo sin dato,1,69cae5674a871120ddfcdbd73d2c23f7c8252bc6aa41d3357af553497a89d24c,26/06/2023 00:11:05,ESCANER
23641,"Jutiapa",22,"Jutiapa",1,3712,380,26,28,1,0,27,0,16,0,2,7,23,12,0,3,2,147,11,2,160,0,160,--,381,221,147,160,160,Algún campo sin dato,1,32d3433d14e97238f1e44b783e2de2f788819f9228f52ebfea8ce2586e5a1197,26/06/2023 01:22:43,ESCANER
23642,"Jutiapa",22,"Jutiapa",1,3712,380,19,40,1,5,33,3,21,0,1,4,27,6,0,0,5,165,4,1,170,0,170,--,380,210,165,170,170,Algún campo sin dato,1,e95c4b2c4f07129df8bce14dea94fed35bd841942dd9f6d7803fa3ec22f15260,26/06/2023 01:22:34,ESCANER
23643,"Jutiapa",22,"Jutiapa",1,3712,281,13,18,1,2,28,0,18,0,3,3,26,5,0,1,1,119,1,0,120,0,120,--,--,--,119,120,120,Algún campo sin dato,1,6705d121c6db546bf44518342e22010d20de07bfe239fde48229ee4e0c3b48f8,25/06/2023 23:09:44,ESCANER
23644,"Jutiapa",22,"Jutiapa",1,3712,280,17,14,2,1,24,0,7,0,1,2,19,4,0,0,2,93,9,0,102,0,102,--,277,175,93,102,102,Algún campo sin dato,1,a9238b2aaae782b87415c9287f3a0b0043f21c155bb3e0e3f6408a9c5c271014,25/06/2023 22:28:28,ESCANER
23645,"Jutiapa",22,"Jutiapa",1,3713,380,54,15,0,3,10,0,13,1,3,10,32,10,0,3,1,155,28,7,190,35,225,--,377,187,155,190,225,Algún campo sin dato,1,1eca49657b0da3cd037ed9f5e01f4b7de9795d12cae3608bf75c338a890dd42a,25/06/2023 22:36:37,ESCANER
23646,"Jutiapa",22,"Jutiapa",1,3713,380,67,14,0,3,6,1,17,0,1,22,30,7,1,2,1,172,34,6,212,0,212,--,380,168,172,212,212,Algún campo sin dato,1,a79577fb5fe7505c8d16e2f109de2962ea594a1f98446b170c9abcfb0d0c97d6,26/06/2023 00:12:35,ESCANER
23647,"Jutiapa",22,"Jutiapa",1,3713,380,71,20,1,4,13,0,20,0,1,11,26,14,0,3,1,185,23,2,210,--,--,--,380,170,185,210,210,Algún campo sin dato,1,d50e8167f051b14a12ce44423e72ad1694fa4f69591828de6232809e61435506,25/06/2023 21:45:50,ESCANER
23648,"Jutiapa",22,"Jutiapa",1,3713,380,56,11,0,0,15,0,0,0,0,20,42,14,0,1,0,159,29,5,193,0,193,--,380,168,159,193,193,Algún campo sin dato,1,a8bafaa5bd8510ff2984b0937c5eb19dd6fd9f15c03439328c72a3a2271dfb0e,25/06/2023 23:48:04,ESCANER
23649,"Jutiapa",22,"Jutiapa",1,3713,380,69,12,1,2,9,0,17,0,2,17,30,19,0,1,1,180,42,30,252,0,252,--,380,152,180,252,252,Algún campo sin dato,1,cc90284608ad19dce7b845c66adfcd7b86cef5855a70bee5835df69d06378e86,25/06/2023 22:35:50,ESCANER
23650,"Jutiapa",22,"Jutiapa",1,3713,380,76,13,0,4,11,0,13,0,1,23,42,7,0,5,2,197,48,2,247,0,247,--,380,133,197,247,247,Algún campo sin dato,1,52258273f940cf5cd44c36a77a17a0653e0b8fead54c56a413d1049be4448a8e,26/06/2023 00:32:47,ESCANER
23651,"Jutiapa",22,"Jutiapa",1,3713,380,84,5,0,1,5,0,16,0,1,20,43,11,0,1,1,188,44,11,243,0,243,0,380,137,188,243,243,,1,29e1e6b84aa2a56e6bf7e91c06b40631073884c209f91be64e383ba2e305a5e2,26/06/2023 01:31:02,ESCANER
23652,"Jutiapa",22,"Jutiapa",1,3713,380,82,13,0,2,21,0,11,1,1,19,26,8,0,5,2,191,29,8,228,0,228,--,380,152,191,228,228,Algún campo sin dato,1,83de3b590e6cd147357c5509c8839a37d2944f34bb557adbd447e76161d9629b,26/06/2023 01:06:37,ESCANER
23653,"Jutiapa",22,"Jutiapa",1,3713,380,71,13,1,2,7,1,16,0,2,29,39,12,1,0,0,194,46,9,249,0,249,--,377,125,194,249,249,Algún campo sin dato,1,199f2c8b9299e1b740d5736e12010d858f02e4c10f5a43c4e8a916569546e7ab,26/06/2023 01:27:50,ESCANER
23654,"Jutiapa",22,"Jutiapa",1,3713,380,73,13,0,6,7,0,19,1,2,27,37,13,0,0,2,200,35,7,242,0,242,--,380,136,200,242,242,Algún campo sin dato,1,5bd68a02a40fbff05e4ff9020cf38cfd32448a4dc9e9bdfea2028786301c61e0,26/06/2023 01:45:39,ESCANER
23655,"Jutiapa",22,"Jutiapa",1,3713,380,56,14,1,2,17,0,26,0,0,17,18,7,0,2,2,162,16,3,181,0,181,--,377,196,162,181,181,Algún campo sin dato,1,54ef29a791296400e5c8557f3f68a9a226acefd3d940abaac8144a462f0aa9d3,26/06/2023 00:48:07,ESCANER
23656,"Jutiapa",22,"Jutiapa",1,3713,380,40,12,0,5,12,1,21,2,2,22,21,10,0,2,1,151,12,3,166,0,166,--,--,--,151,166,166,Algún campo sin dato,1,624fda780736b6e1d4415ebbb0d8beb1cbdf7537b2581adeee3f9fccfb82f2c9,25/06/2023 23:23:24,ESCANER
23657,"Jutiapa",22,"Jutiapa",1,3713,380,50,7,0,8,5,1,18,7,7,15,20,14,0,0,0,152,17,2,171,0,171,--,380,209,152,171,171,Algún campo sin dato,1,2d8faa5ecd05f562bec6d0d0dd0143d1ef15a089d218da6a4a2c981f4bf5bc00,26/06/2023 00:41:51,ESCANER
23658,"Jutiapa",22,"Jutiapa",1,3713,380,46,19,0,5,8,1,20,0,1,21,34,13,1,1,2,172,22,1,195,0,195,--,380,185,172,195,195,Algún campo sin dato,1,92e9c6e0ec2894a4bff54d8984ff8deda032577877618a3218dd0d73d1f574a6,25/06/2023 23:59:02,ESCANER
23659,"Jutiapa",22,"Jutiapa",1,3713,380,47,16,0,4,12,0,14,0,1,17,21,8,1,2,1,144,32,8,184,--,184,--,--,--,144,184,184,Algún campo sin dato,1,fb2ca743bc5a32c50ea957529a1ab514e20dc279da8310d6fa5ba7ba230d3cad,25/06/2023 23:02:11,ESCANER
23660,"Jutiapa",22,"Jutiapa",1,3713,380,62,13,0,4,6,2,19,0,1,22,19,6,1,3,1,159,24,3,186,0,186,--,380,194,159,186,186,Algún campo sin dato,1,bed4d5c522f9a3ab29bd3e9ac6566a71e2a714540c117d1696371da82165785e,26/06/2023 00:26:27,ESCANER
23661,"Jutiapa",22,"Jutiapa",1,3713,380,53,9,0,5,5,0,17,1,2,19,28,4,0,2,3,148,5,2,155,0,155,--,380,225,148,155,155,Algún campo sin dato,1,4a0184a299fb053771d6ae2a2573f2f187f92de84d7da7ae86b6338a504495d1,25/06/2023 23:17:14,ESCANER
23662,"Jutiapa",22,"Jutiapa",1,3713,380,49,15,1,0,10,0,16,1,0,14,31,5,0,2,6,150,7,0,157,0,157,--,380,223,150,157,157,Algún campo sin dato,1,cfba6c629aa6142e52ccf610adee5e9ab53a101f1ac5b5954e309bc4054d26d4,26/06/2023 00:24:26,ESCANER
23663,"Jutiapa",22,"Jutiapa",1,3713,380,64,5,0,0,8,0,15,1,1,14,27,6,0,0,2,143,4,1,148,1,149,--,381,233,143,148,149,Algún campo sin dato,1,789b804deed2124b9fcc7a2499f47a4d771fb469e75dff228a98ff831468bb3e,26/06/2023 01:19:36,ESCANER
23664,"Jutiapa",22,"Jutiapa",1,3713,228,26,6,1,1,2,1,13,0,0,12,19,2,0,0,1,84,4,1,89,0,89,--,228,139,84,89,89,Algún campo sin dato,1,2b40c4f5cb60021265e783629ece23be237e9d14f6ad6ef5a999ec2d13acb23d,25/06/2023 22:58:57,ESCANER
23665,"Jutiapa",22,"Jutiapa",1,3713,227,39,10,0,1,6,0,6,1,0,6,18,5,0,1,0,93,7,5,105,0,105,--,224,118,93,105,105,Algún campo sin dato,1,6b7629cbf7aec90d8feb96bf4c8cabcd2307aa23a91865aeb1aaf1a8f0ede87c,25/06/2023 23:59:44,ESCANER
23666,"Jutiapa",22,"Jutiapa",1,3714,304,42,6,0,0,12,0,14,0,4,4,19,16,0,1,0,118,16,5,139,0,139,--,301,162,118,139,139,Algún campo sin dato,1,d4a91b4993112d8bd41a20537a38e896ad350f9e2d5e5bf45ce23bc85898ace2,25/06/2023 23:57:02,ESCANER
23667,"Jutiapa",22,"Jutiapa",1,3714,303,48,2,0,0,6,0,11,0,3,2,19,14,1,3,2,111,7,2,120,0,120,--,300,180,111,120,120,Algún campo sin dato,1,4c9f0659634e4663c5876cd70343f284a53e11866b74b9c39f20f514029f6479,26/06/2023 00:01:18,ESCANER
23668,"Jutiapa",22,"Jutiapa",1,3715,380,26,9,55,0,7,0,31,0,1,2,16,18,1,4,1,171,12,10,193,0,193,--,380,187,171,193,193,Algún campo sin dato,1,61ef475a29189c75848ba9da00ba41c520030e0703b2bc0a14b35114280347a4,26/06/2023 00:45:18,ESCANER
23669,"Jutiapa",22,"Jutiapa",1,3715,380,25,5,39,1,5,0,47,0,2,4,19,16,6,1,1,171,15,7,193,0,193,--,380,187,171,193,193,Algún campo sin dato,1,eec58dd4145981085f93df5ad298a6811128681d2f3b22c17639061518617427,26/06/2023 00:54:10,ESCANER
23670,"Jutiapa",22,"Jutiapa",1,3715,380,29,5,48,0,8,1,25,0,3,1,15,12,1,1,0,149,21,9,179,0,179,--,376,197,149,179,179,Algún campo sin dato,1,16c017ace7695fdaf53324c15d73664bf59db92198458721efc34dd57f7ff6f6,26/06/2023 00:57:28,ESCANER
23671,"Jutiapa",22,"Jutiapa",1,3715,233,18,7,20,0,5,0,19,0,0,1,10,8,1,0,0,89,9,0,98,0,98,--,233,135,89,98,98,Algún campo sin dato,1,584527dbcef6105777753cc2d4a2f7abf9b566ca95712935e67bc3636d79fd6d,26/06/2023 01:03:03,ESCANER
23672,"Jutiapa",22,"Jutiapa",1,3715,233,13,6,18,0,2,0,20,0,0,1,8,5,2,1,0,76,6,0,82,0,82,--,233,151,76,82,82,Algún campo sin dato,1,0fa97c33d106599ee6a6ef9b95d5551aa2171dac5335b8c8be2be4483e707b6c,26/06/2023 01:07:03,ESCANER
23673,"Jutiapa",22,"Jutiapa",1,3716,380,41,11,5,2,27,1,5,2,1,4,31,15,0,3,0,148,29,5,182,0,182,--,378,196,148,182,182,Algún campo sin dato,1,e9a586ba911c6eef2e719df063535d99603a1e3c06347dc5265e4d9f3d6b80fd,26/06/2023 01:22:32,ESCANER
23674,"Jutiapa",22,"Jutiapa",1,3716,380,29,11,1,2,28,0,9,0,1,7,35,12,0,2,0,137,18,5,160,0,160,--,328,169,137,160,160,Algún campo sin dato,1,b110ee881f200dcfa56a422054780185ea551fdd558e2b9a95530ac02fa45781,26/06/2023 00:50:31,ESCANER
23675,"Jutiapa",22,"Jutiapa",1,3716,380,47,19,2,1,36,1,13,1,3,2,33,11,0,3,1,173,22,6,201,0,201,--,380,179,173,201,201,Algún campo sin dato,1,00031c34e652293f4d482c057f6be3d4bbd0c5d05e5a6316e4c684b8283bc459,26/06/2023 01:53:33,ESCANER
23676,"Jutiapa",22,"Jutiapa",1,3716,380,50,13,5,0,26,1,5,1,0,2,33,9,0,3,0,149,22,3,174,0,174,--,380,206,148,173,173,Sumas Asentadas sin cuadrar,1,29ab3af812d866f8cf9dbc89b82e6b6a26c9d5547d048ec76490a200fb58c986,26/06/2023 01:47:12,ESCANER
23677,"Jutiapa",22,"Jutiapa",1,3716,380,30,13,5,1,25,0,11,2,0,1,24,14,0,2,0,128,35,9,172,1,173,--,380,207,128,172,173,Algún campo sin dato,1,4a9e9486135d5301d86db62e77dbdc9147b9ba46e276df9406cc1a058c2ea939,25/06/2023 23:12:22,ESCANER
23678,"Jutiapa",22,"Jutiapa",1,3716,380,46,9,5,1,26,0,14,2,1,8,38,13,2,1,0,166,22,6,194,0,194,--,379,185,166,194,194,Algún campo sin dato,1,9837db2c9f254acc851ca7ceb09a0833505fa04c79454d9b6fa011a3b743c9b8,25/06/2023 23:03:03,ESCANER
23679,"Jutiapa",22,"Jutiapa",1,3716,380,59,21,6,2,50,0,7,0,1,2,28,15,2,6,0,199,6,15,220,0,220,--,382,160,199,220,220,Algún campo sin dato,1,69f42bb897debd58d6392158ad4aec4a21a033898698ff65ca1ad947c359365e,26/06/2023 01:17:22,ESCANER
23680,"Jutiapa",22,"Jutiapa",1,3716,380,30,15,2,2,36,2,6,0,3,6,48,11,1,1,1,164,20,6,190,0,190,--,380,190,164,190,190,Algún campo sin dato,1,490de2fb91e9bc4ef22bd71fdb311167f92732ec3e94ff4c266d0caecfdca6f4,26/06/2023 00:13:03,ESCANER
23681,"Jutiapa",22,"Jutiapa",1,3716,380,26,11,4,1,19,0,15,0,0,3,24,9,0,1,1,114,8,2,124,0,124,--,376,252,114,124,124,Algún campo sin dato,1,c037ea15179e6cb876fe54e24c77eb1d4d1600cd4c8303a47d902e378c53fa3e,26/06/2023 00:24:33,ESCANER
23682,"Jutiapa",22,"Jutiapa",1,3716,380,41,16,9,1,32,3,6,0,3,3,29,7,2,3,0,155,10,5,170,0,170,--,380,210,155,170,170,Algún campo sin dato,1,2ed906c16485a2c67025b5ca2df59deafcfca62b69d07a7909d974567d2ac2f3,25/06/2023 23:15:23,ESCANER
23683,"Jutiapa",22,"Jutiapa",1,3716,380,47,12,3,1,32,3,3,0,3,7,23,9,0,1,0,144,23,0,167,0,167,--,380,213,144,167,167,Algún campo sin dato,1,45da8d51aec8b2f1f5f79330d5315f7c5902c2b91297f3fb3d230b0da41046e0,26/06/2023 00:18:10,ESCANER
23684,"Jutiapa",22,"Jutiapa",1,3716,380,43,10,5,1,28,0,11,0,3,5,37,13,1,5,1,163,16,5,184,0,184,--,400,216,163,184,184,Algún campo sin dato,1,8571d0fabe2e6efce70b207218cda92056b5e5bd53bde4da90621cedbf1f3679,25/06/2023 22:53:34,ESCANER
23685,"Jutiapa",22,"Jutiapa",1,3716,380,27,10,8,2,24,1,7,0,3,2,38,12,1,3,1,139,20,5,164,0,164,--,380,216,139,164,164,Algún campo sin dato,1,bcd76890899a3fca09f5d2202df7c55235d17457ca0529a19a74d57ec5cc104a,26/06/2023 00:37:50,ESCANER
23686,"Jutiapa",22,"Jutiapa",1,3716,380,35,11,7,0,18,1,9,0,1,6,24,9,0,1,1,123,24,4,151,0,151,--,379,228,123,151,151,Algún campo sin dato,1,265489acad92b98ebe1e8d44c3dfe1984c2d13fdf13e5dd1223797b7f8abcbda,26/06/2023 00:29:55,ESCANER
23687,"Jutiapa",22,"Jutiapa",1,3716,380,39,14,0,2,28,0,6,0,0,3,33,10,0,3,2,140,11,1,152,0,152,--,398,246,140,152,152,Algún campo sin dato,1,b8f4e178416b231a97d27a9ac522ec197516731f0470260580a0ad56c5364500,26/06/2023 00:00:45,ESCANER
23688,"Jutiapa",22,"Jutiapa",1,3716,380,47,14,0,0,39,2,10,1,4,6,38,7,2,4,4,178,4,0,182,0,182,--,380,198,178,182,182,Algún campo sin dato,1,b2f7b554e0b6bf4783599fd860564f0be2fdbcd12da70c03a32b31ed7df67a7b,26/06/2023 01:29:00,ESCANER
23689,"Jutiapa",22,"Jutiapa",1,3716,330,38,19,1,0,26,2,14,0,1,1,18,2,0,3,0,125,6,1,132,0,132,--,132,993,125,132,132,Algún campo sin dato,1,5641620223b84f401c6cdc9d8c9581b23443d41f0c9d0fa283a6ad7dd15c19d5,26/06/2023 00:43:32,ESCANER
23690,"Jutiapa",22,"Jutiapa",1,3716,330,25,10,2,2,15,0,8,1,1,3,22,6,0,0,0,95,7,3,105,0,--,--,330,225,95,105,105,Algún campo sin dato,1,b4b69f7e7ecfdce78d9cb50080cbfa4440776b145844c2c4282f6c70207d90ed,26/06/2023 00:46:18,ESCANER
23691,"Jutiapa",22,"Jutiapa",1,3717,380,88,18,0,0,10,1,7,1,1,12,18,5,2,2,1,166,16,3,185,0,185,--,380,195,166,185,185,Algún campo sin dato,1,17346cc413df7dffcb790fcd428b9bed90f2f0ab57c37d958b46d69d757d300e,25/06/2023 23:57:35,ESCANER
23692,"Jutiapa",22,"Jutiapa",1,3717,380,97,20,0,0,9,1,9,1,2,7,23,14,0,5,0,188,12,7,207,0,207,--,380,173,188,207,207,Algún campo sin dato,1,6e64503c9151b524373547c8f2664c752d17099beeb47f6df601dee224729c09,25/06/2023 23:14:14,ESCANER
23693,"Jutiapa",22,"Jutiapa",1,3717,380,81,12,0,1,8,0,13,2,3,4,19,8,2,4,0,157,22,2,181,0,181,--,385,204,157,181,181,Algún campo sin dato,1,e1cda0c1338808bb757234eebda7718456e84a8820665eeec693133f0ebea6f4,25/06/2023 22:06:27,ESCANER
23694,"Jutiapa",22,"Jutiapa",1,3717,218,30,12,0,0,8,0,12,0,1,1,13,3,0,2,0,82,8,1,91,1,92,1,218,126,82,91,92,,1,5533fe11fb26ab74ea5dbbedf7da9bfef9c3861f454ca89aa45c7474d2e15ea5,25/06/2023 21:48:08,ESCANER
23695,"Jutiapa",22,"Jutiapa",1,3717,218,45,10,0,0,5,1,11,0,5,7,22,1,0,1,2,110,6,2,118,0,118,--,218,100,110,118,118,Algún campo sin dato,1,d185d1554c5849f24cebcfcff1bd6a41210185e0c40c05c8dedfa83a61107182,25/06/2023 21:25:49,ESCANER
23696,"Jutiapa",22,"Jutiapa",1,3718,380,56,5,1,0,22,0,23,1,2,14,25,9,1,2,0,161,25,5,191,0,191,0,380,189,161,191,191,,1,4357afb8f74df1ee61ed2c42830b430c4c8b4a1b60f3fe4281c113465c097e45,26/06/2023 01:44:32,ESCANER
23697,"Jutiapa",22,"Jutiapa",1,3718,380,65,9,3,1,14,0,23,0,1,16,29,8,0,0,2,171,32,5,208,0,208,--,380,172,171,208,208,Algún campo sin dato,1,20089aac0829d8c1bfe01ed03b991aefdee0b45c1d4de3848a85d61d623c424b,26/06/2023 01:24:39,ESCANER
23698,"Jutiapa",22,"Jutiapa",1,3718,380,69,4,0,0,11,0,21,1,1,10,39,11,2,0,0,169,40,11,220,1,221,--,380,159,169,220,221,Algún campo sin dato,1,7a01ae7758099dffaeea0c2fe33ae0c0380360e9d80a5be40c39ace134c124d6,26/06/2023 03:10:15,ESCANER
23699,"Jutiapa",22,"Jutiapa",1,3718,380,62,6,2,2,14,0,21,0,0,15,26,11,0,1,0,160,36,4,200,0,200,--,380,180,160,200,200,Algún campo sin dato,1,6b153c32be548e3cda7eb89f1358f2f0bfdc2460d5d29ca24181800db02edd08,26/06/2023 03:17:49,ESCANER
23700,"Jutiapa",22,"Jutiapa",1,3718,380,55,5,1,0,12,0,21,0,2,11,30,5,0,3,0,145,6,6,157,13,170,--,379,209,145,157,170,Algún campo sin dato,1,846e0be0ca63f571a3441d6bf8cf12fe94cfc999f282ce43f2d9b67fa384d182,26/06/2023 04:24:44,ESCANER
23701,"Jutiapa",22,"Jutiapa",1,3718,380,52,6,1,3,11,1,19,0,1,17,29,0,1,1,1,143,1,6,150,21,171,--,380,209,143,150,171,Algún campo sin dato,1,f52473e16f4f51e4053b80cdcedc09411f7ed7252c4e3c9b5076e80173f3663d,26/06/2023 01:19:04,ESCANER
23702,"Jutiapa",22,"Jutiapa",1,3718,380,47,8,2,1,16,0,19,0,2,11,15,4,0,1,0,126,19,5,150,0,150,--,380,230,126,150,150,Algún campo sin dato,1,1fbd5924440a9bd793a62aca2ba7086981cfa7fe22480676419655fb883d4d58,26/06/2023 04:12:12,ESCANER
23703,"Jutiapa",22,"Jutiapa",1,3718,249,32,6,0,0,11,0,13,0,1,5,23,3,0,0,0,94,1,0,95,0,95,--,250,155,94,95,95,Algún campo sin dato,1,2e5dde8bff526755f1e930bb7087f7e85fb1ec43a83f0a1a01b42f51efe4412a,25/06/2023 22:56:12,ESCANER
23704,"Jutiapa",22,"Jutiapa",1,3718,248,26,10,0,2,9,0,10,0,0,9,9,3,0,0,0,78,5,2,85,0,85,0,248,163,78,85,85,,1,72bfdf25b95bc2053ec266dd097a9c36f290156cea5cd5fa1d094bc42a3908df,25/06/2023 21:46:55,ESCANER
23705,"Jutiapa",22,"Jutiapa",1,3719,380,43,8,0,0,2,2,3,0,0,2,27,77,1,1,0,166,27,7,200,1,201,--,380,179,166,200,201,Algún campo sin dato,1,1848c52a7f2aaa4c222f7aa6e33791f2bfaaad455a2bba26c1800f22032938ee,26/06/2023 01:22:01,ESCANER
23706,"Jutiapa",22,"Jutiapa",1,3719,380,45,13,0,0,1,1,1,0,0,2,21,89,0,5,0,178,11,14,203,0,203,--,370,175,178,203,203,Algún campo sin dato,1,d9f49a0f845d55b6e0541972400b540e282d1c061230f960c26de34dcff7f89f,26/06/2023 03:00:24,ESCANER
23707,"Jutiapa",22,"Jutiapa",1,3719,380,72,13,1,0,1,0,5,0,0,1,12,62,1,3,0,171,16,5,192,0,192,--,376,184,171,192,192,Algún campo sin dato,1,0105ea37b55a98d43d2f82027b910aadd2813ac1e685f8292c82532ec7921379,26/06/2023 01:28:56,ESCANER
23708,"Jutiapa",22,"Jutiapa",1,3719,380,43,18,0,1,2,0,2,0,1,3,14,56,1,1,1,143,15,5,163,0,163,--,380,217,143,163,163,Algún campo sin dato,1,93f1267604f80522de01dd83a1d9c4aecb3094d094773fcf2d9ea2bb76566490,26/06/2023 01:39:45,ESCANER
23709,"Jutiapa",22,"Jutiapa",1,3719,273,24,11,0,0,2,0,2,0,1,0,15,43,0,1,0,99,7,2,108,0,108,--,270,162,99,108,108,Algún campo sin dato,1,b08332c48d1c2cedbb8f8c17af37327ddda5750408ec2b1962becae37812e2e1,25/06/2023 23:55:02,ESCANER
23710,"Jutiapa",22,"Jutiapa",1,3719,272,37,7,0,0,0,0,3,0,2,1,11,31,0,2,0,94,3,0,97,0,97,--,272,175,94,97,97,Algún campo sin dato,1,e0722983aefea025580bb33c25362005a3271965c411d89e130d4bcf60e220d5,25/06/2023 22:18:22,ESCANER
23711,"Jutiapa",22,"Jutiapa",1,3720,380,27,5,42,1,9,0,5,1,2,5,11,20,2,2,0,132,23,10,167,0,377,--,377,210,132,165,165,Sumas Asentadas sin cuadrar,1,c1a7ab899213359a3c59209cf31121b950c8400df5db4fd83ebd649e71002b04,26/06/2023 03:34:57,ESCANER
23712,"Jutiapa",22,"Jutiapa",1,3720,380,27,7,39,1,13,1,7,0,0,2,6,23,1,4,0,131,29,4,164,0,164,--,380,216,131,164,164,Algún campo sin dato,1,7427193477d651c622b013169f0779c1cdc651d10b59e7e688121c12f2939f30,26/06/2023 02:49:22,ESCANER
23713,"Jutiapa",22,"Jutiapa",1,3720,380,26,9,47,0,13,0,5,0,0,3,7,21,0,3,0,134,20,6,160,0,160,--,380,220,134,160,160,Algún campo sin dato,1,07c1379503ad31eb6b8d65abf966884811a0e9a877c33fd3b042b311b5d8af5e,26/06/2023 01:22:31,ESCANER
23714,"Jutiapa",22,"Jutiapa",1,3720,380,44,9,45,0,12,0,6,0,0,4,2,17,1,4,0,144,25,9,178,0,178,--,371,193,144,178,178,Algún campo sin dato,1,d6c9ae959fed0ec870a0c699dcf47219af0ae622bec4e8afdf79b9b72a05af98,26/06/2023 02:08:12,ESCANER
23715,"Jutiapa",22,"Jutiapa",1,3720,380,38,6,2,0,13,0,10,1,1,3,11,19,1,1,0,166,24,7,4,0,197,--,380,183,106,137,137,Sumas Asentadas sin cuadrar,1,dac8d68886e170eeb58f3b90be78ecd7189e08dbbabf0c51a8980c9dba245594,26/06/2023 05:45:15,ESCANER
23716,"Jutiapa",22,"Jutiapa",1,3720,380,30,7,40,0,14,0,8,1,0,0,9,12,0,0,0,121,13,0,134,0,134,--,380,246,121,134,134,Algún campo sin dato,1,063f4b3f53c8864f386f221747e533ff17a77aca5b11b045472928cd1ea66299,26/06/2023 00:33:49,ESCANER
23717,"Jutiapa",22,"Jutiapa",1,3720,380,31,4,32,0,12,1,7,0,0,2,12,13,1,0,0,115,13,3,131,0,131,--,380,249,115,131,131,Algún campo sin dato,1,c58e135d1892da5d3112391e8999c3734fde0b42861ee382767f4c0a78a6a1e7,25/06/2023 23:36:46,ESCANER
23718,"Jutiapa",22,"Jutiapa",1,3720,380,24,4,44,0,10,0,10,1,0,1,1,11,0,4,0,110,25,7,142,0,142,--,379,237,110,142,142,Algún campo sin dato,1,1c4edb5a7417b14419664057bbde5850c5217f5191913b99da88b5e814838940,26/06/2023 00:05:51,ESCANER
