TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
109,109,100.0000,109,100.0000,0,41283,23685,57.3722

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNIONISTA,PODEMOS,CABAL,MAS UNIDOS,BIEN,AZUL,MLP,VICTORIA,ELEFANTE,VIVA,VOS,UNE,CAMBIO,VALOR,PPN,URNG-MAIZ WINAQ,MI FAMILIA,FCN-NACION,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6096,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,37,5,52,9,24,13,1,1,29,6,1,8,4,14,4,6,13,4,3,234,11,7,252,0,252,0,396,144,234,252,252,,1,a5a272f9236efa2b1c861cbf7ba0ce2d308e9729e797ef7ea6ad3bf0d55a721f,26/06/2023 03:14:47,ESCANER
6097,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,41,16,68,11,28,9,2,2,25,5,4,5,0,13,6,6,16,2,2,261,8,0,269,0,269,--,394,126,261,269,269,Algún campo sin dato,1,c6f7c516ea8ccb0fce2d6bfcb91d367d4454a598c907bae6512a19fcba93c58b,26/06/2023 04:05:24,ESCANER
6098,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,37,12,53,10,27,11,4,1,19,5,4,3,6,17,4,5,16,4,2,240,20,2,262,0,262,0,400,138,240,262,262,,1,7b90cbc0c87646dc31e957a9406e3ad1e35b70bfd08af6ac868cd70fa50d7777,26/06/2023 02:00:13,ESCANER
6099,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,37,8,74,11,18,21,2,0,24,2,0,1,5,6,7,0,16,5,0,236,21,7,264,1,265,0,400,136,237,265,266,Sumas Asentadas sin cuadrar,1,cbefe40452029818bfeac483586c44c2a981b3f054cf6a56f5761c14e1d23c04,26/06/2023 02:40:35,ESCANER
6100,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,39,15,58,16,31,20,3,1,29,4,3,4,3,7,6,2,14,2,2,259,11,6,276,1,277,--,400,123,259,276,277,Algún campo sin dato,1,6f7402d8b036b172a3fbe53c4ee5a5d8fd767d602fd46f922aa46624d27c74b6,26/06/2023 03:46:30,ESCANER
6101,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,45,10,54,22,19,17,8,2,22,3,3,5,5,12,9,4,10,4,4,258,10,4,272,0,272,0,400,128,258,272,272,,1,f42d293b6f15bea06ecd7dcbf3ff21a82aee65c0e68fd085ee2feb1dbcb8f17d,25/06/2023 23:33:04,ESCANER
6102,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,34,12,52,13,39,17,1,1,30,12,5,1,4,14,2,2,18,1,1,259,12,2,273,0,273,--,400,127,259,273,273,Algún campo sin dato,1,c5123fd45311e50a22bb13ae790cccb4118ef98b6ef9ba85d3828db6c7b71884,26/06/2023 00:49:07,ESCANER
6103,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,43,14,47,15,40,6,0,2,25,4,5,5,1,16,4,5,19,2,4,257,10,2,269,0,269,--,400,131,257,269,269,Algún campo sin dato,1,70d136e80ac20039f614f57ae8bb3db4669a0311feed1a276f3bb3ccc82b3a1f,26/06/2023 02:50:08,ESCANER
6104,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,51,7,51,9,20,12,1,2,27,3,2,3,6,13,7,1,10,4,1,230,9,2,241,0,241,--,399,158,230,241,241,Algún campo sin dato,1,cbd97e6ed61739292fcec840a8c70bdc575cc4e3c7755a29f62a11e4ac8f5c88,26/06/2023 03:09:12,ESCANER
6105,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,44,5,58,16,18,18,2,0,29,3,2,4,3,13,9,3,14,3,1,245,8,5,258,0,258,--,400,142,245,258,258,Algún campo sin dato,1,0150284c6b7660ab82a08d624c4518dac4dae29de64677f3368b14a366db2be7,26/06/2023 02:16:50,ESCANER
