TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,17765,12280,69.1246

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,COCIEP,COCIEGUA,COCIEES,COCIEA,CABAL,VAMOS,MI FAMILIA,COCIEO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18261,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,400,2,14,5,191,31,1,3,1,5,0,253,2,0,255,0,255,--,400,145,253,255,255,Algún campo sin dato,1,c33fd7d8e5162927242704ab6c39260919a22cb02c6486af333cecb336b3e7a0,26/06/2023 00:57:44,ESCANER
18262,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,231,0,10,2,105,21,4,0,1,0,2,145,0,0,145,0,145,--,231,86,145,145,145,Algún campo sin dato,1,f4fb35b77bb4dd27396abf672463485ff7534580178a0101f7071c3a843c5cbc,26/06/2023 00:17:29,ESCANER
18263,"Baja Verapaz",15,"San Miguel Chicaj",2,2793,231,0,11,6,96,18,0,0,0,1,2,134,2,0,136,0,136,--,231,95,134,136,136,Algún campo sin dato,1,022d5b5a5a1321ef502d8a8467bcb4d7df17194eedf825f5aaac24678b67cf02,25/06/2023 22:18:42,ESCANER
18264,"Baja Verapaz",15,"San Miguel Chicaj",2,2794,380,3,89,0,5,151,0,1,0,14,1,264,7,1,272,0,272,--,380,108,264,272,272,Algún campo sin dato,1,298ccb9ab817f6a1026f2bf461521611d99ed260b58df45d1c07b34ca4318fdb,26/06/2023 02:05:57,ESCANER
18265,"Baja Verapaz",15,"San Miguel Chicaj",2,2794,380,1,54,3,7,160,0,0,0,17,0,242,15,3,260,0,260,--,380,120,242,260,260,Algún campo sin dato,1,c22539cd13c85f70b827043ee9a78952c4aadaf3f5bea341086d5f444935ddd9,26/06/2023 02:12:51,ESCANER
18266,"Baja Verapaz",15,"San Miguel Chicaj",2,2794,380,4,59,0,8,196,2,0,0,11,0,280,7,3,290,0,290,--,380,90,280,290,290,Algún campo sin dato,1,cbdbf22ff268aa13af34a8a1a4904a52895a0f3a0a74452eae392987579c89c5,26/06/2023 02:21:20,ESCANER
18267,"Baja Verapaz",15,"San Miguel Chicaj",2,2794,380,3,73,0,8,191,0,0,0,12,0,287,10,0,297,0,297,--,380,83,287,297,297,Algún campo sin dato,1,fb4ea783bf75ad578e03f806798c2776b1016179d1a6a6e44b9355e66fffe656,26/06/2023 02:26:50,ESCANER
18268,"Baja Verapaz",15,"San Miguel Chicaj",2,2794,380,11,125,0,8,139,0,1,1,3,1,289,7,3,299,0,299,--,380,81,289,299,299,Algún campo sin dato,1,e8b79c2622f74223cccdd739083a7863fd4478f8e92b8d4fe1945ee5f19a3d07,26/06/2023 03:30:17,ESCANER
18269,"Baja Verapaz",15,"San Miguel Chicaj",2,2794,380,5,91,0,6,137,0,0,0,16,0,255,7,4,266,0,266,--,385,119,255,266,266,Algún campo sin dato,1,16ef6234d01f7f11923c63d2911f994b943bbe5ffc94b042cf006fc04cf23f2e,26/06/2023 02:34:56,ESCANER
18270,"Baja Verapaz",15,"San Miguel Chicaj",2,2794,380,3,71,3,15,152,2,2,0,17,0,265,8,1,274,0,274,--,380,106,265,274,274,Algún campo sin dato,1,e99d9fba7f0f9aa94fe454fa4fe18dfdaaa555200f3dbb65d8780399f101650b,26/06/2023 02:40:19,ESCANER
