TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
46,46,100.0000,46,100.0000,0,18111,11117,61.3825

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,UNIONISTA,VALOR,PODEMOS,COMITE CIVICO EL CORAZÓN,UNE,VOS,PPN,DIFERENTE POR ITZAPA,AZUL,VAMOS,ELEFANTE,VICTORIA,UR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6674,"Chimaltenango",3,"San Andrés Itzapa",13,715,400,11,30,65,5,24,21,6,2,5,12,4,49,13,1,2,250,7,1,258,0,258,0,400,142,250,258,258,,1,b905bd481f31d8a9e1cdb6cc8b7c2302e5b4aef4e6c232b69ed60fa1ce86c4c6,26/06/2023 01:47:38,ESCANER
6675,"Chimaltenango",3,"San Andrés Itzapa",13,715,400,23,15,55,7,15,14,5,4,9,12,0,51,7,5,0,219,13,3,238,0,238,--,400,162,222,238,238,Sumas Asentadas sin cuadrar,1,45a875e0e138db0378015716b07b393afd5246323eb0c38063d5349cd509cf16,25/06/2023 23:57:34,ESCANER
6676,"Chimaltenango",3,"San Andrés Itzapa",13,715,400,16,24,71,4,17,17,7,2,10,24,0,59,10,5,1,267,9,2,278,0,278,--,400,122,267,278,278,Algún campo sin dato,1,b4d216041e770a353a65c51019b5de4c58b8a03e176255b670a73fd39d26485b,25/06/2023 23:32:25,ESCANER
6677,"Chimaltenango",3,"San Andrés Itzapa",13,715,400,15,23,76,6,21,22,15,2,2,16,3,52,11,2,0,266,9,2,277,0,277,--,404,127,266,277,277,Algún campo sin dato,1,2c31c57829967f81ff4e347135836fd4fa62706dce722929408e2e6378e1d8af,26/06/2023 00:38:42,ESCANER
6678,"Chimaltenango",3,"San Andrés Itzapa",13,715,400,20,28,56,5,16,12,13,5,3,11,6,69,10,0,1,255,10,2,267,0,267,--,400,133,255,267,267,Algún campo sin dato,1,740f4f04c9e2e872af638dc91d7083be1e3a22207806b2eb4ca4ff312d5bd713,25/06/2023 23:42:28,ESCANER
6679,"Chimaltenango",3,"San Andrés Itzapa",13,716,400,18,37,56,2,17,15,10,3,4,20,3,54,10,3,2,254,16,3,273,0,273,--,400,127,254,273,273,Algún campo sin dato,1,bbab68500169839bb51d7da4d6f01deae0ff11a0133052dfbe4bfa0d81fd17c4,26/06/2023 01:22:29,ESCANER
6680,"Chimaltenango",3,"San Andrés Itzapa",13,716,400,14,27,74,5,13,16,6,2,7,13,3,52,7,7,2,248,13,1,262,0,262,--,400,138,248,262,262,Algún campo sin dato,1,b3170aa7e6247aacee4e1c93a4efeb8e2389cb48adfe7cdfc4ba61413a11e3bc,26/06/2023 01:28:09,ESCANER
6681,"Chimaltenango",3,"San Andrés Itzapa",13,716,400,16,17,78,5,11,18,9,3,4,7,3,55,16,0,1,243,5,0,248,0,248,--,404,156,243,248,248,Algún campo sin dato,1,4c3f2d5959efb34a4a7cae38cdc192dc7bd7b2f54ac30123ea068b995314d624,26/06/2023 00:33:27,ESCANER
6682,"Chimaltenango",3,"San Andrés Itzapa",13,716,400,11,22,82,5,13,18,13,4,5,12,2,53,6,2,3,251,7,1,259,0,259,--,400,138,251,259,259,Algún campo sin dato,1,61d47642c89fd30f4f867241508193f4b7a667b51f0dae02e20c18bb85f26ab8,26/06/2023 00:52:42,ESCANER
6683,"Chimaltenango",3,"San Andrés Itzapa",13,716,400,16,29,79,5,12,19,8,5,4,7,3,56,8,2,0,253,14,2,269,0,269,--,400,131,253,269,269,Algún campo sin dato,1,8e75ea3ce296d4207313f7240f06146ff9a96dd8c427e6f91817601e7fe57556,26/06/2023 01:56:37,ESCANER
6684,"Chimaltenango",3,"San Andrés Itzapa",13,716,400,20,20,62,2,18,18,9,4,11,8,5,55,10,1,0,243,15,2,260,0,260,--,400,140,243,260,260,Algún campo sin dato,1,a0aca1266ba82bb511bd157f4c896ee3a4d2de18c4c6ede4477c327534ee7e1f,26/06/2023 01:49:21,ESCANER
6685,"Chimaltenango",3,"San Andrés Itzapa",13,717,400,20,17,69,2,17,12,4,2,6,3,2,44,7,0,1,206,8,3,217,0,217,--,400,183,206,217,217,Algún campo sin dato,1,3c40146191cdeb4701827d8a03c8ba66e1b309baa661863a1e44e5dc7fd0428f,26/06/2023 00:38:32,ESCANER
6686,"Chimaltenango",3,"San Andrés Itzapa",13,717,400,22,12,69,5,8,21,11,3,9,9,2,30,8,2,1,213,21,5,239,0,239,1,400,161,212,238,238,Sumas Asentadas sin cuadrar,1,0cb0bf1bbd82f406dcd51c5d04511134d6213cf8f5d6ce52b353b43a59cb2fa2,25/06/2023 23:57:58,ESCANER
6687,"Chimaltenango",3,"San Andrés Itzapa",13,717,400,11,15,65,4,11,21,7,4,9,9,1,45,5,0,1,208,13,1,222,0,222,--,400,178,208,222,222,Algún campo sin dato,1,48e239f83766c9d7743599c167ce21fc1586bb30b4a62c5cb684d3bc28bf6493,26/06/2023 00:50:33,ESCANER
6688,"Chimaltenango",3,"San Andrés Itzapa",13,717,400,12,16,62,3,22,24,6,3,4,13,1,54,14,4,2,240,7,3,250,0,250,--,400,150,240,250,250,Algún campo sin dato,1,66134d95de5005d33f5498c3ebb1753f690597370e13d6a0c9316f49f7139b59,26/06/2023 02:10:37,ESCANER
6689,"Chimaltenango",3,"San Andrés Itzapa",13,717,400,28,26,68,2,12,27,4,2,5,11,--,61,20,1,--,257,4,--,261,--,--,--,400,139,267,271,271,Sumas Asentadas sin cuadrar,1,38abc0f5a3018790be591178d2e30bed0472bf0c61500c9d7adefcb5c4146bb0,26/06/2023 01:55:52,ESCANER
6690,"Chimaltenango",3,"San Andrés Itzapa",13,717,400,18,33,54,6,10,16,11,6,2,16,0,29,13,3,1,218,4,0,222,0,222,--,400,178,218,222,222,Algún campo sin dato,1,ff24e7fc7650719b7e84c93edc51e647078a0cda7dc1def41f8382bef910f7a8,26/06/2023 00:09:59,ESCANER
6691,"Chimaltenango",3,"San Andrés Itzapa",13,717,400,11,32,57,6,18,8,12,2,9,23,0,31,9,1,3,222,6,0,228,0,228,--,400,172,222,228,228,Algún campo sin dato,1,da69d10edfb41a8ce1578019f024958d91043ef84b40e13d7aa58d71e21e892a,25/06/2023 23:44:39,ESCANER
6692,"Chimaltenango",3,"San Andrés Itzapa",13,717,400,10,19,71,4,13,16,12,3,4,20,1,48,9,1,0,231,5,0,236,5,236,--,400,164,231,236,241,Sumas Asentadas sin cuadrar,1,13c086f38fc0650670adb616be5f7be62242eabe3d52fff37fca70b7ecd8b581,26/06/2023 02:12:44,ESCANER
6693,"Chimaltenango",3,"San Andrés Itzapa",13,717,400,11,29,64,4,10,19,10,4,7,16,3,57,8,6,0,248,5,0,253,0,253,--,400,147,248,253,253,Algún campo sin dato,1,1eeb7f6045804257521b93395694d7f33b392ef9f94e40de161660194b7c6ee1,26/06/2023 01:12:20,ESCANER
