TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
37,37,100.0000,37,100.0000,0,12392,6914,55.7940

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PHG,PODEMOS,ELEFANTE,VAMOS,UNE,VIVA,CABAL,BIEN,PPN,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14048,"San Marcos",12,"El Rodeo",14,1975,380,19,77,23,41,6,4,3,5,6,20,204,35,4,243,0,243,--,380,137,204,243,243,Algún campo sin dato,1,28efeace7e92b1955af06afa58bf5bb65ae5e162720716c79b548a825ba69c99,26/06/2023 00:15:25,MOVIL
14049,"San Marcos",12,"El Rodeo",14,1975,380,17,78,18,37,7,4,2,3,9,21,196,41,8,245,0,245,--,380,135,196,245,245,Algún campo sin dato,1,4af9be6e1c50dca86517c8d17d4701f8e0e234b0f1005f49f7e6e4a643a94386,26/06/2023 00:12:17,MOVIL
14050,"San Marcos",12,"El Rodeo",14,1975,380,29,97,17,38,8,2,1,3,5,27,227,34,3,264,0,264,--,380,116,227,264,264,Algún campo sin dato,1,e51e5a6e33d68c578baf0dff48512205b2b1123440e3000dd72801c335ebf38b,25/06/2023 23:54:39,MOVIL
14051,"San Marcos",12,"El Rodeo",14,1975,380,13,58,26,38,5,1,0,1,7,16,184,15,4,184,0,184,--,380,196,165,184,184,Sumas Asentadas sin cuadrar,1,c96cd7909c23ad056605db08b32baf92d0fc1f125e39cd15ee19c2b0818806b7,26/06/2023 00:40:08,MOVIL
14052,"San Marcos",12,"El Rodeo",14,1976,380,12,49,23,30,6,2,1,2,4,21,150,27,3,180,0,180,--,380,200,150,180,180,Algún campo sin dato,1,ae44648600ee8e08b8442f10d6711fd9a384c2d6aa2427c604345e6de913f89f,26/06/2023 03:04:28,MOVIL
14053,"San Marcos",12,"El Rodeo",14,1976,380,13,62,14,35,4,1,2,1,4,16,152,9,1,162,0,162,--,380,218,152,162,162,Algún campo sin dato,1,9828c8dce92b31cb6725c8d3076bdfc341a4094868f5e8d73b892cbdf6b94a0a,26/06/2023 00:39:26,MOVIL
14054,"San Marcos",12,"El Rodeo",14,1976,223,15,53,17,26,3,1,1,1,2,11,130,1,0,131,0,131,--,223,92,130,131,131,Algún campo sin dato,1,5f5afc45445a32613814317c9476e8e5f0b2c646b9859a9de47d3a0bb5998a5f,25/06/2023 23:32:53,MOVIL
14055,"San Marcos",12,"El Rodeo",14,1976,222,10,27,11,17,2,2,0,1,1,8,79,6,4,89,0,89,--,222,133,79,89,89,Algún campo sin dato,1,98b310564cd1a367cb2f65a0923e4ebe1a0c635fd5e098d8b5e862ad2ddf5f00,25/06/2023 23:53:57,MOVIL
14056,"San Marcos",12,"El Rodeo",14,1977,380,20,90,3,110,3,1,2,1,0,8,238,10,8,256,0,256,--,380,124,238,256,256,Algún campo sin dato,1,9087c108ec0f8618f16b8e65d18a00376ca28d1447dde41dc9418316d5ad97c0,26/06/2023 03:47:22,MOVIL
14057,"San Marcos",12,"El Rodeo",14,1977,380,26,77,8,132,10,2,3,7,0,7,272,11,8,291,0,--,--,380,89,272,291,291,Algún campo sin dato,1,074ddc605412cc0c495454c79cdb3704194ce8d2527f4f59cd36006e6d587d14,26/06/2023 02:51:01,ESCANER
