TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
130,130,100.0000,130,100.0000,0,47515,32039,67.4292

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,CAMBIO,PHG,VALOR,AZUL,PPN,ELEFANTE,WINAQ,VIVA,FCN-NACION,VAMOS,CREO,VOS,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19318,"Alta Verapaz",16,"Senahú",8,2965,221,19,14,0,6,7,3,33,0,0,0,1,22,0,0,0,105,2,0,107,0,107,--,222,115,105,107,107,Algún campo sin dato,1,64173eb308b4c39dfea5f6330914b46c9f599d833492d47f4ca2024406ba8140,26/06/2023 04:08:09,ESCANER
19319,"Alta Verapaz",16,"Senahú",8,2966,400,53,32,0,26,7,0,80,0,2,0,0,32,0,0,0,232,19,3,254,0,254,--,400,146,232,254,254,Algún campo sin dato,1,ba888357cb2d6b029c1f750bddc7eeb80b114761b15661cedf37b5fe385db0a5,26/06/2023 03:29:00,MOVIL
19320,"Alta Verapaz",16,"Senahú",8,2966,400,73,50,0,21,3,1,1,0,1,3,2,44,1,0,0,300,13,3,316,84,400,--,400,84,200,216,300,Sumas Asentadas sin cuadrar,1,15c9b3d371f970ac0eb51910c30f210c9ff5f2f4cd11f49674d45129d998e911,26/06/2023 05:46:00,MOVIL
19321,"Alta Verapaz",16,"Senahú",8,2967,400,72,46,0,26,8,0,110,0,0,2,3,42,0,0,0,309,18,4,331,0,331,331,400,69,309,331,331,,1,a92e7d10bcda860776521887ac2ab74f33ead3505d6fadca0c7df1808c2fa0ea,26/06/2023 05:47:59,ESCANER
19322,"Alta Verapaz",16,"Senahú",8,2967,400,84,41,0,29,4,1,80,0,0,0,1,32,0,0,0,272,16,5,293,0,293,--,400,107,272,293,293,Algún campo sin dato,1,a9642fa14c9e75b5000da10677f61ca95c6d96a1e3a7f29cb6cc98e174916c7c,26/06/2023 04:31:16,ESCANER
19323,"Alta Verapaz",16,"Senahú",8,2967,400,75,38,0,19,14,1,120,0,0,1,1,37,0,0,0,306,11,0,317,0,317,--,400,83,306,317,317,Algún campo sin dato,1,d2ec2bc0d1256fabed682b28dbba92890df7ff806616addc2786708789d53aac,26/06/2023 04:43:30,ESCANER
19324,"Alta Verapaz",16,"Senahú",8,2967,400,62,26,0,35,17,2,105,0,0,1,0,55,0,1,1,305,9,4,318,0,318,--,400,82,305,318,318,Algún campo sin dato,1,3d871cae1ce2e674e75475214025b21e46e6f9afb0cbd37516971c85f70300b5,26/06/2023 05:47:20,ESCANER
19325,"Alta Verapaz",16,"Senahú",8,2967,400,64,21,0,34,18,0,110,0,1,1,1,54,0,0,2,306,2,2,310,17,327,--,400,73,306,310,327,Algún campo sin dato,1,c6d57f4907a283912aa1d0695adce17dcad950aaae3fb481f1f7ac60d2dc5622,26/06/2023 04:08:44,ESCANER
19326,"Alta Verapaz",16,"Senahú",8,2967,400,49,37,--,33,16,2,115,1,--,--,2,49,--,--,1,305,1,1,307,21,328,--,400,72,305,307,328,Algún campo sin dato,1,b175240366cdc986fb8a69ccb5ac2bd4ad42e28f99fa9eb960b2293686268715,26/06/2023 04:55:42,ESCANER
19327,"Alta Verapaz",16,"Senahú",8,2968,400,40,31,--,31,8,1,99,1,--,1,--,50,--,--,--,262,11,3,276,0,276,--,400,124,262,276,276,Algún campo sin dato,1,28be3436720a2ca5ecebe4f48cd0e7e974e7685a697a249aac7da8d55dd14d12,26/06/2023 04:22:38,ESCANER
