TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
83,83,100.0000,83,100.0000,0,30187,18913,62.6527

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNIONISTA,CUM,TODOS,ELEFANTE,PODEMOS,VICTORIA,CREO,VIVA,SEMILLA,PHG,UR,CABAL,PR,AZUL,VOS,PPN,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13147,"San Marcos",12,"San Marcos",1,1792,350,4,50,69,7,0,11,3,1,9,9,1,9,1,0,3,4,5,186,1,1,188,0,188,0,350,162,186,188,188,,1,bf2a0fcc14d279c0cb4be8ebd4a61e2eec7d81610194acec8cee9a7f264795c2,26/06/2023 00:16:55,ESCANER
13148,"San Marcos",12,"San Marcos",1,1793,400,4,70,82,19,4,5,13,5,16,12,1,7,0,6,14,6,16,280,12,3,295,0,295,0,400,104,280,295,295,,1,8966091aff600cd05bf5cad46148c4311be31538b9c06dd6e8f85a09feccbda1,25/06/2023 23:25:42,ESCANER
13149,"San Marcos",12,"San Marcos",1,1793,400,4,69,79,14,1,5,18,1,16,13,1,8,1,11,9,5,12,267,12,1,280,0,280,0,400,120,267,280,280,,1,6669224d3bc2334dc019ff1799156023b18830b2961de8a62e316a3bdd4fe4b1,26/06/2023 01:05:30,ESCANER
13150,"San Marcos",12,"San Marcos",1,1793,400,6,52,87,17,1,6,12,4,14,17,4,13,4,3,10,4,18,272,13,0,285,0,285,0,400,115,272,285,285,,1,cabba82cf1d35ad654ba83f9dc6ccc12344fe0d395a2e43eaf756e0f119d3c29,25/06/2023 23:33:32,ESCANER
13151,"San Marcos",12,"San Marcos",1,1793,262,5,50,50,7,2,6,11,0,8,9,0,4,1,0,3,4,6,166,11,3,180,0,180,--,262,82,166,180,180,Algún campo sin dato,1,e8d6ce7bd942d8049ac4f6a70c2103213be0e4220774e66949b6235ab12e6c5e,26/06/2023 03:25:47,ESCANER
13152,"San Marcos",12,"San Marcos",1,1793,261,2,45,53,5,0,2,8,1,19,10,2,10,0,1,6,3,9,176,9,0,185,0,185,--,261,76,176,185,185,Algún campo sin dato,1,8f657b07afd3931e36dec11b708bcd35c8d1f2958794bd170ad7e1916737ecc1,26/06/2023 01:03:42,ESCANER
13153,"San Marcos",12,"San Marcos",1,1794,400,9,83,108,7,4,11,8,5,9,11,0,12,0,1,12,3,9,292,6,1,299,0,299,0,400,101,292,299,299,,1,2129730b7e445be0c6e5b05fe76579a4993fd8f591e907ec87a7148a84585243,26/06/2023 00:55:02,ESCANER
13154,"San Marcos",12,"San Marcos",1,1794,400,11,90,118,5,3,7,4,5,14,16,0,11,2,7,1,5,6,305,10,1,316,0,316,0,400,84,305,316,316,,1,0468ab4a29ea7dde720fd6907531e8ff5160df5f29d961d29123de06ebf4c009,26/06/2023 00:29:49,ESCANER
13155,"San Marcos",12,"San Marcos",1,1794,400,8,71,103,5,5,15,7,0,9,19,1,9,0,1,9,9,12,283,3,0,286,0,286,1,400,110,283,286,286,,1,74deb3d9e34135849c74591fe84f8e9e4d29414fa8465780e2cdf693ba9120ca,26/06/2023 00:34:29,ESCANER
13156,"San Marcos",12,"San Marcos",1,1794,400,13,64,103,4,1,4,8,6,14,20,2,11,0,4,5,9,9,277,7,0,284,0,284,0,400,116,277,284,284,,1,f67fdbf481030781f62570fab1f1c0d599b67d9b8d8d21f6d98a8dd0ca0b9078,26/06/2023 00:26:15,ESCANER
