TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
303,303,100.0000,299,98.6798,4,118863,69977,58.8719

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VALOR UNIONISTA,VICTORIA,VAMOS,UR,PHG,MLP,PODEMOS,MI FAMILIA,PPN,CREO,URNG-MAIZ WINAQ,CABAL,UNE,BIEN,ELEFANTE,SBX,AZUL,PX,FCN-NACION,PR,VIVA,SEMILLA,CAMBIO,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10420,"Quetzaltenango",9,"Quetzaltenango",1,1374,400,5,28,5,7,5,68,10,0,11,3,8,3,6,14,6,2,40,2,10,4,1,3,11,3,6,261,15,2,278,0,278,--,400,122,261,278,278,Algún campo sin dato,1,06b1e5fde5f61e517ddeced9dd18802ac5449792d4bbe83945bbe89dbc5e02b0,26/06/2023 02:56:58,ESCANER
10421,"Quetzaltenango",9,"Quetzaltenango",1,1374,400,8,32,9,12,1,68,11,0,12,4,18,4,4,4,2,2,31,3,14,5,3,4,9,3,3,266,11,2,279,0,279,--,400,121,266,279,279,Algún campo sin dato,1,07b730c5f18a927e67e5b06a150c6350aa6d247172aed7f2181c6d7d72cd75f8,26/06/2023 02:11:56,ESCANER
10422,"Quetzaltenango",9,"Quetzaltenango",1,1374,400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta ilegible,0,28d9f04d66dc40fc605eb3a7d132718e9f13b61dec08b669fe0b23af0295449f,26/06/2023 05:13:01,ESCANER
10423,"Quetzaltenango",9,"Quetzaltenango",1,1374,400,10,25,10,8,1,71,14,1,8,1,8,5,8,7,5,2,40,4,10,3,4,4,11,3,4,269,13,0,284,0,284,--,400,116,267,280,280,Sumas Asentadas sin cuadrar,1,69195fc865f347bcc49960e399496711b1511586af46f345b1df74534080b316,26/06/2023 03:35:06,ESCANER
10424,"Quetzaltenango",9,"Quetzaltenango",1,1374,400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Suma Excede Padrón,0,d49af13104182863a41c627f60579056017764476864bfc8ec8c23cd4ab54d4b,26/06/2023 05:48:43,ESCANER
10425,"Quetzaltenango",9,"Quetzaltenango",1,1375,400,4,23,6,11,2,75,10,2,13,2,10,3,11,5,9,4,36,1,17,0,7,5,8,6,2,272,13,1,286,0,286,--,400,114,272,286,286,Algún campo sin dato,1,58d0290ec3ef605bd2ac7aa164d2598c59add81c5c54346a45cf0e86059e70f5,26/06/2023 02:05:57,ESCANER
10426,"Quetzaltenango",9,"Quetzaltenango",1,1375,400,7,29,6,12,2,72,5,0,10,1,14,5,6,17,2,3,32,6,11,4,3,3,6,4,4,259,8,1,268,0,268,--,400,132,264,273,273,Sumas Asentadas sin cuadrar,1,b4f593073fe3200db5433522c1c97642832d0b7a782e23c1eb324b27312d81f4,26/06/2023 02:27:52,ESCANER
10427,"Quetzaltenango",9,"Quetzaltenango",1,1375,400,8,35,3,7,3,60,4,0,4,5,3,2,4,5,7,0,62,0,15,1,4,3,11,2,10,258,1,4,263,0,263,--,--,--,258,263,263,Algún campo sin dato,1,3906889620703d9fd38c3a28705140eaed162c37bd92ad585618966d684a9e32,26/06/2023 03:33:59,ESCANER
10428,"Quetzaltenango",9,"Quetzaltenango",1,1375,400,3,18,5,9,4,67,2,0,9,6,7,4,4,2,5,0,62,3,15,1,5,3,9,2,2,247,4,0,251,0,251,--,400,149,247,251,251,Algún campo sin dato,1,1f296f4ba7808cd1126a1123ce9e8ee5d3f486a1f2cb12a1b70a7d878ae0ee6b,26/06/2023 01:31:35,ESCANER
10429,"Quetzaltenango",9,"Quetzaltenango",1,1375,400,4,22,1,8,3,58,10,0,11,2,5,5,9,2,2,1,48,1,16,2,6,3,9,2,9,239,7,0,246,0,246,--,400,154,239,246,246,Algún campo sin dato,1,b4c86504214e13e68fd6a9c6309ef62544a2ab76046246cb269707ff70280fc5,26/06/2023 03:06:58,ESCANER
10430,"Quetzaltenango",9,"Quetzaltenango",1,1375,400,5,27,12,8,3,66,3,0,7,5,9,7,2,7,6,6,38,1,13,3,4,1,12,2,4,251,8,2,261,0,261,--,400,139,251,261,261,Algún campo sin dato,1,f83fe7472d60a2beaedb4919304b1e54ba14dd00ba0a23cb3a031803f704dd87,26/06/2023 01:43:32,ESCANER
10431,"Quetzaltenango",9,"Quetzaltenango",1,1376,400,9,22,9,9,2,63,8,1,8,4,11,6,8,11,2,2,38,3,8,3,0,1,6,2,1,237,16,1,254,0,254,--,400,146,237,254,254,Algún campo sin dato,1,618abcd943096cf6f5c5a083e42a21a6790fab91ad082f310ccda7e1a8da0142,26/06/2023 04:53:27,ESCANER
