TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
39,39,100.0000,39,100.0000,0,13573,6340,46.7103

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,VALOR,U R N G - MAIZ,WINAQ,TODOS,UNE,VAMOS,BIEN,PHG,CABAL,VIVA,PODER,PODEMOS,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16259,"Huehuetenango",13,"San Juan Ixcoy",23,2410,380,0,0,2,33,43,19,6,3,5,3,34,4,1,0,153,21,8,182,0,182,--,380,198,153,182,182,Algún campo sin dato,1,16238022e38f4ff073577c33dd84247d5ff848d75c0badabae34aeaa649be7a5,26/06/2023 03:29:06,ESCANER
16260,"Huehuetenango",13,"San Juan Ixcoy",23,2410,380,0,1,1,19,75,30,12,2,9,1,19,18,0,0,187,13,6,206,0,206,--,380,174,187,206,206,Algún campo sin dato,1,c392acbb65cdf0aa211c619c028b825240d965391113c8411ad96e0290950651,26/06/2023 00:30:58,ESCANER
16261,"Huehuetenango",13,"San Juan Ixcoy",23,2410,380,2,1,0,37,32,31,9,0,3,3,36,2,0,0,156,16,18,190,0,190,--,380,190,156,190,190,Algún campo sin dato,1,3e516641f5c559458d54467a6b46e5c5f7087d3d3f17a029e6c582c32e39d42d,26/06/2023 00:17:56,ESCANER
16262,"Huehuetenango",13,"San Juan Ixcoy",23,2410,380,0,0,0,14,58,24,3,0,3,0,19,7,1,0,129,15,9,153,0,153,--,380,227,129,153,153,Algún campo sin dato,1,b0f371a20858f0468b9c861e04637948d9a0492feb1c6f4a400f4801865a5167,25/06/2023 23:22:35,ESCANER
16263,"Huehuetenango",13,"San Juan Ixcoy",23,2410,380,0,0,0,12,58,15,1,3,3,0,32,6,0,0,130,8,5,--,0,143,--,380,237,130,143,143,Algún campo sin dato,1,9cd7b282ce45fb5330a234a4d15876be2e9fdf1a1613d0f301cd0e793f079c26,26/06/2023 02:31:15,ESCANER
16264,"Huehuetenango",13,"San Juan Ixcoy",23,2411,380,0,0,1,14,52,16,5,0,2,1,32,12,0,0,135,5,5,145,0,145,--,380,235,135,145,145,Algún campo sin dato,1,39d136d35f54a54356b4da612fc4851dbde15978b0d880f7122eaecf8339a2c7,26/06/2023 00:42:14,ESCANER
16265,"Huehuetenango",13,"San Juan Ixcoy",23,2411,228,0,0,0,12,39,11,5,0,2,2,29,4,0,0,104,3,0,107,0,107,--,225,118,104,107,107,Algún campo sin dato,1,0a027d4c2b1109bcaf2abc0667131272162ee9ab5910f7c298a5b90adfd6321c,26/06/2023 00:33:59,ESCANER
16266,"Huehuetenango",13,"San Juan Ixcoy",23,2411,227,0,0,1,6,38,16,1,0,1,1,14,4,1,0,83,3,7,93,0,93,--,227,134,83,93,93,Algún campo sin dato,1,eeb312c7e8312879aa137c45a65823d7b3e4c9e37d1e66a2d345a35893ef6f1d,26/06/2023 00:12:58,ESCANER
16267,"Huehuetenango",13,"San Juan Ixcoy",23,2412,380,1,1,11,30,42,12,22,0,20,5,1,0,1,0,146,7,16,169,0,169,--,380,211,146,169,169,Algún campo sin dato,1,735907bc03a9a3ab7eaf1eafc2ca2f4369702b280af5f66d6909281a6024c382,26/06/2023 01:17:24,ESCANER
16268,"Huehuetenango",13,"San Juan Ixcoy",23,2412,244,0,0,7,12,27,6,19,0,13,0,2,0,0,0,86,3,2,91,0,91,--,244,153,86,91,91,Algún campo sin dato,1,5e02b5b4e476f1dfe446d56045880a7542ab715446c4472ef2efb6fc0c09903e,25/06/2023 22:05:30,ESCANER
16269,"Huehuetenango",13,"San Juan Ixcoy",23,2412,243,1,0,7,21,23,3,9,0,7,0,0,0,0,0,71,5,1,77,0,77,--,240,163,71,77,77,Algún campo sin dato,1,d7c5887c3abb47d04212858ca73e7e6d29ead741310cc1b7b14248bdb0c408e6,26/06/2023 00:02:10,ESCANER
16270,"Huehuetenango",13,"San Juan Ixcoy",23,2413,380,17,2,3,32,55,2,13,5,53,4,0,0,0,0,186,10,13,209,0,209,--,380,171,186,209,209,Algún campo sin dato,1,39b4d8b7679f61dcd1e4bc678ba0f8b700ac9bb6b1b76251b3e9882c2df84ba0,26/06/2023 01:26:42,ESCANER
16271,"Huehuetenango",13,"San Juan Ixcoy",23,2413,380,12,0,4,38,96,4,9,1,33,6,0,0,0,0,203,7,17,227,0,227,--,380,153,203,227,227,Algún campo sin dato,1,cc24bc9bba6eeecc8f709c08ee58c0d1f776c6638a2ce67996420ab106ee8373,26/06/2023 02:04:03,ESCANER
16272,"Huehuetenango",13,"San Juan Ixcoy",23,2413,266,7,0,6,23,40,1,4,0,22,3,0,0,0,0,106,3,6,115,0,115,--,266,151,106,115,115,Algún campo sin dato,1,4ae6fc38ee14ebe0f816515eb4b9ef243b77bc1ffb8d4cb41b13380f16b7a26b,26/06/2023 00:45:41,ESCANER
16273,"Huehuetenango",13,"San Juan Ixcoy",23,2413,266,4,0,3,25,57,0,4,0,34,7,0,0,0,0,134,3,11,148,0,148,--,266,118,134,148,148,Algún campo sin dato,1,99d096bead0ad4bba8904867f85921f93da0e9b0b0d956723e5a7cbe3c8decfc,26/06/2023 01:17:51,ESCANER
16274,"Huehuetenango",13,"San Juan Ixcoy",23,2414,380,0,1,10,8,65,14,30,4,4,53,1,0,0,0,190,13,16,219,0,219,--,379,160,190,219,219,Algún campo sin dato,1,f8023156c3395a2d4d1870d72061c3d61e868c2e581cd02ebe55fa06d5cd8b56,26/06/2023 00:53:44,ESCANER
16275,"Huehuetenango",13,"San Juan Ixcoy",23,2414,380,4,0,5,16,54,15,12,0,10,28,1,0,0,0,145,6,15,166,0,166,--,380,214,145,166,166,Algún campo sin dato,1,fee1c6dc2e354b5d760cd32ada30722e385e8bccebe815c8ce72d69f757bb024,26/06/2023 01:09:54,ESCANER
16276,"Huehuetenango",13,"San Juan Ixcoy",23,2414,226,2,0,5,5,29,5,11,0,7,28,0,0,0,0,92,2,7,101,0,101,--,226,125,92,101,101,Algún campo sin dato,1,6e23e4c03e341e99d667fc31e4b0ba94b771670c44153039579923f9a2e461cf,26/06/2023 01:19:51,ESCANER
16277,"Huehuetenango",13,"San Juan Ixcoy",23,2414,226,0,0,3,7,26,11,5,0,7,34,0,0,0,0,93,2,4,99,0,99,--,223,124,93,99,99,Algún campo sin dato,1,f560976c676faf540bfff4809327d69594abecac97dfbe81049cba66b3353616,26/06/2023 01:21:29,ESCANER
16278,"Huehuetenango",13,"San Juan Ixcoy",23,2415,368,22,0,14,43,63,4,18,4,8,7,0,0,0,0,183,16,12,211,0,211,--,368,157,183,211,211,Algún campo sin dato,1,e8904daa267a913e0c807e04428d1b30935c533cd3b96fa79120f3379f787d16,26/06/2023 05:19:46,ESCANER
16279,"Huehuetenango",13,"San Juan Ixcoy",23,2415,368,8,0,10,37,73,7,14,1,5,5,0,0,0,0,160,3,2,165,0,165,--,365,200,160,165,165,Algún campo sin dato,1,32919e38138feb4ad35ac749ad140a383656a3aa007206e03391da11b56027ef,26/06/2023 01:10:42,ESCANER
16280,"Huehuetenango",13,"San Juan Ixcoy",23,2416,334,4,0,8,3,12,2,7,0,4,4,2,0,0,0,46,2,3,51,1,52,--,334,282,46,51,52,Algún campo sin dato,1,5c27937944c291d191de0ed886d6cd870e1b1dfa43413773d896d51f08c3fe63,25/06/2023 22:03:24,ESCANER
16281,"Huehuetenango",13,"San Juan Ixcoy",23,2416,334,1,0,4,5,7,0,1,0,2,2,1,0,0,0,23,2,0,25,0,25,--,334,309,23,25,25,Algún campo sin dato,1,7cafc0cb2b77613c36efd23819770e48e29afcf2f5dc078295b5ea6df852fa01,25/06/2023 22:15:03,ESCANER
