TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,94,100.0000,0,33993,20959,61.6568

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,VALOR,UNE,CABAL,VAMOS,VOS,VICTORIA,CAMBIO,MLP,PPN,PODEMOS,AZUL,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10030,"Totonicapán",8,"San Francisco El Alto",3,1297,400,4,5,57,91,43,10,6,2,1,1,3,10,0,233,19,11,263,0,263,0,400,137,233,263,263,,1,74504e47e8f4f278d5c4e06918e5853d44cbb42c19d93abba4b2649f2844c1bb,26/06/2023 00:56:09,ESCANER
10031,"Totonicapán",8,"San Francisco El Alto",3,1297,400,5,7,49,117,45,9,3,2,6,5,1,2,1,252,19,13,284,0,284,0,400,116,252,284,284,,1,0c57500d7f179cb9c5f070f14de48cac26938e0937805a73e7ff11022695188c,25/06/2023 23:25:22,ESCANER
10032,"Totonicapán",8,"San Francisco El Alto",3,1297,400,2,12,40,122,35,12,3,3,2,3,2,15,2,253,23,6,282,--,--,0,--,--,253,282,282,Algún campo sin dato,1,6475d84058a5150d03e3f716c9d71d951888e30db48038b063745322bfdb21ce,25/06/2023 23:31:01,ESCANER
10033,"Totonicapán",8,"San Francisco El Alto",3,1297,297,5,3,32,92,21,5,2,1,1,1,2,8,0,173,10,4,187,0,187,--,297,110,173,187,187,Algún campo sin dato,1,8e37a73b17318710ca891a14e3451cfb7f808b4f6b3136a915fa7fb84518992d,25/06/2023 23:38:06,ESCANER
10034,"Totonicapán",8,"San Francisco El Alto",3,1297,296,2,3,27,74,27,4,3,0,0,1,1,2,0,144,2,3,149,0,149,0,296,147,144,149,149,,1,61b4be0ee652b6a0efabb0b2a40eb22196422c954261d41b971e2de3c716b86c,26/06/2023 00:28:31,ESCANER
10035,"Totonicapán",8,"San Francisco El Alto",3,1298,380,26,28,47,25,38,3,3,0,1,9,7,0,0,187,16,9,212,0,212,0,380,168,187,212,212,,1,881a1412c6feb8513f39f196236a04846eb91f7a10090a2cc6e4240111bcdfcc,26/06/2023 00:25:22,ESCANER
10036,"Totonicapán",8,"San Francisco El Alto",3,1298,380,28,34,43,36,52,1,3,0,3,6,0,0,0,206,11,12,229,0,229,0,380,151,206,229,229,,1,43800ca3fab8d416656c2cd9a652d22f34619f49c45be21bee0a7ad02b2df20a,26/06/2023 01:07:02,ESCANER
10037,"Totonicapán",8,"San Francisco El Alto",3,1298,380,35,29,48,43,49,1,1,0,3,5,5,0,0,219,18,10,247,0,247,0,380,133,219,247,247,,1,7b5b924dda96f61f1d02c2d0d4d926b01d0e52bba535f4334aa9f5f86628675f,25/06/2023 23:09:41,ESCANER
10038,"Totonicapán",8,"San Francisco El Alto",3,1298,380,33,40,45,42,34,1,3,1,5,5,2,0,1,212,14,13,239,1,240,0,378,138,212,239,240,,1,f7f5e782af72884fb8be21f93b5269f015fdc8937e1b2794665ef3501a0523f7,26/06/2023 01:01:32,ESCANER
10039,"Totonicapán",8,"San Francisco El Alto",3,1298,380,36,31,44,34,35,2,8,0,3,3,2,0,1,199,21,11,231,0,231,0,231,149,199,231,231,,1,750f39d499b5e2f72cf1f423ec5204d4ef77aa8fe1c628cf05816b53360f4d15,25/06/2023 23:53:47,ESCANER
