TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,17952,11865,66.0929

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,VICTORIA,VAMOS,UNE,PIN,VIVA,PPN,CREO,UR,TODOS,CABAL,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11353,"Quetzaltenango",9,"El Palmar",19,1523,400,4,86,86,9,3,1,19,4,0,1,0,0,43,256,8,0,264,0,264,--,400,136,256,264,264,Algún campo sin dato,1,3aa9e03385dc14db851e4f3735b45670d7c2762de15fce573fd4d5e4e8a7b4f8,26/06/2023 00:39:28,ESCANER
11354,"Quetzaltenango",9,"El Palmar",19,1523,400,2,123,72,14,3,1,19,4,1,2,0,0,45,286,1,1,288,0,288,--,404,116,286,288,288,Algún campo sin dato,1,2e9dd7430526f6cbd98a5026c0526c54d642f33fff955b8dffd8b29845b8cfe7,26/06/2023 00:51:49,ESCANER
11355,"Quetzaltenango",9,"El Palmar",19,1523,287,2,73,61,15,0,0,11,2,0,2,0,0,31,197,2,1,200,0,200,--,287,87,197,200,200,Algún campo sin dato,1,4a2c4130d6d67985ccb6c626d805c7c8665f7a24500c13ab4ea8cea99aea1bc5,26/06/2023 00:28:20,ESCANER
11356,"Quetzaltenango",9,"El Palmar",19,1523,287,3,73,43,4,1,0,7,7,1,0,0,0,23,162,6,2,170,0,170,--,287,117,162,170,170,Algún campo sin dato,1,4147ffcb56eac848f2c910fa2ac01f6729a118b41be200b8393f48b9972d8a18,25/06/2023 23:13:18,ESCANER
11357,"Quetzaltenango",9,"El Palmar",19,1524,380,1,40,49,10,2,5,56,1,1,2,0,0,35,202,22,20,244,0,244,--,380,136,202,244,244,Algún campo sin dato,1,4af03caa71daff2a6d05c8991da8d3f226708d27ece7567c0bd270cbe9629c5a,26/06/2023 00:36:08,ESCANER
11358,"Quetzaltenango",9,"El Palmar",19,1524,380,1,52,44,21,2,1,55,4,3,1,0,0,26,210,22,7,239,0,239,--,380,141,210,239,239,Algún campo sin dato,1,da1c53a815eeafada8f6afc2fea3d421d53d08d38d6700470ab3e1cbb0a92461,25/06/2023 23:29:59,ESCANER
11359,"Quetzaltenango",9,"El Palmar",19,1524,380,0,52,51,12,1,6,43,1,3,2,0,0,30,201,13,6,220,0,220,--,380,160,201,220,220,Algún campo sin dato,1,7b57886fe3cda09340137de82fa4dd25f6c02b558a675513712eb2a4f2431388,25/06/2023 23:16:13,ESCANER
11360,"Quetzaltenango",9,"El Palmar",19,1524,317,--,23,33,10,4,--,37,--,1,--,1,--,18,127,9,8,144,--,144,--,317,173,127,144,144,Algún campo sin dato,1,9f66bab6252cf01fc751bb9eaa21c218f83396e2a50cc8700dd2ea8dfa8c4116,26/06/2023 00:24:14,ESCANER
11361,"Quetzaltenango",9,"El Palmar",19,1524,316,--,30,37,6,1,5,35,3,--,2,--,--,22,141,6,2,149,--,149,--,314,165,141,149,149,Algún campo sin dato,1,03258e62cc30fca02dda4e11c0dd84626e3d9d0045065a80653525fdd282cdf8,25/06/2023 23:47:49,ESCANER
11362,"Quetzaltenango",9,"El Palmar",19,1525,380,4,84,80,12,1,2,17,2,0,1,1,0,67,271,14,5,290,0,290,--,380,90,271,290,290,Algún campo sin dato,1,a0fffc550beaf0c64a8d6e4d3f66689e401bc57051f8e369fe41bc10d65875bc,26/06/2023 02:13:15,ESCANER
