TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
86,86,100.0000,86,100.0000,0,31570,17878,56.6297

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,WINAQ,PHG,UNE,SEMILLA,U R N G - MAIZ,CABAL,MLP,VAMOS,VICTORIA,TODOS,PODEMOS,CREO,ELEFANTE,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13379,"San Marcos",12,"Comitancillo",4,1834,380,1,5,33,125,6,1,19,2,32,3,0,0,0,0,1,228,18,6,252,24,252,--,380,128,228,252,276,Sumas Asentadas sin cuadrar,1,1bbf54e461665ab95a41bc94dcf906a356ebafe08cbc5671d8fda87fd7a50102,26/06/2023 05:51:35,ESCANER
13380,"San Marcos",12,"Comitancillo",4,1834,380,4,6,35,111,4,2,23,1,24,2,1,0,0,0,0,213,4,5,222,0,222,0,380,158,213,222,222,,1,920585fb5a4302c5895aa36a76b7960459b5d17d59bff34db7f5cb9dc4f54106,26/06/2023 00:32:35,ESCANER
13381,"San Marcos",12,"Comitancillo",4,1835,380,3,7,28,82,7,1,11,0,39,1,0,0,0,0,0,179,7,6,192,0,192,--,380,185,179,192,192,Algún campo sin dato,1,04bf00ead067f9c8488ee8952328dc9245626b73a4fa38309c8ec5882766faf0,26/06/2023 02:13:38,ESCANER
13382,"San Marcos",12,"Comitancillo",4,1835,380,3,6,34,97,3,1,14,1,23,0,0,0,0,0,0,182,6,5,193,0,193,--,380,187,182,193,193,Algún campo sin dato,1,cbe6b117e034cb0c98a40754f22c4f39c870e7e2de6e00b07581491840c70d26,26/06/2023 02:43:52,ESCANER
13383,"San Marcos",12,"Comitancillo",4,1835,380,3,10,32,94,4,0,11,2,27,1,0,0,0,0,0,184,0,0,184,0,184,--,380,196,184,184,184,Algún campo sin dato,1,9e29fb793edba096274d101d973bfacb61c44ef7d9ca45a7a1add4c02c02fa99,25/06/2023 23:42:52,ESCANER
13384,"San Marcos",12,"Comitancillo",4,1835,273,0,8,19,54,2,0,12,0,23,2,0,0,0,0,0,120,1,1,122,0,122,0,273,151,120,122,122,,1,cfd8417f5d1f008cb8b61a2012746c7d789ab473ec98c28489d0ddc65c839348,26/06/2023 02:07:49,ESCANER
13385,"San Marcos",12,"Comitancillo",4,1835,273,1,7,23,46,2,1,11,1,22,1,0,0,0,0,0,115,1,3,119,0,119,--,273,154,115,119,119,Algún campo sin dato,1,55dbd81faf6e754fdd856996dd2cfaba99f4ae58505c5584ba00918b18a5923e,25/06/2023 23:52:49,ESCANER
13386,"San Marcos",12,"Comitancillo",4,1836,380,0,65,27,57,1,1,30,0,29,0,0,0,0,3,0,213,23,8,244,0,244,1,380,136,213,244,244,,1,0593f50013e1d0323b9c172a3d8d408e32dcfd2dec38e8e869b89288e6b69125,26/06/2023 00:28:21,ESCANER
13387,"San Marcos",12,"Comitancillo",4,1836,380,3,86,47,48,2,1,23,0,34,0,1,0,1,0,2,246,27,4,271,0,271,--,380,109,248,279,279,Sumas Asentadas sin cuadrar,1,643eae706d321b0dccbf976a51bd0b0a92c622ba2028d1cb8f4ce2f2c9d08777,26/06/2023 04:13:38,ESCANER
13388,"San Marcos",12,"Comitancillo",4,1836,380,1,76,54,31,1,3,25,2,40,1,3,0,1,0,0,238,24,3,265,0,265,0,380,115,238,265,265,,1,02eb53975236e994d1fba279ee3db98a4be4b7edcc80b2ad3dd94a261a214e10,26/06/2023 02:31:53,ESCANER
13389,"San Marcos",12,"Comitancillo",4,1836,380,2,94,29,40,1,0,23,1,34,0,0,0,1,0,0,225,6,3,234,0,234,0,380,146,225,234,234,,1,55e163ed3bb8f011c601a362891ecfed2ab070b0d48c2cb36cfec40addb12a30,26/06/2023 00:49:00,ESCANER
13390,"San Marcos",12,"Comitancillo",4,1837,380,1,66,34,31,1,2,28,3,23,1,0,0,0,0,0,190,10,4,204,0,204,--,380,176,190,204,204,Algún campo sin dato,1,d679843dee9d213e90b3361f3f40807f1ab7d95adc593e3d4c62292f927d0559,25/06/2023 23:17:14,ESCANER
13391,"San Marcos",12,"Comitancillo",4,1837,323,0,51,31,24,2,0,21,0,21,0,0,0,0,0,0,150,5,1,156,0,156,0,323,167,150,156,156,,1,62d88ecd1884295ea5605743f82eccbc1a40af9c05a8b599b54b8ece9f347311,25/06/2023 23:44:58,ESCANER
13392,"San Marcos",12,"Comitancillo",4,1837,322,1,64,25,24,2,0,14,0,18,1,0,0,0,0,0,149,2,2,153,0,153,--,322,169,149,153,153,Algún campo sin dato,1,4e3f0db68d12728dcc1829c94d57489dbfcc5291d15ea3f29f7ba507f46d46b5,25/06/2023 23:01:12,ESCANER
13393,"San Marcos",12,"Comitancillo",4,1838,380,1,10,79,83,2,0,14,2,61,0,4,0,0,1,0,257,18,11,286,0,286,0,380,94,257,286,286,,1,dba8681759be27610b50a458b3934ce33bfebb8c93a7a96284342f6c4dfeb527,26/06/2023 03:46:58,ESCANER
13394,"San Marcos",12,"Comitancillo",4,1838,380,2,11,68,84,1,1,3,0,53,4,2,0,0,0,1,230,22,11,263,0,263,0,380,117,230,263,263,,1,d4dbda4e5daa5fbf05c23c6ec8798c1c7d694864c196246b2458c0394220d92f,26/06/2023 00:39:15,ESCANER
13395,"San Marcos",12,"Comitancillo",4,1838,380,5,25,75,88,3,1,15,0,65,0,1,0,0,0,0,278,1,8,287,21,308,2,311,61,278,287,308,,1,1f0620ac177df49331ba3523580f37cf41df10c9e75dde003d9d7d7cb6d7528a,26/06/2023 04:05:47,ESCANER
13396,"San Marcos",12,"Comitancillo",4,1838,380,4,11,93,70,2,0,7,2,67,1,2,0,0,0,0,259,30,11,300,0,377,--,--,--,259,300,300,Sumas Asentadas sin cuadrar,1,7cac5812a61ff72345c3d9c8408f6f018240a6f7d30b6e06f528ff7cfe8e224a,26/06/2023 03:44:19,ESCANER
13397,"San Marcos",12,"Comitancillo",4,1838,380,2,17,103,87,2,3,12,0,42,2,1,0,0,0,0,271,23,14,308,0,308,0,380,72,271,308,308,,1,c6cc5af481dccbf5ff0d04356f5379b0f90b07adae560f5f9bd35d57232a8d33,26/06/2023 03:49:31,ESCANER
