TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
51,51,100.0000,51,100.0000,0,19179,15018,78.3043

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,UNE,MLP,TODOS,AZUL,VICTORIA,SEMILLA,VOS,VIVA,PODEMOS,PPN,CCEA,CCSP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9567,"Sololá",7,"San Lucas Tolimán",13,1190,400,72,26,31,34,31,0,26,3,4,12,8,46,7,11,311,3,3,317,0,317,--,400,83,311,317,317,Algún campo sin dato,1,10a571633d0980071032461d79cc334a33edc0e7bba0e88ab5f220051e4d004a,26/06/2023 01:53:33,ESCANER
9568,"Sololá",7,"San Lucas Tolimán",13,1191,400,60,25,30,41,17,2,27,1,6,14,1,48,5,28,305,5,2,312,0,312,--,400,88,305,312,312,Algún campo sin dato,1,2e3ddf71e41e930ba52b86e73f44c209eb60d9480a840fc0eacc36d2bb23334e,26/06/2023 03:17:02,ESCANER
9569,"Sololá",7,"San Lucas Tolimán",13,1191,400,62,21,27,39,19,5,25,2,2,12,3,55,6,19,297,6,3,306,0,306,--,400,94,297,306,306,Algún campo sin dato,1,44e667329e28df18ee092b21f79484c995ad4b309dd91ff50d7727384448c726,26/06/2023 02:02:24,ESCANER
9570,"Sololá",7,"San Lucas Tolimán",13,1192,400,45,28,17,41,40,2,27,0,3,6,9,47,16,21,302,4,2,308,0,308,--,400,92,302,308,308,Algún campo sin dato,1,6f57e1e88e67817153c7e604268042b1a3137208f320f0d5bcf0a61c5de87d66,26/06/2023 02:00:25,ESCANER
9571,"Sololá",7,"San Lucas Tolimán",13,1192,400,44,24,22,45,20,2,34,0,1,16,8,61,10,29,316,8,3,327,--,--,--,400,73,316,327,327,Algún campo sin dato,1,55505af41f1f230d66a36ac7e9c2a2637ee96978c092a41e823a101c57610bad,26/06/2023 01:08:44,ESCANER
9572,"Sololá",7,"San Lucas Tolimán",13,1192,400,46,32,19,45,22,2,29,2,0,13,5,64,7,21,307,10,2,319,81,400,--,400,81,307,319,400,Algún campo sin dato,1,967e3af306093bad381e8c5c0668b0d0fa9327dd65d8258b3c9bae8d253dd7c7,26/06/2023 02:40:05,ESCANER
9573,"Sololá",7,"San Lucas Tolimán",13,1192,400,65,25,20,38,25,3,33,1,1,12,7,42,10,31,313,5,3,321,0,321,--,400,79,313,321,321,Algún campo sin dato,1,f02db395902ce46d23d771fb786229903f61f771804751090d1a1be53b329352,26/06/2023 01:11:01,ESCANER
9574,"Sololá",7,"San Lucas Tolimán",13,1193,400,46,26,19,30,22,3,32,3,3,8,6,54,7,19,278,7,4,289,0,289,--,400,111,278,289,289,Algún campo sin dato,1,4dd8ba6b7e2b8867aa3186c9d336140278686d6acdeb1b0634798475570babdc,26/06/2023 00:32:23,ESCANER
9575,"Sololá",7,"San Lucas Tolimán",13,1193,400,51,26,35,50,31,2,28,2,2,9,3,43,6,18,306,2,0,308,0,308,--,400,92,306,308,308,Algún campo sin dato,1,da41ab336008355b9a18ff177140da7f0834c3ff1b7809e8d52a7f2ada96752a,26/06/2023 01:41:18,ESCANER
9576,"Sololá",7,"San Lucas Tolimán",13,1193,400,35,26,28,58,24,0,26,4,4,16,6,46,14,15,302,1,0,303,0,303,--,400,97,302,303,303,Algún campo sin dato,1,c6fae5b8aaaf2a9ac3250e3cfba64564577c18c342dab47f69814d6cf16f601b,26/06/2023 01:34:20,ESCANER
9577,"Sololá",7,"San Lucas Tolimán",13,1193,400,43,27,21,48,25,4,32,2,6,5,5,55,13,20,306,4,0,310,0,310,--,400,90,306,310,310,Algún campo sin dato,1,450218750e0bb60ed5cb39eec58ec6589e1a62013ecc1021c510f1e1c158be48,26/06/2023 01:07:27,ESCANER
9578,"Sololá",7,"San Lucas Tolimán",13,1193,400,40,25,22,51,27,1,34,6,2,7,4,57,7,23,306,2,0,308,0,308,--,400,92,306,308,308,Algún campo sin dato,1,3e682759f02fc68001a3578e8b31de204d84234a957031c4077f5c8a57b8d024,26/06/2023 01:26:47,ESCANER
9579,"Sololá",7,"San Lucas Tolimán",13,1193,400,52,31,22,40,27,6,22,1,2,10,2,44,8,25,292,5,0,297,0,297,--,400,103,292,297,297,Algún campo sin dato,1,5d7bb5db4e2e016067111b6668362055d9ae868d44a9159c299d080f9c0de8de,26/06/2023 01:12:56,ESCANER
9580,"Sololá",7,"San Lucas Tolimán",13,1193,400,49,24,27,27,31,2,19,0,8,14,7,53,3,15,279,3,1,283,0,283,--,400,117,279,283,283,Algún campo sin dato,1,4c336688971ed4deb9995bd2162a9608f0e97f0b6093872712ea1e0dee03345b,26/06/2023 01:05:16,ESCANER
9581,"Sololá",7,"San Lucas Tolimán",13,1193,287,31,19,14,24,16,2,31,1,1,7,5,26,9,13,199,3,0,202,--,202,--,287,85,199,202,202,Algún campo sin dato,1,9d6be2c20e70964d9ab1e1727c651ed54499089f1fe401c71ac7ff206711ec32,26/06/2023 00:27:15,ESCANER
9582,"Sololá",7,"San Lucas Tolimán",13,1193,286,29,16,14,22,16,5,26,1,1,8,0,34,4,15,191,4,0,195,0,195,--,286,91,191,195,195,Algún campo sin dato,1,c1e527515b493db69bb75f0ce258a7be4ed4c70f8d0111023ce62b07f64b9434,25/06/2023 22:37:45,ESCANER
9583,"Sololá",7,"San Lucas Tolimán",13,1194,380,97,87,29,5,21,2,5,8,8,4,0,54,6,1,327,9,3,339,0,339,--,380,41,327,339,339,Algún campo sin dato,1,2f99f62c738205cda9615f41e6047f840b1a76d8b02104990a8f4c3e6f1c5e33,25/06/2023 23:48:12,ESCANER
9584,"Sololá",7,"San Lucas Tolimán",13,1194,380,92,105,20,6,18,1,5,5,9,0,0,59,2,4,326,13,0,339,0,339,--,380,41,326,339,339,Algún campo sin dato,1,65960d305778d9373ec4fed1f52edaee54db6031588f7d195b98ce5cd04d58cd,26/06/2023 01:02:33,ESCANER
9585,"Sololá",7,"San Lucas Tolimán",13,1194,380,109,92,21,11,32,1,7,11,7,0,0,38,0,1,330,6,0,336,0,336,--,380,44,330,336,336,Algún campo sin dato,1,9b387008b252465d8b508829ed4ae82d99124bc07228eb53927ad74b7d1b2f62,26/06/2023 01:40:24,ESCANER
9586,"Sololá",7,"San Lucas Tolimán",13,1194,380,76,90,13,5,33,0,11,16,10,3,0,36,3,4,300,7,0,307,0,307,--,380,73,300,307,307,Algún campo sin dato,1,7e5b9c24f348bb7cd421bdadef8eeda379d6b7e790708ad1a772a28caa9e6e55,26/06/2023 00:55:37,ESCANER
9587,"Sololá",7,"San Lucas Tolimán",13,1194,326,85,79,14,3,15,1,1,5,4,1,0,31,7,2,248,0,0,248,0,248,--,326,78,248,248,248,Algún campo sin dato,1,8e02d322f22ff8f16372152f31f90ebe2bc9216945d1f3fb424ce7f716c86524,26/06/2023 00:43:32,ESCANER
9588,"Sololá",7,"San Lucas Tolimán",13,1194,326,79,71,13,8,18,0,10,11,5,0,0,37,4,4,260,2,0,262,0,262,--,326,64,260,262,262,Algún campo sin dato,1,90a82dde9c9e51c9f739a6a04d622fe3d366ef4685c1d6e1f991ea4eb844b3c8,25/06/2023 23:33:10,ESCANER
9589,"Sololá",7,"San Lucas Tolimán",13,1195,380,100,78,39,4,41,5,3,6,4,3,--,27,1,--,311,10,7,328,0,328,--,380,52,311,328,328,Algún campo sin dato,1,7d5ba6ce95be864d343619d125dc854588e23d80821cd5aff4f418f218370bf3,26/06/2023 00:05:24,ESCANER
9590,"Sololá",7,"San Lucas Tolimán",13,1195,380,91,88,53,3,41,3,3,3,3,3,0,33,1,0,325,11,6,342,0,342,--,380,38,325,342,342,Algún campo sin dato,1,8b6e711e4344687f100f34fb1bfe94e79fe1c09cb4f1df41bf5e14d115939c13,25/06/2023 23:56:03,ESCANER
9591,"Sololá",7,"San Lucas Tolimán",13,1195,380,76,89,49,3,44,1,1,3,5,3,2,43,1,0,320,18,8,346,0,346,--,380,34,320,346,346,Algún campo sin dato,1,b3922ae5a7fd9601e4e1e447004612744ae95f64f05d953ad939a9e2e8727dbe,26/06/2023 01:11:39,ESCANER
