TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
640,640,100.0000,636,99.3750,4,252887,149402,59.0785

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,BIEN,CABAL,MLP,UNE,PPG,PIN,PHG,WINAQ,VIVA,ELEFANTE,TODOS,AZUL,U R N G - MAIZ,UR,PODEMOS,PR,VALOR,MI FAMILIA,CAMBIO,PPN,VICTORIA,SEMILLA,P A N,VOS,FCN-NACION,CREO,UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
4263,"Guatemala",1,"Villa Nueva",15,440,400,21,17,15,2,10,19,15,8,1,2,9,12,1,1,33,1,0,16,2,5,1,6,14,0,4,7,3,2,227,19,0,246,0,246,--,400,154,227,246,246,Algún campo sin dato,1,d4132a2010ba76a9b973b89a877e6e58b65e506fe9a2cdef564108d214fc24fc,26/06/2023 01:38:06,ESCANER
4264,"Guatemala",1,"Villa Nueva",15,440,400,19,7,18,2,12,23,16,4,1,9,5,9,6,3,41,2,0,26,0,8,1,3,9,2,2,2,1,3,234,23,1,258,0,258,--,400,142,234,258,258,Algún campo sin dato,1,fc8878deeeaabe5e063cf314d8a357d27399f5b56fa689f04ffb07b57812b65f,26/06/2023 02:37:55,ESCANER
4265,"Guatemala",1,"Villa Nueva",15,440,400,23,11,15,1,17,25,21,6,1,3,5,12,1,4,45,1,2,26,2,3,0,3,8,2,3,2,0,0,242,15,2,259,0,259,--,400,141,242,259,259,Algún campo sin dato,1,904a53394c8ab9f3477412f08f864ed9af5ff52aa9f057928419504c99c14f13,26/06/2023 01:06:31,ESCANER
4266,"Guatemala",1,"Villa Nueva",15,440,400,26,15,16,2,14,28,13,6,2,7,0,8,1,4,43,3,0,18,1,2,2,3,12,3,6,1,1,1,238,18,2,258,0,258,--,400,142,238,258,258,Algún campo sin dato,1,af1da2c1cb1b81961b4e8761bc340fd24af555355c3a2932e5d7378aa82c6380,26/06/2023 03:10:40,ESCANER
4267,"Guatemala",1,"Villa Nueva",15,440,400,27,16,9,0,15,26,11,5,3,6,7,4,3,4,37,6,0,27,2,3,1,2,15,2,2,2,1,2,238,18,1,257,0,257,--,400,143,238,257,257,Algún campo sin dato,1,bca28df961fc5e5a965d4a47709bebe294c14a01b1808fbc282933777e8fcbfb,25/06/2023 23:46:49,ESCANER
4268,"Guatemala",1,"Villa Nueva",15,440,400,36,15,15,0,9,28,9,8,1,6,4,4,3,3,31,2,0,16,0,2,2,4,15,0,3,3,1,7,227,18,0,245,0,245,1,400,155,227,245,245,,1,371c87c1af896dcadd9d160fd122dc87521b1baf416d167c94861c7edeab03d6,26/06/2023 02:18:17,ESCANER
4269,"Guatemala",1,"Villa Nueva",15,440,400,31,12,4,0,12,17,12,7,2,4,6,5,4,5,37,2,1,19,1,3,1,8,11,0,4,1,0,6,215,10,1,226,0,226,--,400,174,215,226,226,Algún campo sin dato,1,6f925f9a008187034659cf6d789200f4a3baa4da4952b849c3d0d84d03a8c9d2,26/06/2023 03:08:07,ESCANER
4270,"Guatemala",1,"Villa Nueva",15,440,400,25,9,9,4,15,18,16,6,1,6,9,15,2,2,35,4,2,14,1,2,2,2,11,3,2,4,1,3,223,9,1,233,0,233,--,400,167,223,233,233,Algún campo sin dato,1,77e0e133acc0ce828ce12708ec71f7af6a793e4eb715c9c862a06f750888db1f,26/06/2023 03:37:19,ESCANER
4271,"Guatemala",1,"Villa Nueva",15,440,400,31,13,14,1,14,13,12,1,1,7,2,5,3,1,43,4,0,16,0,0,1,4,16,0,4,2,0,3,213,16,2,231,0,231,--,400,169,211,229,229,Sumas Asentadas sin cuadrar,1,81bb88f13a970ab99419a85364b15f65b0777aea4b0dc84bdb4ceec779a6412c,26/06/2023 02:13:10,ESCANER
4272,"Guatemala",1,"Villa Nueva",15,440,400,29,12,9,2,8,19,16,2,3,4,3,8,1,1,35,2,2,21,1,0,2,2,11,1,2,2,1,4,203,11,2,216,0,216,--,400,184,203,216,216,Algún campo sin dato,1,6ccf1562826c6c241c2fe607929d6dbb22a6606fbc12cbdbfbd9cfd91598ca63,26/06/2023 01:40:05,ESCANER
