TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
58,58,100.0000,58,100.0000,0,22477,12966,57.6856

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,UNE,PODEMOS,VALOR,BIEN,CAMBIO,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15986,"Huehuetenango",13,"Santa Eulalia",17,2348,321,68,40,57,4,17,0,0,0,186,2,1,189,0,189,--,321,132,186,189,189,Algún campo sin dato,1,48d865f308d0a686aa37fb82661d3970d19d6c4391b7604378be594e6598cf51,26/06/2023 00:14:20,ESCANER
15987,"Huehuetenango",13,"Santa Eulalia",17,2349,380,71,57,74,1,26,0,1,1,231,12,11,254,1,255,--,377,122,231,254,255,Algún campo sin dato,1,fada6ac712ed4a0ddfa481ba66ffef1595550217264b53a04620ad3279776aa4,26/06/2023 02:38:17,ESCANER
15988,"Huehuetenango",13,"Santa Eulalia",17,2349,380,78,43,68,1,36,0,0,1,227,15,8,250,0,250,--,377,127,227,250,250,Algún campo sin dato,1,25e1555d0a289dee8a355afcb5428865cbb8f288b40b105e006227bd261e991b,26/06/2023 01:17:38,ESCANER
15989,"Huehuetenango",13,"Santa Eulalia",17,2349,380,94,81,56,4,33,0,0,0,268,10,7,285,0,285,--,377,92,268,285,285,Algún campo sin dato,1,0b4d33f76ed307842ed6e059443efd957261c1cbc635b65e6b3c15672fcd985c,26/06/2023 02:25:28,ESCANER
15990,"Huehuetenango",13,"Santa Eulalia",17,2349,380,66,88,74,1,35,0,0,0,264,16,7,287,0,187,--,393,106,264,287,287,Sumas Asentadas sin cuadrar,1,de3ef78960615c7db55564d83703cafa7b5bf3e1452eb68b44b1204527664de1,26/06/2023 04:51:11,ESCANER
15991,"Huehuetenango",13,"Santa Eulalia",17,2349,380,74,73,65,5,25,1,0,1,244,6,6,256,1,257,--,376,119,244,256,257,Algún campo sin dato,1,541bb26c81a86b326ab6ed7976511a55d170b0f15adc63a798ce8587d20d2f28,26/06/2023 01:38:22,ESCANER
15992,"Huehuetenango",13,"Santa Eulalia",17,2350,380,58,64,54,3,29,0,0,1,209,8,6,223,1,224,--,377,153,209,223,224,Algún campo sin dato,1,7ea19bba3d762d39684e3a9b15ac5f6e12679039d81623652c658d76fbfd6a19,26/06/2023 00:56:45,ESCANER
15993,"Huehuetenango",13,"Santa Eulalia",17,2350,380,70,76,64,2,30,0,0,0,242,2,3,247,0,247,--,377,130,242,247,247,Algún campo sin dato,1,3d8e009b78984ac4882838b6bde22d6edee1c6b444bb9d49004823d6f6d98f29,25/06/2023 23:47:22,ESCANER
15994,"Huehuetenango",13,"Santa Eulalia",17,2350,339,54,73,58,5,39,0,0,0,229,0,1,230,0,230,--,336,106,229,230,230,Algún campo sin dato,1,5d13c1340ab3f4a2aee4464f8ce9ed91e1ced6985ad7b705a0c9e7b5bcd09169,25/06/2023 22:27:00,ESCANER
15995,"Huehuetenango",13,"Santa Eulalia",17,2350,338,65,48,59,3,35,0,0,0,210,0,4,214,1,215,--,335,120,210,214,215,Algún campo sin dato,1,8db3aa6b9ae54021bb66bcf93d3e9c813d6a9bdb8ac9dcb6d02d69ab54e7dced,25/06/2023 22:31:49,ESCANER
15996,"Huehuetenango",13,"Santa Eulalia",17,2351,380,38,79,37,26,1,0,1,3,185,13,10,208,0,208,0,377,121,185,208,208,,1,cdf519cb45de8e1b71b8e1cff68a133dbdbb1a1137b8e8b9b7fffa30b6a6dd2b,26/06/2023 00:29:16,ESCANER
15997,"Huehuetenango",13,"Santa Eulalia",17,2351,380,49,64,29,24,1,0,0,1,168,15,14,197,0,197,--,377,180,168,197,197,Algún campo sin dato,1,83b7be517c4c443d4ee0b005fabadc7bacd00642d1337d2b5a0cd8fe39c84856,26/06/2023 01:33:33,ESCANER
15998,"Huehuetenango",13,"Santa Eulalia",17,2351,380,64,49,8,35,0,0,0,0,156,12,7,175,0,175,--,475,201,156,175,175,Algún campo sin dato,1,72058df169a7c06aee838fe68378db09d6054c165e28cdc3e7399bdbb87af243,26/06/2023 01:00:21,ESCANER
15999,"Huehuetenango",13,"Santa Eulalia",17,2351,380,26,55,13,29,0,0,0,0,123,7,9,139,1,124,--,375,235,123,139,140,Sumas Asentadas sin cuadrar,1,c43d3dd43eb05fb466f01bc53c9a0cec44f962666340313a3073c3c34c677b19,25/06/2023 22:40:20,ESCANER
16000,"Huehuetenango",13,"Santa Eulalia",17,2351,380,42,45,30,37,0,1,1,0,156,5,6,167,0,168,--,377,209,156,167,167,Sumas Asentadas sin cuadrar,1,111cfe508d88f126aa895c94f351ec7b505fd4e2c2bc03f3db8883cff6824092,26/06/2023 04:10:39,ESCANER
16001,"Huehuetenango",13,"Santa Eulalia",17,2352,380,37,48,36,26,0,0,1,2,150,7,10,167,0,167,--,377,210,150,167,167,Algún campo sin dato,1,5f423aa63023ea72f892014c5b7a645035a459c4d3ec4bcdfc25f1494669bf5f,25/06/2023 23:39:10,ESCANER
16002,"Huehuetenango",13,"Santa Eulalia",17,2352,380,26,59,28,32,1,0,0,0,146,14,7,167,0,167,--,380,213,146,167,167,Algún campo sin dato,1,b2429931f1dcd651a5f6ed13253a9c79e48dd396409df955f887ef0e6d8550da,25/06/2023 23:22:46,ESCANER
16003,"Huehuetenango",13,"Santa Eulalia",17,2352,380,39,67,35,36,0,0,1,1,179,6,2,187,0,187,--,353,166,179,187,187,Algún campo sin dato,1,cdfe88aa97d95f9d80e770cb28b2d51fc6095304c3f0f6a8b831e2af18132fdb,26/06/2023 00:18:01,ESCANER
16004,"Huehuetenango",13,"Santa Eulalia",17,2352,279,42,47,26,20,0,0,0,0,135,2,1,138,0,138,--,279,141,135,138,138,Algún campo sin dato,1,20f066e38f8a100f75d974b3b683469b03d9217dda4611c98ef96056d3785b52,26/06/2023 00:08:14,ESCANER
16005,"Huehuetenango",13,"Santa Eulalia",17,2352,279,33,51,26,22,0,0,0,0,132,9,3,144,0,144,--,276,132,132,144,144,Algún campo sin dato,1,797378ca03176c10300cdf73019259984dcfdeca3fbbbb7336873e688fb12d65,26/06/2023 02:00:04,ESCANER
16006,"Huehuetenango",13,"Santa Eulalia",17,2353,525,26,17,29,7,8,0,0,0,87,5,5,97,0,97,--,525,428,87,97,97,Algún campo sin dato,1,e7ae4f7b1a4e99767185a4c779376a0d9cc9c8c84ed74d55a0301f1a262c8f6a,25/06/2023 21:33:43,ESCANER
16007,"Huehuetenango",13,"Santa Eulalia",17,2353,525,12,6,13,3,2,0,0,0,36,3,0,39,0,39,--,525,486,36,39,39,Algún campo sin dato,1,59a9245bbdcb78cf7ce3382a6ea9392833426038c2ecb6643128e5b49e78e3f4,25/06/2023 21:41:32,ESCANER
