TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,97,100.0000,0,36452,19514,53.5334

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,VALOR,MLP,VIVA,ELEFANTE,CAMBIO,UNE,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21817,"Izabal",18,"Los Amates",5,3380,311,46,65,0,0,0,0,1,44,0,156,2,2,160,3,163,1,311,148,156,160,163,,1,705426f7452b77cf64d8477b976f0f30317f9ffa95e2c1d087976dcddcf7f387,26/06/2023 01:32:56,ESCANER
21818,"Izabal",18,"Los Amates",5,3380,311,37,68,1,0,0,0,0,41,0,147,2,0,149,0,149,--,308,159,147,149,149,Algún campo sin dato,1,05f8e1ce5416812dfabab2e2171a9eb4ffbe3d380508dc85d1985a0808a23fd3,26/06/2023 01:20:18,ESCANER
21819,"Izabal",18,"Los Amates",5,3381,400,96,65,4,0,2,1,7,62,0,237,28,2,267,0,267,--,400,130,237,267,267,Algún campo sin dato,1,3c999bc5cf924e02b64ba61d17d32f3f8b3a1393fcf412c749f93e73006fd486,26/06/2023 02:38:12,ESCANER
21820,"Izabal",18,"Los Amates",5,3381,400,73,102,0,0,4,2,6,69,0,256,13,1,270,0,270,--,397,127,256,270,270,Algún campo sin dato,1,dd836e1f0cf304cdea074adac3097fd4de38c3458249b7792b3889f12f95b2ec,26/06/2023 02:56:15,ESCANER
21821,"Izabal",18,"Los Amates",5,3381,400,77,82,0,1,1,2,5,49,0,217,12,1,230,0,230,--,400,170,217,230,230,Algún campo sin dato,1,e15d56a1c89ce3162b15ff8e225957ca1174730f94d8c2dccee96cdf098935a4,26/06/2023 00:32:58,ESCANER
21822,"Izabal",18,"Los Amates",5,3381,294,49,66,1,0,0,0,0,42,0,158,5,1,164,0,164,--,294,130,158,164,164,Algún campo sin dato,1,8de7617a65c52d2d2a3fa151a22a09cddd48b728f0df32159425895a015c7160,26/06/2023 00:13:00,ESCANER
21823,"Izabal",18,"Los Amates",5,3381,293,33,94,0,0,0,1,1,35,0,164,3,1,168,0,168,--,293,125,164,168,168,Algún campo sin dato,1,97d68a5c7192291517646508c9293f73bb7385822f0f122154c6ac0a95f1dadb,25/06/2023 22:09:26,ESCANER
21824,"Izabal",18,"Los Amates",5,3382,380,43,56,3,2,2,0,0,72,0,178,20,4,202,1,203,1,380,176,178,202,203,,1,2acf96326de87809bc3692d29d0dfe594519ebf8762d86a5d037a56981493be6,26/06/2023 03:56:16,ESCANER
21825,"Izabal",18,"Los Amates",5,3382,380,37,42,1,3,0,1,2,63,0,149,8,7,164,0,164,0,377,213,149,164,164,,1,531ee62bc5878aad28924b02476f7954211a68ec0301d9647df8b1e2000d9d81,26/06/2023 01:11:29,ESCANER
21826,"Izabal",18,"Los Amates",5,3382,380,46,72,1,2,1,0,1,54,0,177,6,8,191,0,191,--,380,189,177,191,191,Algún campo sin dato,1,9cf1e95c07e7138de413a9aa83846076bc5ff13c40e8ad4bea508811be80ccac,25/06/2023 23:43:25,ESCANER
21827,"Izabal",18,"Los Amates",5,3382,380,48,46,2,2,0,0,0,72,0,170,14,8,192,0,192,--,380,188,170,192,192,Algún campo sin dato,1,3b4b862d44cbd6eefbf4f97258fd6da6448dc7447198328c4e16755065c138c8,26/06/2023 00:47:27,ESCANER
21828,"Izabal",18,"Los Amates",5,3382,380,40,58,0,1,0,0,0,41,0,140,11,1,152,0,152,--,380,228,140,152,152,Algún campo sin dato,1,e6c23d09e36637c21ee83fc85ee048fe54c1d554a90a6fc0cd49e3f9b047350d,25/06/2023 23:28:54,ESCANER
21829,"Izabal",18,"Los Amates",5,3382,276,34,47,1,1,0,0,0,41,0,124,3,1,128,0,128,--,276,148,124,128,128,Algún campo sin dato,1,234c7284ce3a1752a64cf822fd24ae4d1550057b280fe29611be4dcfd7c2d4c6,25/06/2023 23:16:00,ESCANER
21830,"Izabal",18,"Los Amates",5,3382,275,30,24,3,1,0,0,0,20,0,78,7,0,85,2,87,--,272,185,78,85,87,Algún campo sin dato,1,c04c84dc11e57f8dc98fdd4b189c122e21b84b168a35a9ff980a47d3fec3b8f2,25/06/2023 23:00:28,ESCANER
21831,"Izabal",18,"Los Amates",5,3383,380,71,23,1,1,1,0,0,102,0,199,11,4,214,0,214,--,380,166,199,214,214,Algún campo sin dato,1,94e7a2e082b77bba29ba09b746e9f2a31d95fd7d905afeafd52260e7fa2899eb,26/06/2023 01:19:27,ESCANER
21832,"Izabal",18,"Los Amates",5,3383,380,87,24,1,0,2,0,1,72,0,187,18,7,212,0,212,--,380,168,187,212,212,Algún campo sin dato,1,72f18c99e20f481625c207a043ba37af663652ec978983bf08a1eee7b43bef04,26/06/2023 01:36:18,ESCANER
21833,"Izabal",18,"Los Amates",5,3383,380,63,21,0,0,1,0,0,93,0,178,8,7,193,0,193,--,380,187,178,193,193,Algún campo sin dato,1,470e13bc29b6a609adc4ebce4dff64f5d3d2d37b91aaa0f019fb4ee5cb12fc25,26/06/2023 00:48:39,ESCANER
21834,"Izabal",18,"Los Amates",5,3383,380,44,23,2,1,4,0,0,118,0,192,8,4,204,0,204,--,379,176,192,204,204,Algún campo sin dato,1,5b82e8060972454a2a959ec9839f8ec41be3459321f80b6eeaa356f46e29bae6,26/06/2023 01:03:25,ESCANER
21835,"Izabal",18,"Los Amates",5,3383,380,75,22,1,1,1,0,0,70,0,170,22,3,195,0,195,--,380,185,170,195,195,Algún campo sin dato,1,9288aef1d6994d2edcfc6a27abc4d20966d0a5fa7dd4cba319f44c1dfc60d087,25/06/2023 23:30:17,ESCANER
21836,"Izabal",18,"Los Amates",5,3383,380,106,36,0,0,1,1,0,47,0,191,5,2,198,0,198,--,380,182,191,198,198,Algún campo sin dato,1,aa01679664e95a842baa795a02be088a7fbfebf6f3075dac3ba454c81bf6ee65,26/06/2023 01:14:39,ESCANER
21837,"Izabal",18,"Los Amates",5,3383,268,53,26,0,0,0,0,0,63,0,142,3,1,146,0,146,1,268,122,142,146,146,,1,07ce59fe37de109703a74427834f81b35b9b274cde4408fda72b718e5e7d698d,25/06/2023 23:15:20,ESCANER
21838,"Izabal",18,"Los Amates",5,3383,267,37,13,0,1,0,0,0,35,0,86,4,6,96,2,96,--,267,169,86,96,98,Sumas Asentadas sin cuadrar,1,15578432a48bf682f76b28865e17ae71bead7c2140925cb7622dde267daebc14,26/06/2023 00:43:57,ESCANER
21839,"Izabal",18,"Los Amates",5,3384,380,38,60,2,3,8,0,0,82,0,193,12,3,208,0,208,--,380,169,193,208,208,Algún campo sin dato,1,31c95e4e60a84143cc8e1bcc6dc6cfcbc0f0e06cf9460c7dbbe1653a102cde57,25/06/2023 23:39:13,ESCANER
21840,"Izabal",18,"Los Amates",5,3384,380,34,70,3,5,2,0,0,84,0,198,21,4,223,0,223,--,380,157,198,223,223,Algún campo sin dato,1,289363638a79a9c05463da94da95986524251e695e801a6e20352f89ba7adc19,25/06/2023 22:18:51,ESCANER
