TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,97,100.0000,0,36452,19514,53.5334

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,VALOR,MLP,VIVA,ELEFANTE,CAMBIO,UNE,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21856,"Izabal",18,"Los Amates",5,3386,380,42,68,2,0,2,2,5,49,0,170,11,6,187,0,187,--,380,193,170,187,187,Algún campo sin dato,1,82793612e4d63309f8c24ba6b29bbaba88d8141114ac69da27441ed24a46b596,25/06/2023 23:36:33,ESCANER
21857,"Izabal",18,"Los Amates",5,3386,328,51,70,1,0,0,1,5,38,0,166,7,0,173,0,173,--,327,154,166,173,173,Algún campo sin dato,1,9fe33761970350d47564bab07a93c6c300fcb629716e0dde2dcd526ff2568f3a,26/06/2023 00:05:53,ESCANER
21858,"Izabal",18,"Los Amates",5,3386,327,52,42,0,0,0,2,4,28,0,128,10,1,139,0,139,--,327,188,128,139,139,Algún campo sin dato,1,9f07466c781f2eaa3660d5f22c8a4421ba9126ea3385e11b1f102cbf2fc579d3,25/06/2023 23:58:10,ESCANER
21859,"Izabal",18,"Los Amates",5,3387,380,91,80,2,14,4,0,2,58,0,251,14,4,269,0,269,--,380,111,251,269,269,Algún campo sin dato,1,46726d9fc47bbd85eedea4df9c6ceb273cf633840f7d604ad34498e6ea27cb1d,26/06/2023 01:40:23,ESCANER
21860,"Izabal",18,"Los Amates",5,3387,380,72,83,1,5,2,0,3,60,0,226,12,5,243,0,243,2,380,137,226,243,243,,1,6d594f1730a07ab94377db672391e438916b3fb7032898a30e12a7cdf0e1a5f5,26/06/2023 01:53:43,ESCANER
21861,"Izabal",18,"Los Amates",5,3388,380,103,66,0,7,4,1,2,47,0,230,18,5,253,0,253,--,380,127,230,253,253,Algún campo sin dato,1,c274a18d9f1302347a3afa8edbe25e680770129b1841bb8a4884df366e3f3a81,26/06/2023 01:56:32,ESCANER
21862,"Izabal",18,"Los Amates",5,3388,380,99,71,0,2,5,1,6,49,0,233,12,5,250,0,250,1,380,130,233,250,250,,1,fa8b3579bc295bcbb06acd2d0ae05bae554ff64b6a636a51bd9febb00ed38df7,26/06/2023 02:09:08,ESCANER
21863,"Izabal",18,"Los Amates",5,3388,380,95,77,1,5,0,0,6,50,0,234,6,0,240,0,240,--,380,140,234,240,240,Algún campo sin dato,1,240ffb41512e52ab51bb6fd578067547598a769e720d4b362fcc4b7d923b885f,26/06/2023 01:09:46,ESCANER
21864,"Izabal",18,"Los Amates",5,3388,202,49,55,0,1,1,0,1,22,0,129,1,0,130,0,130,--,199,69,129,130,130,Algún campo sin dato,1,604703e57b64c1cea3f7fb79d4c2ec94d5dfb58659396d8f59cf081c3c1a195d,26/06/2023 00:23:05,ESCANER
21865,"Izabal",18,"Los Amates",5,3388,202,53,44,3,2,1,0,2,19,0,124,1,0,125,0,125,--,202,77,124,125,125,Algún campo sin dato,1,d0aeb2c3368f06696c81e62616107d9314cd0b8458bc61e7378a9ac261b9aae1,26/06/2023 00:47:33,ESCANER
