TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
110,110,100.0000,110,100.0000,0,39922,21234,53.1887

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VAMOS,MLP,VALOR UNIONISTA,AZUL,CABAL,VOS,PODEMOS,URNG-MAIZ WINAQ,CAMBIO,CREO,MI FAMILIA,PHG,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18150,"Baja Verapaz",15,"Salamá",1,2774,400,23,11,46,0,9,42,41,11,1,2,1,2,8,0,1,198,4,3,205,0,205,--,400,195,198,205,205,Algún campo sin dato,1,4692b6d7ea4b52c634bec0d5fd125ada5d5a24e602ace69df7649f3e9688b6c3,25/06/2023 22:22:02,ESCANER
18151,"Baja Verapaz",15,"Salamá",1,2774,400,18,15,71,2,9,41,26,16,0,0,1,2,7,0,3,211,13,0,224,0,224,--,400,176,211,224,224,Algún campo sin dato,1,ade233b9e6f65d17d79024fa581631665e535401c1d48ee8960c88cbc97b39da,26/06/2023 00:28:06,ESCANER
18152,"Baja Verapaz",15,"Salamá",1,2774,400,12,21,46,2,8,42,32,27,1,2,1,5,4,3,0,206,4,0,210,4,214,--,397,183,206,210,214,Algún campo sin dato,1,4c3784cc7de76f613d78b5bb7c815f22f638935a80c0a93f6cc66d8c1343b8a1,25/06/2023 21:18:55,ESCANER
18153,"Baja Verapaz",15,"Salamá",1,2774,400,17,22,55,3,9,40,44,14,0,1,1,8,4,1,0,228,9,0,219,0,228,--,400,172,219,228,228,Sumas Asentadas sin cuadrar,1,cf4f107c678c3367f94e71361cc158ea1e15f23e7aba9cd8fd33258d623e1a33,26/06/2023 03:54:44,ESCANER
18154,"Baja Verapaz",15,"Salamá",1,2774,400,35,20,51,3,6,47,23,21,2,1,2,4,6,1,1,223,12,5,240,0,240,--,400,160,223,240,240,Algún campo sin dato,1,ad05c10d940a5677ce633b89c26404f8396bcdf99c1b3366837c012f074ce606,25/06/2023 21:30:35,ESCANER
18155,"Baja Verapaz",15,"Salamá",1,2774,400,20,11,64,1,5,45,33,13,4,0,1,5,2,0,0,204,10,4,218,0,218,--,400,182,204,218,218,Algún campo sin dato,1,3bb20ca69ee13db1f2d2bcfac14bceae6dd640c010cad242a3065090c7cdfea5,25/06/2023 23:57:41,ESCANER
18156,"Baja Verapaz",15,"Salamá",1,2774,400,24,28,52,1,6,48,29,21,1,3,0,3,7,1,1,225,12,2,239,0,239,--,400,161,225,239,239,Algún campo sin dato,1,ff7802158369574bce23ef0ae9af1e1d501d0b4491c6dc68186d4d148f016bc5,26/06/2023 01:21:14,ESCANER
18157,"Baja Verapaz",15,"Salamá",1,2774,400,16,21,70,0,5,48,44,23,2,4,2,3,9,1,2,250,8,2,260,0,260,--,400,140,250,260,260,Algún campo sin dato,1,4f04ebad0aa1aed11af88994a7f350de51bf767fdcb1cfdb2e179b5f5fc89ed7,26/06/2023 03:42:41,ESCANER
18158,"Baja Verapaz",15,"Salamá",1,2774,400,23,11,58,2,8,45,33,19,0,2,0,3,9,0,1,214,9,5,228,0,228,--,400,172,214,228,228,Algún campo sin dato,1,045b39d469757e7f53e14022bf0bcffaa8236ab413616b596340c1fe3ada0825,25/06/2023 22:18:36,ESCANER
18159,"Baja Verapaz",15,"Salamá",1,2774,400,19,21,61,1,8,44,42,6,0,2,1,4,10,0,1,220,11,1,232,0,232,--,--,--,220,232,232,Algún campo sin dato,1,d7cfaa9ff28a17be3fbbb87b257d34fa76fd3d46c98930db1152db0fedb9a2a4,25/06/2023 21:49:59,ESCANER
18160,"Baja Verapaz",15,"Salamá",1,2774,400,22,19,73,1,4,50,33,15,1,1,1,2,7,2,1,232,12,3,247,0,247,--,400,153,232,247,247,Algún campo sin dato,1,0f3d56bc60484922ed77afc58146da7f8fc7564862e1409ef821a993b48a00da,25/06/2023 23:19:50,ESCANER
18161,"Baja Verapaz",15,"Salamá",1,2774,400,27,21,52,2,7,51,33,9,1,4,0,5,5,3,2,222,16,1,239,0,239,--,400,161,222,239,239,Algún campo sin dato,1,41d31c85d4f27699bef187c4a051bfaa64a08a2d14d2cf986b442379b734a245,26/06/2023 00:36:32,ESCANER
18162,"Baja Verapaz",15,"Salamá",1,2775,400,25,13,69,2,10,36,28,9,2,4,2,5,4,0,4,228,13,2,228,0,228,--,400,172,213,228,228,Sumas Asentadas sin cuadrar,1,addf7f34d2e94eb9e61f9ec4f326cdb6593422b01fcae34a1f1113029680f508,25/06/2023 23:03:24,ESCANER
18163,"Baja Verapaz",15,"Salamá",1,2775,400,19,9,45,0,6,45,27,22,2,2,0,3,5,0,4,189,9,3,201,1,202,--,400,198,189,201,202,Algún campo sin dato,1,c3be120f9d46f5878780227a88fc4a9f97edbe878778fbe29c419e2e0acc24b4,25/06/2023 23:53:16,ESCANER
18164,"Baja Verapaz",15,"Salamá",1,2775,400,15,13,57,2,2,47,35,13,1,4,0,2,5,0,2,198,8,2,208,0,208,--,400,192,198,208,208,Algún campo sin dato,1,cba2269897456036e5a4fc8d55f49a842e608b33452e43fac78c255b22b986cc,25/06/2023 22:23:55,ESCANER
18165,"Baja Verapaz",15,"Salamá",1,2775,400,25,9,46,0,9,44,30,25,0,2,0,2,4,0,1,203,6,0,203,0,203,--,400,197,197,203,203,Sumas Asentadas sin cuadrar,1,7b2cb49a9d7138d84cc6e4750f121e692af65074e723cb03f80a925d2badb7db,26/06/2023 00:22:13,ESCANER
18166,"Baja Verapaz",15,"Salamá",1,2775,400,14,13,60,0,10,41,44,20,0,4,0,2,4,0,0,212,7,0,219,0,219,--,400,181,212,219,219,Algún campo sin dato,1,18b7f1379e895002215055239cd51bdcf08d38c42a6dbfc7eb08eccf42dc1048,26/06/2023 08:12:08,MOVIL
18167,"Baja Verapaz",15,"Salamá",1,2775,400,22,15,74,0,3,43,32,22,0,3,2,6,5,0,0,227,5,0,232,0,232,--,400,168,227,232,232,Algún campo sin dato,1,018afc0d67bdb421e1a871d988632e7f6230a17b64e155a91f2293880be151ba,25/06/2023 22:43:51,ESCANER
18168,"Baja Verapaz",15,"Salamá",1,2775,400,10,15,63,0,7,49,48,26,1,1,1,3,4,0,0,228,5,0,233,0,233,--,400,167,228,233,233,Algún campo sin dato,1,6624c48bc41c6afd08bfd0a2fbe43d4e63182f7f343fa033bf07b6e9e4d08b6c,25/06/2023 23:05:34,ESCANER
18169,"Baja Verapaz",15,"Salamá",1,2775,400,20,12,48,3,3,43,50,23,0,4,0,4,2,0,1,213,9,0,222,0,222,--,400,178,213,222,222,Algún campo sin dato,1,23b4aae5b3bac412116c1a7e18bd346d2c9c2331fd990da0eaba6189da28f9bd,25/06/2023 23:11:08,ESCANER
18170,"Baja Verapaz",15,"Salamá",1,2775,400,18,12,41,0,5,44,29,17,0,4,2,2,6,1,1,182,7,0,189,0,189,--,400,211,182,189,189,Algún campo sin dato,1,764d50d58550f619838a68a44e35da7a91dfc8cf7b9029e632b9e17ae5d178e0,25/06/2023 22:11:01,ESCANER
18171,"Baja Verapaz",15,"Salamá",1,2775,400,21,7,43,2,3,37,33,16,1,2,3,4,2,0,3,177,5,0,182,0,182,--,400,218,177,182,182,Algún campo sin dato,1,8248e52f9e40c44611d4f287a8eea26d53b2acc3737f0c5de9332446624f6f73,25/06/2023 23:19:43,ESCANER
18172,"Baja Verapaz",15,"Salamá",1,2775,345,12,10,45,2,3,25,25,12,0,1,2,3,5,1,3,149,5,0,154,0,154,--,345,191,149,154,154,Algún campo sin dato,1,8343b6a1a8916c02a838c616a949db9bf86288e97be5ab09828a998ace1184da,25/06/2023 22:18:09,ESCANER
18173,"Baja Verapaz",15,"Salamá",1,2775,345,5,14,32,0,4,23,18,9,0,1,0,3,6,0,1,116,6,2,124,0,124,--,345,221,116,124,124,Algún campo sin dato,1,db7ee311c7de590182b353fecbe74444b2a4774980f9f2d6a655dd44ff42ff63,25/06/2023 23:31:26,ESCANER
18174,"Baja Verapaz",15,"Salamá",1,2776,380,55,25,38,18,3,26,25,1,2,0,4,7,1,0,2,207,31,10,248,0,248,--,380,132,207,248,248,Algún campo sin dato,1,5ce8a7eaea4840a81f9b69263eb36f0d0d8d78b99a57fa431810c7d17208782f,26/06/2023 00:22:52,ESCANER
18175,"Baja Verapaz",15,"Salamá",1,2776,380,72,17,40,9,2,40,19,1,2,3,0,9,1,1,0,216,20,10,246,0,246,--,380,134,216,246,246,Algún campo sin dato,1,1d4db1663760d60f3676c4a24a7acaf40d75f99d2239a86181f27bba2b2f3f45,26/06/2023 00:11:06,ESCANER
