TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
110,110,100.0000,110,100.0000,0,39922,21234,53.1887

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VAMOS,MLP,VALOR UNIONISTA,AZUL,CABAL,VOS,PODEMOS,URNG-MAIZ WINAQ,CAMBIO,CREO,MI FAMILIA,PHG,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18203,"Baja Verapaz",15,"Salamá",1,2782,264,41,10,36,1,2,25,15,8,1,1,1,1,2,0,0,144,22,2,168,0,168,--,264,96,144,168,168,Algún campo sin dato,1,cc1807822d4c652c90ad9b3e9c4ad1c6d7a0a083118dfff3aef50c2306ff65ff,26/06/2023 01:33:10,ESCANER
18204,"Baja Verapaz",15,"Salamá",1,2782,264,24,13,35,3,2,16,14,3,1,1,4,0,0,0,1,117,10,2,129,0,129,--,264,135,117,129,129,Algún campo sin dato,1,a3fd3d1df3058856934ba767e398927a302e8bdffedd11447a39c1b6a792a54e,26/06/2023 01:49:50,ESCANER
18205,"Baja Verapaz",15,"Salamá",1,2783,380,8,35,12,45,1,33,5,4,0,2,1,0,3,4,0,153,41,16,210,0,210,--,380,170,153,210,210,Algún campo sin dato,1,643abfd6a7f60948eea35297dddf3516b872b6df7f93fd411bfa7da2de7f07f5,25/06/2023 23:55:16,ESCANER
18206,"Baja Verapaz",15,"Salamá",1,2783,380,10,29,16,37,0,28,5,6,0,0,0,1,0,3,0,135,35,12,182,0,182,--,380,198,135,182,182,Algún campo sin dato,1,f36fbf4c21987d33b3f00a4d3f4ac7c482194368b0e0fef322a0c57f398e01fb,26/06/2023 00:36:36,ESCANER
18207,"Baja Verapaz",15,"Salamá",1,2783,277,6,22,4,17,1,15,4,4,0,1,0,0,2,3,0,79,9,4,92,0,92,0,277,185,79,92,92,,1,d9a55ce31ecdc40270a85adcbb153cc4178521c26c1493664cbd65f19d4c3a50,25/06/2023 23:25:32,ESCANER
18208,"Baja Verapaz",15,"Salamá",1,2783,277,8,21,11,18,1,16,1,4,1,1,0,0,1,0,0,83,4,0,87,0,87,--,277,190,83,87,87,Algún campo sin dato,1,d759419c626f3a2962c76dfb60899d9ccb64e76d6d94d99d8cf2e34ecf98b2a4,25/06/2023 23:41:58,ESCANER
18209,"Baja Verapaz",15,"Salamá",1,2784,380,24,16,34,22,5,45,23,6,1,8,0,6,1,9,1,201,39,8,248,0,248,--,380,132,201,248,248,Algún campo sin dato,1,28c86df072083bc5f080837a87338d95d85ec42f393817561bb5390022729c33,26/06/2023 03:41:04,ESCANER
18210,"Baja Verapaz",15,"Salamá",1,2784,380,24,12,34,16,1,38,26,1,2,3,0,2,2,2,0,163,58,7,228,0,228,1,380,152,163,228,228,,1,32091a25e6163ef2b4d5583671932dd8da13e51acdd06b53065393c3a9a1a1e1,26/06/2023 00:26:24,ESCANER
18211,"Baja Verapaz",15,"Salamá",1,2784,380,17,7,30,18,6,56,20,4,0,3,1,6,0,1,1,170,20,6,196,0,196,--,380,184,170,196,196,Algún campo sin dato,1,225d9b7b904f1592b9fec719c4afe7169d342fd649d7da756cc78552c73526eb,26/06/2023 00:12:40,ESCANER
18212,"Baja Verapaz",15,"Salamá",1,2784,213,16,5,14,4,1,28,9,3,0,1,0,1,2,4,0,88,8,1,97,1,98,2,213,113,88,97,98,,1,0053fde0963843f54208a3a95944c1c2223684d4024bb2356fefbef148b718b4,25/06/2023 23:40:21,ESCANER
18213,"Baja Verapaz",15,"Salamá",1,2784,213,5,1,16,7,0,13,9,3,0,1,0,2,1,2,1,61,5,2,68,0,68,--,213,145,61,68,68,Algún campo sin dato,1,bc70c1a465e83ad2aed8bc94bf3fafd6cdb340bf6333212ec81a97d459b2f97c,25/06/2023 22:54:44,ESCANER
18214,"Baja Verapaz",15,"Salamá",1,2785,355,20,23,31,2,2,82,44,3,0,9,0,0,0,0,1,217,23,6,246,0,246,--,355,109,217,246,246,Algún campo sin dato,1,56c37c81cf1a714635bea086bfdee6ce52b5e13600a9be8af26890f378220530,26/06/2023 00:25:06,ESCANER
18215,"Baja Verapaz",15,"Salamá",1,2785,355,31,20,38,0,1,95,28,3,0,3,1,1,1,0,0,222,12,1,235,1,236,--,355,119,222,235,236,Algún campo sin dato,1,b313c537d56d66cf9836e4bbe2fc7643ce1674b2aa0e587f4bf151c7ce19c9c3,26/06/2023 00:14:18,ESCANER
18216,"Baja Verapaz",15,"Salamá",1,2786,380,8,34,68,1,7,36,39,11,1,4,1,4,2,2,0,218,21,4,243,0,243,0,380,137,218,243,243,,1,7005df5aec8a057373d49341e6a9e5dd5f22230a3cd62f6a5c7d181d8d10e298,26/06/2023 00:39:38,ESCANER
18217,"Baja Verapaz",15,"Salamá",1,2786,380,5,40,61,1,6,45,46,4,0,1,1,1,3,0,0,214,27,2,243,0,243,0,380,137,214,243,243,,1,689c32a67af629e89913778d8d8f09075fcad1a9215aca8cd0ef271913d72c4b,26/06/2023 00:12:01,ESCANER
18218,"Baja Verapaz",15,"Salamá",1,2786,380,8,27,58,2,5,43,43,10,0,5,1,1,1,0,0,204,21,1,226,0,226,0,380,154,204,226,226,,1,c8d0bce7f15eee0d6cae4407cc6524f513524efcb59ac08f988b8fa604267405,25/06/2023 23:53:57,ESCANER
18219,"Baja Verapaz",15,"Salamá",1,2786,380,9,25,40,0,9,35,39,13,0,1,1,4,5,0,1,182,14,2,198,0,198,0,380,182,182,198,198,,1,1318e7cbca4ad44277badafcec92e52192c2fc309072acb04497e8bf374cfedc,26/06/2023 00:25:53,ESCANER
18220,"Baja Verapaz",15,"Salamá",1,2786,233,7,9,27,1,3,17,28,6,0,0,1,5,2,1,0,107,4,0,111,0,111,0,233,122,107,111,111,,1,91a7efbe1001ee97183d5ddc3a7f0376b7944df2f79dcb18c7c3e5b2b992271e,25/06/2023 23:42:32,ESCANER
18221,"Baja Verapaz",15,"Salamá",1,2786,233,7,9,26,0,3,22,29,4,0,1,0,2,2,0,0,105,3,0,108,0,108,0,233,125,105,108,108,,1,c2decae49f858f3a44011c2185888b628bb40d0a5f6087858953b8e5b23c09f9,25/06/2023 21:48:56,ESCANER
18222,"Baja Verapaz",15,"Salamá",1,2787,380,60,8,79,0,4,35,18,5,0,1,0,1,1,0,0,212,32,5,249,0,249,--,380,131,212,249,249,Algún campo sin dato,1,f37060ee5302072804f5dd638257f0b883df343e5e55dbf0b039398f9939a1c5,25/06/2023 22:57:30,ESCANER
18223,"Baja Verapaz",15,"Salamá",1,2787,380,60,17,72,0,8,27,17,11,1,2,2,3,4,0,1,225,20,5,250,0,250,--,403,153,225,250,250,Algún campo sin dato,1,54bff860747e96cebf8ea2080abf50ea9488f39913c1cc7540257f3f25efa6b7,26/06/2023 00:21:56,ESCANER
18224,"Baja Verapaz",15,"Salamá",1,2787,271,38,12,40,0,6,12,14,3,2,1,0,0,2,1,0,131,10,1,142,0,142,1,271,128,131,142,142,,1,52f7cb086b191dfd1e34f94fd5aa45d897f2e84b3a8a41d1c9206d18b114fa91,26/06/2023 00:27:10,ESCANER
18225,"Baja Verapaz",15,"Salamá",1,2787,270,47,4,41,1,4,18,10,6,1,3,2,2,0,0,0,139,5,0,144,0,144,--,270,126,139,144,144,Algún campo sin dato,1,39a304b8cbdb4202a806e8263d808ff16b4beaf3f59a3a3dd6d49b607466f099,25/06/2023 23:47:46,ESCANER
18226,"Baja Verapaz",15,"Salamá",1,2788,380,33,19,63,0,9,41,41,3,0,5,0,0,3,1,1,219,28,9,256,0,256,--,380,124,219,256,256,Algún campo sin dato,1,47826c1199fe6fd751dcfb49310b93ab2554b8520bbbb0f3dbc0a1e0faa1fba9,26/06/2023 03:15:01,ESCANER
18227,"Baja Verapaz",15,"Salamá",1,2788,380,33,23,67,0,3,29,38,5,0,3,1,0,1,1,1,205,26,9,240,0,240,--,380,140,205,240,240,Algún campo sin dato,1,30de909a0580cb6e0bd6dc89178b3d3d2e77e6f43895573bc50f733d339a00ce,26/06/2023 01:04:38,ESCANER
18228,"Baja Verapaz",15,"Salamá",1,2788,203,11,8,35,1,2,19,19,1,0,2,0,0,1,0,1,100,7,1,108,0,108,0,200,92,100,108,108,,1,63dc446baa005e457f4a7d8131922b68a66b1520cc122759af78d4b2f3d3cc2c,25/06/2023 22:02:22,ESCANER
18229,"Baja Verapaz",15,"Salamá",1,2788,203,11,6,38,0,0,21,16,1,0,0,0,0,0,0,0,93,6,0,99,1,100,6,203,103,93,99,100,,1,a41ced9ec92a0b0643937d52f47307297f073632eff855d545d439eed8d5c441,25/06/2023 22:38:57,ESCANER
18230,"Baja Verapaz",15,"Salamá",1,2789,380,6,4,58,1,3,93,13,3,0,29,1,1,0,2,0,214,37,3,254,0,254,--,380,126,214,254,254,Algún campo sin dato,1,c66da4a44a404f5aaf288e44e7e7a810b0d67dc4fe18e08607449603877bc994,26/06/2023 01:32:04,ESCANER
18231,"Baja Verapaz",15,"Salamá",1,2789,380,9,6,59,2,2,97,17,2,0,26,1,0,0,3,0,224,21,4,249,0,249,--,380,131,224,249,249,Algún campo sin dato,1,2fa6b36d766990dac986a67b96ec3c3dcf67f0d34dff5a1bd257983f605189c3,26/06/2023 01:35:18,ESCANER
18232,"Baja Verapaz",15,"Salamá",1,2789,250,2,7,35,1,0,66,11,0,0,6,0,0,0,0,1,129,12,1,142,0,142,--,250,108,129,142,142,Algún campo sin dato,1,e6565d16b90a4ad80fe4984d7622202549dfd912ea6baba1600fb44f426d51f8,25/06/2023 21:56:42,ESCANER
18233,"Baja Verapaz",15,"Salamá",1,2789,249,5,3,32,0,0,49,7,2,0,9,0,0,0,1,0,108,3,1,112,0,112,--,249,137,108,112,112,Algún campo sin dato,1,7a6a1ce1e45b3cc8df737826dd269bc0c61483cc98b4eecfda91875a8dd3f6ae,26/06/2023 00:16:22,ESCANER
18234,"Baja Verapaz",15,"Salamá",1,2790,333,7,20,56,3,2,8,14,14,1,1,0,1,0,0,2,129,13,7,149,0,149,0,333,184,129,149,149,,1,61c8128bb1c30980dd74e9fcd43d4a3fcb7ffe3808c626e58a44b7d45a1a343e,26/06/2023 00:08:17,ESCANER
18235,"Baja Verapaz",15,"Salamá",1,2790,332,3,17,44,2,3,9,12,6,0,0,0,0,1,2,1,100,5,4,109,0,109,0,332,223,100,109,109,,1,0b1b1be7a443581537b4918f3c8ca27e25e2187f70aca77085a5871e38dcf3b6,26/06/2023 00:47:09,ESCANER
18236,"Baja Verapaz",15,"Salamá",1,2791,380,18,6,51,2,2,30,19,0,2,0,2,3,0,2,4,141,20,9,170,0,170,0,380,210,141,170,170,,1,2a146594744e063a4ec444e0e2e02e4f290e0d2c574d6d7b103b59d7fee81845,25/06/2023 22:40:24,ESCANER
18237,"Baja Verapaz",15,"Salamá",1,2791,380,13,4,76,4,17,32,14,2,0,0,8,0,0,0,4,174,9,7,190,0,190,0,380,190,174,190,190,,1,96aa671230d7add070f2c4ac9108ecfb206cba6a4b507cf7cff6c3320ef4986d,25/06/2023 22:30:05,ESCANER
18238,"Baja Verapaz",15,"Salamá",1,2791,228,12,4,21,2,2,17,9,0,0,1,1,0,0,0,2,71,5,1,77,0,77,0,228,151,71,77,77,,1,03060360099e6049d0e528f84c138e62d57129d5400c9adc4d4ecd184d9fa17f,25/06/2023 21:58:56,ESCANER
18239,"Baja Verapaz",15,"Salamá",1,2791,228,10,3,24,1,1,20,12,1,0,0,3,0,0,0,4,79,3,1,83,0,83,0,228,145,79,83,83,,1,d2965f227bbf9307f80f5f179b18d8a78762f20e57c0c5da442f9b5069c6e186,25/06/2023 22:16:18,ESCANER
18240,"Baja Verapaz",15,"Salamá",1,2792,600,11,12,24,1,6,15,17,4,0,0,2,1,2,0,0,95,6,1,102,0,102,--,600,498,95,102,102,Algún campo sin dato,1,1e237e61c0865aa75e59090261e9ee978f67e6c5919893e95595866721a77579,26/06/2023 00:26:08,ESCANER
18241,"Baja Verapaz",15,"Salamá",1,2792,600,8,10,21,1,8,20,27,6,0,2,0,1,4,1,0,109,11,4,124,0,124,--,600,476,109,124,124,Algún campo sin dato,1,cc2bb306d5940cc5fcd0479cb53f30feefdb1d3b07a25703e436d54b7ac99ba0,25/06/2023 22:56:23,ESCANER
18242,"Baja Verapaz",15,"Salamá",1,2792,310,3,6,7,0,3,4,4,2,1,1,0,1,2,0,0,34,2,1,37,0,37,--,310,273,34,37,37,Algún campo sin dato,1,5bd0ffd2ae6def74948e28bbd3ee29f35fdacf08ea90406ddc84d7ef1a6096cb,25/06/2023 21:14:03,ESCANER
18243,"Baja Verapaz",15,"Salamá",1,2792,309,2,1,3,1,0,2,2,2,0,0,0,0,0,0,0,13,4,1,18,0,18,--,309,291,13,18,18,Algún campo sin dato,1,7328a743f27e1e7a753203bb6156c3d88e06f8f4c286f41ba6ed17535b0ca224,25/06/2023 19:59:57,ESCANER
