TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
91,91,100.0000,91,100.0000,0,34321,23236,67.7019

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,AZUL,MLP,PODEMOS,TODOS,VIVA,VALOR,PHG,UNE,PPN,CAMBIO,UNIONISTA,VOS,URNG-MAIZ WINAQ,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6454,"Chimaltenango",3,"Patzún",7,683,380,11,63,3,0,7,11,6,2,0,47,1,0,94,1,3,249,3,4,256,0,256,0,380,124,249,256,256,,1,60eef34d71179111c4b87b91ae2b6ae5ffd55e307e74ecbf73a9a8b93916a938,26/06/2023 00:17:50,ESCANER
6455,"Chimaltenango",3,"Patzún",7,683,380,8,59,0,3,14,6,3,1,0,41,0,0,98,1,2,236,4,1,241,0,241,0,--,--,236,241,241,Algún campo sin dato,1,ebaa0aeffc65dffbab12e001fc194913f8ef82d881bb451ff62e162ad351917b,25/06/2023 23:45:23,ESCANER
6456,"Chimaltenango",3,"Patzún",7,683,380,9,50,2,2,8,4,2,2,0,48,0,0,85,1,5,218,8,5,231,0,231,--,380,149,218,231,231,Algún campo sin dato,1,a6ffe278a46a3be49fa4c50764fa84401922309ec66b063c3250578062ee424d,26/06/2023 00:04:19,ESCANER
6457,"Chimaltenango",3,"Patzún",7,683,380,8,62,0,3,19,3,2,1,0,55,1,0,111,0,0,265,8,6,279,0,279,0,10,102,265,279,279,,1,4838dafd391559a2bc16a9a86233644f42af7f2905d92479f6e46f6c76683a2b,26/06/2023 00:43:32,ESCANER
6458,"Chimaltenango",3,"Patzún",7,683,380,12,75,1,1,11,7,4,1,0,41,1,0,95,1,2,252,13,7,272,--,--,0,--,--,252,272,272,Algún campo sin dato,1,af775c7bdeb88587658c8315328bdf1e38dac27288696b675650b355569e73d7,26/06/2023 01:21:21,ESCANER
6459,"Chimaltenango",3,"Patzún",7,683,380,8,55,4,4,7,5,5,1,0,49,2,0,92,1,4,237,9,2,248,0,248,--,380,132,237,248,248,Algún campo sin dato,1,0c5142fcbe494c8e147f09672d82ce26e539f22167daa787c75931fce842f41f,25/06/2023 21:22:45,ESCANER
6460,"Chimaltenango",3,"Patzún",7,683,380,11,58,2,1,13,4,6,1,0,34,0,0,85,1,3,219,9,4,232,0,232,0,380,148,219,232,232,,1,c4a64862bf93d5246cbce0b3b0cabd1b28f83a9ba1f53eb161c26f927a913c19,25/06/2023 22:33:24,ESCANER
6461,"Chimaltenango",3,"Patzún",7,683,380,8,52,0,2,14,3,1,1,0,45,0,0,107,0,3,236,6,1,243,0,243,--,380,137,236,243,243,Algún campo sin dato,1,72cc396ff19f32cabf4ec213d1d2762808b029a1b4159453daf6a7b40af76c54,25/06/2023 22:11:57,ESCANER
6462,"Chimaltenango",3,"Patzún",7,683,380,7,52,0,1,11,6,2,1,1,60,0,0,109,0,4,254,1,1,256,1,257,0,380,123,254,256,257,,1,6583adc3bb9c86ae91a03e101ed28d9728270b369c27e10c8d621a969cea0dc6,25/06/2023 23:39:41,ESCANER
6463,"Chimaltenango",3,"Patzún",7,683,380,10,58,0,0,8,2,1,0,0,38,1,0,126,0,3,247,5,1,253,0,253,0,253,127,247,253,253,,1,5a7151665decd1a6bdb4087bd3cd3d3fe4371cdd094b21519f900359488277cd,25/06/2023 22:37:35,ESCANER
6464,"Chimaltenango",3,"Patzún",7,683,380,11,61,1,1,8,5,1,1,0,36,0,0,127,1,2,255,2,0,257,0,257,0,380,123,255,257,257,,1,b3f158450a7b1011f5600ca7350a4b4836c8e99fd9141c7c4c102bcfdab53aaa,25/06/2023 23:48:02,ESCANER
6465,"Chimaltenango",3,"Patzún",7,683,204,3,28,0,0,8,3,2,0,0,26,0,0,62,0,0,132,4,1,137,0,137,0,204,67,132,137,137,,1,25cc3b940fe57002b5fedecf3a0605a8c024c181befb7e14f79bdb7db98c3ecb,25/06/2023 23:14:28,ESCANER
6466,"Chimaltenango",3,"Patzún",7,683,204,4,24,1,0,6,1,2,0,0,27,0,0,58,0,0,123,2,2,127,0,127,0,204,77,123,127,127,,1,1d9be009a31302ad6e528d8cfd1cdb0a02d5301586ae6c56d11284067c6111ac,25/06/2023 21:32:00,ESCANER
6467,"Chimaltenango",3,"Patzún",7,684,380,13,71,1,2,4,14,2,0,0,75,3,1,9,1,8,204,15,7,226,0,226,0,380,154,204,226,226,,1,a2d13376265e40ffd64f3085c93af06864a4855674f56df68c8b42a64e80c63c,25/06/2023 22:15:48,ESCANER
