TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
44,43,97.7272,42,95.4545,1,14363,10136,70.5702

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,PODEMOS,VAMOS,UNE,PR,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17683,"Quiché",14,"San Andrés Sajcabajá",14,2689,400,29,11,94,121,21,1,0,277,9,7,293,0,293,--,402,109,277,293,293,Algún campo sin dato,1,bfb6ab3009350cd163f21b5792cae12681327c2b3e5468e4ee6fbafb4e5d4cff,25/06/2023 22:44:20,ESCANER
17684,"Quiché",14,"San Andrés Sajcabajá",14,2689,400,67,4,74,93,25,0,1,264,11,11,286,0,286,1,400,114,264,286,286,,1,77cc7ce64c0678ac32aebb6cc7f54e9b24ac4fbcaf2e7af02164b9f5e4f1f6f1,26/06/2023 01:10:41,ESCANER
17685,"Quiché",14,"San Andrés Sajcabajá",14,2690,229,33,5,42,60,11,0,1,152,14,5,171,0,171,--,229,58,152,171,171,Algún campo sin dato,1,9c9e560c1331850997aa633243e7b059cf0f0608860d1fc16b5b5e1ddaf469a0,26/06/2023 01:08:17,ESCANER
17686,"Quiché",14,"San Andrés Sajcabajá",14,2690,228,32,4,36,39,9,0,0,120,1,1,122,0,122,--,228,106,120,122,122,Algún campo sin dato,1,1c73e5e6cae505fdc75d037d7beb510ce2712f42bfe649d40d1f7b7a32cf88a5,25/06/2023 22:31:30,ESCANER
17687,"Quiché",14,"San Andrés Sajcabajá",14,2691,400,31,13,97,97,41,1,2,282,14,15,311,1,312,--,402,90,282,311,312,Algún campo sin dato,1,b6f05fbf2e6e600b828a9365da37915bbcc2601c8357ebc10a1af89e82f66c8d,26/06/2023 01:07:50,ESCANER
17688,"Quiché",14,"San Andrés Sajcabajá",14,2691,400,35,6,84,123,39,0,0,287,10,8,305,0,305,--,400,95,287,305,305,Algún campo sin dato,1,854815957714c52abc9e6b4deb50be6f27418a6a081eaf32e295024e174257a0,26/06/2023 01:17:28,ESCANER
17689,"Quiché",14,"San Andrés Sajcabajá",14,2691,299,21,6,55,81,26,0,0,189,6,5,200,0,200,--,--,--,189,200,200,Algún campo sin dato,1,c30510eb305c98ce00a564765d791c1d6527453a57acf551860f6912f4f383ee,25/06/2023 22:12:16,ESCANER
17690,"Quiché",14,"San Andrés Sajcabajá",14,2691,298,14,12,57,73,26,1,0,183,4,2,189,0,189,--,304,115,183,189,189,Algún campo sin dato,1,6672710fa4b757cc39131977573f4deab0e19441ce05d0d82f82c26cc3de404f,25/06/2023 21:53:45,ESCANER
17691,"Quiché",14,"San Andrés Sajcabajá",14,2692,242,35,39,20,76,3,0,1,174,6,7,187,0,187,--,239,52,174,187,187,Algún campo sin dato,1,77a833f5ee9e28638988a763f325e1c136e2f1868d0a5423b82607dc5a9263e9,26/06/2023 01:09:58,ESCANER
17692,"Quiché",14,"San Andrés Sajcabajá",14,2692,241,27,25,24,63,5,0,0,144,4,0,148,0,148,--,241,93,144,148,148,Algún campo sin dato,1,382d21ab08969ba9baadf601feb8722147ebbe1806278e4e06b2f5f2c63a632e,25/06/2023 21:21:54,ESCANER
17693,"Quiché",14,"San Andrés Sajcabajá",14,2693,380,105,4,19,128,8,1,1,266,8,9,283,0,283,--,380,97,266,283,283,Algún campo sin dato,1,f4786cd4f4869f71ef4a3dba9514be1b0fd3cb48b394de4ecee5cd17c6d7370f,26/06/2023 02:00:02,ESCANER
17694,"Quiché",14,"San Andrés Sajcabajá",14,2693,380,95,3,22,101,5,1,0,227,18,10,255,0,255,--,380,125,227,255,255,Algún campo sin dato,1,681b0a4562d4eb9889703b5cfbf1f5fd2449b7a22e19bf1d0f5934d7ff9a82a8,26/06/2023 01:35:47,ESCANER
17695,"Quiché",14,"San Andrés Sajcabajá",14,2693,380,121,8,20,93,12,1,0,255,9,9,273,0,273,--,380,107,255,273,273,Algún campo sin dato,1,3c2c2c508e1ce6f3c3b551f76c5b2fb799d17079887ea0c36fe65c7c31d579cf,26/06/2023 01:53:30,ESCANER
17696,"Quiché",14,"San Andrés Sajcabajá",14,2693,377,110,6,26,84,10,2,1,239,9,4,252,0,252,0,377,125,239,252,252,,1,55e4b7dee3a9be1ba2f1c0d3efae86deeb228edcf8afc738a54bd2bcefeb057c,26/06/2023 01:56:09,ESCANER
17697,"Quiché",14,"San Andrés Sajcabajá",14,2693,376,102,4,16,77,6,0,0,205,0,1,206,0,206,0,376,170,205,206,206,,1,c127207448b43dd4a77dbb00ca0ec79c78c5230729f71478bea9feb6af20d39b,25/06/2023 22:53:13,ESCANER
17698,"Quiché",14,"San Andrés Sajcabajá",14,2694,380,94,25,31,97,10,1,1,259,18,5,282,--,282,--,380,98,259,282,282,Algún campo sin dato,1,be658ca1bfe46686697694117027b108acc4e928ebffa132027c974c476bdab3,26/06/2023 02:12:16,ESCANER
17699,"Quiché",14,"San Andrés Sajcabajá",14,2694,380,119,24,24,102,10,1,3,283,8,10,301,--,301,--,384,83,283,301,301,Algún campo sin dato,1,c71e7020dfc87bb28dbee7765a128cb18b114170680a885080c696b1639d0646,26/06/2023 01:04:05,ESCANER
17700,"Quiché",14,"San Andrés Sajcabajá",14,2694,380,95,22,25,112,9,0,1,279,10,5,280,--,--,1,380,100,264,279,279,Sumas Asentadas sin cuadrar,1,cfa9df52997c49b160b50ae81c74ba369fd0c50907345e4e02a2a2fb89bb107b,26/06/2023 02:37:49,ESCANER
17701,"Quiché",14,"San Andrés Sajcabajá",14,2694,380,,,,,,,,,,,,,,,,,,,,,0,,,
17702,"Quiché",14,"San Andrés Sajcabajá",14,2694,230,53,12,14,60,5,0,1,145,9,3,157,0,157,--,230,73,145,157,157,Algún campo sin dato,1,586296530d68771876b595e697831c34e7dfb7cd5a0e55071981e7461421a68a,26/06/2023 02:08:33,ESCANER
17703,"Quiché",14,"San Andrés Sajcabajá",14,2694,229,44,13,17,68,6,0,0,148,3,2,153,0,153,--,229,76,148,153,153,Algún campo sin dato,1,1172cc823b64e0c975271427980ff04f3ac2bb3737d224983acfe400876fce26,26/06/2023 01:01:43,ESCANER
17704,"Quiché",14,"San Andrés Sajcabajá",14,2695,380,37,44,117,38,10,6,0,252,21,11,284,0,284,--,383,99,252,284,284,Algún campo sin dato,1,3b0e296ad816636e9e5b90283ebf89882fc7f236a05e5ea53514ee014e947350,25/06/2023 22:11:00,ESCANER
17705,"Quiché",14,"San Andrés Sajcabajá",14,2695,380,25,56,118,53,10,3,3,268,19,14,301,0,301,--,381,80,268,301,301,Algún campo sin dato,1,efacbaa17b4cb6ecd4475def18c52688341f21938bd38439c934d352cb746c2e,26/06/2023 01:09:17,ESCANER
17706,"Quiché",14,"San Andrés Sajcabajá",14,2695,380,32,48,165,45,5,6,1,302,10,8,320,0,320,--,380,60,302,320,320,Algún campo sin dato,1,4bd77898f0297358202cc5e3b6f455de89e6ba24d0b4779513aa980afe83df7f,26/06/2023 02:17:42,ESCANER
17707,"Quiché",14,"San Andrés Sajcabajá",14,2695,380,31,35,123,44,4,2,1,240,17,5,262,0,262,--,380,118,240,262,262,Algún campo sin dato,1,9f2a55ed02fbbc162ac9f75df0c0f52b693f79f18ef96fa7d00eff07d671f322,26/06/2023 00:21:41,ESCANER
17708,"Quiché",14,"San Andrés Sajcabajá",14,2695,377,22,27,137,52,7,3,2,250,13,7,270,0,270,--,374,107,250,270,270,Algún campo sin dato,1,ba17d02001c42570509b280e7ff8b57b6648ae1e73f68414d2f42c32c06d6b07,26/06/2023 02:03:41,ESCANER
17709,"Quiché",14,"San Andrés Sajcabajá",14,2695,377,20,31,136,40,8,1,0,236,7,1,244,0,244,--,375,131,236,244,244,Algún campo sin dato,1,3f73beb8fa6ed798d98c13ea0e65319f95b944b5d3fec4312705fcb1a3899b9e,26/06/2023 00:29:23,ESCANER
17710,"Quiché",14,"San Andrés Sajcabajá",14,2696,380,25,30,100,118,16,1,1,291,11,9,311,0,311,--,379,68,291,311,311,Algún campo sin dato,1,609a1233ffe31ef0d3267a8c43a91d66a11d4a7370cb49c3693695a4e7eedac4,26/06/2023 00:24:24,ESCANER
17711,"Quiché",14,"San Andrés Sajcabajá",14,2696,380,23,12,129,132,12,0,0,308,9,8,325,0,325,--,384,59,308,325,325,Algún campo sin dato,1,de15c87c7bb4e7b4f049d622899038693a12e0f77ad865e70052a9618e5457ce,26/06/2023 00:21:41,ESCANER
17712,"Quiché",14,"San Andrés Sajcabajá",14,2696,321,27,11,85,102,13,0,0,238,7,5,250,0,250,--,321,71,238,250,250,Algún campo sin dato,1,488e7bafc8bc1773a0ac6d5661b9ae253f2e3ed3ecd7d47a44b36a75647b0b81,25/06/2023 21:44:43,ESCANER
17713,"Quiché",14,"San Andrés Sajcabajá",14,2696,321,16,16,83,116,10,0,0,241,6,2,249,0,249,--,321,69,241,249,249,Algún campo sin dato,1,2d1f0a3c270897bdc157ed61ba34360fdb74947d66b46425d38c22d858c09d1a,26/06/2023 00:45:26,ESCANER
17714,"Quiché",14,"San Andrés Sajcabajá",14,2697,550,64,20,52,66,11,2,2,217,9,8,234,0,234,--,550,316,217,234,234,Algún campo sin dato,1,573244d3e5abf45fbcc2df9415195fdf7e9f77af07c989df9c97d41ef0cf87c6,25/06/2023 22:42:20,ESCANER
