TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
83,83,100.0000,83,100.0000,0,31423,21053,66.9986

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,AZUL,VAMOS,UNE,CABAL,VIVA,PODEMOS,PR,TODOS,FCN-NACION,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7693,"Escuintla",5,"Masagua",5,867,380,33,5,108,26,53,1,2,0,1,4,1,234,19,4,257,1,258,1,380,122,234,257,258,,1,ca21b0acb4fc115e2fb5678d31deb24503faec0c8821fc784b47cdba86dce1e0,26/06/2023 01:21:31,ESCANER
7694,"Escuintla",5,"Masagua",5,867,380,33,8,103,15,71,3,2,0,0,3,3,241,22,2,265,0,--,--,380,115,241,265,265,Algún campo sin dato,1,9ee954527aead7c157ff1eda80474306db6fa552d3ac6829b34822b65ec08d66,26/06/2023 01:39:49,ESCANER
7695,"Escuintla",5,"Masagua",5,867,380,30,10,108,12,64,1,3,0,1,1,0,230,27,0,257,0,257,--,380,123,230,257,257,Algún campo sin dato,1,f130be665baf7d8ce36bc759a68ec040edda51a7555ef3211fcb36e4eaf06dc1,26/06/2023 00:13:32,ESCANER
7696,"Escuintla",5,"Masagua",5,867,380,20,1,89,19,79,2,3,0,0,2,2,217,19,3,239,0,239,--,380,141,217,239,239,Algún campo sin dato,1,6aba2a3e1caff933b5375af0c1670b810d167fe0fbd409e1579213965af0bc7f,26/06/2023 01:32:43,ESCANER
7697,"Escuintla",5,"Masagua",5,867,380,31,5,101,17,54,1,6,0,1,2,2,220,18,2,240,0,240,--,377,137,220,240,240,Algún campo sin dato,1,3285ba9942de3d091bea929a06b151824b79aeee7ae48149f5b72bb036938c75,26/06/2023 01:58:13,ESCANER
7698,"Escuintla",5,"Masagua",5,867,380,38,2,112,12,48,2,3,0,4,7,1,229,14,1,244,0,244,--,380,136,229,244,244,Algún campo sin dato,1,2c80babb3cb7e9d3e1725a076d379067af650154427e5ba50babe2c77f62adb0,26/06/2023 01:13:24,ESCANER
7699,"Escuintla",5,"Masagua",5,867,380,49,7,130,16,47,3,1,0,0,9,2,264,6,0,270,0,270,--,379,109,264,270,270,Algún campo sin dato,1,05e6b457b175c77689a7902f7e825301f6572156fc6dfc9cbcf8dfc22d573e75,26/06/2023 01:09:38,ESCANER
7700,"Escuintla",5,"Masagua",5,867,380,37,2,131,6,61,3,0,1,3,7,0,251,5,0,256,0,256,--,380,124,251,256,256,Algún campo sin dato,1,2de4d7aa189e8786e49488ebb1e543d08527bdc72799ae479d2370cef41c0baf,26/06/2023 00:46:03,ESCANER
7701,"Escuintla",5,"Masagua",5,867,380,30,13,123,11,62,2,0,0,1,3,0,245,3,0,248,0,248,0,380,132,245,248,248,,1,61606769cec7ab5c3d46dd0d29d4f36d3a50175e5964dddc99e84a0cc071129c,26/06/2023 00:03:58,ESCANER
7702,"Escuintla",5,"Masagua",5,867,309,22,3,82,7,34,3,3,1,2,6,0,163,8,2,173,0,173,0,309,136,163,173,173,,1,c4d2f9663aa9afd8249d0a285554faa84b5443f381e1f85116cd468b819cbba2,26/06/2023 00:58:07,ESCANER
7703,"Escuintla",5,"Masagua",5,867,309,20,4,78,10,35,2,2,0,0,2,3,156,7,3,166,0,166,--,309,143,156,166,166,Algún campo sin dato,1,9ff7b479da5a7f512e8fe82423d62ce691b968af936a14a8445488d0a5a19d55,26/06/2023 00:15:59,ESCANER
7704,"Escuintla",5,"Masagua",5,868,380,58,3,89,24,45,6,0,0,2,2,1,230,31,3,264,0,264,--,280,116,230,264,264,Algún campo sin dato,1,cffd0247498c4877124f90ba3da0e53b5113c417a8f856460bf8f1891c5a1e98,25/06/2023 23:37:20,ESCANER
7705,"Escuintla",5,"Masagua",5,868,380,45,2,88,20,47,3,3,0,4,0,3,215,17,3,235,0,235,--,380,145,215,235,235,Algún campo sin dato,1,a5c09e5c2a5e6225f6057cd596c087171ed54bbbbcefec0f4c6cdbe1f09ad07f,26/06/2023 00:08:45,ESCANER
7706,"Escuintla",5,"Masagua",5,868,380,44,1,73,12,69,6,1,0,3,3,1,213,19,5,237,0,237,--,380,143,213,237,237,Algún campo sin dato,1,1d5e747ec1ada8b304aee270373b8e0005e61e8140c13d8c612c21ffbc06482d,25/06/2023 23:51:47,ESCANER
7707,"Escuintla",5,"Masagua",5,868,380,47,2,78,11,66,5,1,2,4,0,0,216,17,2,235,0,235,--,380,145,216,235,235,Algún campo sin dato,1,0cbf7a297c164a2ab7d3d6801c7f1508846caf0d45d708576fa094fd1bdfc6c7,25/06/2023 23:30:36,ESCANER
7708,"Escuintla",5,"Masagua",5,868,203,43,0,52,6,34,1,0,1,0,3,0,140,2,0,142,0,142,--,194,52,140,142,142,Algún campo sin dato,1,4479dc1e33c4d71137eb21e02a772a5616af4c5fed308b9fc6d8aa4e176f8bfb,25/06/2023 22:32:55,ESCANER
7709,"Escuintla",5,"Masagua",5,868,202,25,0,31,8,35,2,0,0,2,0,0,103,8,0,111,0,111,--,199,88,103,111,111,Algún campo sin dato,1,53a85340d06d2f515b6aae2000167f631f7b1148e870d7cfbeb23e55a267a8d6,25/06/2023 22:19:39,ESCANER
7710,"Escuintla",5,"Masagua",5,869,592,23,5,60,23,37,5,1,2,0,2,1,159,27,2,188,0,188,0,592,404,159,188,188,,1,7c1bdef7f265cb2fccdaf54d7ebfbb85aa5a05cd6da4fa24ad31cc51461ad486,25/06/2023 23:41:18,ESCANER
7711,"Escuintla",5,"Masagua",5,869,592,15,4,33,15,21,7,1,0,2,2,0,100,15,1,116,0,116,--,592,476,100,116,116,Algún campo sin dato,1,d39363ff2313490570eb9bef51bf138d6341081ff2f13d8085b0790f72951966,26/06/2023 00:24:23,ESCANER
