TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,34018,18159,53.3805

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CAMBIO,UNE,VIVA,CABAL,MLP,VAMOS,PODEMOS,WINAQ,BIEN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21103,"Petén",17,"Poptún",12,3282,380,5,151,11,7,3,17,0,0,1,12,207,7,6,220,0,220,--,380,160,207,220,220,Algún campo sin dato,1,63ea0035b09bf5842dc4975d9af4c3c69375722a68c962af139f9eb6149c3a5b,26/06/2023 04:09:31,ESCANER
21104,"Petén",17,"Poptún",12,3282,380,2,151,19,4,6,17,1,0,0,14,214,19,8,241,0,241,--,380,139,214,241,241,Algún campo sin dato,1,3ae769ad6725fa5a1df1cf07d88807a0c6873b3fb9e6a33eaf33349b511a792d,26/06/2023 04:15:33,ESCANER
21105,"Petén",17,"Poptún",12,3282,380,1,130,9,8,12,21,0,0,2,24,207,15,2,224,0,224,--,380,156,207,224,224,Algún campo sin dato,1,34a6e31fad988c07395396ad9a859f703891b1c7539a904ba7d3b99b0d61fcd8,26/06/2023 03:41:32,ESCANER
21106,"Petén",17,"Poptún",12,3282,380,0,118,6,3,4,16,0,0,2,15,164,7,1,172,0,172,--,380,208,164,172,172,Algún campo sin dato,1,9594f0bc4da276d0b11f1eb1e954d0f894176f229f3b464b5fcd14e3ae6466a5,26/06/2023 04:22:04,ESCANER
21107,"Petén",17,"Poptún",12,3282,380,4,98,5,3,2,15,0,0,1,22,150,14,4,168,0,168,--,380,212,150,168,168,Algún campo sin dato,1,e475e33cdb2b3b87738297d083d28e9d6971406b8b38af3c17d6350aaae0d8e6,26/06/2023 03:19:59,ESCANER
21108,"Petén",17,"Poptún",12,3282,380,1,140,9,3,3,14,0,1,0,15,186,10,5,201,0,201,--,380,179,186,201,201,Algún campo sin dato,1,0ccc193b8bad31b690e37a4ade2775e9232eee61440e8e6094f94a061d96ed7a,26/06/2023 03:56:37,ESCANER
21109,"Petén",17,"Poptún",12,3282,380,2,116,0,3,11,16,0,0,2,16,166,12,5,183,0,183,--,380,197,166,183,183,Algún campo sin dato,1,833d9317c84bca51b0fc0d07f85eb9b13b2baa89c6aba985252e393ef1449d28,26/06/2023 04:03:53,ESCANER
21110,"Petén",17,"Poptún",12,3282,380,3,120,9,5,4,20,0,0,0,16,177,6,4,187,0,187,--,380,193,177,187,187,Algún campo sin dato,1,db17c4d7f035308be89424b82813d15b7e92b8648576651ca5aa4b2c9797c1dc,26/06/2023 03:22:21,ESCANER
21111,"Petén",17,"Poptún",12,3282,380,2,100,4,5,5,12,1,0,0,10,139,12,3,154,0,154,--,380,226,139,154,154,Algún campo sin dato,1,65763245f4d78b176b63679a404b6af65cefbe04a35b402982eb58e7d868478a,26/06/2023 03:16:22,ESCANER
21112,"Petén",17,"Poptún",12,3282,380,3,101,10,7,4,21,1,1,0,15,163,6,1,170,0,170,--,380,210,163,170,170,Algún campo sin dato,1,bc1c65218a9821dff06b128caaceeb69aac5e13b6d082812e665c8fd98dfac0a,26/06/2023 03:39:36,ESCANER
21113,"Petén",17,"Poptún",12,3282,380,6,128,8,4,7,21,0,0,0,11,185,4,0,189,0,189,--,380,191,185,189,189,Algún campo sin dato,1,76c4bad606e0428ca2b31e9abafd2506cc400079a58e1d847fe17991be5a0e0f,26/06/2023 03:15:34,ESCANER
21114,"Petén",17,"Poptún",12,3282,380,5,119,5,5,3,12,0,0,0,14,163,0,1,164,0,164,--,380,216,163,164,164,Algún campo sin dato,1,d7be8c9b23786029225f4047061f59e9dde375de9805ec99e025212bdc3f8d4d,26/06/2023 03:56:09,ESCANER
21115,"Petén",17,"Poptún",12,3282,277,1,90,3,2,1,5,0,1,0,8,111,1,1,113,0,113,--,277,164,111,113,113,Algún campo sin dato,1,b0402a668d6f72b6c8cb9d5d193e6cf44b9095a31a3b33cdff3c050df09bce22,26/06/2023 03:32:09,ESCANER
21116,"Petén",17,"Poptún",12,3282,277,1,59,4,1,2,8,0,1,0,7,83,9,5,97,0,97,--,274,177,83,97,97,Algún campo sin dato,1,dac9861c276666c8bfb67076f01d22a4aa8337a8685c728193e52b72844cdecd,26/06/2023 03:49:46,ESCANER
