TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
49,44,89.7959,44,89.7959,0,15474,10065,65.0445

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,PHG,WINAQ,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15797,"Huehuetenango",13,"San Miguel Acatán",13,2304,380,17,57,44,6,56,15,195,2,7,204,0,204,--,380,176,195,204,204,Algún campo sin dato,1,1eecbec784cbea01e193f3326ce8b7a221b3de9704d7bcaf431217c30808174a,25/06/2023 23:54:13,ESCANER
15798,"Huehuetenango",13,"San Miguel Acatán",13,2304,380,10,99,47,10,61,12,239,2,4,245,0,245,--,380,135,239,245,245,Algún campo sin dato,1,4644f5884694f43e71fa631137ed81951f713a4733e952027cbc4a6763258d00,25/06/2023 23:23:23,ESCANER
15799,"Huehuetenango",13,"San Miguel Acatán",13,2304,380,20,105,59,10,50,23,267,1,5,273,--,273,--,380,107,267,273,273,Algún campo sin dato,1,b760de130896340a6454501b0335f3584ba9f35b7224f196b92bb2fc3e87e1c6,26/06/2023 00:31:33,ESCANER
15800,"Huehuetenango",13,"San Miguel Acatán",13,2305,279,14,71,41,6,50,9,191,0,3,194,0,194,--,--,--,191,194,194,Algún campo sin dato,1,3a39fde3ba0ae385e6ea54503fa1f0fe1b3f64091ecf4c6ef3af8d6721695669,25/06/2023 22:33:49,ESCANER
15801,"Huehuetenango",13,"San Miguel Acatán",13,2305,279,13,40,42,5,35,7,142,3,4,149,0,149,--,279,127,142,149,149,Algún campo sin dato,1,e0b0d5af645a5f063157f5fee61dc6d6e7c78ebacd85df031e1e9b9147bd2f0a,26/06/2023 02:13:28,ESCANER
15802,"Huehuetenango",13,"San Miguel Acatán",13,2306,380,,,,,,,,,,,,,,,,,,,,0,,,
15803,"Huehuetenango",13,"San Miguel Acatán",13,2306,380,3,62,69,24,72,17,247,4,9,260,0,260,--,380,120,247,260,260,Algún campo sin dato,1,ba745d57607007cf98f60166aba9d18461c76f4da700e1ce35c81aa9eb985d5d,25/06/2023 23:50:44,ESCANER
15804,"Huehuetenango",13,"San Miguel Acatán",13,2306,380,7,58,57,15,53,24,214,7,4,225,0,225,--,379,154,214,225,225,Algún campo sin dato,1,4093435812ac66093e4569061f26078f1630cd1385c46671b15d18923905ef0c,26/06/2023 03:52:46,ESCANER
15805,"Huehuetenango",13,"San Miguel Acatán",13,2306,380,,,,,,,,,,,,,,,,,,,,0,,,
15806,"Huehuetenango",13,"San Miguel Acatán",13,2306,380,,,,,,,,,,,,,,,,,,,,0,,,
15807,"Huehuetenango",13,"San Miguel Acatán",13,2306,380,5,59,51,13,48,20,196,4,5,205,0,205,--,380,175,196,205,205,Algún campo sin dato,1,4c51a43d08259270d1db2aced13eae113096c0a3ab84fbce4d87de06ce66fa5f,25/06/2023 22:54:50,ESCANER
15808,"Huehuetenango",13,"San Miguel Acatán",13,2306,380,,,,,,,,,,,,,,,,,,,,0,,,
15809,"Huehuetenango",13,"San Miguel Acatán",13,2306,193,4,43,41,4,26,19,137,0,1,138,0,138,--,190,52,137,138,138,Algún campo sin dato,1,201d25234c87120ffaaa2f915ed77ced246f90dfca10f856b56a6bee8c3d1add,26/06/2023 00:40:21,ESCANER
15810,"Huehuetenango",13,"San Miguel Acatán",13,2306,192,5,38,23,4,16,6,92,2,2,96,--,96,--,192,97,92,96,96,Algún campo sin dato,1,82115ae4a19619e70f6ccf8f4379606f902a84f0583e804f0a650550c74310ae,25/06/2023 23:29:38,ESCANER
15811,"Huehuetenango",13,"San Miguel Acatán",13,2307,380,3,63,13,23,86,65,253,0,8,261,4,265,--,380,115,253,261,265,Algún campo sin dato,1,7ec21905e6eafce4d18af688ceab9cfb00b95dac7f5cd852ab3790106024597f,26/06/2023 02:11:56,ESCANER
15812,"Huehuetenango",13,"San Miguel Acatán",13,2307,380,3,50,16,36,115,61,292,7,4,292,0,292,--,376,84,281,292,292,Sumas Asentadas sin cuadrar,1,a2a8c41977bf1775cd5fc78f031063cc3e1dca48404cb75753af049622adc4c7,26/06/2023 02:41:28,ESCANER
15813,"Huehuetenango",13,"San Miguel Acatán",13,2307,380,4,61,12,19,77,55,228,3,7,238,0,238,--,380,142,228,238,238,Algún campo sin dato,1,5fba7bac905b730e9d59a3e534002880e98470bd0013b0d6a59aad46457d1edb,26/06/2023 01:32:18,ESCANER
15814,"Huehuetenango",13,"San Miguel Acatán",13,2307,380,3,38,10,23,69,66,209,3,9,0,0,221,--,377,156,209,221,221,Algún campo sin dato,1,ac6089e86e592a50911f2ad5e37bd14f0e48746c86090f06d3ad8fd0f4ef9dbf,26/06/2023 05:37:51,ESCANER
15815,"Huehuetenango",13,"San Miguel Acatán",13,2307,288,4,44,11,16,75,53,203,0,1,204,0,204,--,288,84,203,204,204,Algún campo sin dato,1,1bd6e8bc2dfcb36db3b40011f48c625d6f5d491f01ab705d39dd995bb1dded45,26/06/2023 01:27:51,ESCANER
15816,"Huehuetenango",13,"San Miguel Acatán",13,2307,287,4,40,5,17,57,57,180,1,4,185,0,185,--,288,103,180,185,185,Algún campo sin dato,1,2856bbc1918627b3d5c7e1e2b6b40dd2b0289eb76811d8415b1694e82d7a97b0,26/06/2023 02:58:15,ESCANER
15817,"Huehuetenango",13,"San Miguel Acatán",13,2308,380,28,62,22,12,72,11,207,1,8,216,0,216,--,380,164,207,216,216,Algún campo sin dato,1,89938ca5cbd51f7253e90fdec282d8727619790f85ad36904387e574e3bfa7be,26/06/2023 02:08:05,ESCANER
15818,"Huehuetenango",13,"San Miguel Acatán",13,2308,380,26,68,25,20,79,13,231,4,10,245,--,245,--,376,131,231,245,245,Algún campo sin dato,1,e2b5f41bdae1e8041fb995bb67cb65a15ab40548d5faf8e22b597035373a4e47,25/06/2023 23:12:37,ESCANER
15819,"Huehuetenango",13,"San Miguel Acatán",13,2308,245,8,52,11,16,42,16,145,4,5,154,0,154,--,245,91,145,154,154,Algún campo sin dato,1,ac205d7d9d748cab37feea7076704a64916fe8433dd7036ffccfcbe10f73174f,25/06/2023 23:45:38,ESCANER
15820,"Huehuetenango",13,"San Miguel Acatán",13,2308,245,13,43,10,11,54,12,143,1,6,150,0,150,--,242,92,143,150,150,Algún campo sin dato,1,62e9cb911cf7c76293ff3060508a8a453f348e981c56667045baf568c737f31c,26/06/2023 00:41:50,ESCANER
15821,"Huehuetenango",13,"San Miguel Acatán",13,2309,380,4,91,17,12,142,27,293,6,0,299,0,299,--,380,81,293,299,299,Algún campo sin dato,1,ce52012f40c2ff85c3f541df46ec28f4f4396145be89887990c2667269531010,26/06/2023 03:43:56,ESCANER
15822,"Huehuetenango",13,"San Miguel Acatán",13,2309,277,5,57,15,13,101,15,206,2,5,213,0,213,--,277,64,206,213,213,Algún campo sin dato,1,baf16be6b28e7a0df587f57041e204540c9a515e76bde996fde1c79b776dcc82,26/06/2023 01:33:05,ESCANER
15823,"Huehuetenango",13,"San Miguel Acatán",13,2309,276,4,68,7,4,100,11,194,0,0,194,0,194,--,276,82,194,194,194,Algún campo sin dato,1,6ad7fc65b3719a0469bb4d94b44c68b6fc2996da4c4518709e185496673d9c74,26/06/2023 00:41:54,ESCANER
15824,"Huehuetenango",13,"San Miguel Acatán",13,2310,517,2,8,2,0,7,2,21,0,0,21,0,21,--,517,496,21,21,21,Algún campo sin dato,1,9be52d327bc7ce980e85b0f4ae0441af608da7e4419f743f2ec7f327680229ab,25/06/2023 22:36:07,ESCANER
