TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
58,58,100.0000,58,100.0000,0,22003,12952,58.8647

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,VAMOS,U R N G - MAIZ,SEMILLA,ELEFANTE,VIVA,UNE,VALOR,PHG,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15306,"Huehuetenango",13,"San Pedro Necta",6,2219,400,108,75,1,1,1,1,10,30,0,1,228,9,4,241,0,241,--,400,159,228,241,241,Algún campo sin dato,1,9c3f82d21047ff73319db5ca27b5a693898de41ad944d7d093f4eec7fb9cfc5e,25/06/2023 23:10:57,ESCANER
15307,"Huehuetenango",13,"San Pedro Necta",6,2219,400,103,61,1,1,0,1,7,27,0,0,201,11,4,216,0,216,--,400,184,201,216,216,Algún campo sin dato,1,1a8e73ee48e08cd9f71e8d5837116a16d42e32f44cdddb46785db889199c1546,25/06/2023 23:51:21,ESCANER
15308,"Huehuetenango",13,"San Pedro Necta",6,2219,400,111,72,2,5,0,3,5,16,0,0,214,8,2,224,0,224,--,400,176,214,224,224,Algún campo sin dato,1,0896b7e6ec0e15019991e1aaea3e41dccafff35e3ae9121464f97fffe11e6bc1,25/06/2023 23:50:49,ESCANER
15309,"Huehuetenango",13,"San Pedro Necta",6,2219,400,98,65,0,2,0,0,11,32,1,0,209,2,5,216,0,216,--,400,161,209,216,216,Algún campo sin dato,1,6e8eb6568c9960fe0f09cca0b96ddc881ff6176b44f04c062cb5930cc1d1c429,25/06/2023 23:29:12,ESCANER
15310,"Huehuetenango",13,"San Pedro Necta",6,2220,400,117,64,1,0,1,1,14,20,0,0,218,6,3,227,0,227,--,400,173,218,227,227,Algún campo sin dato,1,6a993db83f23e4f8d391c2ee264efdedf4d64a06651cc4651a6b6e8fd31cb1a0,26/06/2023 00:58:50,ESCANER
15311,"Huehuetenango",13,"San Pedro Necta",6,2220,400,102,72,0,1,1,0,5,18,0,0,199,2,1,202,0,202,--,403,201,199,202,202,Algún campo sin dato,1,c1ba99ecc9f3e717089ddae0248e0a49ac55af43da2808b0e0634c5eb5f2ad3f,26/06/2023 04:25:19,ESCANER
15312,"Huehuetenango",13,"San Pedro Necta",6,2221,400,116,79,1,3,1,2,8,27,0,0,237,4,1,242,0,242,--,400,158,237,242,242,Algún campo sin dato,1,fd568e7a7a6e99c674c3a4e80adfb98cbc6ef3b6207c876ea1d29c0f4458d2e0,26/06/2023 00:13:25,ESCANER
15313,"Huehuetenango",13,"San Pedro Necta",6,2221,400,120,80,0,2,0,1,6,26,0,0,235,4,0,239,0,239,--,400,161,235,239,239,Algún campo sin dato,1,1b2327829f6e21e3c6f5592c9836d161d6b35bb56ef648ed0ba78fb96d5cbb68,25/06/2023 23:51:27,ESCANER
15314,"Huehuetenango",13,"San Pedro Necta",6,2222,400,125,77,0,1,0,1,11,26,0,0,241,2,0,243,0,243,--,400,157,241,243,243,Algún campo sin dato,1,3c8949faf0108ddfc5bbaf0f520a1b41696a63c44e7c6772aa2a39f0e9a71e5d,26/06/2023 00:33:18,ESCANER
15315,"Huehuetenango",13,"San Pedro Necta",6,2223,319,88,57,0,1,0,1,9,16,0,1,173,1,2,176,143,319,--,319,143,173,176,319,Algún campo sin dato,1,f2ebb16f030d0ca2a8f9174328d16a1fcb04e9a3631a3b14ec1720fb04232965,25/06/2023 23:17:42,ESCANER
15316,"Huehuetenango",13,"San Pedro Necta",6,2223,318,72,45,0,1,0,1,7,14,0,0,140,5,2,147,0,147,--,318,171,140,147,147,Algún campo sin dato,1,13dfe81f1875dbce907a2f7a6908c3ee11db8a170b2ca2fa0ff5bf3c75fd2b0e,25/06/2023 22:30:20,ESCANER
15317,"Huehuetenango",13,"San Pedro Necta",6,2224,400,92,96,0,3,1,1,27,22,0,0,242,13,3,258,0,258,--,386,128,242,258,258,Algún campo sin dato,1,0cb435cbb94125a9815c601c2a6434ff3edfd82988cc2315f3c7925ac760fadc,25/06/2023 23:10:28,ESCANER
