TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,32696,18680,57.1323

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,VIVA,VAMOS,CABAL,MLP,UNE,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22135,"Zacapa",19,"Gualán",4,3435,380,6,1,38,51,2,20,41,159,25,1,184,0,184,0,377,193,159,185,185,Sumas Asentadas sin cuadrar,1,13959493edd91a9ee0cc65c9166047dce1207f423bf3c97dee1bd200a2026a18,26/06/2023 01:30:54,ESCANER
22136,"Zacapa",19,"Gualán",4,3435,380,7,2,40,56,2,24,42,173,10,5,188,0,188,0,380,192,173,188,188,,1,6aef2c5cea2a4ae90520d217c73c83972ba4e97d662805038c5b74051c16951a,26/06/2023 01:41:39,ESCANER
22137,"Zacapa",19,"Gualán",4,3435,280,1,1,45,50,0,13,30,140,10,1,151,0,151,0,280,129,140,151,151,,1,58b4381632e5593d36e673cf6af8ee265e32b01108ecd8037f67ce532326e6d0,26/06/2023 01:51:34,ESCANER
22138,"Zacapa",19,"Gualán",4,3435,279,4,0,22,45,1,13,39,124,6,2,132,0,132,0,279,147,124,132,132,,1,23b63b04e5bf3d9f577ace3e9853935d7099ea3cf365878b3a674c3cbedd58f4,26/06/2023 02:02:39,ESCANER
22139,"Zacapa",19,"Gualán",4,3436,380,7,1,57,38,8,68,27,206,36,6,248,0,248,0,380,132,206,248,248,,1,8684f7cd7e9b0fee9573309b335cc1a03e85ef287b8af7777ffd36f49f819138,26/06/2023 02:43:12,ESCANER
22140,"Zacapa",19,"Gualán",4,3436,380,4,3,46,43,19,52,28,195,41,7,243,0,243,0,377,134,195,243,243,,1,d9f94e1be2997d584d6f256b02208846780dee5c5779e37cc936b2374c38bd80,26/06/2023 02:24:06,ESCANER
22141,"Zacapa",19,"Gualán",4,3436,380,12,3,70,33,10,58,27,213,48,9,270,0,270,0,380,110,213,270,270,,1,2a3b9f6c0e7bcf26dfcb2f24d553cb831588ac6fb83aa80a446f19e4728189d7,26/06/2023 02:33:41,ESCANER
22142,"Zacapa",19,"Gualán",4,3436,380,9,2,57,61,6,49,27,211,35,2,248,1,249,0,380,132,211,248,249,,1,2cc74297bd181997ef19e1ade15818db7de9123175a90c4d4cf72617a064b160,26/06/2023 02:59:29,ESCANER
22143,"Zacapa",19,"Gualán",4,3436,380,5,4,57,52,8,62,31,219,24,4,247,0,247,1,380,132,219,247,247,,1,b9ebe01771cda2cf9094832f6356302f98aeb6de3f9eab396fb1f84d1b456023,26/06/2023 02:07:36,ESCANER
22144,"Zacapa",19,"Gualán",4,3436,380,7,6,37,52,5,45,32,184,28,5,217,0,217,0,380,163,184,217,217,,1,696445e47b064fa9513383014022781de8efccaa31012d40fa08d8c77dc469b9,26/06/2023 02:39:56,ESCANER
22145,"Zacapa",19,"Gualán",4,3436,380,6,4,44,42,4,60,21,181,30,6,217,0,217,0,380,163,181,217,217,,1,7219d636fa5d50fb671c49e67406a444f72c550fd43e110977095c2c10220f34,26/06/2023 02:13:33,ESCANER
22146,"Zacapa",19,"Gualán",4,3436,380,4,1,47,46,25,47,27,197,20,1,218,0,218,0,380,162,197,218,218,,1,f7d49245b897c2375d01047104c06a589d72773ead2127eace02fe389183a561,26/06/2023 01:43:04,ESCANER
22147,"Zacapa",19,"Gualán",4,3436,380,6,2,55,67,11,42,28,211,6,0,217,0,217,0,380,163,211,217,217,,1,caf9790728e61f61c66461c605b6980f143c35c4ba130ae7b2353193c98b4394,26/06/2023 01:57:10,ESCANER
22148,"Zacapa",19,"Gualán",4,3436,238,2,1,27,44,4,33,27,138,9,1,148,0,148,0,238,87,138,148,148,,1,929373253f39233828c6459f8781178fe4a0a65b21215012781ea8d6e2c6d0bd,25/06/2023 23:36:18,MOVIL
22149,"Zacapa",19,"Gualán",4,3436,238,2,2,31,33,2,29,11,110,11,4,125,0,125,0,238,113,110,125,125,,1,d5d11269690bf2a05239a4f82e052b434f4fc9d87d336cb4e9c32f4b14e6e4c5,25/06/2023 23:19:50,MOVIL
22150,"Zacapa",19,"Gualán",4,3437,600,9,4,36,39,2,29,14,133,18,1,152,0,152,0,600,448,133,152,152,,1,472f2f88f82eca00d8179fe0c8a86087ba83a3139d01cc733984bddbf9170a1a,26/06/2023 02:39:08,ESCANER
22151,"Zacapa",19,"Gualán",4,3437,600,8,5,30,24,0,37,15,119,17,3,139,0,139,0,601,462,119,139,139,,1,fee4f87cefd19e7a023b356c4b474089cb5079bbe4167b9c56046fad9eb53bc6,26/06/2023 01:34:22,ESCANER
22152,"Zacapa",19,"Gualán",4,3437,600,1,5,33,23,1,15,6,84,9,3,96,0,96,0,600,504,84,96,96,,1,f4ff7bfdaf704ed977dc2701f1e682ea5156bcb6062319c36b6c848b9d74d654,26/06/2023 00:51:57,MOVIL
22153,"Zacapa",19,"Gualán",4,3437,516,1,0,7,7,0,6,4,25,1,2,28,0,28,0,514,486,25,28,28,,1,8c84efad65c7f5bf7510046a122747719b93acb342d203c12b82c27370a98114,25/06/2023 22:02:25,MOVIL
22154,"Zacapa",19,"Gualán",4,3437,515,0,1,5,2,1,5,3,17,0,0,17,0,17,0,515,498,17,17,17,,1,70801e9696d626d6d1883b5c9ffc46ae7f2394cab9452a98f88fcaa0e64e5edd,25/06/2023 22:41:40,MOVIL
