TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
73,72,98.6301,72,98.6301,0,26956,14463,53.6541

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,MLP,UNE,VALOR UNIONISTA,BIEN,VIVA,CABAL,AZUL,P A N,PHG,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8388,"Santa Rosa",6,"Cuilapa",1,982,380,43,1,157,5,4,0,3,0,2,0,0,215,8,2,225,0,225,--,380,155,215,225,225,Algún campo sin dato,1,88a09c1fe2451522c5ca937a26d23aa777f478aff7694d656910c43e2a780d3d,26/06/2023 00:25:42,ESCANER
8389,"Santa Rosa",6,"Cuilapa",1,982,380,29,1,124,5,0,1,1,0,2,0,0,163,5,2,170,0,380,--,380,210,163,170,170,Sumas Asentadas sin cuadrar,1,664d98d795ea847d35c7143f840b166d70006bf88ac10bc2ea0f9b040a333a7c,25/06/2023 23:31:39,ESCANER
8390,"Santa Rosa",6,"Cuilapa",1,982,380,41,0,135,4,1,1,2,0,0,0,0,184,1,2,187,0,187,--,380,193,184,187,187,Algún campo sin dato,1,b6d7527c70a2814e04e125ae29c56d684c6907af168ad816a3079ed6711589e2,25/06/2023 22:59:24,ESCANER
8391,"Santa Rosa",6,"Cuilapa",1,983,308,33,1,98,3,--,1,1,--,--,--,--,137,1,--,138,--,138,--,308,170,137,138,138,Algún campo sin dato,1,0ee8eff8d1507a8790786e30eebebebe0818c676ede646fe693786d36f8202f8,25/06/2023 22:07:25,ESCANER
8392,"Santa Rosa",6,"Cuilapa",1,983,308,23,--,75,--,1,1,--,--,--,--,--,100,3,2,105,0,105,--,308,203,100,105,105,Algún campo sin dato,1,bc599559174dc657ce6815e91899a5a795eed56582b50ac43f86dcbb33cf38fd,25/06/2023 23:17:06,ESCANER
8393,"Santa Rosa",6,"Cuilapa",1,984,380,22,11,95,7,5,3,12,--,--,--,--,198,39,4,198,--,198,--,380,182,155,198,198,Sumas Asentadas sin cuadrar,1,56869af06d8516fbc1b49b3488de45abc80431bfa752a5d4ffbe7bddaa33d318,25/06/2023 22:27:51,ESCANER
8394,"Santa Rosa",6,"Cuilapa",1,984,380,32,7,113,9,5,3,6,0,0,0,1,176,22,7,205,0,205,--,376,171,176,205,205,Algún campo sin dato,1,b2e52825aa0d56bc638063bcbeb28b8f6289da7950bdfbaed0dfe4aa738dd448,25/06/2023 23:02:24,ESCANER
8395,"Santa Rosa",6,"Cuilapa",1,984,380,32,6,97,11,3,5,13,0,3,1,1,172,31,5,208,0,208,--,380,172,172,208,208,Algún campo sin dato,1,72aa1e0686619320e3b7734774ba26921b01c2283ea6960fc37118b09374cfdb,26/06/2023 00:44:14,ESCANER
8396,"Santa Rosa",6,"Cuilapa",1,984,380,24,163,96,13,3,2,14,2,0,0,0,163,31,7,201,0,201,--,380,176,317,355,355,Sumas Asentadas sin cuadrar,1,e5cd3ef4461dc342d3055503a51c23b4770349c0038b6925734e180b2668dd3c,26/06/2023 00:06:40,ESCANER
8397,"Santa Rosa",6,"Cuilapa",1,984,380,21,8,81,5,3,0,7,0,0,0,0,148,28,8,184,3,184,--,378,191,125,161,164,Sumas Asentadas sin cuadrar,1,50dba74ed478ee52c0a054f1dc82e9c9a8c5b3a248a0acc81b9462cfc7bdba60,26/06/2023 00:06:09,ESCANER
8398,"Santa Rosa",6,"Cuilapa",1,984,380,19,10,98,5,3,3,9,0,3,0,3,153,31,3,187,1,188,--,380,192,153,187,188,Algún campo sin dato,1,9d13ced24b10a09a2ca23b92b9fbedbd449f112c182e987cb9e54b4b94956469,26/06/2023 02:35:58,ESCANER
8399,"Santa Rosa",6,"Cuilapa",1,984,380,17,8,75,14,3,6,8,1,0,0,1,134,29,7,160,0,330,--,380,210,133,169,169,Sumas Asentadas sin cuadrar,1,66a9be7cb047546d5221d970145c64d2c6e5212ff0a9c99263d25d824a568769,26/06/2023 00:34:58,ESCANER
8400,"Santa Rosa",6,"Cuilapa",1,984,380,20,9,81,5,1,1,7,1,0,1,1,127,24,5,156,0,156,--,380,224,127,156,156,Algún campo sin dato,1,f59a65b224650315303cd4a7f0d59fa7b6fa1d43eafd25994f9a875011dd0389,26/06/2023 00:19:18,ESCANER
8401,"Santa Rosa",6,"Cuilapa",1,984,380,18,5,82,8,2,2,7,0,1,0,0,125,7,1,133,0,133,--,380,247,125,133,133,Algún campo sin dato,1,bc763e1b604e8c351d2c7904c87c13014b055f8d29b6d829e6c30a155952fc4f,25/06/2023 23:16:20,ESCANER
8402,"Santa Rosa",6,"Cuilapa",1,984,218,12,3,42,3,1,0,3,0,0,0,1,65,7,0,72,0,72,--,218,146,65,72,72,Algún campo sin dato,1,96b469cd92666d9cfc2ffdef942302b3462a4289f76c967788eebd547a482f15,25/06/2023 21:57:53,ESCANER
8403,"Santa Rosa",6,"Cuilapa",1,984,218,13,1,40,0,1,1,4,0,1,0,0,61,7,0,68,0,68,--,218,150,61,68,68,Algún campo sin dato,1,5c831846176b411785180e0986d5c89c0d69c1f8b40bebbd871cd0a7ba44d96c,25/06/2023 21:42:35,ESCANER
8404,"Santa Rosa",6,"Cuilapa",1,985,600,70,7,44,12,4,2,11,1,1,0,2,154,10,3,167,0,167,1,600,432,154,167,167,,1,af4a9b1640e7e22ba94bda54b092cd0f6272690163bc6aa5fbb2ea7cd073a4f4,26/06/2023 04:53:09,ESCANER
8405,"Santa Rosa",6,"Cuilapa",1,985,470,52,1,24,9,11,1,2,0,1,0,0,101,9,1,111,0,111,--,470,359,101,111,111,Algún campo sin dato,1,70fddbbe1d699fd5b4d87c1dd0017503dda33262369776e1d71636005ecabb7a,25/06/2023 22:13:10,ESCANER
8406,"Santa Rosa",6,"Cuilapa",1,985,470,11,0,6,2,0,0,3,0,3,1,0,26,1,0,27,0,27,--,470,443,26,27,27,Algún campo sin dato,1,b7b4c6cab0fd004cdf9d5570bdf85f7e934fe970dec6250866ec93af934f0bf6,25/06/2023 23:52:49,ESCANER
