TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
57,57,100.0000,57,100.0000,0,20642,15507,75.1235

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,BIEN,CABAL,PHG,VALOR,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16168,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2390,380,52,171,48,6,13,3,293,8,8,309,0,309,--,380,71,293,309,309,Algún campo sin dato,1,173ed453936872bad59b535f6c383ffc70496dc474718a2b6995e2b28c9d41b0,26/06/2023 00:38:03,ESCANER
16169,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2390,380,69,132,43,0,22,3,269,27,7,303,0,303,--,380,77,269,303,303,Algún campo sin dato,1,de12dfb3828c2f3145243abb5f2dc31327b2bc04e4445efc3fef7a5ee0e19347,26/06/2023 04:15:53,ESCANER
16170,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2390,380,45,131,41,4,10,1,232,6,2,240,0,240,--,379,139,232,240,240,Algún campo sin dato,1,a05e4302c5d5fb3b5031293fb9947b9e4ff1b070a037a1a475cf9141336b8d68,26/06/2023 01:16:25,ESCANER
16171,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2390,321,50,140,37,1,17,1,246,3,2,251,0,251,--,318,67,246,251,251,Algún campo sin dato,1,ce653327662606d9f7b83651d46de84383a6bc413e1c1b5ce8c0a762a6fd7fa1,26/06/2023 00:57:41,ESCANER
16172,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2390,320,35,135,35,5,8,2,220,4,1,225,0,225,--,319,94,220,225,225,Algún campo sin dato,1,2996eddedda52b8b95dbfa4fc062ff578ade9dad266a68a957d324d732b605a2,26/06/2023 00:46:53,ESCANER
16173,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2391,380,110,32,146,2,11,4,305,7,10,322,0,322,--,380,58,305,322,322,Algún campo sin dato,1,06967cf73cf9f94d5aec8159b93acab52946e142850c2876f64e9c52b9170a21,26/06/2023 05:43:19,ESCANER
16174,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2391,380,97,31,164,2,18,2,314,6,10,330,1,331,--,377,46,314,330,331,Algún campo sin dato,1,0e14e714aee1df705878e686f64c36afd4865a81aae63b54a4a0f5eeb834c72a,26/06/2023 04:16:05,ESCANER
16175,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2391,380,114,29,156,0,17,1,317,9,8,334,0,334,--,380,46,317,334,334,Algún campo sin dato,1,0f1ac549bb7c1397e1b1f8a973044a4d9a9c790c4f7169359e938bd91ec63b8c,26/06/2023 02:46:29,ESCANER
16176,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2391,380,99,40,168,0,19,1,327,2,8,337,0,337,--,380,43,327,337,337,Algún campo sin dato,1,e8b0b39a6b581413d53b9bbab8689858da97f6a3d17cf9b6ae74b3bf855d8b82,26/06/2023 02:45:19,ESCANER
16177,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2391,380,122,23,168,2,6,2,323,3,8,334,1,335,--,380,46,323,334,335,Algún campo sin dato,1,cd8553707b79c34939575f45f400d1b6fb169b3feca336acd050f08fa6187df3,26/06/2023 02:28:30,ESCANER
16178,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2391,380,102,30,142,1,12,1,288,1,2,291,5,296,--,380,84,288,291,296,Algún campo sin dato,1,f44c6c5c0581b1849df43459898ad8a60cef54d52b623ef8f72901d6631f18fc,26/06/2023 02:33:49,ESCANER
16179,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2391,380,84,32,143,1,10,0,270,3,3,276,0,276,--,377,101,270,276,276,Algún campo sin dato,1,b6e8269d905fec2f325fd3dd63edec52b34019aade65875928240a1b0b142394,26/06/2023 02:32:12,ESCANER
16180,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2391,380,94,33,161,1,13,0,304,2,0,304,0,304,--,380,76,302,304,304,Sumas Asentadas sin cuadrar,1,4ab7762760fa48cf685951a1083ff0f1d438222b2cd7463a2da5c50ba0d0df0e,26/06/2023 07:12:27,MOVIL
16181,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2391,380,92,32,158,2,14,0,298,0,5,303,0,303,--,380,77,298,303,303,Algún campo sin dato,1,5908f8aa687d11bd98e60f1851451442a9bec5bac72cda7f40ce05ac41223bcb,26/06/2023 03:03:01,ESCANER
16182,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2391,258,71,30,100,1,6,1,216,3,4,216,0,216,--,258,42,209,216,216,Sumas Asentadas sin cuadrar,1,a942cb793887434b4f5ddc07d5bd18e3617eb74f421f4b5dce315c26de7d80d7,26/06/2023 04:49:53,ESCANER
16183,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2391,257,54,20,107,1,7,0,189,1,6,196,0,196,--,257,61,189,196,196,Algún campo sin dato,1,06656d0f4672d4121b5a2ce0e20a8ed86706021dad27b34861c193f7d90a232b,26/06/2023 02:36:24,ESCANER
16184,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2392,380,72,96,81,1,6,2,258,7,14,279,0,279,--,380,101,258,279,279,Algún campo sin dato,1,965e5b903a1954ffc06e5103df4aecd9ee32b15ccc887408a4dd373feeaaf78b,26/06/2023 04:25:29,ESCANER
16185,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2392,380,72,107,61,2,5,1,248,16,21,285,0,285,--,--,--,248,285,285,Algún campo sin dato,1,d623978ce6f5a3c46d8d82a9bad01d40910c619e5252ac5c98e92b5319d6316f,26/06/2023 04:30:01,ESCANER
16186,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2392,380,66,71,122,2,16,0,277,10,12,299,0,299,--,280,81,277,299,299,Algún campo sin dato,1,9eae16228429b7e94d6270e8dba418b99dc9d2adcc519c0424b0ed0d174d2d8f,26/06/2023 04:34:39,ESCANER
16187,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2392,380,64,99,61,3,5,1,233,4,5,242,0,242,--,380,138,233,242,242,Algún campo sin dato,1,9b2d9a54f4f74ccbb4897573aead76f7ff326810befef6375f719547ff65f193,26/06/2023 04:39:58,ESCANER
16188,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2392,380,45,91,80,4,9,1,230,5,4,239,--,239,--,380,141,230,239,239,Algún campo sin dato,1,cb0605eb73a371e5906ddbb11456e42d7f66af707c6ae481c8a0149effb7b8b8,26/06/2023 04:43:40,ESCANER
16189,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2392,262,55,61,56,3,7,0,182,3,0,185,0,185,--,262,77,182,185,185,Algún campo sin dato,1,4b2943ace6d8a64b5e7fb630bd4660ed9884c65abc6547527af2b5ca4ad9e1dd,26/06/2023 04:48:15,ESCANER
16190,"Huehuetenango",13,"San Sebastián Huehuetenango",20,2392,262,43,70,52,0,2,0,167,2,1,170,0,170,--,262,92,167,170,170,Algún campo sin dato,1,da02d2522355a391b4827132b8ba7fa14c05cea748360d422c11f911dd6ec934,26/06/2023 04:52:28,ESCANER
