TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,41,100.0000,41,100.0000,0,15844,11734,74.0595

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,AZUL,PODEMOS,TODOS,VIVA,PPN,CAMBIO,UNE,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11914,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1603,400,115,2,17,11,2,140,2,2,1,292,21,7,320,80,400,2,400,80,292,320,400,,1,15fbbbe31b19591b967c7cf1a3a85bf8edfb04bc4acb77eeb9b59940630d4f15,26/06/2023 05:43:02,ESCANER
11915,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1603,400,119,2,32,12,1,134,0,6,1,307,28,6,341,0,341,--,399,59,307,341,341,Algún campo sin dato,1,0debdf21c5153975ecb46089261bc56a011427c00c3806d42b755213b72ff8d8,26/06/2023 03:21:27,ESCANER
11916,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1603,400,128,2,26,11,3,141,0,5,0,316,20,1,337,0,337,--,400,63,316,337,337,Algún campo sin dato,1,81d5f74e872f0aabef11914a56356063f2815615a7401bb8eae9a9362f549859,26/06/2023 02:11:21,ESCANER
11917,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1604,400,124,1,15,8,3,124,3,1,1,280,20,7,307,0,307,--,400,93,280,307,307,Algún campo sin dato,1,70ed98cc7b85b513f96241e7d73c119deb2104d938a3dbb59d4125463cce40fb,26/06/2023 00:25:29,ESCANER
11918,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1604,400,107,6,20,10,0,130,0,2,3,278,13,3,294,0,294,--,410,116,278,294,294,Algún campo sin dato,1,49f6632e5152ba03bc60dab9f15c30b6185ba36e9de086ce092b3f78581ca6f3,26/06/2023 02:07:50,ESCANER
11919,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1604,400,108,6,23,13,2,121,1,8,5,287,10,1,298,0,298,--,400,102,287,298,298,Algún campo sin dato,1,5d6652a71f51052218fc30651078a79b6cdb47aa82ec5853b8e891ab5b6e9554,25/06/2023 23:26:50,ESCANER
11920,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1604,400,93,5,28,11,2,163,1,4,0,307,1,0,308,0,308,--,397,89,307,308,308,Algún campo sin dato,1,9cd8f2953ded0944e02c02bafd4200082f43e1110de0b7c5f6efc63664a9cbfd,26/06/2023 00:03:01,ESCANER
11921,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1604,322,84,1,20,9,1,105,0,3,1,224,4,0,228,0,228,--,319,91,224,228,228,Algún campo sin dato,1,da244794e279aa077738c2f9baf9944ef0a92d0a5ee1b41fc03ee0070e3dbf2b,26/06/2023 02:27:02,ESCANER
11922,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1604,322,73,0,28,8,2,106,3,1,2,223,4,0,227,0,227,--,322,95,223,227,227,Algún campo sin dato,1,850f0a211b15811e78ff88dfb0f3b1c932f95d27a1e20d5e4fdf917ef57cc977,25/06/2023 23:38:04,ESCANER
11923,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,86,2,17,12,0,151,1,4,2,275,25,3,303,0,303,--,400,97,275,303,303,Algún campo sin dato,1,f5f990f0ef9890656fcee171178fcb34e6764c0b1569c1a9e486fa31f2658b0e,26/06/2023 01:55:22,ESCANER
