TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
106,106,100.0000,105,99.0566,1,39107,26983,68.9978

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,UNE,VALOR,CABAL,VIVA,UR,ELEFANTE,VOS,MLP,VICTORIA,PODEMOS,PPN,CAMBIO,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21542,"Izabal",18,"El Estor",3,3344,400,72,13,58,5,91,4,0,0,0,4,0,0,1,3,0,251,19,2,272,0,272,--,400,128,251,272,272,Algún campo sin dato,1,7c2661393a82ffa4771f2565037692ef1f57007180c89b172524a57f92e953d6,26/06/2023 02:04:29,ESCANER
21543,"Izabal",18,"El Estor",3,3344,400,67,7,57,5,117,3,0,0,1,6,2,0,1,5,0,271,13,4,288,0,288,--,398,111,271,288,288,Algún campo sin dato,1,4acab72040948abcf4c8337d79fde2cde92a39be015a23a02419e8aa733829ff,26/06/2023 01:01:53,ESCANER
21544,"Izabal",18,"El Estor",3,3344,400,64,4,78,7,92,4,1,0,2,1,1,0,1,1,0,256,19,3,278,0,278,--,400,122,256,278,278,Algún campo sin dato,1,8d816f44c934eae22cff1981482ea7da1ad38dcdbec418d9f8c8ed7c2819899f,25/06/2023 23:54:00,ESCANER
21545,"Izabal",18,"El Estor",3,3344,400,81,10,64,5,86,5,0,0,3,4,0,0,4,4,0,266,14,2,282,0,282,--,400,118,266,282,282,Algún campo sin dato,1,e5a24a0ff851e07ede4b856e21ce8e9c22b41b08ef72e14e3edafdc8b709994d,26/06/2023 01:33:17,ESCANER
21546,"Izabal",18,"El Estor",3,3344,400,68,8,62,7,72,4,0,0,3,2,1,2,0,5,2,236,19,3,258,0,258,--,400,142,236,258,258,Algún campo sin dato,1,469761483c6bf39c4a77f8b4194de2448f504b1dd0cc5f8fa5940820a734e0f7,25/06/2023 23:44:48,ESCANER
21547,"Izabal",18,"El Estor",3,3344,400,69,13,50,0,89,3,2,0,2,2,1,0,0,3,1,235,14,8,255,0,255,--,400,145,235,257,257,Sumas Asentadas sin cuadrar,1,25d71e0aaf513e2977f0ca86db9b5ec1470a91555c9322e8e9462346d9e4a6ea,25/06/2023 23:03:44,ESCANER
21548,"Izabal",18,"El Estor",3,3344,400,72,9,59,3,74,2,0,0,0,1,0,0,3,2,1,226,19,3,248,0,248,--,400,152,226,248,248,Algún campo sin dato,1,2647bc1d9d96c40b9caeb374e2d23c8923074f43913e27ac5ff3f49ef319d354,26/06/2023 00:02:31,ESCANER
21549,"Izabal",18,"El Estor",3,3344,400,55,13,64,7,80,3,3,0,2,3,0,0,2,3,0,235,14,1,250,0,250,--,400,150,235,250,250,Algún campo sin dato,1,043dd7d8dc5f607319923ff7cdd9e77d4daceb63056a72c83bd815ac825f91e8,25/06/2023 23:41:04,ESCANER
21550,"Izabal",18,"El Estor",3,3344,400,55,8,60,1,106,3,0,0,1,2,2,0,1,2,1,242,7,0,249,0,249,--,400,151,242,249,249,Algún campo sin dato,1,0cc6f548e6c89bf88db573d129be72721cf178c9ce4b6358cc2df6d6d8750c0d,25/06/2023 23:35:03,ESCANER
21551,"Izabal",18,"El Estor",3,3344,400,60,4,51,3,86,5,0,0,2,3,0,0,2,5,0,221,10,1,232,0,232,--,400,168,221,232,232,Algún campo sin dato,1,58f895d962938099bd702e79663ddb34609b5b97dc85a264b703a69f6c242614,25/06/2023 20:30:56,ESCANER
