TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
32,32,100.0000,32,100.0000,0,11640,7330,62.9725

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VIVA,AZUL,MLP,VAMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20686,"Petén",17,"San Francisco",6,3215,275,42,0,1,0,119,4,166,4,1,171,0,171,--,275,104,166,171,171,Algún campo sin dato,1,b9378351d2d0a4fb8d8b12c6682448b3e955df31839a66adf3068fb77fa7ec2f,25/06/2023 23:23:00,ESCANER
20687,"Petén",17,"San Francisco",6,3215,274,32,3,1,2,124,1,163,0,0,163,0,163,--,275,112,163,163,163,Algún campo sin dato,1,ca77b12607c2627ed3d4b9c8e9d7a5389731873ffd7263ab2ea85f35dc801055,25/06/2023 21:55:20,ESCANER
20688,"Petén",17,"San Francisco",6,3216,380,99,3,0,4,139,9,254,18,3,275,0,275,--,380,105,254,275,275,Algún campo sin dato,1,78a7df00f27e56b005c4acdd41e200c79fe4e3fec4cb7e473ae02c79aee5ed3d,26/06/2023 00:26:21,ESCANER
20689,"Petén",17,"San Francisco",6,3216,380,96,2,1,2,176,7,284,9,5,298,0,298,0,380,82,284,298,298,,1,68802df544299b9512983f3e0f1713d53b86acc8daa173d798e5ec126c13be7c,26/06/2023 00:31:04,ESCANER
20690,"Petén",17,"San Francisco",6,3216,380,75,2,3,0,149,5,234,16,1,251,0,251,0,380,129,234,251,251,,1,60f8b9628df6a9789d05b86be92a1fb7de1353b7bb52c1039808c3f721c30dd7,26/06/2023 00:31:20,ESCANER
20691,"Petén",17,"San Francisco",6,3216,380,104,3,0,1,108,3,219,9,4,232,0,232,0,380,148,219,232,232,,1,c630cf6113d4a317e64d517ec0e0cb3bfa87037b0af084fb2d12e4dc1be7c0be,25/06/2023 23:18:55,ESCANER
20692,"Petén",17,"San Francisco",6,3216,380,89,2,2,4,142,6,245,11,1,257,0,257,0,383,126,245,257,257,,1,4919affacf6c0895f7c0fb6ceea4eaa470c729fcadde0a8ea6cb9d7a87696bf7,26/06/2023 00:34:50,ESCANER
20693,"Petén",17,"San Francisco",6,3216,374,80,2,3,1,125,10,221,5,3,229,0,229,0,374,145,221,229,229,,1,cbc42c08c006e93b7ea6bb411f9ac8543b88b058a8a8bac705d5fd27e2bb85ef,25/06/2023 23:38:19,ESCANER
20694,"Petén",17,"San Francisco",6,3216,374,66,1,1,0,140,14,222,2,4,228,0,228,--,374,146,222,228,228,Algún campo sin dato,1,8eba32a0d9ecc625fd06b77fc5f309db340ac94d8a287835c49c8d5085289b8d,26/06/2023 00:56:43,ESCANER
20695,"Petén",17,"San Francisco",6,3217,380,119,3,1,3,99,1,226,15,1,242,0,242,0,380,138,226,242,242,,1,69c1f9f4940a6c1962e9d8e79dca53c21f5fee899714ea392eb271f3384f22e2,26/06/2023 01:20:45,ESCANER
20696,"Petén",17,"San Francisco",6,3217,380,137,3,3,0,117,0,260,9,2,271,0,271,0,380,109,260,271,271,,1,25c2435c1b41eb1ebaa354e65b1f5337d70029e059ac800c75367f9c6ef6da90,26/06/2023 00:13:24,ESCANER
20697,"Petén",17,"San Francisco",6,3217,231,59,4,0,1,89,0,153,6,0,159,0,159,0,231,72,153,159,159,,1,bfdf73a5f74b6addec5838adacd9729850c128d2f0f87299d51248c5e70b6354,25/06/2023 23:13:44,ESCANER
20698,"Petén",17,"San Francisco",6,3217,230,70,2,0,0,93,0,165,5,0,170,0,170,0,230,60,165,170,170,,1,4e654aa764ddec3ddf638e2f5c967b62b22674916ad0d0b98ac9696282ff871c,25/06/2023 23:08:48,ESCANER
