TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
53,53,100.0000,53,100.0000,0,19669,12673,64.4313

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,VICTORIA,CABAL,TODOS,PR,BIEN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17969,"Quiché",14,"Chicamán",19,2741,400,43,123,2,26,4,1,4,3,206,17,3,226,0,226,--,400,174,206,226,226,Algún campo sin dato,1,dd495d702b77ddff12f941a1aacd6c3868399200d9f1f936b764ddc47c9ad0e2,25/06/2023 21:36:07,ESCANER
17970,"Quiché",14,"Chicamán",19,2741,299,27,87,1,18,2,1,2,2,140,4,0,144,0,144,--,299,155,140,144,144,Algún campo sin dato,1,84b18ac16ba7811820e63f376ec8346d1b504e764b3464741265a7e96608c98a,25/06/2023 20:53:30,ESCANER
17971,"Quiché",14,"Chicamán",19,2742,298,33,92,2,13,6,3,3,2,154,1,0,155,0,155,--,298,143,154,155,155,Algún campo sin dato,1,e1420c2e7f2e5ca63deab5ddf2ccfe91abfeb042533a38ab5c517489aa4b7306,25/06/2023 22:28:06,ESCANER
17972,"Quiché",14,"Chicamán",19,2743,400,86,114,4,17,8,1,2,2,234,25,15,274,0,274,--,400,126,234,274,274,Algún campo sin dato,1,a5b70d161f15c04b0d7a3e85c944cb50f51d37c0afa28a606322078718eee98c,25/06/2023 23:24:30,ESCANER
17973,"Quiché",14,"Chicamán",19,2743,400,110,121,2,14,15,0,3,2,267,17,7,291,0,291,--,400,109,267,291,291,Algún campo sin dato,1,dbae2f6506ed9eeb531487cfedcf15bbba2537e0fbd9e2e620ccad75933a7535,25/06/2023 23:39:54,ESCANER
17974,"Quiché",14,"Chicamán",19,2743,400,100,98,2,9,22,0,3,1,235,16,4,255,0,255,0,400,145,235,255,255,,1,c877b713c6a6730bb39a83b6efc8a51f03ce91a38a0680f540b93e293b3617be,25/06/2023 22:27:15,ESCANER
17975,"Quiché",14,"Chicamán",19,2743,400,70,93,1,10,6,1,0,4,185,17,6,208,0,208,--,397,189,185,208,208,Algún campo sin dato,1,19de9786956550ed4332d67b8b953ef6efd9499815f226b506b5fbaa72f1e0e9,25/06/2023 22:14:16,ESCANER
17976,"Quiché",14,"Chicamán",19,2743,293,52,70,2,4,10,0,0,2,140,6,0,146,0,146,--,293,147,140,146,146,Algún campo sin dato,1,709b55dea8acf38e3831978c619103eedf80cc95d410aa72fe4f6d8728e79e5c,25/06/2023 20:58:47,ESCANER
17977,"Quiché",14,"Chicamán",19,2743,292,53,67,1,9,11,0,0,2,143,5,3,151,0,151,--,292,141,143,151,151,Algún campo sin dato,1,531f9d13388d69f098237d9de51f17cd8437cc99b7f6ba143581662794b534bc,25/06/2023 21:57:49,ESCANER
17978,"Quiché",14,"Chicamán",19,2744,400,80,148,5,11,9,1,1,2,257,20,5,282,0,282,--,400,118,257,282,282,Algún campo sin dato,1,72b4234500fbe09e01d5f1bdf65f60d3ea234675bd4f7aaa642658814dce2111,25/06/2023 23:38:45,ESCANER
17979,"Quiché",14,"Chicamán",19,2744,336,77,94,0,9,2,0,0,3,185,14,4,203,0,203,--,336,133,185,203,203,Algún campo sin dato,1,676f14f054394b7d62cc350e23e8158405c7192547a7665fdddd3bd7d7415bf9,25/06/2023 23:08:10,ESCANER
